EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,DefensiveGoaltends,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,AtRimPctBlocked,BadPassOutOfBoundsTurnovers,ShortMidRangePctBlocked,PtsUnassisted3s,FTOffRebounds,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedShortMidRange,OffensiveGoaltends,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,HeaveAttempts,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,3SecondViolations,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101106-1983-2048-2072-2250,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Michael Redd, Bobby Simmons","Bogut, Jackson, Magloire, Redd, Simmons",101106-1983-2048-2072-2250,MIL,2185.0,10,36.0,13.0,71.0,67.0,20.0,17.0,10.0,138.0,15.0,22.0,2.0,5.0,4.0,8.0,2.0,10.0,7.0,19.0,4.0,2.0,11.0,1.0,2.0,1.0,7.0,24.0,51.0,2.0,15.0,17.0,71.0,58.0,2.0,8.0,1.0,2.0,2.0,9.0,6.0,16.0,1.0,7.0,7.0,22.0,40.0,8.0,6.0,2.0,11.0,2.0,1.0,20.0,2.0,22.0,2.0,13.0,2.0,5.0,46.0,5.0,8.0,3.0,17.0,4.0,24.0,13.0,37.0,2.0,10.0,8.0,2.0,2.0,1.0,5.0,1.0,2.0,7.0,2.0,1.0,4.0,18.0,3.0,2.0,16.0,2.0,1.0,23.0,1.0,10.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,62.0,22.0,20.0,5.0,2.0,0.8333333333333334,0.8695652173913043,1.0,0.13333333333333333,0.5,0.14285714285714285,0.13333333333333333,0.47058823529411764,0.25,0.375,0.4090909090909091,0.35,0.32608695652173914,0.461038961038961,0.4090909090909091,0.4074074074074074,0.22727272727272727,0.0196078431372549,0.05263157894736842,0.2857142857142857,0.8,0.68,0.2962962962962963,0.75,0.38461538461538464,0.6896551724137931,0.325,0.42857142857142855,0.125,0.3333333333333333,0.4444444444444444,0.25,0.42857142857142855,0.75,0.8,1.0,0.5,0.05128205128205128,90.94736842105264,1.0,15.450704225352112,16.238805970149254,14.112676056338028,15.716417910447761,0.3333333333333333,0.6818181818181818,0.6818181818181818,0.8666666666666667,0.15151515151515152,0.2,0.2,1.0,0.2878787878787879,0.3684210526315789,0.3888888888888889,0.7142857142857143,0.06060606060606061,0.16666666666666666,0.18181818181818182,0.18181818181818182,1.0,0.5,0.4,0.5,0.2,0.5,1.0,0.34782608695652173,0.5,0.30434782608695654,0.14285714285714285,0.5606060606060606,0.18181818181818182,0.5039386363636364,0.50704375,0.4899869565217391,0.13333333333333333,0.16666666666666666,0.1267605633802817,0.30985915492957744,8.25686274509804,25.38,0.28169014084507044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2072-2294,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Michael Redd, Charlie Bell","Bogut, Jackson, Magloire, Redd, Bell",101106-1983-2048-2072-2294,MIL,324.0,1,5.0,10.0,8.0,8.0,8.0,3.0,2.0,16.0,2.0,3.0,,,2.0,3.0,,,1.0,1.0,3.0,1.0,3.0,,1.0,1.0,3.0,3.0,4.0,3.0,6.0,,15.0,5.0,,,1.0,2.0,,3.0,3.0,4.0,3.0,6.0,,15.0,6.0,,9.0,,3.0,1.0,,3.0,3.0,6.0,1.0,2.0,,1.0,15.0,1.0,1.0,1.0,3.0,,4.0,2.0,6.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,12.0,15.0,8.0,,,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.75,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.6,,,,,0.75,1.0,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,,,,1.0,1.0,,,1.0,,,71.1111111111111,1.0,19.625,20.875,15.875,20.0,0.3,0.6666666666666666,0.6666666666666666,1.0,,,,,0.1,1.0,1.0,1.0,0.3,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,,,0.3,0.6666666666666666,0.3,0.3333333333333333,0.9,0.3333333333333333,0.5326299999999999,0.5361,0.5326299999999999,0.1,0.25,0.2,1.0,4.775,24.383333333333336,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,0.3,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2072-2412,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Michael Redd, Jiri Welsch","Bogut, Jackson, Magloire, Redd, Welsch",101106-1983-2048-2072-2412,MIL,467.0,4,8.0,-7.0,15.0,15.0,,4.0,3.0,30.0,4.0,8.0,,,,,,,,2.0,2.0,,2.0,,1.0,,,4.0,10.0,,4.0,2.0,10.0,17.0,,,,2.0,1.0,1.0,,,,,,,,8.0,,,2.0,,,,,,,,,,,,3.0,,1.0,1.0,2.0,3.0,5.0,1.0,3.0,3.0,,,,2.0,,,2.0,,,1.0,5.0,,1.0,5.0,1.0,1.0,4.0,,2.0,,,,,,,,9.0,,,,,,,,,,,,0.4,,,0.2857142857142857,,,0.3125,0.16666666666666666,,0.2857142857142857,,,,1.0,1.0,0.5,,,1.0,0.3,0.5,,0.5,,,,,1.0,,,0.1,92.50535331905782,,16.8,14.333333333333334,15.666666666666666,14.333333333333334,0.5714285714285714,0.5,0.5,,,,,,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,,,,,,,0.5,,,,,,,0.8571428571428571,,0.5570642857142857,0.52875,,0.125,0.16666666666666666,0.1,,3.95,24.375,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2072-2551,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Michael Redd, T.J. Ford","Bogut, Jackson, Magloire, Redd, Ford",101106-1983-2048-2072-2551,MIL,43.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,3.0,2.0,,,,,,,1.0,1.0,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,3.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,66.97674418604652,,32.0,11.0,32.0,11.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.291,,0.291,,,,1.0,19.3,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2250-2412,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Bobby Simmons, Jiri Welsch","Bogut, Jackson, Magloire, Simmons, Welsch",101106-1983-2048-2250-2412,MIL,130.0,1,2.0,,4.0,4.0,,4.0,1.0,8.0,2.0,2.0,1.0,1.0,,,,,,3.0,,,,,,,,2.0,5.0,,,,4.0,4.0,1.0,1.0,,,,2.0,,,,,,,,4.0,,2.0,,,,,,,,,,,,,1.0,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,0.4,1.0,,0.4,1.0,,0.4,1.0,,,,,,,0.6666666666666666,0.3333333333333333,,,0.6666666666666666,0.3333333333333333,,,0.3333333333333333,,,1.0,,,,,,88.61538461538463,,14.25,18.25,13.75,17.75,0.4,1.0,1.0,,,,,,0.6,,,,,,,,,1.0,1.0,,,,,,,,,0.4,,0.47241999999999995,0.5435,,,,0.5,,9.940000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2250-2551,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Bobby Simmons, T.J. Ford","Bogut, Jackson, Magloire, Simmons, Ford",101106-1983-2048-2250-2551,MIL,8.0,2,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2412-2558,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Jiri Welsch, Reece Gaines","Bogut, Jackson, Magloire, Welsch, Gaines",101106-1983-2048-2412-2558,MIL,18.0,1,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,18.0,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.2921,,0.2921,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2048-2412-2590,1610612749,"Andrew Bogut, Jermaine Jackson, Jamaal Magloire, Jiri Welsch, Mo Williams","Bogut, Jackson, Magloire, Welsch, Williams",101106-1983-2048-2412-2590,MIL,33.0,1,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63636363636363,,17.0,,17.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.4262,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2072-2250-2412,1610612749,"Andrew Bogut, Jermaine Jackson, Michael Redd, Bobby Simmons, Jiri Welsch","Bogut, Jackson, Redd, Simmons, Welsch",101106-1983-2072-2250-2412,MIL,9.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
101106-1983-2072-2250-2551,1610612749,"Andrew Bogut, Jermaine Jackson, Michael Redd, Bobby Simmons, T.J. Ford","Bogut, Jackson, Redd, Simmons, Ford",101106-1983-2072-2250-2551,MIL,26.0,1,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,2.0,1.0,1.0,,1.0,,2.0,,2.0,,2.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,55.38461538461538,,26.0,,25.0,,0.5,1.0,1.0,,,,,,,,,,,0.5,,,,1.0,1.0,,,,,0.5,1.0,0.5,,1.0,,0.54765,,0.54765,,,1.0,1.0,,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,True
