EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,NonHeaveArc3FGA,LostBallTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceTsPct,FG3APct,OffLongMidRangeReboundPct,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,SecondChancePointsPct,Avg3ptShotDistance,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,AtRimAssists,Travels,NonShootingPenaltyNonTakeFoulsDrawn,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,3SecondViolations,OffCorner3ReboundPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,DefThreePtRebounds,LostBallSteals,2pt And 1 Free Throw Trips,BlockedAtRim,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Offensive Fouls Drawn,ShortMidRangeAssists,ShortMidRangePctAssisted,DefCorner3ReboundPct,Loose Ball Fouls,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,PtsUnassisted3s,PenaltyArc3FGM,PenaltyArc3Accuracy,HeaveAttempts,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedShortMidRange,Clear Path Fouls,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,DefensiveGoaltends,LongMidRangePctBlocked,Technical Free Throw Trips,OffensiveGoaltends,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1000-101134-1507-1720-1899,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Michael Doleac, James Posey","Anderson, Simien, Anderson, Doleac, Posey",1000-101134-1507-1720-1899,MIA,258.0,1,4.0,-5.0,8.0,9.0,6.0,3.0,1.0,17.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,6.0,11.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.6,0.3333333333333333,0.25,0.5,0.25,0.6666666666666666,0.5,0.5,0.5,1.0,0.6666666666666666,94.88372093023256,1.0,14.625,15.666666666666666,14.125,13.222222222222221,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.38255,0.3605,0.36293333333333333,0.2,0.2,0.3333333333333333,12.725,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1507-1720-2548,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Michael Doleac, Dwyane Wade","Anderson, Simien, Anderson, Doleac, Wade",1000-101134-1507-1720-2548,MIA,62.0,1,1.0,,2.0,1.0,2.0,1.0,2.0,3.0,,2.0,,1.0,,3.0,2.0,2.0,2.0,1.0,,3.0,2.0,,,1.0,,,,,3.0,,,3.0,3.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,2.0,2.0,,,,,,,0.2,0.2,0.3333333333333333,0.5,1.0,,1.0,,0.75,1.0,,69.6774193548387,,31.0,,11.0,,0.5,,,0.25,,,,0.38595,0.4263,0.38595,,,1.0,11.9,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,1.0,0.25,0.5,0.25,0.25,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1507-1720-2574,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Michael Doleac, Jason Kapono","Anderson, Simien, Anderson, Doleac, Kapono",1000-101134-1507-1720-2574,MIA,176.0,3,3.0,1.0,6.0,7.0,6.0,7.0,,13.0,,,1.0,2.0,2.0,3.0,2.0,6.0,5.0,,2.0,3.0,6.0,4.0,,,2.0,2.0,1.0,4.0,,1.0,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,1.0,2.0,2.0,,1.0,2.0,,,,,,6.0,6.0,6.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6,0.6,,,,1.0,,1.0,,,,106.36363636363637,,14.666666666666666,12.571428571428571,14.666666666666666,12.571428571428571,,,,0.5,0.5,0.5,1.0,0.434875,,0.434875,,,1.0,12.066666666666668,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,,1.0,,,0.25,,0.25,,0.25,0.5,,24.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1507-1720-56,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Michael Doleac, Gary Payton","Anderson, Simien, Anderson, Doleac, Payton",1000-101134-1507-1720-56,MIA,724.0,2,12.0,,21.0,21.0,15.0,4.0,3.0,42.0,2.0,4.0,1.0,3.0,5.0,11.0,9.0,22.0,22.0,1.0,2.0,8.0,14.0,2.0,8.0,1.0,1.0,2.0,1.0,5.0,2.0,9.0,10.0,3.0,13.0,,,2.0,,1.0,1.0,,3.0,2.0,1.0,5.0,1.0,7.0,10.0,2.0,,,,,16.0,14.0,15.0,0.2,0.25,0.45454545454545453,0.25,0.43333333333333335,0.3181818181818182,0.55,0.4666666666666667,0.09090909090909091,,0.6666666666666666,0.75,0.3333333333333333,0.75,0.3333333333333333,0.5,0.7142857142857143,83.53591160220995,,17.047619047619047,17.428571428571427,16.333333333333332,14.80952380952381,0.26666666666666666,0.5,0.5,0.2,0.3333333333333333,0.3333333333333333,1.0,0.4515966666666667,0.572825,0.47302272727272726,0.11764705882352941,0.15384615384615385,0.6363636363636364,8.854545454545455,0.7142857142857143,3.0,,2.0,4.0,1.0,1.0,6.0,3.0,7.0,3.0,1.0,,3.0,1.0,1.0,0.26666666666666666,,0.2,,0.18181818181818182,0.5333333333333333,0.2727272727272727,23.975,2.0,4.0,1.0,3.0,,,3.0,0.6666666666666666,0.26666666666666666,0.5,0.6666666666666666,,0.2727272727272727,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.25,1.0,1.25,0.25,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,0.125,0.06666666666666667,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.09090909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1507-2548-406,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Dwyane Wade, Shaquille O'Neal","Anderson, Simien, Anderson, Wade, O'Neal",1000-101134-1507-2548-406,MIA,89.0,1,1.0,-5.0,2.0,3.0,,,1.0,5.0,,,,,,1.0,,,5.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,2.0,,2.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,80.89887640449437,,22.0,15.0,18.5,15.0,,,,,,,,0.5581,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1507-2853-56,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Earl Barron, Gary Payton","Anderson, Simien, Anderson, Barron, Payton",1000-101134-1507-2853-56,MIA,165.0,1,3.0,-2.0,6.0,5.0,6.0,3.0,2.0,11.0,1.0,1.0,,2.0,1.0,3.0,2.0,4.0,6.0,2.0,1.0,3.0,4.0,,2.0,,,,,,,2.0,2.0,1.0,3.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,,,,2.0,4.0,6.0,,,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4,0.4,,,,1.0,,1.0,0.3333333333333333,,1.0,96.0,,15.833333333333334,14.0,12.0,14.0,0.25,1.0,1.0,0.5,,,,0.4137875,0.3531,0.4137875,,,1.0,16.033333333333335,1.0,,,,1.0,,,2.0,1.0,2.0,,,,1.0,,0.5,0.25,,,,,0.25,0.5,23.3,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,0.5,0.5,,,1.0,,,,,0.25,,,,,,,,,0.25,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1507-56-952,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Gary Payton, Antoine Walker","Anderson, Simien, Anderson, Payton, Walker",1000-101134-1507-56-952,MIA,413.0,2,7.0,7.0,12.0,13.0,,,1.0,25.0,,1.0,1.0,3.0,6.0,10.0,3.0,21.0,14.0,1.0,,,,6.0,6.0,,3.0,5.0,,12.0,2.0,4.0,5.0,2.0,7.0,2.0,1.0,,,,,,,,,1.0,,3.0,3.0,2.0,1.0,,1.0,1.0,18.0,,,0.5,0.6,0.6,,0.6923076923076923,,0.75,,,,,1.0,0.5,1.0,0.4,1.0,1.0,87.16707021791767,1.0,17.583333333333332,15.538461538461538,17.083333333333332,15.538461538461538,0.07692307692307693,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.5168153846153847,0.5693,,0.14285714285714285,0.18181818181818182,,5.99,,1.0,,,3.0,,1.0,3.0,,,1.0,,,,,1.5,0.23076923076923078,0.5,0.07692307692307693,,,0.6923076923076923,0.14285714285714285,23.53333333333333,5.0,6.0,,,3.0,,,1.0,0.46153846153846156,0.8333333333333334,0.8333333333333334,0.6,,,1.0,1.0,1.0,2.0,,,,,2.0,1.0,,,6.0,2.0,2.0,1.0,,,,1.0,0.6666666666666666,,,0.6666666666666666,1.0,1.0,,,,,,1.0,,0.15384615384615385,0.5,0.5,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1715-1720-2574,1610612748,"Shandon Anderson, Wayne Simien, Jason Williams, Michael Doleac, Jason Kapono","Anderson, Simien, Williams, Doleac, Kapono",1000-101134-1715-1720-2574,MIA,176.0,1,3.0,,6.0,6.0,,6.0,1.0,12.0,,,,2.0,2.0,5.0,,4.0,4.0,2.0,,,,,4.0,1.0,,,,,2.0,1.0,3.0,2.0,5.0,1.0,,2.0,,1.0,,,2.0,,,1.0,,,,,,,,,2.0,,,,,0.4,,0.4,,0.4,,0.2,,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,,0.5,98.18181818181819,,17.5,11.833333333333334,16.5,10.333333333333334,,,,0.4,,,,0.44589999999999996,0.4304,,,,,6.840000000000001,,,,,,,,2.0,,,,1.0,,,1.0,0.5,,0.5,,,,0.6,0.5,,2.0,3.0,,,,,,,0.6,0.6666666666666666,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,2.0,,,,2.0,,,,,,,0.5,0.5,0.3333333333333333,1.0,,1.0,,,,,,,,0.5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1715-1720-2748,1610612748,"Shandon Anderson, Wayne Simien, Jason Williams, Michael Doleac, Dorell Wright","Anderson, Simien, Williams, Doleac, Wright",1000-101134-1715-1720-2748,MIA,180.0,1,3.0,-7.0,7.0,6.0,,5.0,,13.0,,1.0,,3.0,,4.0,,,7.0,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0.5,0.6666666666666666,,0.5,,,1.0,104.0,,16.0,11.333333333333334,16.0,11.0,0.25,,,0.75,,,,0.330475,,,,,,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
1000-101134-1715-1720-56,1610612748,"Shandon Anderson, Wayne Simien, Jason Williams, Michael Doleac, Gary Payton","Anderson, Simien, Williams, Doleac, Payton",1000-101134-1715-1720-56,MIA,67.0,1,1.0,4.0,2.0,2.0,,,,4.0,,,1.0,1.0,2.0,2.0,,4.0,,,,,,4.0,,,2.0,2.0,1.0,4.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,85.97014925373134,,13.5,20.0,13.5,20.0,,,,0.5,1.0,1.0,1.0,0.45005,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,1.0,1.0,,,1.0,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,False
