EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,FtPoints,PenaltyFG3A,LongMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,LostBallTurnovers,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Loose Ball Fouls,PenaltyArc3FGA,Steals,BadPassSteals,PenaltyArc3Frequency,ShortMidRangeFGM,Corner3FGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,LostBallSteals,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,AtRimPctBlocked,OffTwoPtRebounds,OffTwoPtReboundPct,OffShortMidRangeReboundPct,PenaltyFtPoints,DeadBallTurnovers,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Travels,Offensive Fouls,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,HeaveAttempts,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyFg3Pct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,PtsUnassisted3s,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,BlockedLongMidRange,OffAtRimReboundPct,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,SelfOReb,SelfORebPct,PenaltyCorner3FGM,SecondChanceFtPoints,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceArc3FGM,Blocked3s,BlockedArc3,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,LostBallOutOfBoundsTurnovers,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
101122-101180-1506-1513-1536,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Scot Pollard, Stephen Jackson","Granger, Jasikevicius, Croshere, Pollard, Jackson",101122-101180-1506-1513-1536,IND,73.0,1,1.0,-2.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,98.63013698630138,19.5,11.333333333333334,19.5,11.333333333333334,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.4696,0.4696,1.0,3.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1513-2410,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Scot Pollard, Fred Jones","Granger, Jasikevicius, Croshere, Pollard, Jones",101122-101180-1506-1513-2410,IND,157.0,2,3.0,-2.0,6.0,5.0,3.0,,11.0,,,,,,1.0,2.0,4.0,6.0,,1.0,,2.0,1.0,1.0,,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,1.0,4.0,,3.0,,1.0,1.0,0.5,,0.25,,0.4,,1.0,1.0,,100.89171974522293,16.166666666666668,12.0,16.166666666666668,12.0,,,,,,,,0.5,0.4645625,0.51605,,19.05,0.5,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.2,0.3333333333333333,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1533-1536,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Anthony Johnson, Stephen Jackson","Granger, Jasikevicius, Croshere, Johnson, Jackson",101122-101180-1506-1533-1536,IND,163.0,2,3.0,-2.0,5.0,4.0,1.0,,9.0,2.0,2.0,,,,2.0,3.0,4.0,6.0,,,,,,,,,,1.0,2.0,1.0,1.0,,,,2.0,,1.0,,,,0.6666666666666666,,0.4,,0.4,,,0.5,,79.50920245398773,19.4,16.5,19.2,15.5,0.4,1.0,1.0,,,,,0.8,0.45334,,,8.266666666666667,0.2,,1.0,,,2.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,0.4,1.0,,,,,0.2,,,,,,0.2,0.3333333333333333,25.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.4,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1533-1902,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Anthony Johnson, Jeff Foster","Granger, Jasikevicius, Croshere, Johnson, Foster",101122-101180-1506-1533-1902,IND,39.0,1,1.0,-2.0,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,73.84615384615384,15.0,24.0,15.0,24.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1533-2410,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Anthony Johnson, Fred Jones","Granger, Jasikevicius, Croshere, Johnson, Jones",101122-101180-1506-1533-2410,IND,138.0,2,2.0,-2.0,4.0,5.0,2.0,2.0,9.0,1.0,2.0,,,1.0,1.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,0.3333333333333333,,0.25,,0.25,,,,,93.91304347826087,20.25,11.4,20.25,11.4,0.5,0.5,0.5,,0.25,,,0.75,0.5459875,0.49425,,4.0,0.5,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,0.25,,,,,,,,,,,,0.25,0.3333333333333333,25.1,,,,1.0,,,,2.0,,1.0,,,,,1.0,,,,,,,,,0.25,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1533-2758,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Anthony Johnson, David Harrison","Granger, Jasikevicius, Croshere, Johnson, Harrison",101122-101180-1506-1533-2758,IND,758.0,4,13.0,8.0,21.0,20.0,,,41.0,5.0,5.0,,,5.0,10.0,13.0,29.0,21.0,,,,10.0,5.0,7.0,3.0,16.0,6.0,8.0,9.0,2.0,4.0,1.0,,1.0,27.0,,,,0.5,0.5,0.7692307692307693,,0.7647058823529411,,0.725,,0.6666666666666666,0.5833333333333334,0.3333333333333333,77.8891820580475,16.38095238095238,20.7,15.952380952380953,18.65,0.29411764705882354,1.0,1.0,0.6,0.29411764705882354,,,0.5294117647058824,0.4800970588235294,,,8.1,,2.0,3.0,2.0,,4.0,3.0,,1.0,1.0,2.0,1.0,2.0,,5.0,6.0,3.0,1.0,1.0,0.23529411764705882,1.0,1.0,0.6666666666666666,1.0,1.0,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.5,0.11764705882352941,,0.15,0.1875,24.5,1.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,,,,,0.11764705882352941,1.0,1.0,0.06896551724137931,1.0,,1.0,,,3.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.15384615384615385,0.4,1.0,0.5,0.6,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1533-978,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Anthony Johnson, Peja Stojakovic","Granger, Jasikevicius, Croshere, Johnson, Stojakovic",101122-101180-1506-1533-978,IND,3.0,1,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,480.0,3.0,,3.0,,1.0,,,,,1.0,,1.0,0.5271,0.5271,,2.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1533-979,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Anthony Johnson, Jermaine O'Neal","Granger, Jasikevicius, Croshere, Johnson, O'Neal",101122-101180-1506-1533-979,IND,145.0,3,2.0,-2.0,3.0,5.0,,2.0,8.0,1.0,3.0,,,1.0,1.0,5.0,2.0,4.0,,,,,,,,,3.0,3.0,4.0,,,,,,,,,,,,0.2,,0.2,,0.16666666666666666,,0.6,0.6,0.6666666666666666,79.44827586206897,31.333333333333332,10.2,31.333333333333332,9.2,0.6,0.3333333333333333,0.3333333333333333,,0.2,,,0.6,0.50152,,,6.38,,,1.0,,,,,,,,,,,,2.0,3.0,2.0,,,,,,1.0,,,0.2,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,,0.25,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5484,,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1536-2224,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Stephen Jackson, Jamaal Tinsley","Granger, Jasikevicius, Croshere, Jackson, Tinsley",101122-101180-1506-1536-2224,IND,23.0,1,,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,1.0,1.0,,,,250.43478260869563,3.0,8.5,3.0,8.5,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
101122-101180-1506-1536-2410,1610612754,"Danny Granger, Sarunas Jasikevicius, Austin Croshere, Stephen Jackson, Fred Jones","Granger, Jasikevicius, Croshere, Jackson, Jones",101122-101180-1506-1536-2410,IND,469.0,6,8.0,-3.0,16.0,14.0,5.0,2.0,30.0,2.0,3.0,1.0,1.0,2.0,6.0,8.0,15.0,18.0,3.0,3.0,6.0,6.0,3.0,4.0,1.0,9.0,1.0,3.0,3.0,3.0,6.0,,,,15.0,6.0,5.0,1.0,0.5,0.5,0.75,1.0,0.5769230769230769,0.6,0.5769230769230769,0.6,0.25,0.5,,92.11087420042644,14.875,16.5,14.875,16.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.2,1.0,0.6153846153846154,0.43900769230769227,0.35480999999999996,0.4,8.575,0.3125,3.0,3.0,,,5.0,,2.0,2.0,,,,3.0,,2.0,,,,,0.38461538461538464,,,1.0,,,0.23076923076923078,1.0,1.0,0.6666666666666666,,,,,25.1,,,,5.0,,,,6.0,,5.0,,2.0,,,,,,,1.0,,,,1.0,0.38461538461538464,,,,,2.0,2.0,1.0,0.4,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.2,0.2,0.125,0.5,,1.0,0.5,1.0,,,,,0.2,0.2,1.0,,0.2,,,,,,,3.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2006,2005-06,False
