EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,OffThreePtRebounds,FTOffRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,FirstChancePoints,Fg2Pct,PenaltyFg2Pct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Avg2ptShotDistance,AtRimFGA,ShootingFouls,Fouls,AtRimFrequency,LongMidRangeFGM,FtPoints,PenaltyFtPoints,DefThreePtRebounds,FTDefRebounds,DeadBallTurnovers,Turnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,Steals,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,ThreePtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,LiveBallTurnovers,LostBallTurnovers,BlockedAtRim,LiveBallTurnoverPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,BadPassTurnovers,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Arc3PctAssisted,Corner3Assists,Corner3PctAssisted,BadPassOutOfBoundsTurnovers,SelfOReb,Loose Ball Fouls Drawn,BlockedShortMidRange,OffShortMidRangeReboundPct,SelfORebPct,Travels,SecondChanceTurnovers,OffCorner3ReboundPct,Loose Ball Fouls,ShortMidRangeAssists,LongMidRangePctBlocked,ShortMidRangePctAssisted,2pt And 1 Free Throw Trips,Fg3aBlocked,LostBallSteals,StepOutOfBoundsTurnovers,DefensiveGoaltends,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3PctAssisted,Clear Path Fouls,Technical Free Throw Trips,SecondChanceArc3FGM,Defensive 3 Seconds Violations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,team_id,year,season,team_vs
101195-15-2124-2457-2768,1610612741,"Luke Schenscher, Eric Piatkowski, Malik Allen, Jannero Pargo, Chris Duhon","Schenscher, Piatkowski, Allen, Pargo, Duhon",101195-15-2124-2457-2768,CHI,33.0,1,1.0,2.0,1.0,2.0,1.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,0.5,1.0,0.5,0.5,0.75,1.5,0.75,0.75,1.5,0.75,1.0,1.0,1.0,1.0,1.0,130.9090909090909,7.0,19.0,5.0,19.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.371175,0.4173,0.371175,1.0,1.0,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-15-2457-2768-970,1610612741,"Luke Schenscher, Eric Piatkowski, Jannero Pargo, Chris Duhon, Othella Harrington","Schenscher, Piatkowski, Pargo, Duhon, Harrington",101195-15-2457-2768-970,CHI,88.0,1,1.0,2.0,3.0,2.0,3.0,,5,,,,,,,,,,,2.0,3.0,,,,,,2.0,,,,,,1.0,2.0,2.0,,,,,0.5,,0.5,0.5,,0.5,,,,,,81.81818181818183,22.5,14.333333333333334,22.5,14.333333333333334,,,,,,,,,,,0.31955,,0.31955,,1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-15-2550-2732-2736,1610612741,"Luke Schenscher, Eric Piatkowski, Kirk Hinrich, Ben Gordon, Luol Deng","Schenscher, Piatkowski, Hinrich, Gordon, Deng",101195-15-2550-2732-2736,CHI,25.0,1,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,15.0,,15.0,,,,,,,,,,,1.0,0.5493,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-15-2550-2736-2768,1610612741,"Luke Schenscher, Eric Piatkowski, Kirk Hinrich, Luol Deng, Chris Duhon","Schenscher, Piatkowski, Hinrich, Deng, Duhon",101195-15-2550-2736-2768,CHI,194.0,1,3.0,7.0,7.0,4.0,7.0,,14,,,,,,,,,,,6.0,6.0,,,,,,4.0,,,,,,5.0,4.0,4.0,,,,,1.0,,1.0,0.6,,0.6666666666666666,,,,,,103.91752577319588,12.0,15.714285714285714,12.0,15.285714285714286,,,,,,,,,,,0.4121,,0.4121,,0.6666666666666666,,0.5714285714285714,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,1.0,0.5,0.75,,,,,1.0,16.2,,1.0,3.0,,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-2124-2732-2736-2768,1610612741,"Luke Schenscher, Malik Allen, Ben Gordon, Luol Deng, Chris Duhon","Schenscher, Allen, Gordon, Deng, Duhon",101195-2124-2732-2736-2768,CHI,103.0,1,2.0,4.0,5.0,4.0,5.0,,9,,,,,,,1.0,1.0,,1.0,2.0,2.0,,,,,1.0,2.0,,1.0,,,,2.0,2.0,4.0,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,,125.8252427184466,12.0,11.0,12.0,10.8,,,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.5207166666666666,,0.5207166666666666,,1.0,25.9,1.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,1.0,0.5,,,,,0.3333333333333333,10.65,1.0,,1.0,0.3333333333333333,,,,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-2457-2550-2736-2804,1610612741,"Luke Schenscher, Jannero Pargo, Kirk Hinrich, Luol Deng, Andres Nocioni","Schenscher, Pargo, Hinrich, Deng, Nocioni",101195-2457-2550-2736-2804,CHI,165.0,1,3.0,6.0,7.0,6.0,7.0,2.0,13,,,,,,,1.0,1.0,,1.0,4.0,4.0,,1.0,,,1.0,4.0,,1.0,,,2.0,5.0,4.0,6.0,,,,,0.25,,0.25,0.25,,0.25,0.125,,,0.3333333333333333,,113.45454545454545,14.0,11.571428571428571,12.666666666666666,11.571428571428571,,,,0.125,,,,,0.125,0.5,0.49415625,0.532975,0.49415625,,1.0,25.9,1.0,,,,4.0,2.0,7.0,2.0,7.0,2.0,1.0,3.0,4.0,0.2857142857142857,0.2857142857142857,1.0,1.0,,,,,0.5,11.157142857142857,3.0,,,0.375,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,0.25,0.25,,,1.0,1.0,3.0,,,,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.4,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-2457-2552-2736-2768,1610612741,"Luke Schenscher, Jannero Pargo, Michael Sweetney, Luol Deng, Chris Duhon","Schenscher, Pargo, Sweetney, Deng, Duhon",101195-2457-2552-2736-2768,CHI,66.0,1,1.0,2.0,2.0,,2.0,,4,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,87.27272727272727,15.5,17.5,15.5,17.5,,,,,,,,,,,0.3462,,,,,,,2.0,,,1.0,,1.0,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,19.7,,,,,,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-2457-2552-2768-970,1610612741,"Luke Schenscher, Jannero Pargo, Michael Sweetney, Chris Duhon, Othella Harrington","Schenscher, Pargo, Sweetney, Duhon, Harrington",101195-2457-2552-2768-970,CHI,34.0,1,1.0,1.0,2.0,1.0,2.0,,3,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,1.0,1.0,3.0,3.0,1.0,,,,1.0,3.0,1.0,1.0,,1.0,1.0,1.5,,1.5,1.5,,1.5,1.0,,,,,127.05882352941177,3.0,15.5,3.0,15.5,,,,1.0,,,,,1.0,1.0,0.4701,,0.4701,,1.0,24.5,1.0,3.0,,,,,,,,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-2550-2732-2768-2804,1610612741,"Luke Schenscher, Kirk Hinrich, Ben Gordon, Chris Duhon, Andres Nocioni","Schenscher, Hinrich, Gordon, Duhon, Nocioni",101195-2550-2732-2768-2804,CHI,56.0,1,1.0,1.0,1.0,,,,2,,,,,,,1.0,,1.0,1.0,3.0,2.0,,,,,,,3.0,1.0,,,,,,,1.0,,,1.0,1.5,,,1.5,,,1.0,,,,,51.42857142857143,28.0,28.0,28.0,22.0,,,,1.0,,,,,,1.0,0.44325,,,,,26.2,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
101195-2732-2736-2768-2804,1610612741,"Luke Schenscher, Ben Gordon, Luol Deng, Chris Duhon, Andres Nocioni","Schenscher, Gordon, Deng, Duhon, Nocioni",101195-2732-2736-2768-2804,CHI,278.0,2,5.0,9.0,9.0,1.0,1.0,1.0,18,,,,,,,3.0,,,3.0,9.0,6.0,,,2.0,,,3.0,,3.0,1.0,,1.0,5.0,3.0,1.0,,,,,0.3333333333333333,1.0,,0.45,1.0,1.5,0.3333333333333333,,0.3333333333333333,0.16666666666666666,0.3333333333333333,93.23741007194243,16.444444444444443,14.444444444444445,16.22222222222222,13.0,,,,0.3333333333333333,,,,,,0.5555555555555556,0.4886777777777778,,,0.2222222222222222,0.3333333333333333,24.566666666666666,0.1111111111111111,3.0,1.0,1.0,3.0,3.0,6.0,,,4.0,3.0,4.0,7.0,0.5,,0.75,0.75,0.6666666666666666,0.1111111111111111,1.0,1.0,0.3333333333333333,10.700000000000001,2.0,1.0,1.0,0.2222222222222222,1.0,3.0,3.0,,1.0,,,,3.0,3.0,,,0.5,,1.0,,0.3333333333333333,0.3333333333333333,0.1,,1.0,,,,,1.0,0.5,0.5,,,1.0,,1.0,2.0,1.0,1.0,,2.0,,,,0.3333333333333333,0.5,,,,,,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,False
