EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFtPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,StepOutOfBoundsTurnovers,PenaltyTurnovers,Travels,DefCorner3ReboundPct,2pt And 1 Free Throw Trips,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,FTDefRebounds,SecondChanceTurnovers,DefFTReboundPct,OffThreePtRebounds,SelfOReb,Offensive Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg2aBlocked,DefensiveGoaltends,FG2APctBlocked,AtRimPctBlocked,FTOffRebounds,OffFTReboundPct,Corner3FGM,Corner3FGA,Corner3Assists,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,ShortMidRangePctBlocked,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,OffensiveGoaltends,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceAtRimPctAssisted,BlockedLongMidRange,team_id,year,season,team_vs
101132-1761-1863-1922-2035,1610612743,"Linas Kleiza, Greg Buckner, Earl Boykins, Francisco Elson, DerMarr Johnson","Kleiza, Buckner, Boykins, Elson, Johnson",101132-1761-1863-1922-2035,DEN,48.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,26.0,11.0,26.0,11.0,1.0,0.3452,0.3452,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
101132-1761-1863-1922-2546,1610612743,"Linas Kleiza, Greg Buckner, Earl Boykins, Francisco Elson, Carmelo Anthony","Kleiza, Buckner, Boykins, Elson, Anthony",101132-1761-1863-1922-2546,DEN,587.0,1,10.0,,19.0,20.0,1.0,18.0,39,2.0,11.0,24.0,,6.0,6.0,6.0,1.0,0.5454545454545454,0.5454545454545454,0.5,95.67291311754686,16.263157894736842,13.9,16.263157894736842,11.45,0.16666666666666666,0.4583791666666666,0.43995,8.872727272727273,0.05263157894736842,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,24.0,1.0,1.0,1.0,1.0,3.0,10.0,4.0,3.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,8.0,1.0,2.0,3.0,7.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,23.0,3.0,1.0,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,0.6363636363636364,0.7083333333333334,1.5,0.7666666666666667,1.5,0.08333333333333333,0.4,0.6,0.5,1.0,0.25,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0.15384615384615385,0.041666666666666664,0.125,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
101132-1761-1889-2035-948,1610612743,"Linas Kleiza, Greg Buckner, Andre Miller, DerMarr Johnson, Marcus Camby","Kleiza, Buckner, Miller, Johnson, Camby",101132-1761-1889-2035-948,DEN,198.0,1,3.0,-1.0,7.0,6.0,4.0,6.0,13,1.0,4.0,7.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,,94.54545454545455,20.142857142857142,9.5,18.285714285714285,9.5,0.25,0.383675,0.37693333333333334,8.775,0.5714285714285714,1.0,1.0,,2.0,,,,,,1.0,,,4.0,6.0,2.0,2.0,,,6.0,2.0,,,,,1.0,,1.0,,1.0,,,2.0,,,,2.0,,,1.0,2.0,,,,,4.0,4.0,,,2.0,1.0,1.0,,1.0,1.0,4.0,6.0,,1.0,1.0,,,,,0.25,0.25,0.3333333333333333,0.5,0.6,,1.0,1.0,,1.0,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,,0.25,,,,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
101132-1863-1889-2501-2546,1610612743,"Linas Kleiza, Earl Boykins, Andre Miller, Reggie Evans, Carmelo Anthony","Kleiza, Boykins, Miller, Evans, Anthony",101132-1863-1889-2501-2546,DEN,29.0,1,,-1.0,1.0,2.0,1.0,2.0,3,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148.9655172413793,2.0,13.5,2.0,13.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
1739-1761-1863-2501-2546,1610612743,"Ruben Patterson, Greg Buckner, Earl Boykins, Reggie Evans, Carmelo Anthony","Patterson, Buckner, Boykins, Evans, Anthony",1739-1761-1863-2501-2546,DEN,421.0,2,7.0,6.0,14.0,14.0,7.0,7.0,28,5.0,8.0,9.0,4.0,6.0,9.0,9.0,7.0,0.8571428571428571,0.9,1.0,95.77197149643706,13.214285714285714,16.857142857142858,13.214285714285714,16.857142857142858,0.5,0.43926,0.44484,12.0625,0.5,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,15.0,,,1.0,1.0,8.0,8.0,2.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,11.0,1.0,1.0,,,,2.0,,2.0,1.0,2.0,,,2.0,4.0,,2.0,,,,,,,15.0,8.0,1.0,0.8,0.8,1.0,0.5,1.0,0.5,0.625,0.65,0.7,0.625,0.6666666666666666,0.2,,,0.6666666666666666,,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.4,0.4,0.5,0.2,0.5,0.5,1.0,0.2,1.0,0.4,0.5,0.16666666666666666,0.2,,0.5333333333333333,25.35,,1.0,1.0,2.0,1.0,,3.0,,,,0.5,,,1.0,,,1.0,0.2,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
1739-1761-1889-2501-2546,1610612743,"Ruben Patterson, Greg Buckner, Andre Miller, Reggie Evans, Carmelo Anthony","Patterson, Buckner, Miller, Evans, Anthony",1739-1761-1889-2501-2546,DEN,115.0,1,2.0,-4.0,4.0,4.0,4.0,3.0,8,,2.0,5.0,2.0,2.0,2.0,2.0,4.0,0.6666666666666666,0.6666666666666666,,100.17391304347825,14.5,14.25,14.5,11.75,,0.3328666666666667,0.3328666666666667,9.55,1.0,,,,2.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,4.0,,,1.0,2.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,0.125,0.125,0.3333333333333333,,0.5,1.0,,,,,,0.6666666666666666,,,,,,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,0.25,0.3333333333333333,,1.0,26.9,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
1739-1863-1889-1922-2501,1610612743,"Ruben Patterson, Earl Boykins, Andre Miller, Francisco Elson, Reggie Evans","Patterson, Boykins, Miller, Elson, Evans",1739-1863-1889-1922-2501,DEN,252.0,2,4.0,4.0,8.0,8.0,,,16,2.0,5.0,9.0,,3.0,3.0,3.0,,0.6,0.5,,91.42857142857143,16.25,15.25,16.25,14.625,0.4,0.47262000000000004,,7.18,,2.0,3.0,,,2.0,,,,,4.0,,,5.0,13.0,,,,,,4.0,4.0,,,,2.0,,2.0,,1.0,,1.0,4.0,,,,,,2.0,,2.0,,4.0,,1.0,3.0,5.0,1.0,3.0,,1.0,1.0,,1.0,,13.0,,,0.5,0.5,,,,,0.8,0.8,,1.0,,,,,0.75,,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,1.0,1.0,0.5,,,,,,,0.6,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
1739-1863-1889-1922-948,1610612743,"Ruben Patterson, Earl Boykins, Andre Miller, Francisco Elson, Marcus Camby","Patterson, Boykins, Miller, Elson, Camby",1739-1863-1889-1922-948,DEN,295.0,2,5.0,7.0,9.0,10.0,,4.0,19,4.0,11.0,5.0,,4.0,6.0,8.0,,0.8,0.8571428571428571,1.0,92.7457627118644,15.0,16.0,14.666666666666666,15.4,0.36363636363636365,0.4702090909090909,,8.918181818181818,,3.0,4.0,,3.0,3.0,,,,,6.0,,,,12.0,,2.0,,,,10.0,2.0,,,,5.0,,5.0,,2.0,,3.0,10.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,10.0,,,0.8333333333333334,1.0,,,,,0.5454545454545454,0.5454545454545454,,0.5454545454545454,,,,0.5,1.0,1.0,0.36363636363636365,0.75,0.75,0.6666666666666666,0.2727272727272727,,,,0.75,0.75,1.0,,,,,,,0.36363636363636365,,0.09090909090909091,0.09090909090909091,0.16666666666666666,,,1.0,,,,,2.0,2.0,2.0,,,,0.5,0.4,1.0,0.4,,1.0,,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,0.58965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
1739-1863-1889-2030-2501,1610612743,"Ruben Patterson, Earl Boykins, Andre Miller, Kenyon Martin, Reggie Evans","Patterson, Boykins, Miller, Martin, Evans",1739-1863-1889-2030-2501,DEN,100.0,1,2.0,-1.0,2.0,3.0,,,5,,1.0,4.0,,1.0,1.0,1.0,,0.5,0.5,,72.0,26.5,15.666666666666666,26.5,14.666666666666666,,0.5322,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,3.0,,,,,1.0,1.0,,1.0,,0.75,,0.75,,0.5,,,0.5,,0.5,,,,,,,,,,,0.5,1.0,1.0,1.0,,,1.0,1.0,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
1739-1863-1889-2030-948,1610612743,"Ruben Patterson, Earl Boykins, Andre Miller, Kenyon Martin, Marcus Camby","Patterson, Boykins, Miller, Martin, Camby",1739-1863-1889-2030-948,DEN,57.0,1,1.0,,2.0,1.0,,,3,2.0,2.0,2.0,,,1.0,2.0,,,,,75.78947368421053,19.0,19.0,11.0,19.0,1.0,0.40715,,19.05,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,2.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,0.5,0.5,,0.5,,,1.0,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2006,2005-06,True
