EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,AtRimAssists,OffTwoPtRebounds,OffRebounds,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGA,PenaltyFG3A,Fg2aBlocked,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,FTOffRebounds,OffFTReboundPct,LongMidRangeFGM,LongMidRangeAssists,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,Loose Ball Fouls Drawn,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfOReb,Defensive 3 Seconds Violations,OffAtRimReboundPct,SelfORebPct,NonShootingPenaltyNonTakeFouls,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LostBallOutOfBoundsTurnovers,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,PenaltyFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,PtsUnassisted3s,Blocked3s,BlockedArc3,SecondChanceArc3FGA,Travels,SecondChanceTurnovers,BlockedLongMidRange,BlockedShortMidRange,SecondChanceArc3Frequency,DefensiveGoaltends,HeaveAttempts,3SecondViolations,OffCorner3ReboundPct,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
101120-1521-1531-1713-1909,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Vince Carter, Scott Padgett","Wright, Vaughn, Jackson, Carter, Padgett",101120-1521-1531-1713-1909,NJN,95.0,1,2.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,90.94736842105263,16.0,15.666666666666666,16.0,15.666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.49243333333333333,4.8,23.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-1713-361,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Vince Carter, Clifford Robinson","Wright, Vaughn, Jackson, Carter, Robinson",101120-1521-1531-1713-361,NJN,140.0,1,2.0,4.0,4.0,4.0,8.0,1.0,2.0,,,3.0,5.0,,8.0,4.0,,2.0,2.0,1.0,4.0,,,2.0,,,1.0,4.0,0.6666666666666666,1.0,0.6,0.6,0.6666666666666666,,,,,82.28571428571428,16.25,18.75,14.25,18.75,0.4,0.5,0.5,1.0,,,0.4,0.45228,5.12,,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.5,0.2,1.0,1.0,1.0,1.0,0.5401,0.5753,0.16666666666666666,0.16666666666666666,0.5,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-1909-2210,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Richard Jefferson","Wright, Vaughn, Jackson, Padgett, Jefferson",101120-1521-1531-1909-2210,NJN,21.0,2,,3.0,2.0,,2.0,,,,,,,,3.0,,,,,,,,,,,,2.0,3.0,,,,,0.75,,,,,137.14285714285714,10.5,,10.5,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,4.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,0.6666666666666666,0.5,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-1909-2565,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Zoran Planinic","Wright, Vaughn, Jackson, Padgett, Planinic",101120-1521-1531-1909-2565,NJN,469.0,2,8.0,-1.0,13.0,13.0,26.0,1.0,1.0,,1.0,2.0,6.0,1.0,8.0,2.0,1.0,1.0,1.0,,2.0,5.0,5.0,5.0,3.0,3.0,7.0,8.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.3888888888888889,0.14285714285714285,0.625,0.5555555555555556,1.0,79.82942430703625,17.153846153846153,18.923076923076923,17.153846153846153,16.46153846153846,0.14285714285714285,1.0,1.0,,,0.14285714285714285,0.7142857142857143,0.5134714285714286,4.75,24.6,12.0,,,1.0,4.0,,,1.0,4.0,1.0,4.0,9.0,,,,,2.0,6.0,7.0,2.0,,1.0,,,6.0,3.0,7.0,12.0,,0.3333333333333333,,0.2857142857142857,,0.3888888888888889,,,,,0.5714285714285714,0.25,0.3333333333333333,1.0,0.14285714285714285,,,0.5714285714285714,0.25,,0.5134714285714286,0.3333333333333333,0.375,,0.875,0.9230769230769231,3.0,,,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.4,0.6666666666666666,0.5,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-1909-2669,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Linton Johnson","Wright, Vaughn, Jackson, Padgett, Johnson",101120-1521-1531-1909-2669,NJN,10.0,1,,2.0,1.0,1.0,2.0,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,288.0,3.0,7.0,1.0,7.0,,,,,,,1.0,0.5427,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.5427,0.5427,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-1909-441,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Lamond Murray","Wright, Vaughn, Jackson, Padgett, Murray",101120-1521-1531-1909-441,NJN,339.0,2,6.0,-3.0,11.0,11.0,22.0,,1.0,1.0,1.0,4.0,5.0,2.0,11.0,4.0,1.0,2.0,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,0.5,0.5,0.8,0.5714285714285714,0.6111111111111112,0.2857142857142857,0.5,0.5,,93.45132743362831,16.0,14.818181818181818,16.0,14.818181818181818,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.4532428571428571,9.78,24.8,4.0,,,2.0,2.0,,,1.0,1.0,2.0,3.0,14.0,,,,,3.0,4.0,6.0,4.0,,1.0,,,5.0,1.0,6.0,4.0,,0.75,,0.75,,0.75,,,,,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,,,0.25,1.0,,0.4,0.2222222222222222,0.16666666666666666,,0.5454545454545454,0.36363636363636365,,,,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,0.5,,0.5,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-2210-2565,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Richard Jefferson, Zoran Planinic","Wright, Vaughn, Jackson, Jefferson, Planinic",101120-1521-1531-2210-2565,NJN,40.0,1,1.0,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,72.0,26.0,14.0,26.0,14.0,,,,,,,,0.3282,15.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-2565-2669,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Zoran Planinic, Linton Johnson","Wright, Vaughn, Jackson, Planinic, Johnson",101120-1521-1531-2565-2669,NJN,826.0,2,14.0,1.0,30.0,30.0,60.0,2.0,3.0,,3.0,9.0,14.0,3.0,25.0,16.0,3.0,8.0,8.0,1.0,16.0,5.0,8.0,10.0,5.0,4.0,9.0,22.0,0.8888888888888888,0.8888888888888888,0.6428571428571429,0.5294117647058824,0.5208333333333334,0.17647058823529413,1.0,0.875,,104.60048426150121,13.633333333333333,13.9,13.433333333333334,13.3,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.5,,0.17647058823529413,0.5294117647058824,0.5101617647058824,8.564285714285715,26.3,24.0,15.0,2.0,6.0,6.0,,,5.0,5.0,5.0,7.0,24.0,1.0,1.0,1.0,3.0,7.0,9.0,21.0,2.0,,6.0,1.0,2.0,16.0,4.0,21.0,24.0,1.0,0.7777777777777778,1.0,0.5833333333333334,0.75,0.5526315789473685,0.2,0.2857142857142857,,0.25,0.35294117647058826,1.0,1.0,1.0,0.29411764705882354,,,0.4166666666666667,1.0,0.3622,0.5316208333333333,0.21052631578947367,0.25,0.12,0.84,0.8,7.0,5.0,5.0,3.0,3.0,,4.0,2.0,4.0,5.0,,9.0,8.0,4.0,5.0,,2.0,,1.0,1.0,1.0,1.0,,,0.4444444444444444,1.0,1.0,1.0,0.25,,,1.0,1.0,,,0.2,0.2,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-2565-361,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Zoran Planinic, Clifford Robinson","Wright, Vaughn, Jackson, Planinic, Robinson",101120-1521-1531-2565-361,NJN,201.0,1,3.0,-1.0,5.0,5.0,10.0,,,,1.0,1.0,3.0,1.0,3.0,,1.0,,,,,1.0,1.0,2.0,,,1.0,1.0,,,0.3333333333333333,0.25,0.3,0.25,1.0,1.0,,71.64179104477611,20.2,20.0,20.2,20.0,,,,,,0.25,0.75,0.4922375,5.066666666666666,24.3,5.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,2.0,1.0,3.0,3.0,2.0,2.0,,1.0,1.0,2.0,1.0,3.0,5.0,1.0,0.3333333333333333,1.0,0.25,1.0,0.3,0.5,0.3333333333333333,,,0.5,0.5,0.5,,0.25,1.0,1.0,0.5,0.5,0.5813,0.4922375,0.2,0.25,0.6666666666666666,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1531-2565-441,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Zoran Planinic, Lamond Murray","Wright, Vaughn, Jackson, Planinic, Murray",101120-1521-1531-2565-441,NJN,261.0,1,4.0,7.0,9.0,9.0,18.0,1.0,1.0,,,3.0,3.0,,12.0,4.0,,2.0,2.0,1.0,4.0,3.0,5.0,5.0,,,5.0,12.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7857142857142857,,1.0,1.0,,99.31034482758622,9.11111111111111,19.88888888888889,9.11111111111111,18.11111111111111,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,0.4818,10.066666666666666,,9.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,6.0,5.0,,,,,3.0,3.0,12.0,2.0,,1.0,,,9.0,1.0,12.0,9.0,,1.0,,1.0,,0.7857142857142857,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,1.0,,0.4818,0.25,0.25,,1.0,1.0,6.0,3.0,3.0,,,,,1.0,,2.0,,2.0,2.0,,4.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
