EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Arc3Frequency,PenaltyArc3Frequency,AtRimFGM,AtRimFGA,FG2M,FtPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefTwoPtRebounds,DefRebounds,FTA,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyFtPoints,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,PenaltyFg2Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeFGA,ShortMidRangeAssists,Offensive Fouls Drawn,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeAssists,DefLongMidRangeReboundPct,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Steals,LostBallSteals,DefShortMidRangeReboundPct,FTOffRebounds,FTDefRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffFTReboundPct,Loose Ball Fouls Drawn,BlockedAtRim,BlockedLongMidRange,3SecondViolations,AtRimPctBlocked,LostBallTurnovers,PenaltyTurnovers,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,RecoveredBlocks,SecondChanceFg3Pct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls,LongMidRangePctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Loose Ball Fouls,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,PenaltyArc3FGM,HeaveMakes,HeaveAttempts,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101185-1496-1717-1891-956,1610612742,"Rawle Marshall, Keith Van Horn, Dirk Nowitzki, Jason Terry, Erick Dampier","Marshall, Van Horn, Nowitzki, Terry, Dampier",101185-1496-1717-1891-956,DAL,62.0,1,1.0,-4.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,92.9032258064516,17.5,13.5,17.5,13.5,1.0,0.4249,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-1717-2205-2734,1610612742,"Rawle Marshall, Keith Van Horn, Dirk Nowitzki, DeSagana Diop, Devin Harris","Marshall, Van Horn, Nowitzki, Diop, Harris",101185-1496-1717-2205-2734,DAL,30.0,1,,3.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,96.0,26.0,4.0,26.0,4.0,,0.51555,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51555,1.0,22.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-1891-2205-353,1610612742,"Rawle Marshall, Keith Van Horn, Jason Terry, DeSagana Diop, Darrell Armstrong","Marshall, Van Horn, Terry, Diop, Armstrong",101185-1496-1891-2205-353,DAL,1.0,1,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1440.0,1.0,,1.0,,,0.29715,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,0.29715,,27.1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-1891-2572-956,1610612742,"Rawle Marshall, Keith Van Horn, Jason Terry, Josh Howard, Erick Dampier","Marshall, Van Horn, Terry, Howard, Dampier",101185-1496-1891-2572-956,DAL,50.0,1,1.0,3.0,1.0,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,57.599999999999994,29.0,21.0,29.0,21.0,,0.5722,,,,,,,,,3.0,,,,,,1.0,,2.0,3.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-2572-353-956,1610612742,"Rawle Marshall, Keith Van Horn, Josh Howard, Darrell Armstrong, Erick Dampier","Marshall, Van Horn, Howard, Armstrong, Dampier",101185-1496-2572-353-956,DAL,5.0,1,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,288.0,4.0,,4.0,,,,,1.0,,,,,,,2.0,,,2.0,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-2605-2694-353,1610612742,"Rawle Marshall, Keith Van Horn, Marquis Daniels, Josh Powell, Darrell Armstrong","Marshall, Van Horn, Daniels, Powell, Armstrong",101185-1496-2605-2694-353,DAL,19.0,1,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,75.78947368421053,11.0,,11.0,,1.0,0.2748,7.8,1.0,,,,,,,3.0,,,3.0,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,1.5,1.5,,,,,,,,,0.2748,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-2605-353-956,1610612742,"Rawle Marshall, Keith Van Horn, Marquis Daniels, Darrell Armstrong, Erick Dampier","Marshall, Van Horn, Daniels, Armstrong, Dampier",101185-1496-2605-353-956,DAL,18.0,1,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,160.0,15.0,3.0,15.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-2605-711-956,1610612742,"Rawle Marshall, Keith Van Horn, Marquis Daniels, Jerry Stackhouse, Erick Dampier","Marshall, Van Horn, Daniels, Stackhouse, Dampier",101185-1496-2605-711-956,DAL,76.0,1,1.0,1.0,2.0,2.0,,1.0,4.0,,3.0,4.0,,2.0,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,75.78947368421053,17.5,20.5,16.0,20.5,,0.64125,1.0999999999999999,,,,,,1.0,1.0,5.0,,,,3.0,1.0,1.0,,3.0,3.0,,,1.0,1.0,,1.0,0.625,,0.625,,0.25,,,,,,,1.0,,,25.4,,1.0,,1.0,0.25,,1.0,3.0,1.0,,,,,,,,,,,0.3333333333333333,,,,0.75,0.3333333333333333,0.3333333333333333,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.6023,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-2694-2734-2788,1610612742,"Rawle Marshall, Keith Van Horn, Josh Powell, Devin Harris, DJ Mbenga","Marshall, Van Horn, Powell, Harris, Mbenga",101185-1496-2694-2734-2788,DAL,60.0,1,1.0,5.0,2.0,2.0,2.0,,4.0,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,96.0,14.5,15.5,14.5,15.5,0.5,0.3635,11.5,,,,,,,,5.0,,,,,,1.0,,2.0,5.0,,,,,,,1.0,,1.25,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,,,1.0,,0.5,0.5,1.0,,,,,,,,,1.0,0.5,0.5,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
101185-1496-2694-2788-353,1610612742,"Rawle Marshall, Keith Van Horn, Josh Powell, DJ Mbenga, Darrell Armstrong","Marshall, Van Horn, Powell, Mbenga, Armstrong",101185-1496-2694-2788-353,DAL,107.0,1,2.0,6.0,3.0,3.0,,,6.0,,3.0,,,,,2.0,,,,,,,,,1.0,,,,,,,80.74766355140187,13.666666666666666,22.0,13.666666666666666,20.666666666666668,,0.4709666666666667,5.533333333333334,3.0,,,,,,,6.0,,,6.0,,,1.0,,2.0,6.0,6.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,0.6666666666666666,0.4709666666666667,1.0,,1.0,,,,,,2.0,2.0,3.0,,2.0,1.0,,2.0,2.0,,,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,1.0,1.0,,,,,,,3.0,3.0,4.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,0.3333333333333333,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2006,2005-06,True
