EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,Steals,LostBallSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Corner3Assists,OffThreePtRebounds,OffRebounds,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,BadPassSteals,BadPassTurnovers,Travels,Loose Ball Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,SecondChanceFG3A,PtsPutbacks,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,AtRimAssists,ShortMidRangeAssists,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceTurnovers,AtRimPctBlocked,BlockedAtRim,Offensive Fouls,OffLongMidRangeReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFtPoints,SelfOReb,SecondChanceFg3Pct,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,Loose Ball Fouls Drawn,PenaltyFg3Pct,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,DefensiveGoaltends,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedCorner3,BlockedLongMidRange,StepOutOfBoundsTurnovers,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1000-101134-1507-1720-56,1610612748,"Shandon Anderson, Wayne Simien, Derek Anderson, Michael Doleac, Gary Payton","Anderson, Simien, Anderson, Doleac, Payton",1000-101134-1507-1720-56,MIA,170.0,1,3.0,-2.0,5.0,6.0,5.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.375,0.375,0.3333333333333333,1.0,1.0,1.0,1.0,93.17647058823529,16.4,14.666666666666666,16.4,14.666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3871833333333334,0.3871833333333334,0.25,0.3333333333333333,1.0,17.1,24.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1507-297-56-952,1610612748,"Shandon Anderson, Derek Anderson, Alonzo Mourning, Gary Payton, Antoine Walker","Anderson, Anderson, Mourning, Payton, Walker",1000-1507-297-56-952,MIA,163.0,1,3.0,4.0,6.0,6.0,2.0,,12.0,,1.0,1.0,3.0,1.0,,2.0,3.0,2.0,8.0,4.0,,1.0,1.0,,,,3.0,1.0,3.0,3.0,,,,,1.0,2.0,1.0,8.0,,2.0,,,0.6,,0.6666666666666666,,0.6,1.0,1.0,,1.0,106.0122699386503,9.5,17.666666666666668,9.5,17.666666666666668,0.2,,,0.2,0.6,0.5,0.6,0.46816,0.3898,0.16666666666666666,0.3333333333333333,,10.45,25.433333333333334,0.3333333333333333,2.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1720-2548-952,1610612748,"Shandon Anderson, Jason Williams, Michael Doleac, Dwyane Wade, Antoine Walker","Anderson, Williams, Doleac, Wade, Walker",1000-1715-1720-2548-952,MIA,181.0,2,3.0,,9.0,9.0,2.0,7.0,18.0,,,2.0,1.0,,3.0,4.0,3.0,4.0,13.0,13.0,1.0,1.0,,2.0,4.0,6.0,1.0,,,1.0,,,1.0,,3.0,4.0,,11.0,4.0,2.0,0.75,1.0,0.6428571428571429,1.0,0.7222222222222222,1.0,0.42857142857142855,,,,,143.20441988950276,11.666666666666666,8.444444444444445,11.333333333333334,8.444444444444445,,,,0.2857142857142857,0.14285714285714285,,0.7142857142857143,0.5187714285714286,0.4049,,,0.3076923076923077,8.225,24.166666666666668,0.2222222222222222,,1.0,3.0,,,1.0,1.0,,3.0,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1720-56-952,1610612748,"Shandon Anderson, Jason Williams, Michael Doleac, Gary Payton, Antoine Walker","Anderson, Williams, Doleac, Payton, Walker",1000-1715-1720-56-952,MIA,40.0,1,1.0,,2.0,1.0,2.0,1.0,3.0,,,1.0,,,1.0,2.0,,,2.0,2.0,1.0,2.0,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,108.0,10.0,20.0,10.0,20.0,,,,0.5,,,0.5,0.43855,0.43855,,,1.0,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1899-2548-406,1610612748,"Shandon Anderson, Jason Williams, James Posey, Dwyane Wade, Shaquille O'Neal","Anderson, Williams, Posey, Wade, O'Neal",1000-1715-1899-2548-406,MIA,409.0,2,7.0,-11.0,13.0,13.0,5.0,9.0,26.0,,1.0,6.0,2.0,1.0,5.0,10.0,2.0,,10.0,21.0,2.0,5.0,1.0,,4.0,8.0,2.0,1.0,2.0,3.0,,1.0,2.0,,1.0,,,8.0,4.0,5.0,0.5,0.4,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,,,91.54034229828851,16.076923076923077,15.384615384615385,15.615384615384615,13.538461538461538,0.08333333333333333,,,0.5,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.4719,0.47475833333333334,,,0.4,10.23,24.9,0.38461538461538464,,,,,1.0,,1.0,,2.0,,1.0,,,,,0.1,1.0,,,,,,,,1.0,3.0,3.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,,1.0,1.0,,2.0,4.0,,,1.0,,1.0,1.0,1.0,0.5,,0.14285714285714285,,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,0.2,2.0,2.0,0.3333333333333333,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.2,1.0,1.0,0.5,0.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1899-2548-952,1610612748,"Shandon Anderson, Jason Williams, James Posey, Dwyane Wade, Antoine Walker","Anderson, Williams, Posey, Wade, Walker",1000-1715-1899-2548-952,MIA,5.0,1,,-4.0,1.0,2.0,1.0,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,864.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1899-2617-56,1610612748,"Shandon Anderson, Jason Williams, James Posey, Udonis Haslem, Gary Payton","Anderson, Williams, Posey, Haslem, Payton",1000-1715-1899-2617-56,MIA,11.0,1,,2.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,2.0,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,130.9090909090909,11.0,,11.0,,,,,,,,1.0,0.2714,0.2714,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1899-2617-952,1610612748,"Shandon Anderson, Jason Williams, James Posey, Udonis Haslem, Antoine Walker","Anderson, Williams, Posey, Haslem, Walker",1000-1715-1899-2617-952,MIA,105.0,1,2.0,-1.0,3.0,3.0,,3.0,6.0,,1.0,,1.0,,1.0,4.0,2.0,,2.0,3.0,,,,,,2.0,1.0,,1.0,4.0,,,,,,,,,,,0.25,,0.16666666666666666,,0.16666666666666666,,0.3333333333333333,,1.0,,,82.28571428571429,14.0,21.0,6.333333333333333,21.0,0.16666666666666666,,,,0.16666666666666666,,0.8333333333333334,0.48901666666666666,,,,,2.075,24.35,,,,,,1.0,,,,,1.0,,,,,,0.25,1.0,1.0,1.0,,,,,,2.0,1.0,3.0,1.0,2.0,,,1.0,1.0,3.0,2.0,,1.0,3.0,,,,,,,,,0.3333333333333333,0.25,0.25,,0.5,0.6,,0.5,0.3333333333333333,0.3333333333333333,,,0.16666666666666666,,,,0.5,0.5,1.0,,,,,,,,2.0,,,,,,,,,0.6666666666666666,1.0,,,0.48936666666666667,1.0,1.0,2.0,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1899-297-56,1610612748,"Shandon Anderson, Jason Williams, James Posey, Alonzo Mourning, Gary Payton","Anderson, Williams, Posey, Mourning, Payton",1000-1715-1899-297-56,MIA,18.0,1,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,160.0,17.0,1.0,17.0,1.0,,,,,1.0,1.0,1.0,0.44925,0.44925,,,,,24.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
1000-1715-1899-406-56,1610612748,"Shandon Anderson, Jason Williams, James Posey, Shaquille O'Neal, Gary Payton","Anderson, Williams, Posey, O'Neal, Payton",1000-1715-1899-406-56,MIA,272.0,2,5.0,1.0,8.0,9.0,1.0,1.0,17.0,1.0,3.0,,,,3.0,5.0,1.0,3.0,9.0,8.0,1.0,1.0,,,2.0,2.0,,3.0,5.0,5.0,,1.0,1.0,,5.0,5.0,2.0,9.0,2.0,1.0,0.6,1.0,0.5,1.0,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,,90.0,17.5,14.666666666666666,17.5,14.666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,,0.5,0.47644166666666665,0.6119,0.2857142857142857,0.3333333333333333,0.2222222222222222,4.720000000000001,23.8,0.125,,,,,,,2.0,,4.0,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,,,0.16666666666666666,,,,,,,1.0,1.0,1.0,1.0,4.0,2.0,,,2.0,1.0,,1.0,,0.6666666666666666,0.6666666666666666,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2006,2005-06,True
