EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,Arc3FGA,FG2M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimAssists,SelfOReb,LostBallTurnovers,2pt And 1 Free Throw Trips,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,PenaltyDefPoss,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,NonHeaveArc3FGM,Arc3Assists,DefThreePtRebounds,LostBallSteals,DefThreePtReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,PtsUnassisted3s,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefArc3ReboundPct,OffCorner3ReboundPct,AtRimPctBlocked,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Loose Ball Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,Technical Free Throw Trips,BlockedLongMidRange,ShortMidRangeAssists,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,Loose Ball Fouls,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls,3SecondViolations,HeaveAttempts,LongMidRangePctBlocked,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101154-101182-1088-2041-2406,1610612764,"Andray Blatche, Donell Taylor, Chucky Atkins, Etan Thomas, Caron Butler","Blatche, Taylor, Atkins, Thomas, Butler",101154-101182-1088-2041-2406,WAS,87.0,1,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,0.5,0.5,1.0,1.0,1.0,99.3103448275862,9.0,20.0,9.0,20.0,1.0,0.4221,0.4221,0.5,0.5,1.0,22.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1712-1916,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Calvin Booth","Blatche, Taylor, Daniels, Jamison, Booth",101154-101182-1498-1712-1916,WAS,171.0,1,3.0,-3.0,4.0,4.0,,8.0,1.0,3.0,,4.0,7.0,,,,,,1.0,,1.0,2.0,,,,2.0,,,,0.4,,,,,67.36842105263158,22.25,20.5,21.75,20.5,0.2,0.47641,,,,,7.233333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.4,1.0,1.0,0.4,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.2,1.0,1.0,0.6,0.651,0.5,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1712-2041,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Etan Thomas","Blatche, Taylor, Daniels, Jamison, Thomas",101154-101182-1498-1712-2041,WAS,474.0,2,8.0,-3.0,14.0,14.0,6.0,28.0,4.0,6.0,6.0,13.0,16.0,4.0,,7.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,3.0,,13.0,7.0,6.0,,0.5909090909090909,0.7,0.3333333333333333,0.3333333333333333,,85.0632911392405,17.714285714285715,16.142857142857142,17.714285714285715,14.071428571428571,0.5,0.44100625,0.45047,0.2727272727272727,0.3333333333333333,0.5384615384615384,15.1,0.42857142857142855,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,2.0,,1.0,,,1.0,2.0,1.0,5.0,,,2.0,0.5,0.5,0.3333333333333333,,0.4375,,,0.25,,,,,,,,0.125,1.0,1.0,0.125,0.25,0.25,1.0,0.125,0.125,,,0.375,,,24.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.7,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1712-2217,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Brendan Haywood","Blatche, Taylor, Daniels, Jamison, Haywood",101154-101182-1498-1712-2217,WAS,304.0,1,5.0,2.0,6.0,9.0,3.0,15.0,3.0,7.0,2.0,11.0,9.0,3.0,,5.0,3.0,3.0,7.0,,1.0,5.0,7.0,4.0,,7.0,5.0,3.0,,0.5,0.5,0.6,0.6,,71.05263157894737,28.0,15.11111111111111,27.0,13.11111111111111,0.375,0.50594375,0.4928875,0.36363636363636365,0.4,0.45454545454545453,7.714285714285714,0.5,2.0,3.0,4.0,2.0,2.0,,,1.0,,3.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,,,,1.0,2.0,,5.0,4.0,4.0,1.0,0.3333333333333333,1.0,0.42857142857142855,0.6666666666666666,0.5625,0.6666666666666666,0.5,0.125,,,,,1.0,1.0,,0.5,0.75,0.75,,,,,0.125,,0.6666666666666666,1.0,0.625,0.5408333333333334,0.36363636363636365,23.3,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,1.0,1.0,1.0,,1.0,1.0,1.0,0.5,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1712-2240,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Gilbert Arenas","Blatche, Taylor, Daniels, Jamison, Arenas",101154-101182-1498-1712-2240,WAS,202.0,1,3.0,10.0,7.0,7.0,7.0,14.0,,3.0,1.0,19.0,9.0,3.0,1.0,19.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,19.0,19.0,7.0,,1.3571428571428572,1.3571428571428572,0.5,0.6666666666666666,,99.8019801980198,8.0,20.857142857142858,8.0,19.142857142857142,,0.5367214285714286,0.5367214285714286,0.14285714285714285,0.3333333333333333,1.0,,1.0,,3.0,3.0,,,,,2.0,2.0,3.0,4.0,,,,4.0,2.0,,2.0,,,2.0,6.0,,16.0,,,,0.6666666666666666,0.6666666666666666,1.0,,1.2857142857142858,,,0.5714285714285714,,,,,,,,0.42857142857142855,1.0,1.0,,,,,0.2857142857142857,0.2857142857142857,,,1.0,,,24.075,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,12.0,4.0,2.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.2857142857142858,,,0.5,,1.0,1.0,1.0,0.42857142857142855,1.0,0.2857142857142857,1.0,2.0,,,1.0,,,,0.6666666666666666,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1712-2406,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Caron Butler","Blatche, Taylor, Daniels, Jamison, Butler",101154-101182-1498-1712-2406,WAS,12.0,1,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,120.0,12.0,,12.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1712-2407,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Jared Jeffries","Blatche, Taylor, Daniels, Jamison, Jeffries",101154-101182-1498-1712-2407,WAS,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1913-1916,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Calvin Booth","Blatche, Taylor, Daniels, Ruffin, Booth",101154-101182-1498-1913-1916,WAS,47.0,1,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,61.276595744680854,23.0,24.0,20.0,24.0,0.5,0.48395,0.48395,,,,9.15,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.5,0.5,,0.5,,,,,,,,,1.0,,0.5,0.5984,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1913-2041,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Etan Thomas","Blatche, Taylor, Daniels, Ruffin, Thomas",101154-101182-1498-1913-2041,WAS,71.0,2,1.0,-1.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,,0.25,,,,,101.40845070422534,16.333333333333332,11.0,16.333333333333332,11.0,1.0,0.3632,,0.5,0.5,,20.1,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
101154-101182-1498-1913-2217,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Brendan Haywood","Blatche, Taylor, Daniels, Ruffin, Haywood",101154-101182-1498-1913-2217,WAS,459.0,2,8.0,3.0,15.0,15.0,15.0,30.0,2.0,7.0,3.0,19.0,16.0,7.0,3.0,19.0,2.0,3.0,7.0,3.0,8.0,2.0,4.0,2.0,,15.0,19.0,15.0,,0.7307692307692307,0.7307692307692307,0.3333333333333333,0.3333333333333333,,94.11764705882352,15.2,15.4,14.2,14.266666666666667,0.18181818181818182,0.5346909090909091,0.5346909090909091,0.15384615384615385,0.2222222222222222,1.0,7.028571428571429,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,,4.0,5.0,4.0,2.0,3.0,4.0,4.0,6.0,4.0,4.0,,,2.0,3.0,,7.0,1.0,4.0,,0.4,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.36363636363636365,,,,,0.5,0.75,,0.36363636363636365,1.0,1.0,0.09090909090909091,,,,,0.36363636363636365,0.3333333333333333,1.0,0.7272727272727273,0.42715,0.21052631578947367,25.45,4.0,4.0,,,,2.0,5.0,2.0,4.0,3.0,1.0,,5.0,2.0,2.0,,3.0,5.0,5.0,3.0,2.0,3.0,,0.5,0.5,0.5,0.5,0.7142857142857143,0.7272727272727273,0.4,,0.6666666666666666,,,,,0.36363636363636365,1.0,,,2.0,,2.0,,,0.5,,0.5,13.0,2.0,2.0,4.0,2.0,1.0,,3.0,,,0.5,0.5,0.5,0.36363636363636365,0.5,0.5,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,False
