EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,PlusMinus,OffPoss,PenaltyOffPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,Steals,LostBallSteals,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,DefTwoPtRebounds,BadPassSteals,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,AtRimAssists,OffTwoPtRebounds,OffRebounds,Travels,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,OffAtRimReboundPct,OffLongMidRangeReboundPct,Corner3FGM,Fg2aBlocked,Corner3Assists,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SelfOReb,SelfORebPct,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,ShortMidRangePctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceAtRimPctAssisted,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,BlockedCorner3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,3SecondViolations,team_id,year,season,team_vs
1716-1800-2400-2436-923,1610612739,"Larry Hughes, Damon Jones, Drew Gooden, Flip Murray, Donyell Marshall","Hughes, Jones, Gooden, Murray, Marshall",1716-1800-2400-2436-923,CLE,17.0,1,1.0,1.0,1.0,84.70588235294117,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2400-2544-2760,1610612739,"Larry Hughes, Damon Jones, Drew Gooden, LeBron James, Anderson Varejao","Hughes, Jones, Gooden, James, Varejao",1716-1800-2400-2544-2760,CLE,10.0,1,1.0,1.0,3.0,432.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2400-2544-923,1610612739,"Larry Hughes, Damon Jones, Drew Gooden, LeBron James, Donyell Marshall","Hughes, Jones, Gooden, James, Marshall",1716-1800-2400-2544-923,CLE,288.0,2,11.0,9.0,22.0,110.0,9.818181818181818,8.727272727272727,-5.0,11.0,11.0,3.0,8.0,3.0,8.0,,,3.0,3.0,1.0,8.0,8.0,11.0,1.0,0.4444444444444444,0.4444444444444444,16.363636363636363,16.363636363636363,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,13.0,1.0,5.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.3125,0.3125,0.375,1.0,0.8,1.0,1.0,0.125,1.0,1.0,0.25,0.25,0.125,0.25,0.5,0.5,1.0,0.125,1.0,0.125,0.25,0.5,0.5,0.5,0.41108125,0.41108125,0.125,0.2,11.9,25.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2400-2544-980,1610612739,"Larry Hughes, Damon Jones, Drew Gooden, LeBron James, Zydrunas Ilgauskas","Hughes, Jones, Gooden, James, Ilgauskas",1716-1800-2400-2544-980,CLE,273.0,2,7.0,2.0,14.0,73.84615384615385,21.428571428571427,15.428571428571429,2.0,7.0,,3.0,10.0,,,1.0,,1.0,3.0,,10.0,,,,0.75,,17.571428571428573,17.571428571428573,,,5.0,,,,,,3.0,,,1.0,2.0,,,2.0,3.0,1.0,2.0,8.0,,,,,,3.0,2.0,1.0,1.0,3.0,1.0,7.0,,1.0,1.0,1.0,1.0,,1.0,5.0,1.0,,,1.0,1.0,0.5,,0.5,0.6666666666666666,,0.7,,0.4,,0.25,,,,,,,0.6,,0.4,0.5,0.5,1.0,,,,,,0.4,0.5,0.43728999999999996,,0.16666666666666666,0.25,18.466666666666665,25.7,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2436-2544-923,1610612739,"Larry Hughes, Damon Jones, Flip Murray, LeBron James, Donyell Marshall","Hughes, Jones, Murray, James, Marshall",1716-1800-2436-2544-923,CLE,194.0,3,7.0,1.0,14.0,103.91752577319588,13.285714285714286,13.285714285714286,,7.0,1.0,4.0,11.0,,,,,4.0,4.0,,9.0,,1.0,,0.6875,,14.428571428571429,14.285714285714286,,0.14285714285714285,3.0,2.0,2.0,,,1.0,,,,1.0,3.0,,2.0,2.0,3.0,1.0,3.0,11.0,,,,2.0,2.0,,2.0,1.0,,1.0,,2.0,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,2.0,,0.3333333333333333,,0.5,0.6666666666666666,,0.5833333333333334,,0.5,,1.0,,,0.3333333333333333,1.0,1.0,0.16666666666666666,,,0.5,0.3333333333333333,0.3333333333333333,,,,,1.0,,0.8333333333333334,0.5,0.42074,0.291,0.25,0.4,4.133333333333334,37.6,,2.0,1.0,,1.0,,,0.5,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5278,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2436-2544-980,1610612739,"Larry Hughes, Damon Jones, Flip Murray, LeBron James, Zydrunas Ilgauskas","Hughes, Jones, Murray, James, Ilgauskas",1716-1800-2436-2544-980,CLE,254.0,1,10.0,10.0,19.0,107.71653543307086,12.3,12.3,,9.0,4.0,5.0,10.0,4.0,9.0,1.0,1.0,6.0,6.0,2.0,7.0,9.0,4.0,2.0,0.5,0.75,14.555555555555555,14.222222222222221,0.9,0.4444444444444444,4.0,,2.0,,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,10.0,1.0,3.0,1.0,1.0,2.0,,2.0,1.0,,,,,1.0,1.0,4.0,2.0,2.0,,2.0,3.0,1.0,3.0,,1.0,,0.5,1.0,0.5,0.2,0.3333333333333333,0.35714285714285715,0.625,0.2857142857142857,1.0,1.0,,1.0,0.2857142857142857,,,0.14285714285714285,0.2857142857142857,,0.2857142857142857,0.5,0.5,,0.25,,,0.25,1.0,0.5714285714285714,0.5,0.45190714285714284,0.47495,0.125,0.16666666666666666,9.08,25.55,1.0,,,,,,,,,,,0.5,0.5,,2.0,,1.0,,1.0,3.0,3.0,,,,3.0,3.0,,,,0.5,0.75,0.6,1.0,,,1.0,,0.6303,0.3,3.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2436-2760-673,1610612739,"Larry Hughes, Damon Jones, Flip Murray, Anderson Varejao, Alan Henderson","Hughes, Jones, Murray, Varejao, Henderson",1716-1800-2436-2760-673,CLE,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2436-2760-923,1610612739,"Larry Hughes, Damon Jones, Flip Murray, Anderson Varejao, Donyell Marshall","Hughes, Jones, Murray, Varejao, Marshall",1716-1800-2436-2760-923,CLE,190.0,1,7.0,,13.0,98.52631578947368,13.857142857142858,13.857142857142858,1.0,6.0,,,7.0,,,,,1.0,,,3.0,,,,0.4375,,15.5,14.166666666666666,,,3.0,1.0,2.0,,,1.0,4.0,1.0,,,,,,2.0,7.0,1.0,1.0,6.0,,,,,2.0,3.0,,,1.0,2.0,,5.0,,4.0,6.0,,,,,1.0,,,,,1.0,1.0,,1.0,0.2857142857142857,,0.4375,,0.125,,1.0,,,0.25,0.5,1.0,0.125,0.5,0.125,,,,,,,,,,0.375,,0.463575,,,,11.228571428571428,23.7,1.0,2.0,1.0,1.0,4.0,,,0.5,0.5,1.0,1.0,0.25,0.25,1.0,2.0,1.0,1.0,2.0,2.0,4.0,,,,,2.0,2.0,,1.0,1.0,1.0,0.4,0.4,,1.0,,0.5,1.0,0.5119,0.5714285714285714,,,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.14285714285714285,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2544-2760-727,1610612739,"Larry Hughes, Damon Jones, LeBron James, Anderson Varejao, Eric Snow","Hughes, Jones, James, Varejao, Snow",1716-1800-2544-2760-727,CLE,40.0,1,1.0,1.0,3.0,108.0,16.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,2.0,1.0,,2.0,2.0,1.0,0.5,0.5,12.0,11.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0.3236,0.3236,,,17.7,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,2.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
1716-1800-2544-2760-923,1610612739,"Larry Hughes, Damon Jones, LeBron James, Anderson Varejao, Donyell Marshall","Hughes, Jones, James, Varejao, Marshall",1716-1800-2544-2760-923,CLE,1011.0,2,28.0,5.0,55.0,78.33827893175074,16.25,14.892857142857142,-3.0,27.0,3.0,1.0,27.0,1.0,7.0,,,9.0,6.0,1.0,17.0,7.0,3.0,1.0,0.43548387096774194,0.5833333333333334,20.59259259259259,18.333333333333332,0.25925925925925924,0.1111111111111111,17.0,8.0,12.0,2.0,2.0,4.0,6.0,1.0,,1.0,5.0,,1.0,10.0,22.0,2.0,6.0,30.0,3.0,3.0,,1.0,12.0,6.0,5.0,1.0,2.0,6.0,1.0,14.0,4.0,12.0,20.0,2.0,5.0,,1.0,7.0,,2.0,,2.0,1.0,0.3333333333333333,,0.3333333333333333,0.45454545454545453,1.0,0.4642857142857143,0.75,0.21428571428571427,0.5714285714285714,0.625,0.5,0.6,0.42857142857142855,0.6666666666666666,0.7272727272727273,0.14285714285714285,0.21428571428571427,0.03571428571428571,0.17857142857142858,0.2,0.2,1.0,0.5,1.0,,0.25,,0.6428571428571429,0.2,0.46792500000000004,0.4545375,0.06666666666666667,0.08333333333333333,6.531818181818181,25.150000000000002,1.0,8.0,4.0,,6.0,,,0.4,0.5714285714285714,0.6666666666666666,,0.16666666666666666,0.16666666666666666,,8.0,5.0,6.0,5.0,7.0,10.0,,6.0,,3.0,6.0,8.0,,0.7142857142857143,0.625,0.625,0.5,0.4375,1.0,0.5,0.375,0.75,0.8333333333333334,0.5050357142857143,0.37037037037037035,,,,0.5,0.2,1.0,1.0,1.0,,,,,,0.045454545454545456,0.08333333333333333,1.0,,1.0,1.0,1.0,2.0,0.13333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,0.6,1.0,0.5,0.25,0.25,0.25,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,True
