EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,ShortMidRangeFGA,FtPoints,OpponentPoints,PenaltyFtPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DeadBallTurnovers,Loose Ball Fouls,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,DefArc3ReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,OffCorner3ReboundPct,SecondChanceCorner3FGA,Arc3FGM,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,FTOffRebounds,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,OffFTReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,PenaltyArc3FGM,Fg2aBlocked,SecondChanceTurnovers,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,OffAtRimReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedAtRim,3SecondViolations,OffShortMidRangeReboundPct,LostBallSteals,Travels,ThreePtShootingFoulsDrawn,RecoveredBlocks,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SelfOReb,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,Loose Ball Fouls Drawn,PtsPutbacks,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,PtsUnassisted3s,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,StepOutOfBoundsTurnovers,BlockedLongMidRange,team_id,year,season,team_vs
101120-1519-1521-1713-2420,1610612751,"Antoine Wright, John Thomas, Jacque Vaughn, Vince Carter, Nenad Krstic","Wright, Thomas, Vaughn, Carter, Krstic",101120-1519-1521-1713-2420,NJN,9.0,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0,7.0,7.0,1.0,1.0,1.0,0.2584,0.2584,1.0,20.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1519-1521-1909-2565,1610612751,"Antoine Wright, John Thomas, Jacque Vaughn, Scott Padgett, Zoran Planinic","Wright, Thomas, Vaughn, Padgett, Planinic",101120-1519-1521-1909-2565,NJN,117.0,1,-5.0,5.0,5.0,10,,,,2.0,1.0,,2.0,1.0,,1.0,1.0,5.0,,,,,0.16666666666666666,0.16666666666666666,123.07692307692308,16.6,16.6,,,,0.31005,0.31005,1.0,11.2,1.0,2.0,5.0,5.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.8,6.8,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1519-1521-1909-441,1610612751,"Antoine Wright, John Thomas, Jacque Vaughn, Scott Padgett, Lamond Murray","Wright, Thomas, Vaughn, Padgett, Murray",101120-1519-1521-1909-441,NJN,185.0,1,-1.0,4.0,4.0,8,,1.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,4.0,,,,,0.3333333333333333,0.3333333333333333,62.27027027027027,20.25,20.25,0.5,,,0.33745,0.33745,1.0,13.5,1.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,,2.0,,2.0,2.0,,,1.0,1.0,,2.0,1.0,2.0,1.0,2.0,,,0.4,,0.4,,,26.0,20.25,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1519-1909-2565-441,1610612751,"Antoine Wright, John Thomas, Scott Padgett, Zoran Planinic, Lamond Murray","Wright, Thomas, Padgett, Planinic, Murray",101120-1519-1909-2565-441,NJN,175.0,1,-1.0,4.0,4.0,9,,1.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,74.05714285714286,24.0,20.5,0.3333333333333333,,,0.5017,0.5017,1.0,6.0,1.0,3.0,5.0,5.0,,,5.0,,,2.0,,2.0,3.0,2.0,1.0,2.0,2.0,,,1.0,,,,1.0,,0.6666666666666666,,0.6666666666666666,,,15.8,15.4,,,,,,0.5,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5987,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-1909-2411-2565,1610612751,"Antoine Wright, Jacque Vaughn, Scott Padgett, Bostjan Nachbar, Zoran Planinic","Wright, Vaughn, Padgett, Nachbar, Planinic",101120-1521-1909-2411-2565,NJN,45.0,1,1.0,2.0,2.0,4,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,0.25,0.25,128.0,8.0,8.0,,,,0.36465,0.36465,1.0,,1.0,1.0,2.0,2.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,14.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-2210-361-441,1610612751,"Antoine Wright, Jacque Vaughn, Richard Jefferson, Clifford Robinson, Lamond Murray","Wright, Vaughn, Jefferson, Robinson, Murray",101120-1521-2210-361-441,NJN,23.0,1,,1.0,1.0,2,,,,1.0,,,1.0,,,,,1.0,,,,,,,125.21739130434781,23.0,23.0,,,,0.2678,0.2678,,7.7,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
101120-1521-2215-361-441,1610612751,"Antoine Wright, Jacque Vaughn, Jason Collins, Clifford Robinson, Lamond Murray","Wright, Vaughn, Collins, Robinson, Murray",101120-1521-2215-361-441,NJN,41.0,1,,1.0,1.0,3,,,,1.0,,,1.0,,,,,1.0,,,,,,,105.36585365853658,15.0,15.0,,,,0.3774,0.3774,,11.6,1.0,1.0,2.0,2.0,1.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,13.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
1519-1521-1713-1909-441,1610612751,"John Thomas, Jacque Vaughn, Vince Carter, Scott Padgett, Lamond Murray","Thomas, Vaughn, Carter, Padgett, Murray",1519-1521-1713-1909-441,NJN,15.0,1,,1.0,1.0,1,,,,,,,,,,,,1.0,,,,,,,96.0,15.0,15.0,,,,0.36945,0.36945,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,24.7,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
1519-1521-1713-2210-2420,1610612751,"John Thomas, Jacque Vaughn, Vince Carter, Richard Jefferson, Nenad Krstic","Thomas, Vaughn, Carter, Jefferson, Krstic",1519-1521-1713-2210-2420,NJN,166.0,2,4.0,4.0,2.0,10,,,2.0,2.0,7.0,1.0,1.0,5.0,,7.0,5.0,2.0,1.0,1.0,0.875,0.8333333333333334,0.875,0.8333333333333334,86.74698795180723,20.0,20.0,,,,0.5251333333333333,0.62075,0.7142857142857143,3.1,0.5,3.0,6.0,5.0,1.0,,3.0,,,2.0,2.0,4.0,4.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,14.333333333333334,12.666666666666666,0.25,,,,,1.0,0.5,,1.0,1.0,,,1.0,1.0,,,,4.0,2.0,3.0,1.0,7.0,,,,,1.0,1.0,,,,,,,0.25,1.0,1.0,1.0,,,0.3333333333333333,1.0,0.75,,,1.0,1.0,2.0,2.0,,,,0.5,0.25,0.3333333333333333,32.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
1519-1521-1713-2210-361,1610612751,"John Thomas, Jacque Vaughn, Vince Carter, Richard Jefferson, Clifford Robinson","Thomas, Vaughn, Carter, Jefferson, Robinson",1519-1521-1713-2210-361,NJN,83.0,1,,3.0,2.0,6,,,,,3.0,,,2.0,,2.0,2.0,2.0,,,,,0.5,1.0,104.09638554216868,12.666666666666666,12.0,,,,0.55035,,0.6666666666666666,,0.6666666666666666,1.0,3.0,3.0,,3.0,3.0,2.0,,1.0,,1.0,2.0,,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,,1.0,,1.0,,,15.0,15.0,,0.5,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,0.5,,1.0,,,,,,,,,,1.0,,0.3333333333333333,,,1.0,,,1.0,1.0,1.0,,,23.7,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,True
