EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,LongMidRangeFGA,FG2A,PenaltyFG2A,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,Avg2ptShotDistance,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefAtRimReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,OffThreePtRebounds,DefThreePtRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,DefThreePtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,PtsAssisted2s,TwoPtAssists,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,AtRimPctAssisted,StepOutOfBoundsTurnovers,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Fg2aBlocked,LongMidRangeAssists,FTOffRebounds,3SecondViolations,FG2APctBlocked,LongMidRangePctBlocked,OffFTReboundPct,LongMidRangePctAssisted,HeaveAttempts,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,AtRimPctBlocked,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,BadPassSteals,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Loose Ball Fouls,ShortMidRangePctBlocked,Travels,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,OffArc3ReboundPct,BlockedLongMidRange,OffAtRimReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Corner3FGM,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Blocked3s,BlockedCorner3,BlockedShortMidRange,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,DefensiveGoaltends,PenaltyCorner3Accuracy,SelfOReb,SelfORebPct,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,Clear Path Fouls,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
101195-15-2124-2457-2768,1610612741,"Luke Schenscher, Eric Piatkowski, Malik Allen, Jannero Pargo, Chris Duhon","Schenscher, Piatkowski, Allen, Pargo, Duhon",101195-15-2124-2457-2768,CHI,33.0,1,1.0,1.0,2.0,1.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,130.9090909090909,19.0,7.0,19.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42555,0.42555,1.0,25.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-15-2457-2768-970,1610612741,"Luke Schenscher, Eric Piatkowski, Jannero Pargo, Chris Duhon, Othella Harrington","Schenscher, Piatkowski, Pargo, Duhon, Harrington",101195-15-2457-2768-970,CHI,88.0,1,1.0,3.0,2.0,3.0,2.0,5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,81.81818181818183,14.333333333333334,22.5,14.333333333333334,22.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.39565,0.39565,1.0,25.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-15-2550-2732-2736,1610612741,"Luke Schenscher, Eric Piatkowski, Kirk Hinrich, Ben Gordon, Luol Deng","Schenscher, Piatkowski, Hinrich, Gordon, Deng",101195-15-2550-2732-2736,CHI,25.0,1,,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,,15.0,,15.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-15-2550-2736-2768,1610612741,"Luke Schenscher, Eric Piatkowski, Kirk Hinrich, Luol Deng, Chris Duhon","Schenscher, Piatkowski, Hinrich, Deng, Duhon",101195-15-2550-2736-2768,CHI,194.0,1,3.0,7.0,7.0,7.0,4.0,14,,2.0,,2.0,,2.0,6.0,6.0,,2.0,6.0,,2.0,,,,,,4.0,6.0,7.0,,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.3333333333333333,103.91752577319588,15.714285714285714,12.0,15.285714285714286,12.0,0.3333333333333333,,,,0.3333333333333333,,0.5,,0.4434916666666667,0.4434916666666667,1.0,25.25,1.0,,2.0,4.0,4.0,,2.0,3.0,,,,0.3333333333333333,10.85,3.0,3.0,1.0,,0.16666666666666666,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.25,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,1.0,0.16666666666666666,1.0,0.3975,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-2124-2732-2736-2768,1610612741,"Luke Schenscher, Malik Allen, Ben Gordon, Luol Deng, Chris Duhon","Schenscher, Allen, Gordon, Deng, Duhon",101195-2124-2732-2736-2768,CHI,103.0,1,2.0,5.0,4.0,5.0,4.0,9,,,,,,1.0,2.0,2.0,,1.0,2.0,,,,,,,,2.0,2.0,5.0,,,,,,,0.3333333333333333,0.3333333333333333,0.5,125.8252427184466,11.0,12.0,10.8,12.0,,,,,,,0.5,,0.507925,0.507925,1.0,23.6,1.0,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,5.4,1.0,2.0,,,,,2.0,,,,,,,1.0,,,2.0,,,,,2.0,,,,,1.0,,2.0,,,1.0,1.0,,,,,,,,0.5,,,,,0.5,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-2457-2550-2736-2804,1610612741,"Luke Schenscher, Jannero Pargo, Kirk Hinrich, Luol Deng, Andres Nocioni","Schenscher, Pargo, Hinrich, Deng, Nocioni",101195-2457-2550-2736-2804,CHI,165.0,1,3.0,7.0,6.0,7.0,6.0,13,,,,,,1.0,4.0,4.0,,1.0,4.0,,,,,1.0,,2.0,4.0,4.0,7.0,,,,,0.5,0.5,0.5,0.5,0.25,113.45454545454545,11.571428571428571,14.0,11.571428571428571,12.666666666666666,,,,,,,1.0,,0.561125,0.561125,1.0,23.2,1.0,,,3.0,3.0,3.0,4.0,4.0,0.6,0.6666666666666666,0.6666666666666666,,,,,,0.5,,,,2.0,3.0,,,2.0,3.0,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,,,0.75,0.6666666666666666,0.6666666666666666,,,,,,0.75,0.6666666666666666,,,1.0,1.0,,1.0,1.0,2.0,,2.0,,1.0,,,1.0,0.25,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-2457-2552-2736-2768,1610612741,"Luke Schenscher, Jannero Pargo, Michael Sweetney, Luol Deng, Chris Duhon","Schenscher, Pargo, Sweetney, Deng, Duhon",101195-2457-2552-2736-2768,CHI,66.0,1,1.0,2.0,2.0,2.0,,4,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,87.27272727272727,17.5,15.5,17.5,15.5,,,,,,,,,0.3678,0.3678,,,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-2457-2552-2768-970,1610612741,"Luke Schenscher, Jannero Pargo, Michael Sweetney, Chris Duhon, Othella Harrington","Schenscher, Pargo, Sweetney, Duhon, Harrington",101195-2457-2552-2768-970,CHI,34.0,1,1.0,2.0,1.0,2.0,1.0,3,,1.0,,1.0,,1.0,,3.0,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,127.05882352941177,15.5,3.0,15.5,3.0,1.0,,,,1.0,,1.0,,0.4602,0.4602,,24.8,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-2550-2732-2768-2804,1610612741,"Luke Schenscher, Kirk Hinrich, Ben Gordon, Chris Duhon, Andres Nocioni","Schenscher, Hinrich, Gordon, Duhon, Nocioni",101195-2550-2732-2768-2804,CHI,56.0,1,1.0,1.0,1.0,,,2,,,,,,1.0,2.0,3.0,,,,,,,,1.0,,2.0,,,,,,,,0.5,,0.5,,0.5,51.42857142857143,28.0,28.0,22.0,28.0,,,,,,,0.5,,0.459425,,,24.7,,-1.0,,1.0,,,,1.0,,,,,4.9,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,0.5,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,0.5,,2.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
101195-2732-2736-2768-2804,1610612741,"Luke Schenscher, Ben Gordon, Luol Deng, Chris Duhon, Andres Nocioni","Schenscher, Gordon, Deng, Duhon, Nocioni",101195-2732-2736-2768-2804,CHI,278.0,2,5.0,9.0,9.0,1.0,1.0,18,,,,,,,6.0,9.0,,,,,,,,2.0,,4.0,6.0,,1.0,,,,,0.42857142857142855,,0.375,,,93.23741007194243,14.444444444444445,16.444444444444443,13.0,16.22222222222222,,,,,,,,,0.40045714285714284,0.3885,,,0.1111111111111111,-3.0,5.0,7.0,2.0,3.0,5.0,7.0,1.0,0.8333333333333334,1.0,0.7142857142857143,13.971428571428572,1.0,2.0,1.0,1.0,0.125,0.125,1.0,,,,,,,2.0,2.0,3.0,,,1.0,,,,2.0,,1.0,,2.0,1.0,3.0,,,,,0.42857142857142855,,,,,,0.25,0.25,0.3333333333333333,,,,0.2857142857142857,0.4,0.5,,,,,0.3843,,,,,2.0,2.0,2.0,,,1.0,0.6666666666666666,,,0.6666666666666666,,,4.0,2.0,,,,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
15-2124-2457-2736-2768,1610612741,"Eric Piatkowski, Malik Allen, Jannero Pargo, Luol Deng, Chris Duhon","Piatkowski, Allen, Pargo, Deng, Duhon",15-2124-2457-2736-2768,CHI,125.0,2,2.0,4.0,4.0,4.0,4.0,8,,1.0,,1.0,,1.0,4.0,2.0,,1.0,4.0,,,,,1.0,,2.0,4.0,4.0,4.0,,,,,0.5,0.5,0.5,0.5,0.25,92.16,13.25,18.0,13.25,18.0,0.25,,,,0.25,,0.75,,0.6055,0.6055,1.0,67.2,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,,0.25,5.033333333333333,,,,1.0,,,,1.0,2.0,,,1.0,2.0,,1.0,2.0,,,,,2.0,,2.0,,,,,1.0,1.0,,,,,0.6666666666666666,,0.6666666666666666,,,,,,,0.5,0.5,1.0,,1.0,1.0,,,0.5,0.5,,,,,,2.0,1.0,1.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,0.5,0.5,,,,,,,,,1.0,1.0,,,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
15-2124-2550-2552-2732,1610612741,"Eric Piatkowski, Malik Allen, Kirk Hinrich, Michael Sweetney, Ben Gordon","Piatkowski, Allen, Hinrich, Sweetney, Gordon",15-2124-2550-2552-2732,CHI,93.0,1,2.0,3.0,4.0,3.0,4.0,7,,2.0,,2.0,,2.0,,2.0,,2.0,,,2.0,,,,,,,,3.0,,,,,,,,,0.6666666666666666,108.38709677419355,12.333333333333334,14.0,12.333333333333334,14.0,0.6666666666666666,,,,0.6666666666666666,,1.0,,0.5846333333333333,0.5846333333333333,,24.65,1.0,-2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2006,2005-06,True
