EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DeadBallTurnovers,Travels,PenaltyTurnovers,ShootingFouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,SecondChanceOffPoss,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,BadPassOutOfBoundsTurnovers,Offensive Fouls,DefShortMidRangeReboundPct,Loose Ball Fouls Drawn,ShortMidRangeFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,AtRimAssists,LostBallTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffArc3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,Technical Free Throw Trips,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Corner3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,PtsPutbacks,FTOffRebounds,SelfOReb,SecondChanceTurnovers,OffFTReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,SecondChanceFtPoints,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,PtsUnassisted3s,BlockedShortMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceFG3A,HeaveAttempts,ShortMidRangeAssists,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,Defensive 3 Seconds Violations,SecondChanceArc3FGA,SecondChanceArc3Frequency,StepOutOfBoundsTurnovers,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveMakes,BlockedCorner3,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101120-1521-1531-1713-1909,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Vince Carter, Scott Padgett","Wright, Vaughn, Jackson, Carter, Padgett",101120-1521-1531-1713-1909,NJN,95.0,1,2.0,-2.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.94736842105263,15.666666666666666,16.0,15.666666666666666,16.0,1.0,0.3758,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-1713-361,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Vince Carter, Clifford Robinson","Wright, Vaughn, Jackson, Carter, Robinson",101120-1521-1531-1713-361,NJN,140.0,1,2.0,-4.0,4.0,4.0,8.0,,3.0,8.0,,,,,,1.0,1.0,,,,,,82.28571428571428,18.75,16.25,18.75,14.25,,0.4154,11.733333333333334,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4154,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-1909-2210,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Richard Jefferson","Wright, Vaughn, Jackson, Padgett, Jefferson",101120-1521-1531-1909-2210,NJN,21.0,2,,-3.0,,2.0,2.0,,,3.0,,,,,,,2.0,,,,,,137.14285714285714,,10.5,,10.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-1909-2565,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Zoran Planinic","Wright, Vaughn, Jackson, Padgett, Planinic",101120-1521-1531-1909-2565,NJN,469.0,2,8.0,1.0,13.0,13.0,26.0,1.0,10.0,8.0,1.0,6.0,10.0,3.0,3.0,4.0,7.0,0.75,1.0,1.0,1.0,,79.82942430703625,18.923076923076923,17.153846153846153,16.46153846153846,17.153846153846153,0.08333333333333333,0.48156249999999995,9.65,,12.0,1.0,4.0,,,1.0,5.0,2.0,9.0,,,,2.0,2.0,1.0,2.0,1.0,5.0,1.0,,,3.0,9.0,,,0.5,0.5,0.2,,0.2916666666666667,,0.34615384615384615,,0.3333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.2,0.2,1.0,,,0.5,,,,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.1,0.25,1.0,1.0,0.375,1.0,0.4444444444444444,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.4199,0.07692307692307693,0.09090909090909091,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-1909-2669,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Linton Johnson","Wright, Vaughn, Jackson, Padgett, Johnson",101120-1521-1531-1909-2669,NJN,10.0,1,,-2.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,288.0,7.0,3.0,7.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-1909-441,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Scott Padgett, Lamond Murray","Wright, Vaughn, Jackson, Padgett, Murray",101120-1521-1531-1909-441,NJN,339.0,2,6.0,3.0,11.0,11.0,22.0,,5.0,11.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,0.25,1.0,1.0,1.0,1.0,93.45132743362831,14.818181818181818,16.0,14.818181818181818,16.0,,0.5071714285714285,11.7,,4.0,2.0,2.0,,,1.0,3.0,3.0,14.0,,,,2.0,4.0,1.0,3.0,1.0,8.0,3.0,1.0,,2.0,14.0,,,0.3333333333333333,0.3333333333333333,0.6,,0.8571428571428571,,0.875,,0.2857142857142857,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,0.5714285714285714,,,,,,,,2.0,2.0,2.0,2.0,2.0,,6.0,2.0,2.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,1.0,0.2857142857142857,,,,1.0,0.5,,0.5,,0.5,,,,,,0.2857142857142857,1.0,1.0,1.0,,1.0,,0.125,0.16666666666666666,25.45,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-2210-2565,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Richard Jefferson, Zoran Planinic","Wright, Vaughn, Jackson, Jefferson, Planinic",101120-1521-1531-2210-2565,NJN,40.0,1,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,72.0,14.0,26.0,14.0,26.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-2565-2669,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Zoran Planinic, Linton Johnson","Wright, Vaughn, Jackson, Planinic, Johnson",101120-1521-1531-2565-2669,NJN,826.0,2,14.0,-1.0,30.0,30.0,60.0,2.0,16.0,25.0,1.0,11.0,12.0,5.0,4.0,8.0,9.0,0.625,0.5,0.7142857142857143,0.5,,104.60048426150121,13.9,13.633333333333333,13.3,13.433333333333334,0.10526315789473684,0.4806921052631579,7.59375,15.0,24.0,6.0,8.0,4.0,4.0,2.0,6.0,10.0,24.0,6.0,7.0,14.0,14.0,6.0,7.0,7.0,2.0,14.0,3.0,1.0,6.0,4.0,22.0,14.0,15.0,0.7,0.7,0.625,0.8571428571428571,0.5263157894736842,0.75,0.5217391304347826,0.7,0.42105263157894735,0.75,0.8571428571428571,0.3157894736842105,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.5789473684210527,0.48523125,0.5833333333333334,0.5,5.0,1.0,,1.0,,2.0,,3.0,4.0,1.0,,2.0,,1.0,,,1.0,,4.0,6.0,1.0,4.0,4.0,,5.0,,8.0,4.0,,,,,,,,,0.15789473684210525,0.0625,0.125,1.0,0.8,,0.3333333333333333,0.125,,,,,0.75,,0.05263157894736842,0.10526315789473684,,,,,,0.2942,0.17391304347826086,0.2,25.099999999999998,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.125,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-2565-361,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Zoran Planinic, Clifford Robinson","Wright, Vaughn, Jackson, Planinic, Robinson",101120-1521-1531-2565-361,NJN,201.0,1,3.0,1.0,5.0,5.0,10.0,1.0,3.0,3.0,1.0,3.0,3.0,,,2.0,1.0,,1.0,0.6666666666666666,1.0,,71.64179104477611,20.0,20.2,20.0,20.2,0.3333333333333333,0.329,14.866666666666667,,5.0,,,,,1.0,2.0,2.0,4.0,,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,4.0,,,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.5,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1531-2565-441,1610612751,"Antoine Wright, Jacque Vaughn, Marc Jackson, Zoran Planinic, Lamond Murray","Wright, Vaughn, Jackson, Planinic, Murray",101120-1521-1531-2565-441,NJN,261.0,1,4.0,-7.0,9.0,9.0,18.0,,3.0,12.0,,2.0,2.0,,,2.0,5.0,,,,,,99.31034482758622,19.88888888888889,9.11111111111111,18.11111111111111,9.11111111111111,,0.43575,21.066666666666666,3.0,9.0,,,,,,3.0,,5.0,,,5.0,,,,1.0,,3.0,2.0,,,1.0,5.0,5.0,3.0,,,,,0.25,0.75,0.35714285714285715,0.8333333333333334,,,,0.5,,,,,,0.5,0.449325,1.0,0.3333333333333333,3.0,1.0,,2.0,,1.0,1.0,3.0,2.0,1.0,3.0,1.0,,,1.0,,,,,2.0,,,,,4.0,1.0,2.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,1.0,,,,,,,,,,,0.3333333333333333,0.16666666666666666,,,,,,0.3749,,,23.46666666666667,1.0,1.0,,,,1.0,,,2.0,2.0,,,,,,,,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
