EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,DefTwoPtReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceFG2A,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceShotQualityAvg,ShootingFouls,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChancePoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeAssists,SelfOReb,OffAtRimReboundPct,SelfORebPct,ShortMidRangePctAssisted,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,BlockedLongMidRange,BlockedShortMidRange,PenaltyArc3Frequency,SecondChanceFtPoints,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,FTOffRebounds,Travels,Loose Ball Fouls,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffFTReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,3SecondViolations,DefensiveGoaltends,StepOutOfBoundsTurnovers,PtsUnassisted3s,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
101149-101211-1800-2366-2562,1610612739,"Martynas Andriuskevicius, Stephen Graham, Damon Jones, Mike Wilks, Sasha Pavlovic","Andriuskevicius, Graham, Jones, Wilks, Pavlovic",101149-101211-1800-2366-2562,CLE,129.0,2,2.0,3.0,6.0,6.0,6.0,6.0,12.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,6.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,133.95348837209303,9.833333333333334,11.666666666666666,9.833333333333334,11.666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,0.31726666666666664,0.31726666666666664,1.0,11.066666666666668,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101149-101211-2366-2562-2760,1610612739,"Martynas Andriuskevicius, Stephen Graham, Mike Wilks, Sasha Pavlovic, Anderson Varejao","Andriuskevicius, Graham, Wilks, Pavlovic, Varejao",101149-101211-2366-2562-2760,CLE,98.0,1,2.0,-1.0,3.0,4.0,,4.0,7.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,,,,4.0,,1.0,1.0,1.0,,,,,,,,4.0,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,1.0,,,,102.85714285714286,20.0,9.5,20.0,9.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,0.3645333333333333,,,16.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101149-101211-2436-2562-2760,1610612739,"Martynas Andriuskevicius, Stephen Graham, Flip Murray, Sasha Pavlovic, Anderson Varejao","Andriuskevicius, Graham, Murray, Pavlovic, Varejao",101149-101211-2436-2562-2760,CLE,124.0,1,2.0,9.0,6.0,6.0,3.0,2.0,12.0,1.0,1.0,1.0,1.0,5.0,5.0,11.0,2.0,3.0,3.0,6.0,8.0,,,2.0,2.0,,,,,,,1.0,11.0,6.0,3.0,,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,,,,1.0,,139.3548387096774,6.333333333333333,14.333333333333334,6.333333333333333,14.333333333333334,0.2,1.0,1.0,0.2,1.0,1.0,0.6347400000000001,0.7823666666666668,0.5454545454545454,5.5,0.5,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.6,1.0,1.0,0.3333333333333333,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101149-1956-2366-2562-2739,1610612739,"Martynas Andriuskevicius, Ira Newble, Mike Wilks, Sasha Pavlovic, Luke Jackson","Andriuskevicius, Newble, Wilks, Pavlovic, Jackson",101149-1956-2366-2562-2739,CLE,31.0,1,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,92.9032258064516,14.0,17.0,12.0,17.0,1.0,,,,,,0.3567,0.3567,,6.2,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101149-2366-2562-2739-673,1610612739,"Martynas Andriuskevicius, Mike Wilks, Sasha Pavlovic, Luke Jackson, Alan Henderson","Andriuskevicius, Wilks, Pavlovic, Jackson, Henderson",101149-2366-2562-2739-673,CLE,179.0,1,3.0,,6.0,7.0,6.0,,13.0,,1.0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,,1.0,2.0,4.0,1.0,,,,1.0,1.0,,4.0,4.0,6.0,,0.4,0.4,0.4,0.4,0.2857142857142857,0.2857142857142857,1.0,1.0,,0.3333333333333333,,104.58100558659217,12.0,15.285714285714286,10.5,14.428571428571429,0.2,,,0.6,0.3333333333333333,0.3333333333333333,0.4814,0.4814,1.0,12.6,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,2.0,4.0,,,1.0,1.0,1.0,,,,0.3333333333333333,,,0.2,1.0,1.0,,0.2,1.0,0.2,,,1.0,,2.0,2.0,,,,0.6666666666666666,0.6666666666666666,1.0,2.0,1.0,2.0,2.0,0.5,0.5,0.3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101211-1800-2366-2562-923,1610612739,"Stephen Graham, Damon Jones, Mike Wilks, Sasha Pavlovic, Donyell Marshall","Graham, Jones, Wilks, Pavlovic, Marshall",101211-1800-2366-2562-923,CLE,1.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101211-1800-2366-2760-923,1610612739,"Stephen Graham, Damon Jones, Mike Wilks, Anderson Varejao, Donyell Marshall","Graham, Jones, Wilks, Varejao, Marshall",101211-1800-2366-2760-923,CLE,6.0,2,,-1.0,,2.0,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101211-1800-2400-2544-2760,1610612739,"Stephen Graham, Damon Jones, Drew Gooden, LeBron James, Anderson Varejao","Graham, Jones, Gooden, James, Varejao",101211-1800-2400-2544-2760,CLE,34.0,2,1.0,-3.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,169.41176470588235,7.0,10.0,7.0,10.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101211-1800-2400-2544-923,1610612739,"Stephen Graham, Damon Jones, Drew Gooden, LeBron James, Donyell Marshall","Graham, Jones, Gooden, James, Marshall",101211-1800-2400-2544-923,CLE,560.0,4,9.0,-1.0,18.0,17.0,6.0,14.0,35.0,2.0,4.0,2.0,5.0,7.0,15.0,20.0,21.0,2.0,3.0,6.0,10.0,,,6.0,8.0,,,,1.0,1.0,1.0,5.0,18.0,6.0,6.0,,0.4666666666666667,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6,,,,0.8571428571428571,,90.0,18.055555555555557,13.823529411764707,17.22222222222222,13.058823529411764,0.23529411764705882,0.5,0.5,0.29411764705882354,0.4,0.4,0.4506441176470588,0.3851,0.3,9.526666666666667,0.3333333333333333,3.0,6.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,7.0,6.0,,,,5.0,7.0,,1.0,,,,,0.2857142857142857,0.2857142857142857,0.8571428571428571,1.0,,0.35294117647058826,0.5,0.75,0.3333333333333333,0.3333333333333333,1.0,0.47058823529411764,0.10526315789473684,0.0625,2.0,2.0,1.0,2.0,,0.13333333333333333,,0.125,0.2222222222222222,0.5,2.0,,1.0,1.0,,0.6666666666666666,0.51295,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.11764705882352941,0.3333333333333333,1.0,1.0,1.0,0.5,0.058823529411764705,1.0,1.0,1.0,0.058823529411764705,0.5,0.3333333333333333,0.1,23.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
101211-1800-2400-2760-923,1610612739,"Stephen Graham, Damon Jones, Drew Gooden, Anderson Varejao, Donyell Marshall","Graham, Jones, Gooden, Varejao, Marshall",101211-1800-2400-2760-923,CLE,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2006,2005-06,False
