EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DefThreePtRebounds,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,PtsUnassisted2s,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,Fg2aBlocked,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,Corner3FGA,SecondChanceTurnovers,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Offensive Fouls Drawn,Corner3FGM,Corner3Assists,OffThreePtRebounds,Steals,BadPassSteals,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Travels,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,HeaveAttempts,PenaltyFg3Pct,LongMidRangePctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallSteals,Loose Ball Fouls Drawn,SecondChanceFg3Pct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,Blocked2s,BlockedAtRim,Blocks,OffCorner3ReboundPct,ShortMidRangePctBlocked,ShortMidRangeAssists,ShortMidRangePctAssisted,RecoveredBlocks,BlocksRecoveredPct,Defensive 3 Seconds Violations,PtsUnassisted3s,SecondChanceAtRimPctAssisted,BlockedShortMidRange,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101143-1499-1727-1883-2045,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Steve Francis, Hedo Turkoglu","Diener, Battie, Garrity, Francis, Turkoglu",101143-1499-1727-1883-2045,ORL,180.0,2,3.0,-4.0,5.0,5.0,3.0,1.0,1.0,10.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.21428571428571427,0.16666666666666666,0.375,1.0,1.0,1.0,0.6,1.0,0.6,1.0,1.0,0.4,80.0,22.2,13.8,19.8,13.8,0.6666666666666666,0.25,0.25,1.0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.49845,0.4787,0.5028666666666667,0.3333333333333333,1.0,4.45,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-1883-2052,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Steve Francis, DeShawn Stevenson","Diener, Battie, Garrity, Francis, Stevenson",101143-1499-1727-1883-2052,ORL,260.0,2,4.0,,7.0,7.0,,,,14.0,3.0,3.0,,,,,2.0,4.0,5.0,1.0,12.0,12.0,,,,,,,,8.0,4.0,5.0,3.0,11.0,,2.0,,3.0,,3.0,,,,,,,1.0,2.0,,,1.0,,12.0,,,,,1.0,1.0,0.8,,0.7857142857142857,,0.7857142857142857,,,,,1.0,,1.0,,,,,77.53846153846155,15.285714285714286,21.857142857142858,15.285714285714286,21.857142857142858,0.42857142857142855,1.0,1.0,1.0,,0.2857142857142857,,,,0.7142857142857143,0.48822142857142853,,,,,7.3,,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2857142857142857,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,1.0,0.5,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-1883-278,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Steve Francis, Stacey Augmon","Diener, Battie, Garrity, Francis, Augmon",101143-1499-1727-1883-278,ORL,207.0,2,3.0,-8.0,8.0,7.0,2.0,4.0,1.0,15.0,,,,,,1.0,3.0,1.0,4.0,,2.0,10.0,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,3.0,,1.0,3.0,,1.0,,,2.0,,2.0,,,,,0.25,,0.25,,0.25,,,0.3333333333333333,,,,1.0,,,,,104.34782608695652,10.375,17.714285714285715,9.5,17.714285714285715,,,,,0.25,0.75,,,,,0.35565,0.4328,0.1956,,,15.3,0.25,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-2039-2045,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Keyon Dooling, Hedo Turkoglu","Diener, Battie, Garrity, Dooling, Turkoglu",101143-1499-1727-2039-2045,ORL,201.0,2,3.0,2.0,7.0,7.0,2.0,6.0,2.0,14.0,4.0,6.0,2.0,2.0,3.0,1.0,,4.0,7.0,2.0,13.0,11.0,2.0,1.0,5.0,2.0,3.0,2.0,6.0,,,1.0,,3.0,2.0,,1.0,2.0,2.0,4.0,1.0,,,,1.0,,1.0,2.0,,2.0,2.0,,8.0,6.0,2.0,1.0,,,,0.5714285714285714,0.6666666666666666,0.6875,0.6666666666666666,0.8125,1.25,1.0,,0.5,,0.6666666666666666,1.0,0.6666666666666666,0.5,,0.5,100.29850746268656,15.714285714285714,13.0,15.571428571428571,12.857142857142858,0.75,0.6666666666666666,0.8,,0.125,,1.0,1.0,0.6666666666666666,0.875,0.5276375,0.5228,0.5513,0.38461538461538464,0.46153846153846156,1.6857142857142857,0.2857142857142857,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.125,1.0,,,1.0,,,,0.125,1.0,1.0,1.0,1.0,24.9,8.0,1.0,,,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,0.14285714285714285,0.16666666666666666,1.0,1.0,0.25,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-2039-2052,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Keyon Dooling, DeShawn Stevenson","Diener, Battie, Garrity, Dooling, Stevenson",101143-1499-1727-2039-2052,ORL,40.0,1,1.0,1.0,2.0,3.0,1.0,2.0,,5.0,1.0,1.0,,,,,,1.0,1.0,1.0,3.0,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.75,,0.5,,1.0,,,,,,,,180.0,6.5,9.0,6.5,9.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.6557,,,,0.3333333333333333,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-2039-278,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Keyon Dooling, Stacey Augmon","Diener, Battie, Garrity, Dooling, Augmon",101143-1499-1727-2039-278,ORL,180.0,1,3.0,-3.0,5.0,5.0,,,1.0,10.0,,,,,,3.0,1.0,1.0,4.0,,2.0,5.0,,,,,,,,,,,,,2.0,3.0,,3.0,2.0,5.0,,,,,2.0,,,,,,,,2.0,,,,,,,0.25,,0.16666666666666666,,0.16666666666666666,,,,,1.0,1.0,1.0,0.5,,1.0,,80.0,20.4,15.6,20.2,15.6,,,,,0.5,0.16666666666666666,,,,0.3333333333333333,0.4273166666666666,,,,,11.6,,,,1.0,,2.0,,1.0,,,,,,,,,,0.3333333333333333,,,1.0,,,,,0.16666666666666666,,,,,24.05,2.0,2.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-2045-2052,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Hedo Turkoglu, DeShawn Stevenson","Diener, Battie, Garrity, Turkoglu, Stevenson",101143-1499-1727-2045-2052,ORL,259.0,1,4.0,3.0,6.0,7.0,,,,13.0,1.0,1.0,,,,2.0,1.0,4.0,4.0,,8.0,5.0,,,,,,,,2.0,1.0,1.0,,2.0,,1.0,1.0,3.0,,3.0,,,,,1.0,,2.0,4.0,1.0,1.0,,,8.0,,,,,0.25,0.25,1.0,,0.8,,0.8,,,,1.0,1.0,,0.4,,,1.0,,72.27799227799228,21.0,19.0,21.0,15.571428571428571,0.2,1.0,1.0,,0.4,0.2,,,,0.4,0.4255,,,,,9.5,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,0.2,0.25,,,0.3333333333333333,1.0,1.0,1.0,,,,,,23.8,6.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-2052-2242,1610612753,"Travis Diener, Tony Battie, Pat Garrity, DeShawn Stevenson, Terence Morris","Diener, Battie, Garrity, Stevenson, Morris",101143-1499-1727-2052-2242,ORL,126.0,1,2.0,4.0,5.0,4.0,,,1.0,9.0,,1.0,1.0,,,,1.0,1.0,2.0,1.0,6.0,2.0,1.0,,,,,,,,,1.0,,3.0,,2.0,,2.0,1.0,3.0,,,,,,,,,,1.0,2.0,,6.0,,,,,,,0.5,,0.5,,0.5,,,,,0.4,,0.4,0.3333333333333333,,0.5,,102.85714285714285,12.4,16.0,11.8,13.75,0.2,,,,,0.2,1.0,,,0.8,0.56102,,,,,9.4,,1.0,,1.0,1.0,3.0,3.0,1.0,,1.0,,,,,1.0,0.3333333333333333,0.3333333333333333,0.6,,0.3333333333333333,,,1.0,1.0,,0.2,,,,,24.53333333333333,2.0,,,,,,,1.0,,,1.0,,,0.5,1.0,,,0.16666666666666666,0.3333333333333333,,2.0,,,,,0.4,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1727-2306-278,1610612753,"Travis Diener, Tony Battie, Pat Garrity, Carlos Arroyo, Stacey Augmon","Diener, Battie, Garrity, Arroyo, Augmon",101143-1499-1727-2306-278,ORL,152.0,1,3.0,-2.0,5.0,5.0,,,1.0,10.0,,,,,,,2.0,,2.0,2.0,2.0,4.0,,,,,,,,,,,,,1.0,2.0,1.0,3.0,1.0,4.0,,1.0,,1.0,3.0,,1.0,3.0,,1.0,2.0,,2.0,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,0.5,1.0,0.5,,1.0,,94.73684210526316,16.8,13.6,16.6,13.6,,,,,,1.0,,,,,0.3946,,,,,17.6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
101143-1499-1883-2045-2730,1610612753,"Travis Diener, Tony Battie, Steve Francis, Hedo Turkoglu, Dwight Howard","Diener, Battie, Francis, Turkoglu, Howard",101143-1499-1883-2045-2730,ORL,265.0,2,4.0,-1.0,9.0,10.0,9.0,2.0,2.0,19.0,,1.0,,,1.0,,3.0,1.0,4.0,,8.0,9.0,,,,1.0,4.0,,8.0,2.0,1.0,3.0,,8.0,1.0,3.0,,4.0,1.0,5.0,1.0,2.0,2.0,,3.0,3.0,,,,,,,8.0,8.0,9.0,,,1.0,1.0,0.25,0.25,0.5714285714285714,0.5714285714285714,0.5714285714285714,,0.5714285714285714,0.6666666666666666,,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.5,103.24528301886792,11.777777777777779,15.9,11.666666666666666,14.8,0.14285714285714285,,,,,0.42857142857142855,,0.14285714285714285,,0.5714285714285714,0.4906333333333333,,0.4906333333333333,,1.0,11.575,1.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,0.6666666666666666,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,30.766666666666666,,1.0,,,,,,1.0,,,,,,0.25,,,,,,,1.0,1.0,,,,0.14285714285714285,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.6666666666666666,0.3333333333333333,0.14285714285714285,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2006,2005-06,True
