EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,PtsPutbacks,Corner3Assists,SelfOReb,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,LostBallSteals,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,OffFTReboundPct,BlocksRecoveredPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,BlockedAtRim,DefensiveGoaltends,3SecondViolations,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3FGM,Loose Ball Fouls,Technical Free Throw Trips,PenaltyArc3Accuracy,OffCorner3ReboundPct,PtsUnassisted3s,StepOutOfBoundsTurnovers,SecondChanceTurnovers,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceArc3FGA,LostBallTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceArc3Frequency,LongMidRangePctBlocked,HeaveAttempts,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101107-101136-101212-1731-1733,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Tyronn Lue, Al Harrington","Williams, Stoudamire, Batista, Lue, Harrington",101107-101136-101212-1731-1733,ATL,171.0,1,3.0,3.0,5.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.7,0.25,1.0,1.0,1.0,1.0,84.21052631578947,16.4,17.8,16.4,17.8,0.25,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.5,1.0,0.4350375,0.2,0.25,12.833333333333334,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-1731-2735,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Tyronn Lue, Josh Childress","Williams, Stoudamire, Batista, Lue, Childress",101107-101136-101212-1731-2735,ATL,554.0,4,9.0,-8.0,19.0,20.0,39.0,6.0,8.0,6.0,,1.0,11.0,16.0,,2.0,5.0,27.0,35.0,14.0,,1.0,,7.0,,7.0,,2.0,14.0,,,1.0,4.0,6.0,11.0,9.0,8.0,5.0,20.0,0.6363636363636364,0.6363636363636364,,,,0.6875,0.6111111111111112,0.675,0.1111111111111111,,,0.3333333333333333,,101.37184115523466,15.578947368421053,12.9,15.052631578947368,12.75,0.4444444444444444,0.75,0.75,0.3333333333333333,0.3333333333333333,0.05555555555555555,,,,0.5555555555555556,,0.45165277777777774,0.2631578947368421,0.29411764705882354,8.83125,24.85,12.0,12.0,3.0,2.0,2.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,7.0,5.0,8.0,2.0,5.0,15.0,8.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,15.0,12.0,3.0,1.0,0.625,1.0,0.5,1.1666666666666667,0.6818181818181818,0.0625,0.5,0.25,0.5,0.4,0.5,0.42857142857142855,1.0,1.0,1.0,0.1111111111111111,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.05555555555555555,0.6666666666666666,1.0,0.5,0.5,0.6,0.1,0.1,0.5355,0.43614499999999995,0.25925925925925924,0.5555555555555556,0.631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-1731-2746,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Tyronn Lue, Josh Smith","Williams, Stoudamire, Batista, Lue, Smith",101107-101136-101212-1731-2746,ATL,166.0,1,3.0,7.0,4.0,5.0,9.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,4.0,9.0,2.0,,3.0,1.0,,,1.0,1.0,,,3.0,,,2.0,3.0,,,4.0,5.0,2.0,6.0,,,1.0,0.5,0.5,0.5,0.625,0.75,0.5,,,0.6666666666666666,,78.07228915662651,13.5,22.4,13.5,18.4,0.25,1.0,1.0,,,0.25,,,,0.75,,0.5133,0.4,0.6666666666666666,4.2,25.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,9.0,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,9.0,4.0,,1.0,0.5,1.0,0.625,1.5,0.75,,,,0.6666666666666666,1.0,,0.5,,,,0.25,,,,,,,0.25,1.0,1.0,,0.25,1.0,0.25,0.25,0.5808,0.5133,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-1731-2823,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Tyronn Lue, John Edwards","Williams, Stoudamire, Batista, Lue, Edwards",101107-101136-101212-1731-2823,ATL,165.0,1,3.0,3.0,6.0,5.0,11.0,1.0,1.0,2.0,,,2.0,4.0,,,3.0,7.0,4.0,2.0,,,,1.0,,1.0,,,2.0,,,2.0,4.0,,2.0,3.0,6.0,1.0,3.0,0.5,1.0,,,,0.5,0.5,0.5,,,,1.0,,96.0,13.833333333333334,16.4,11.5,16.4,0.25,1.0,1.0,,0.5,,,,,0.25,,0.429925,0.2,0.2,10.375,,6.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,2.0,,4.0,2.0,4.0,,3.0,7.0,2.0,,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,2.0,7.0,6.0,,1.0,0.5,1.0,0.5,1.0,0.5,,,,1.0,0.5,,0.5,1.0,,,0.25,,,,0.5,0.5,1.0,,0.5,1.0,,0.25,1.0,,,0.4725,0.429925,0.5714285714285714,1.0,1.0,,,,2.0,,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-1733-2207,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Al Harrington, Joe Johnson","Williams, Stoudamire, Batista, Harrington, Johnson",101107-101136-101212-1733-2207,ATL,344.0,3,6.0,2.0,11.0,12.0,23.0,,1.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,,13.0,11.0,,9.0,3.0,2.0,,3.0,3.0,2.0,,9.0,,1.0,4.0,5.0,2.0,4.0,2.0,,,10.0,,,1.0,0.6,0.6,0.5,0.7222222222222222,0.7222222222222222,0.5555555555555556,1.0,,0.6,,96.27906976744185,15.181818181818182,14.75,14.181818181818182,14.083333333333334,0.1111111111111111,,,,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.49311111111111106,,,10.35,24.9,,5.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,3.0,,,,,,4.0,1.0,,,,1.0,3.0,1.0,,,,,3.0,,,3.0,,2.0,,,,,1.0,,,1.5,,1.5,,0.25,,,0.6,0.5,,0.25,1.0,,0.5,0.1111111111111111,1.0,1.0,,0.5,0.5,,0.2222222222222222,,,,,,,,0.585,,0.23076923076923078,,,1.0,,,,1.0,,,,,0.5,1.0,,0.5,0.5,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-1733-2735,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Al Harrington, Josh Childress","Williams, Stoudamire, Batista, Harrington, Childress",101107-101136-101212-1733-2735,ATL,277.0,4,5.0,1.0,8.0,7.0,15.0,,1.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0,3.0,12.0,11.0,6.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,,9.0,,,2.0,3.0,,3.0,2.0,3.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.5625,0.6111111111111112,0.125,,,0.3333333333333333,,77.97833935018052,15.875,21.428571428571427,15.875,16.857142857142858,0.125,,,,0.5,0.125,1.0,1.0,1.0,0.25,1.0,0.41444375,0.1111111111111111,0.125,12.042857142857143,24.8,5.0,4.0,,,,,1.0,1.0,2.0,2.0,,,1.0,,,,,2.0,4.0,1.0,,7.0,,,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,7.0,5.0,1.0,,0.5,,0.7,,0.7,,,,0.4,0.25,,0.25,0.5,,1.0,0.25,0.5,0.5,1.0,0.5,0.5,1.0,,,,,0.2,,,0.2,,0.42803,,0.5833333333333334,0.625,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-1733-2746,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Al Harrington, Josh Smith","Williams, Stoudamire, Batista, Harrington, Smith",101107-101136-101212-1733-2746,ATL,194.0,2,3.0,4.0,5.0,5.0,10.0,,,2.0,,,1.0,3.0,,2.0,2.0,4.0,,,,,,,,,,,,1.0,,4.0,5.0,,1.0,2.0,2.0,1.0,4.0,,,,,,0.3333333333333333,0.2,0.3333333333333333,0.4,,1.0,1.0,1.0,74.22680412371133,18.0,20.8,17.6,20.8,,,,,0.4,,,,,0.4,,0.48067000000000004,0.16666666666666666,0.25,14.299999999999999,23.2,,,1.0,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,2.0,1.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,1.0,,0.5,0.25,,,,0.2,,,,0.5,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-2207-2585,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Joe Johnson, Zaza Pachulia","Williams, Stoudamire, Batista, Johnson, Pachulia",101107-101136-101212-2207-2585,ATL,25.0,1,,2.0,2.0,1.0,3.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,2.0,1.0,2.0,,,,,,,,1.0,,,1.0,1.0,1.0,172.79999999999998,8.5,8.0,8.5,8.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-2207-2735,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Joe Johnson, Josh Childress","Williams, Stoudamire, Batista, Johnson, Childress",101107-101136-101212-2207-2735,ATL,1058.0,5,18.0,4.0,35.0,38.0,73.0,7.0,8.0,7.0,3.0,6.0,13.0,20.0,3.0,7.0,9.0,44.0,40.0,20.0,6.0,6.0,3.0,10.0,2.0,12.0,2.0,6.0,26.0,2.0,2.0,11.0,15.0,4.0,10.0,7.0,10.0,5.0,38.0,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.65,0.6481481481481481,0.6875,0.25925925925925924,1.0,0.5,0.5,0.5,99.35727788279773,14.971428571428572,14.052631578947368,13.971428571428572,12.921052631578947,0.2962962962962963,0.875,0.875,0.8571428571428571,0.25925925925925924,0.2222222222222222,0.5,0.5,0.6666666666666666,0.5555555555555556,0.5,0.5038444444444444,0.15625,0.2,8.1,24.5,15.0,17.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,,2.0,3.0,3.0,,6.0,2.0,7.0,2.0,5.0,9.0,6.0,,1.0,3.0,2.0,2.0,7.0,4.0,5.0,3.0,6.0,6.0,1.0,,,7.0,5.0,,,,9.0,15.0,2.0,1.0,0.2857142857142857,1.0,0.2222222222222222,1.0,0.375,,,0.8571428571428571,0.5,0.2857142857142857,0.5,0.36363636363636365,0.25,0.6666666666666666,0.6666666666666666,0.18518518518518517,0.6,0.6,0.3333333333333333,0.42857142857142855,0.42857142857142855,1.0,0.037037037037037035,0.3333333333333333,1.0,1.0,0.2222222222222222,0.5,,0.2222222222222222,0.4094,0.4682777777777778,0.13636363636363635,0.20454545454545456,0.42857142857142855,,,,,,1.0,,,,0.25,0.5,0.09090909090909091,,,,,,2.0,4.0,2.0,4.0,2.0,,0.5,,,,,,2.0,1.0,,,,,,,,1.0,,,,3.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
101107-101136-101212-2207-2746,1610612737,"Marvin Williams, Salim Stoudamire, Esteban Batista, Joe Johnson, Josh Smith","Williams, Stoudamire, Batista, Johnson, Smith",101107-101136-101212-2207-2746,ATL,1192.0,8,20.0,3.0,38.0,38.0,76.0,4.0,6.0,6.0,,3.0,8.0,21.0,,5.0,16.0,32.0,29.0,8.0,,3.0,,4.0,,4.0,,3.0,8.0,3.0,1.0,16.0,20.0,3.0,9.0,16.0,23.0,10.0,29.0,0.5,0.5,,,,0.38095238095238093,0.3076923076923077,0.42857142857142855,0.19230769230769232,1.0,0.75,0.8333333333333334,0.75,91.81208053691275,16.44736842105263,14.921052631578947,15.947368421052632,14.842105263157896,0.23076923076923078,0.6666666666666666,1.0,0.75,0.23076923076923078,0.11538461538461539,,,,0.4230769230769231,,0.47281346153846154,0.30303030303030304,0.35714285714285715,7.871428571428572,24.36,22.0,6.0,4.0,1.0,1.0,4.0,6.0,2.0,9.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,6.0,13.0,4.0,10.0,22.0,8.0,4.0,1.0,,,4.0,12.0,4.0,2.0,2.0,4.0,3.0,4.0,,1.0,8.0,3.0,2.0,3.0,2.0,22.0,22.0,,0.5,0.46153846153846156,0.3333333333333333,0.35294117647058826,0.5,0.4772727272727273,0.19047619047619047,0.2222222222222222,0.5,0.8571428571428571,0.3076923076923077,,0.2222222222222222,0.25,,0.75,0.34615384615384615,0.2222222222222222,0.2857142857142857,0.5,0.3333333333333333,0.3333333333333333,,0.07692307692307693,0.3333333333333333,1.0,1.0,0.35294117647058826,0.6666666666666666,0.11764705882352941,0.11764705882352941,0.5372666666666667,0.5080558823529412,0.09375,0.6875,0.5789473684210527,,,,,,,2.0,,0.42857142857142855,1.0,0.8571428571428571,,,,,,,,4.0,1.0,4.0,3.0,,0.75,,,,1.0,1.0,3.0,,,,0.3333333333333333,,,,,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,1610612737,2006,2005-06,True
