EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,Corner3FGA,OpponentPoints,Fg2aBlocked,FTDefRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,Corner3Frequency,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceFtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,Charge Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffTwoPtRebounds,Loose Ball Fouls,AtRimPctBlocked,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Technical Free Throw Trips,PtsUnassisted3s,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,AtRimAssists,ShortMidRangeAssists,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyFg2Pct,LongMidRangePctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SelfOReb,Blocked3s,BlockedCorner3,SelfORebPct,FTOffRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1628975-1628976-1630217-1631094-1641710,1610612753,"Jevon Carter, Wendell Carter Jr., Desmond Bane, Paolo Banchero, Anthony Black","Carter, Carter Jr., Bane, Banchero, Black",1628975-1628976-1630217-1631094-1641710,ORL,108.0,1,2.0,7.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,0.75,0.5,0.7,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,93.33333333333333,12.25,19.666666666666668,9.25,19.666666666666668,0.25,1.0,1.0,0.5,1.0,1.0,0.25,0.5,1.0,0.5,0.5,0.46115,0.5112,0.2,0.25,0.2857142857142857,6.666666666666667,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1628976-1630217-1631288-1641710,1610612753,"Jevon Carter, Wendell Carter Jr., Desmond Bane, Jamal Cain, Anthony Black","Carter, Carter Jr., Bane, Cain, Black",1628975-1628976-1630217-1631288-1641710,ORL,110.0,1,2.0,-3.0,4.0,4.0,,8.0,,,,,,1.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,,1.0,,,1.0,2.0,1.0,2.0,,,,,0.3333333333333333,,0.5,,,,,,,104.72727272727273,18.25,9.25,18.25,9.0,,,,0.5,,,,,,,0.5,0.482125,,0.3333333333333333,0.5,,6.7,23.6,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1628976-1631094-1641710-1641783,1610612753,"Jevon Carter, Wendell Carter Jr., Paolo Banchero, Anthony Black, Tristan da Silva","Carter, Carter Jr., Banchero, Black, da Silva",1628975-1628976-1631094-1641710-1641783,ORL,85.0,1,1.0,-4.0,1.0,2.0,,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8235294117647,54.0,15.5,54.0,15.5,,,,1.0,,,,,,,,0.4222,,,,,13.4,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1630217-1630591-1631288,1610612753,"Jevon Carter, Moritz Wagner, Desmond Bane, Jalen Suggs, Jamal Cain","Carter, Wagner, Bane, Suggs, Cain",1628975-1629021-1630217-1630591-1631288,ORL,5.0,1,,-3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1630217-1631094-1631288,1610612753,"Jevon Carter, Moritz Wagner, Desmond Bane, Paolo Banchero, Jamal Cain","Carter, Wagner, Bane, Banchero, Cain",1628975-1629021-1630217-1631094-1631288,ORL,68.0,1,1.0,4.0,3.0,2.0,1.0,5.0,,,,,,1.0,,,,1.0,,4.0,4.0,,,,2.0,,,,,,1.0,,1.0,,,3.0,4.0,,2.0,,,,,0.6666666666666666,1.0,,,,1.0,,,,105.88235294117648,14.033333333333333,12.95,12.366666666666667,12.95,,,,1.0,,,,,,,,0.4549,,,,0.5,6.7,,3.0,,,,,,,,,,,3.0,,,,,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,0.6666666666666666,1.0,1.0,0.4549,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1630217-1631094-1641710,1610612753,"Jevon Carter, Moritz Wagner, Desmond Bane, Paolo Banchero, Anthony Black","Carter, Wagner, Bane, Banchero, Black",1628975-1629021-1630217-1631094-1641710,ORL,46.0,1,1.0,2.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,1.0,,,2.0,,,,,2.0,,,,,,,,1.0,1.0,1.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,,62.60869565217391,23.0,23.0,23.0,23.0,,,,1.0,1.0,1.0,,,,,,0.374,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1630217-1631288-1641710,1610612753,"Jevon Carter, Moritz Wagner, Desmond Bane, Jamal Cain, Anthony Black","Carter, Wagner, Bane, Cain, Black",1628975-1629021-1630217-1631288-1641710,ORL,124.0,1,2.0,3.0,3.0,4.0,1.0,7.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,8.0,,,1.0,3.0,,,1.0,,,1.0,,1.0,1.0,,,,,5.0,1.0,,1.3333333333333333,1.5,1.3333333333333333,1.5,0.6666666666666666,,,1.0,,,,81.29032258064515,15.666666666666666,19.25,13.333333333333334,19.25,,,,,,,0.3333333333333333,,,1.0,0.6666666666666666,0.5129166666666667,0.5304,,,0.375,18.3,25.55,1.0,1.0,5.0,,,,,,1.0,1.0,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,3.0,1.0,,,3.0,,1.5,1.0,1.0,0.5304,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1631094-1631288-1641710,1610612753,"Jevon Carter, Moritz Wagner, Paolo Banchero, Jamal Cain, Anthony Black","Carter, Wagner, Banchero, Cain, Black",1628975-1629021-1631094-1631288-1641710,ORL,98.0,1,2.0,2.0,2.0,2.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,,,2.0,2.0,2.0,2.0,,2.0,,,,,1.0,2.0,1.0,2.0,3.0,5.0,,,2.0,2.0,1.0,2.0,,,,,0.2,,0.5,1.0,1.0,1.0,0.75,1.0,1.0,58.775510204081634,34.0,15.0,27.5,15.0,0.25,,,0.25,,,0.25,0.5,,,0.75,0.5236625,,0.2,0.3333333333333333,,8.0,24.9,,1.0,,1.0,,,,,,1.0,,,0.5,,,0.25,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1631094-1641710-1641783,1610612753,"Jevon Carter, Moritz Wagner, Paolo Banchero, Anthony Black, Tristan da Silva","Carter, Wagner, Banchero, Black, da Silva",1628975-1629021-1631094-1641710-1641783,ORL,35.0,1,1.0,-3.0,1.0,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,82.28571428571428,19.0,16.0,19.0,16.0,,,,,,,1.0,,,,1.0,0.4947,,,,,,27.2,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
1628975-1629021-1641724-1642859-1642869,1610612753,"Jevon Carter, Moritz Wagner, Jett Howard, Jase Richardson, Noah Penda","Carter, Wagner, Howard, Richardson, Penda",1628975-1629021-1641724-1642859-1642869,ORL,177.0,1,3.0,3.0,6.0,5.0,,11.0,,,,,,1.0,4.0,,,1.0,5.0,,6.0,,,,,,,4.0,,1.0,2.0,,2.0,1.0,,,,,6.0,,,0.5,,0.5,,0.8333333333333334,0.3333333333333333,,0.3333333333333333,,,,89.4915254237288,10.016666666666667,23.380000000000003,10.016666666666667,19.98,,,,0.16666666666666666,,,0.6666666666666666,,,,0.8333333333333334,0.4622833333333333,,,,,9.9,26.78,,1.0,3.0,,1.0,,,,,1.0,,,,,1.0,0.16666666666666666,,5.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,3.0,1.0,,1.0,1.0,,1.0,,3.0,1.0,,,0.5,0.4,,,0.4,,,,,,1.0,1.0,1.0,0.25,0.25,,,,,,0.25,,,,,,,,3.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2026,2025-26,False
