EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Travels,SecondChanceTurnovers,PenaltyAtRimFGM,PenaltyAtRimAccuracy,PenaltyTurnovers,FTOffRebounds,3pt And 1 Free Throw Trips,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,team_id,year,season,team_vs
1627759-1628369-1628401-1629674-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Neemias Queta, Payton Pritchard","Brown, Tatum, White, Queta, Pritchard",1627759-1628369-1628401-1629674-1630202,BOS,1354.6,4,23.0,44.0,43.0,7.0,2.0,3.0,87,2.0,11.0,1.0,3.0,1.0,5.0,9.0,2.0,6.0,2.0,4.0,1.0,6.0,17.0,1.0,3.0,9.0,26.0,8.0,21.0,4.0,46.0,46.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,7.0,6.0,12.0,18.0,6.0,2.0,17.0,6.0,2.0,3.0,6.0,9.0,4.0,2.0,1.0,1.0,1.0,24.0,1.0,4.0,9.0,7.0,2.0,18.0,5.0,23.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,6.0,14.0,2.0,7.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,44.0,7.0,7.0,1.0,1.0,0.3333333333333333,0.375,0.75,0.38095238095238093,0.3333333333333333,0.38095238095238093,0.34615384615384615,0.25,0.3333333333333333,0.44680851063829785,0.2,0.4166666666666667,0.46938775510204084,0.2,0.5,0.44680851063829785,0.07692307692307693,0.09090909090909091,0.16666666666666666,1.0,1.0,0.5833333333333334,0.23529411764705882,0.75,0.07692307692307693,0.6666666666666666,0.16666666666666666,0.4444444444444444,0.09090909090909091,0.75,0.4,0.6666666666666666,0.8,0.5,0.07142857142857142,92.48486638121956,0.6666666666666666,15.731818181818182,15.404651162790698,15.20909090909091,14.125581395348837,0.23404255319148937,0.18181818181818182,0.2,0.5,0.19148936170212766,0.5555555555555556,0.5555555555555556,0.2,0.1276595744680851,0.3333333333333333,0.4,0.5,0.0851063829787234,0.5,0.5,1.0,0.3617021276595745,0.35294117647058826,0.35294117647058826,0.6666666666666666,0.6,0.3333333333333333,0.2,0.16666666666666666,0.5,0.3333333333333333,0.6808510638297872,0.35294117647058826,0.5250425531914894,0.509225,0.49894166666666667,0.041666666666666664,0.07407407407407407,0.043478260869565216,0.15217391304347827,7.634615384615385,25.4,0.1590909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1629674-1630573,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Neemias Queta, Sam Hauser","Brown, Tatum, White, Queta, Hauser",1627759-1628369-1628401-1629674-1630573,BOS,3468.0,6,58.0,115.0,112.0,2.0,3.0,8.0,227,10.0,15.0,1.0,2.0,,10.0,23.0,10.0,21.0,1.0,5.0,,13.0,42.0,,,30.0,59.0,14.0,47.0,24.0,126.0,111.0,3.0,6.0,1.0,13.0,,,,,4.0,4.0,26.0,34.0,30.0,12.0,4.0,42.0,13.0,5.0,13.0,10.0,23.0,9.0,1.0,7.0,3.0,3.0,56.0,1.0,7.0,19.0,25.0,4.0,48.0,8.0,56.0,1.0,10.0,5.0,5.0,3.0,2.0,8.0,12.0,21.0,,26.0,5.0,26.0,4.0,12.0,1.0,4.0,3.0,,5.0,3.0,113.0,4.0,2.0,,1.0,0.43333333333333335,0.4642857142857143,0.7142857142857143,0.2978723404255319,,0.2978723404255319,0.5084745762711864,0.5,,0.4811320754716981,0.6428571428571429,,0.5387931034482759,0.7222222222222222,1.0,0.44339622641509435,0.0847457627118644,0.13333333333333333,,0.375,0.8,0.8620689655172413,0.2413793103448276,0.5588235294117647,0.030303030303030304,0.6984126984126984,0.12903225806451613,0.4,0.034482758620689655,0.7142857142857143,0.8571428571428571,1.0,0.52,0.6666666666666666,0.017543859649122806,94.2560553633218,0.6,14.88695652173913,15.678571428571429,14.443478260869565,14.857142857142858,0.14150943396226415,0.6666666666666666,0.7692307692307693,0.7,0.2169811320754717,0.43478260869565216,0.5,0.3,0.19811320754716982,0.47619047619047616,0.47619047619047616,0.3,0.04716981132075472,0.2,0.2,1.0,0.39622641509433965,0.30952380952380953,0.30952380952380953,0.6923076923076923,0.2857142857142857,0.5,,,,,0.5849056603773585,0.30952380952380953,0.5132268867924529,0.50935,,0.11304347826086956,0.1791044776119403,0.10317460317460317,0.031746031746031744,9.801694915254236,25.880851063829788,0.017391304347826087,15.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13043478260869565,0.38461538461538464,0.14285714285714285,1.0,1.0,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1629674-1631248,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Neemias Queta, Baylor Scheierman","Brown, Tatum, White, Queta, Scheierman",1627759-1628369-1628401-1629674-1631248,BOS,133.0,1,2.0,4.0,5.0,,,1.0,9,,1.0,,,,,1.0,,,,,,2.0,3.0,,,,2.0,2.0,3.0,,6.0,6.0,,,1.0,,,,,,,,,,3.0,3.0,,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,3.0,1.0,2.0,,,1.0,1.0,3.0,4.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,6.0,,,,,,,0.5,0.6666666666666666,,0.6666666666666666,,,,0.6,,,0.6,,,0.6,0.5,1.0,,0.5,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,97.44360902255639,,19.5,11.0,17.75,11.0,0.2,,,,0.2,,,,,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,,,0.8,0.6666666666666666,0.59518,0.5697,,,,,,6.7,26.766666666666666,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1630202-1630568,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Luka Garza","Brown, Tatum, White, Pritchard, Garza",1627759-1628369-1628401-1630202-1630568,BOS,133.0,1,2.0,2.0,4.0,1.0,,,6,2.0,2.0,,,1.0,,,,,,,,,,,,2.0,2.0,,,1.0,5.0,4.0,,,,,1.0,1.0,,,1.0,3.0,4.0,,,,,,,,2.0,,2.0,,,2.0,,,4.0,,,2.0,,,2.0,,2.0,,,,,,,,1.0,2.0,,3.0,,2.0,,1.0,,,,,,,5.0,3.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,0.8333333333333334,,0.75,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,64.96240601503759,,24.5,21.0,24.5,21.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.5564,,0.5485,0.3333333333333333,0.3333333333333333,,0.6,2.75,,0.5,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1630202-1631248,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Baylor Scheierman","Brown, Tatum, White, Pritchard, Scheierman",1627759-1628369-1628401-1630202-1631248,BOS,25.3,1,,1.0,2.0,1.0,2.0,1.0,3,,,,,,,,,,,,,,3.0,,3.0,,,,3.0,,,2.0,,,1.0,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.5,,0.5,,0.5,,,,,,,170.75098814229247,,17.3,4.0,11.600000000000001,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,0.3567,,0.3567,,,,,,27.766666666666666,1.0,-2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1630202-1641775,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Jordan Walsh","Brown, Tatum, White, Pritchard, Walsh",1627759-1628369-1628401-1630202-1641775,BOS,27.3,1,,1.0,1.0,1.0,,,2,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,105.49450549450549,,22.1,5.2,22.1,5.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,0.5082,,0.5082,,,,,,25.0,1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1630202-202696,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Nikola Vučević","Brown, Tatum, White, Pritchard, Vučević",1627759-1628369-1628401-1630202-202696,BOS,2052.4,6,34.0,66.0,68.0,9.0,14.0,10.0,134,14.0,22.0,2.0,6.0,4.0,1.0,6.0,3.0,11.0,2.0,4.0,,4.0,13.0,,2.0,18.0,39.0,6.0,17.0,19.0,73.0,89.0,2.0,6.0,2.0,5.0,1.0,6.0,,2.0,4.0,6.0,14.0,22.0,12.0,6.0,2.0,13.0,4.0,2.0,7.0,4.0,11.0,2.0,2.0,5.0,1.0,1.0,26.0,4.0,5.0,12.0,10.0,2.0,24.0,10.0,34.0,1.0,1.0,,1.0,6.0,5.0,8.0,5.0,14.0,1.0,19.0,3.0,26.0,3.0,10.0,4.0,4.0,1.0,,4.0,1.0,68.0,6.0,9.0,1.0,4.0,0.3888888888888889,0.4117647058823529,0.6666666666666666,0.35294117647058826,,0.35294117647058826,0.46153846153846156,0.3333333333333333,0.16666666666666666,0.48214285714285715,0.25,0.125,0.5447761194029851,0.2777777777777778,0.25,0.30357142857142855,0.05128205128205128,0.045454545454545456,,0.75,1.0,0.7692307692307693,0.23809523809523808,0.7058823529411765,0.4,0.7333333333333333,0.2903225806451613,0.125,0.375,1.0,0.4,1.0,0.8,0.5714285714285714,0.034482758620689655,94.01676086532838,0.25,15.024242424242425,15.6,14.342424242424244,14.630882352941176,0.39285714285714285,0.6363636363636364,0.6666666666666666,0.35714285714285715,0.10714285714285714,0.16666666666666666,0.2,1.0,0.19642857142857142,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.07142857142857142,0.5,0.5,1.0,0.23214285714285715,0.3076923076923077,0.3076923076923077,0.5,0.75,0.3333333333333333,,0.5,0.25,,0.6964285714285714,0.3076923076923077,0.5307598214285714,0.500025,0.5313875,0.1746031746031746,0.21739130434782608,0.0684931506849315,0.0821917808219178,7.817948717948718,26.223529411764705,0.13636363636363635,-16.0,,2.0,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,,3.0,2.0,,0.16666666666666666,0.2,0.25,,,0.058823529411764705,1.0,1.0,1.0,0.25,,1.0,1.0,0.2,0.375,0.5,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1630568-1630573,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luka Garza, Sam Hauser","Brown, Tatum, White, Garza, Hauser",1627759-1628369-1628401-1630568-1630573,BOS,10.0,1,,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1628401-1630573-202696,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Sam Hauser, Nikola Vučević","Brown, Tatum, White, Hauser, Vučević",1627759-1628369-1628401-1630573-202696,BOS,1598.3000000000002,5,27.0,50.0,51.0,12.0,10.0,10.0,101,12.0,19.0,3.0,4.0,7.0,4.0,10.0,3.0,4.0,1.0,7.0,2.0,5.0,12.0,1.0,3.0,19.0,33.0,6.0,19.0,3.0,59.0,52.0,6.0,7.0,3.0,16.0,5.0,8.0,1.0,3.0,,13.0,24.0,14.0,9.0,9.0,10.0,12.0,5.0,3.0,12.0,3.0,15.0,2.0,1.0,7.0,3.0,2.0,33.0,2.0,8.0,8.0,10.0,,18.0,11.0,29.0,2.0,4.0,1.0,3.0,3.0,2.0,6.0,3.0,7.0,1.0,7.0,3.0,4.0,2.0,3.0,,4.0,1.0,,4.0,3.0,43.0,13.0,12.0,,,0.631578947368421,0.8571428571428571,0.5,0.3157894736842105,0.3333333333333333,0.3157894736842105,0.5757575757575758,0.8571428571428571,0.625,0.5384615384615384,0.75,0.5909090909090909,0.5566037735849056,0.8,0.5909090909090909,0.36538461538461536,0.09090909090909091,0.15789473684210525,,0.5,,0.7692307692307693,0.5714285714285714,0.6153846153846154,0.16666666666666666,0.6923076923076923,0.38461538461538464,0.8571428571428571,,1.0,0.6666666666666666,1.0,0.5833333333333334,1.0,0.08695652173913043,90.99668397672527,0.75,15.204,16.433333333333334,14.082,15.849019607843138,0.36538461538461536,0.631578947368421,0.75,0.5833333333333334,0.19230769230769232,0.4,0.4,0.75,0.07692307692307693,0.75,0.75,0.6666666666666666,0.1346153846153846,0.14285714285714285,0.14285714285714285,1.0,0.23076923076923078,0.4166666666666667,0.4166666666666667,0.4,0.4,0.75,0.2,0.6363636363636364,0.2727272727272727,0.3333333333333333,0.7307692307692307,0.4166666666666667,0.5538326923076923,0.5515388888888889,0.5902318181818181,0.05660377358490566,0.08823529411764706,0.2711864406779661,0.22033898305084745,5.866666666666666,25.49473684210526,0.24,7.0,1.0,1.0,1.0,1.0,3.0,,1.0,,2.0,,1.0,,,,,3.0,,0.3333333333333333,,0.16666666666666666,0.1,1.0,1.0,,1.0,1.0,4.0,0.5714285714285714,4.0,1.0,,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,1610612738,2026,2025-26,True
1627759-1628369-1629674-1630202-1631248,1610612738,"Jaylen Brown, Jayson Tatum, Neemias Queta, Payton Pritchard, Baylor Scheierman","Brown, Tatum, Queta, Pritchard, Scheierman",1627759-1628369-1629674-1630202-1631248,BOS,62.0,1,1.0,2.0,2.0,,2.0,,4,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,,0.5,,0.5,,,,,,1.0,0.5,,,92.9032258064516,,12.0,19.0,12.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4598,,,,,,,8.8,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2026,2025-26,True
