EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2A,PenaltyFG3A,NonHeaveArc3FGA,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,FG3APct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,FtPoints,DefTwoPtRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefTwoPtReboundPct,DefAtRimReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Fg2aBlocked,Steals,LostBallSteals,2pt And 1 Free Throw Trips,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,SecondChancePointsPct,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedAtRim,RecoveredBlocks,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,PenaltyCorner3FGA,SecondChanceFG2M,PtsPutbacks,FTOffRebounds,DeadBallTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SelfOReb,Loose Ball Fouls,Offensive Fouls,SelfORebPct,PenaltyCorner3FGM,PenaltyFG3M,BadPassSteals,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,PenaltyCorner3Accuracy,LongMidRangeFGM,PenaltyArc3FGM,LongMidRangeAssists,BlockedLongMidRange,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Accuracy,PtsUnassisted3s,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,Blocked3s,BlockedCorner3,SecondChanceCorner3Frequency,Charge Fouls,DefensiveGoaltends,SecondChanceCorner3FGM,Fg3aBlocked,Travels,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,BlockedArc3,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1626162-1629656-1630178-1631230-1641737,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Dominick Barlow, Adem Bona","Oubre Jr., Grimes, Maxey, Barlow, Bona",1626162-1629656-1630178-1631230-1641737,PHI,105.80000000000001,2,2.0,-2.0,4.0,4.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,8.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,108.88468809073723,12.05,14.4,12.05,13.9,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5377666666666666,0.7233,0.3333333333333333,6.766666666666667,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1631230-1642348,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Dominick Barlow, Justin Edwards","Oubre Jr., Grimes, Maxey, Barlow, Edwards",1626162-1629656-1630178-1631230-1642348,PHI,175.0,1,3.0,-5.0,5.0,6.0,3.0,1.0,11.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,9.0,1.0,3.0,2.0,4.0,,2.0,2.0,1.0,4.0,,1.0,2.0,,,,,,4.0,2.0,3.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25,,,,,90.51428571428572,15.36,16.366666666666667,15.059999999999999,13.850000000000001,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,0.5,0.47644166666666665,0.5268875,0.5,6.720000000000001,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333,0.25,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.25,0.6151,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1631230-1642845,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Dominick Barlow, VJ Edgecombe","Oubre Jr., Grimes, Maxey, Barlow, Edgecombe",1626162-1629656-1630178-1631230-1642845,PHI,100.8,1,2.0,1.0,3.0,3.0,,3.0,6.0,1.0,1.0,,,,,1.0,1.0,4.0,3.0,,,,2.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,4.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,0.3333333333333333,,85.71428571428572,11.1,22.5,11.1,16.833333333333332,1.0,1.0,1.0,,,,,,,1.0,0.8309,,,0.8,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1631230-202331,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Dominick Barlow, Paul George","Oubre Jr., Grimes, Maxey, Barlow, George",1626162-1629656-1630178-1631230-202331,PHI,317.0,3,5.0,-4.0,9.0,10.0,2.0,1.0,19.0,2.0,4.0,,,,2.0,2.0,6.0,9.0,13.0,,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,3.0,4.0,,,,2.0,2.0,7.0,2.0,2.0,0.5,0.5,0.3333333333333333,,0.25,,0.45,0.3333333333333333,,0.6666666666666666,0.75,0.6666666666666666,86.30914826498423,20.555555555555557,13.2,19.555555555555557,12.6,0.5,0.5,0.6666666666666666,0.25,,,,,,0.75,0.58529375,0.43675,0.2222222222222222,4.616666666666666,0.2222222222222222,1.0,,,2.0,,2.0,,,2.0,1.0,1.0,,1.0,0.25,,0.25,0.16666666666666666,0.5,0.5,,0.25,,,,24.4,5.0,1.0,5.0,5.0,3.0,1.0,1.0,0.3,0.375,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1631230-203083,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Dominick Barlow, Andre Drummond","Oubre Jr., Grimes, Maxey, Barlow, Drummond",1626162-1629656-1630178-1631230-203083,PHI,43.0,1,1.0,-3.0,1.0,2.0,1.0,2.0,3.0,,,,,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,100.46511627906976,15.0,14.0,15.0,13.0,,,,1.0,1.0,1.0,,,,,0.391,0.391,1.0,5.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1641737-1642845,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Adem Bona, VJ Edgecombe","Oubre Jr., Grimes, Maxey, Bona, Edgecombe",1626162-1629656-1630178-1641737-1642845,PHI,114.0,1,2.0,3.0,4.0,4.0,,2.0,8.0,,,,,,1.0,,1.0,7.0,4.0,,,,,,,2.0,,6.0,,1.0,1.0,,,,1.0,2.0,7.0,,,,,,,1.0,,0.875,,,,1.0,,101.05263157894737,12.0,16.5,12.0,16.5,,,,0.3333333333333333,,,,,,0.6666666666666666,0.5329666666666667,,,12.6,,,,,,,2.0,,,,,,,,0.6666666666666666,,,,,,,,,,,23.0,1.0,1.0,1.0,2.0,1.0,1.0,,0.25,0.5,,,,,1.0,1.0,,,,,,,,,1.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1641737-202331,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Adem Bona, Paul George","Oubre Jr., Grimes, Maxey, Bona, George",1626162-1629656-1630178-1641737-202331,PHI,456.6,1,8.0,-1.0,16.0,15.0,5.0,3.0,31.0,1.0,3.0,,,2.0,3.0,3.0,8.0,15.0,16.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,7.0,3.0,6.0,10.0,3.0,2.0,3.0,1.0,3.0,14.0,3.0,5.0,0.6666666666666666,0.6666666666666666,0.375,0.3333333333333333,0.32142857142857145,0.2,0.4117647058823529,0.2,1.0,1.0,1.0,1.0,97.76609724047306,16.73125,12.593333333333334,14.98125,12.593333333333334,0.21428571428571427,0.3333333333333333,0.5,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,,,0.6428571428571429,0.5471892857142857,0.46555,0.2,9.8125,0.3125,4.0,,2.0,6.0,2.0,6.0,1.0,2.0,6.0,1.0,3.0,,4.0,0.42857142857142855,,0.6,0.4,1.0,1.0,0.14285714285714285,0.42857142857142855,,0.4,0.46195,25.666666666666668,6.0,3.0,6.0,8.0,4.0,1.0,1.0,0.23529411764705882,0.36363636363636365,1.0,1.0,1.0,1.0,,,1.0,0.16666666666666666,0.125,0.3333333333333333,0.06666666666666667,1.0,,1.0,,,,1.0,3.0,1.0,,1.0,0.16666666666666666,0.16666666666666666,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2,0.5,0.5,0.2,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1642348-202331,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Justin Edwards, Paul George","Oubre Jr., Grimes, Maxey, Edwards, George",1626162-1629656-1630178-1642348-202331,PHI,27.3,1,,-2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,105.49450549450549,22.1,5.2,22.1,5.2,,,,,,,,,,1.0,0.5082,0.5082,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1642348-203083,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Justin Edwards, Andre Drummond","Oubre Jr., Grimes, Maxey, Edwards, Drummond",1626162-1629656-1630178-1642348-203083,PHI,343.7,2,6.0,-7.0,12.0,11.0,6.0,3.0,23.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,6.0,12.0,19.0,1.0,2.0,6.0,,6.0,,,,,3.0,5.0,8.0,,,1.0,1.0,2.0,9.0,6.0,6.0,,,0.5,0.5,0.3,0.25,0.42857142857142855,0.42857142857142855,,1.0,1.0,1.0,96.3631073610707,13.716666666666667,16.28181818181818,13.299999999999999,16.28181818181818,0.3,0.6666666666666666,0.6666666666666666,0.2,0.5,0.5,,0.5,0.5,0.7,0.51085,0.5283875,0.5,4.683333333333334,0.5,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,,1.0,1.0,3.0,0.4,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.1,0.3,1.0,0.25,0.3737,25.925,6.0,1.0,5.0,8.0,3.0,1.0,,0.23076923076923078,0.3333333333333333,1.0,3.0,4.0,,,,,0.5,,,0.25,,,,,,1.0,,,,,,,,1.0,0.1,,,,,,,,,1.0,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
1626162-1629656-1630178-1642348-203954,1610612755,"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Justin Edwards, Joel Embiid","Oubre Jr., Grimes, Maxey, Edwards, Embiid",1626162-1629656-1630178-1642348-203954,PHI,109.3,1,2.0,-3.0,5.0,6.0,5.0,6.0,11.0,,1.0,,1.0,,,,1.0,4.0,7.0,,1.0,4.0,,,,,,,,2.0,2.0,,,2.0,1.0,1.0,4.0,4.0,5.0,,,,,,,0.6666666666666666,0.6666666666666666,,,1.0,,144.92223238792315,8.8,10.883333333333333,8.8,10.883333333333333,1.0,,,,,,,1.0,,1.0,0.4736,0.4736,1.0,3.9,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,4.0,1.0,2.0,4.0,,1.0,,,,,,4.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2026,2025-26,False
