EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,Corner3FGM,Arc3FGA,FG3M,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,DefTwoPtRebounds,DefTwoPtReboundPct,DefShortMidRangeReboundPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,Charge Fouls,Technical Free Throw Trips,BlockedCorner3,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,Charge Fouls Drawn,DefensiveGoaltends,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,Arc3PctBlocked,Clear Path Fouls,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1628978-1629675-1630162-1630183-1630245,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Ayo Dosunmu","DiVincenzo, Reid, Edwards, McDaniels, Dosunmu",1628978-1629675-1630162-1630183-1630245,MIN,274.0,2,5.0,11.0,10.0,3.0,7.0,2.0,21.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,6.0,8.0,1.0,5.0,17.0,17.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,3.0,1.0,15.0,6.0,3.0,1.0,0.5,0.5,0.75,1.0,0.6666666666666666,1.0,0.6538461538461539,0.5,1.0,0.1111111111111111,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,110.36496350364965,12.0,14.2,11.909090909090908,14.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,1.0,1.0,0.5,0.1111111111111111,1.0,1.0,0.7777777777777778,0.7033333333333334,0.85645,0.25,0.2727272727272727,0.11764705882352941,0.35294117647058826,2.525,22.8,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-1630538,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Bones Hyland","DiVincenzo, Reid, Edwards, McDaniels, Hyland",1628978-1629675-1630162-1630183-1630538,MIN,39.5,2,1.0,1.0,1.0,,,,2.0,,,,,,,1.0,,,2.0,,3.0,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,,0.75,,0.75,,,1.0,,,,,,,,72.9113924050633,17.5,22.0,17.5,22.0,,,,,,,,,0.5,,,1.0,0.4194,,,,,,,24.45,,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-1641740,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Jaylen Clark","DiVincenzo, Reid, Edwards, McDaniels, Clark",1628978-1629675-1630162-1630183-1641740,MIN,70.0,1,1.0,2.0,2.0,,,,4.0,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,1.0,,2.0,,,,,,,,,,0.5,,,1.0,,,1.0,,,,,82.28571428571428,13.5,21.5,13.5,21.5,,,,,,,,,,,,1.0,0.5844,,0.5,1.0,,,,25.6,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-201144,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Mike Conley","DiVincenzo, Reid, Edwards, McDaniels, Conley",1628978-1629675-1630162-1630183-201144,MIN,2.4,1,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,600.0,2.4,,2.4,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-203497,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Rudy Gobert","DiVincenzo, Reid, Edwards, McDaniels, Gobert",1628978-1629675-1630162-1630183-203497,MIN,5536.0,34,92.0,183.0,181.0,44.0,41.0,24.0,364.0,30.0,37.0,6.0,9.0,24.0,47.0,17.0,58.0,99.0,65.0,31.0,225.0,199.0,2.0,35.0,7.0,20.0,11.0,43.0,58.0,58.0,29.0,50.0,18.0,10.0,121.0,10.0,33.0,69.0,24.0,93.0,1.0,15.0,11.0,20.0,40.0,35.0,40.0,13.0,6.0,190.0,43.0,44.0,6.0,0.5,0.5576923076923077,0.5858585858585859,0.35,0.5914634146341463,0.4444444444444444,0.6215469613259669,0.9722222222222222,0.5,0.39634146341463417,0.24390243902439024,0.673469387755102,0.6534653465346535,0.2875,0.5714285714285714,0.6410256410256411,0.012987012987012988,94.6820809248555,14.681967213114755,15.741436464088396,14.172677595628418,14.597790055248618,0.22560975609756098,0.8108108108108109,0.8571428571428571,0.6,0.2865853658536585,0.5106382978723404,0.5217391304347826,0.4166666666666667,0.10365853658536585,0.25,0.6666666666666666,0.6219512195121951,0.5389917682926829,0.5426805555555556,0.08571428571428572,0.12037037037037036,0.15555555555555556,0.19111111111111112,7.6171717171717175,25.23846153846154,0.24043715846994534,26.0,6.0,48.0,26.0,63.0,48.0,21.0,6.0,0.8076923076923077,0.4,0.4,0.35294117647058826,0.35294117647058826,1.0,0.2926829268292683,33.0,0.6346153846153846,0.6333333333333333,13.0,16.0,0.3611111111111111,8.0,9.0,4.0,15.0,1.0,1.0,2.0,3.0,20.0,4.0,4.0,4.0,9.0,12.0,5.0,5.0,6.0,15.0,12.0,20.0,3.0,15.0,1.0,13.0,1.0,3.0,4.0,11.0,7.0,5.0,14.0,1.0,6.0,1.0,1.0,25.0,6.0,6.0,5.0,4.0,5.0,4.0,4.0,2.0,11.0,1.0,1.0,7.0,4.0,12.0,7.0,4.0,1.0,0.375,0.75,0.9705882352941176,0.030303030303030304,0.05405405405405406,0.02127659574468085,0.44,1.0,0.2,0.3333333333333333,0.13043478260869565,0.2727272727272727,0.32142857142857145,0.36363636363636365,0.65,0.5,0.8,0.5833333333333334,0.09146341463414634,0.26666666666666666,0.26666666666666666,0.25,0.4166666666666667,0.4166666666666667,0.75,0.5294117647058824,0.8888888888888888,0.25,0.058823529411764705,1.0,1.0,0.23529411764705882,1.0,1.0,0.08333333333333333,0.6666666666666666,0.3076923076923077,0.4166666666666667,0.58067,0.029850746268656716,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-203937,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Kyle Anderson","DiVincenzo, Reid, Edwards, McDaniels, Anderson",1628978-1629675-1630162-1630183-203937,MIN,208.0,2,3.0,9.0,9.0,5.0,,,18.0,2.0,3.0,1.0,2.0,,1.0,,2.0,4.0,1.0,4.0,8.0,3.0,,,1.0,3.0,2.0,4.0,4.0,,2.0,2.0,2.0,,4.0,,1.0,4.0,,4.0,,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,8.0,4.0,5.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,0.3333333333333333,0.5714285714285714,,0.5,0.2,,0.5,0.8,,,1.0,,124.61538461538461,9.88888888888889,13.222222222222221,9.88888888888889,12.88888888888889,0.6,0.6666666666666666,1.0,1.0,0.2,,,,,0.6666666666666666,0.5,0.8,0.66055,0.6073666666666667,0.16666666666666666,0.2,,0.5,3.7,26.8,0.5555555555555556,5.0,,1.0,,,1.0,,,,,,,,,0.2,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-203944,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Julius Randle","DiVincenzo, Reid, Edwards, McDaniels, Randle",1628978-1629675-1630162-1630183-203944,MIN,5093.799999999999,28,85.0,186.0,186.0,53.0,68.0,18.0,372.0,38.0,43.0,10.0,12.0,17.0,29.0,27.0,62.0,88.0,75.0,44.0,252.0,230.0,4.0,20.0,15.0,23.0,19.0,64.0,58.0,66.0,29.0,53.0,19.0,7.0,130.0,3.0,28.0,58.0,21.0,79.0,1.0,13.0,8.0,20.0,48.0,35.0,53.0,23.0,7.0,232.0,62.0,52.0,6.0,0.46774193548387094,0.4915254237288136,0.7045454545454546,0.6521739130434783,0.6380368098159509,0.5,0.6793478260869565,0.6666666666666666,0.5714285714285714,0.4601226993865031,0.11538461538461539,0.7567567567567568,0.75,0.2876712328767123,0.2,0.6785714285714286,0.014285714285714285,105.16313950292513,13.430645161290322,13.955376344086021,13.075268817204302,13.427956989247312,0.26380368098159507,0.8837209302325582,0.9047619047619048,0.5,0.17791411042944785,0.5862068965517241,0.6296296296296297,0.4117647058823529,0.1656441717791411,0.26666666666666666,0.8333333333333334,0.7239263803680982,0.5556308641975309,0.5409806818181818,0.12994350282485875,0.22549019607843138,0.07936507936507936,0.25396825396825395,6.651136363636363,25.063513513513513,0.2849462365591398,22.0,13.0,48.0,28.0,72.0,48.0,24.0,12.0,0.8571428571428571,0.37333333333333335,0.37333333333333335,0.48148148148148145,0.48148148148148145,0.9230769230769231,0.294478527607362,26.0,0.7428571428571429,0.8,13.0,22.0,0.28888888888888886,4.0,6.0,7.0,16.0,1.0,1.0,3.0,9.0,15.0,1.0,5.0,2.0,5.0,7.0,2.0,6.0,5.0,12.0,6.0,15.0,3.0,12.0,3.0,18.0,,4.0,5.0,13.0,2.0,8.0,11.0,2.0,5.0,,2.0,24.0,4.0,7.0,4.0,1.0,3.0,2.0,9.0,,7.0,2.0,1.0,5.0,2.0,9.0,6.0,8.0,0.3333333333333333,0.22727272727272727,0.7142857142857143,0.6153846153846154,0.03409090909090909,0.023255813953488372,0.06896551724137931,0.5416666666666666,1.0,,0.3829787234042553,0.16666666666666666,,0.42424242424242425,0.2857142857142857,0.6111111111111112,1.0,1.0,0.6666666666666666,0.09815950920245399,0.4375,0.4375,0.42857142857142855,0.3125,0.3125,0.8,0.46153846153846156,0.6666666666666666,,0.07692307692307693,1.0,1.0,0.38461538461538464,0.2,1.0,0.2,0.3333333333333333,0.15384615384615385,0.3125,0.486825,,1.0,2.0,1.0,1.0,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630183-204060,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Joe Ingles","DiVincenzo, Reid, Edwards, McDaniels, Ingles",1628978-1629675-1630162-1630183-204060,MIN,6.3,1,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,228.57142857142858,,,,,,,,,,,,,1.0,,,1.0,0.3555,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630245-1630538,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Ayo Dosunmu, Bones Hyland","DiVincenzo, Reid, Edwards, Dosunmu, Hyland",1628978-1629675-1630162-1630245-1630538,MIN,48.0,1,1.0,2.0,3.0,,,,5.0,,,,,1.0,1.0,,1.0,1.0,1.0,,2.0,4.0,,,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,2.0,,,,,,1.0,,0.5,,0.5,,,0.5,,1.0,1.0,,,1.0,,150.0,14.0,6.666666666666667,14.0,6.666666666666667,,,,,0.5,1.0,1.0,,,,,0.5,0.50555,,,,,,6.6,25.2,,-2.0,,1.0,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
1628978-1629675-1630162-1630245-203497,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Ayo Dosunmu, Rudy Gobert","DiVincenzo, Reid, Edwards, Dosunmu, Gobert",1628978-1629675-1630162-1630245-203497,MIN,893.0,7,15.0,33.0,30.0,8.0,15.0,2.0,63.0,5.0,6.0,2.0,2.0,4.0,5.0,2.0,11.0,13.0,9.0,7.0,41.0,43.0,,2.0,4.0,5.0,1.0,9.0,14.0,8.0,7.0,11.0,4.0,3.0,26.0,1.0,3.0,10.0,1.0,11.0,,1.0,1.0,2.0,4.0,5.0,10.0,4.0,1.0,39.0,9.0,8.0,1.0,0.6363636363636364,0.7,0.8461538461538461,0.8,0.7727272727272727,0.6666666666666666,0.7592592592592593,0.5,0.6428571428571429,0.4090909090909091,0.5,0.5,0.5882352941176471,0.16666666666666666,1.0,0.5,,101.59014557670773,12.16060606060606,16.39,11.796969696969697,15.056666666666667,0.2727272727272727,0.8333333333333334,0.8333333333333334,0.8,0.22727272727272727,0.8,0.8,0.75,0.09090909090909091,0.3333333333333333,1.0,0.6818181818181818,0.5482613636363637,0.5013833333333334,0.15384615384615385,0.23529411764705882,0.04878048780487805,0.21951219512195122,5.361538461538462,25.08888888888889,0.24242424242424243,-2.0,,7.0,4.0,12.0,7.0,4.0,,1.0,0.4444444444444444,0.4444444444444444,,,,0.3181818181818182,7.0,0.6363636363636364,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,2.0,2.0,,1.0,,,4.0,,,,1.0,1.0,,1.0,,,2.0,4.0,,4.0,,,,,,3.0,1.0,2.0,3.0,,1.0,2.0,,6.0,,2.0,1.0,,,,,,3.0,,,2.0,1.0,3.0,1.0,,,,1.0,0.5,,,,0.5,,,,,,,,0.6,1.0,0.5,0.3333333333333333,0.09090909090909091,1.0,1.0,,0.5714285714285714,0.5714285714285714,1.0,0.5,1.0,,0.5,,,,,,,,,0.5714285714285714,0.596975,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,False
