EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefThreePtRebounds,DeadBallTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Blocked2s,BlockedShortMidRange,Blocks,2pt And 1 Free Throw Trips,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,FTOffRebounds,NonShootingPenaltyNonTakeFouls,OffFTReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,ShortMidRangeAssists,Loose Ball Fouls,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,Fg2aBlocked,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Technical Free Throw Trips,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceFG3M,BlockedAtRim,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,Charge Fouls,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,SecondChanceTurnovers,Blocked3s,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,DefensiveGoaltends,BlockedArc3,Travels,Charge Fouls Drawn,LongMidRangePctBlocked,BlockedLongMidRange,team_id,year,season,team_vs
1628978-1629675-1630162-1630183-203497,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Rudy Gobert","DiVincenzo, Reid, Edwards, McDaniels, Gobert",1628978-1629675-1630162-1630183-203497,MIN,348.0,2,6.0,-11.0,10.0,12.0,4.0,1.0,22.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,7.0,18.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,7.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,7.0,4.0,1.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.3181818181818182,0.6,1.0,0.5,0.75,0.3333333333333333,0.4,0.75,0.375,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,0.125,91.0344827586207,17.8,14.166666666666666,16.4,13.083333333333334,0.2,0.5,0.5,0.2,0.2,0.4,0.25,0.25,1.0,0.5,0.5,0.5,0.6,0.25,0.5063,0.59175,0.58305,0.09090909090909091,0.2,11.55,24.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1629675-1630162-1630183-203944,1610612750,"Donte DiVincenzo, Naz Reid, Anthony Edwards, Jaden McDaniels, Julius Randle","DiVincenzo, Reid, Edwards, McDaniels, Randle",1628978-1629675-1630162-1630183-203944,MIN,396.1,2,7.0,-1.0,16.0,14.0,7.0,,30.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,,3.0,5.0,7.0,2.0,6.0,2.0,18.0,19.0,,,4.0,8.0,6.0,5.0,2.0,2.0,3.0,2.0,8.0,,,2.0,,6.0,,6.0,,1.0,1.0,2.0,,3.0,4.0,2.0,,,3.0,,18.0,7.0,1.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6153846153846154,0.6428571428571429,0.46153846153846156,0.5,,1.0,,,1.0,,,,,,,,109.06336783640494,12.04375,14.528571428571428,12.04375,14.528571428571428,0.07692307692307693,1.0,1.0,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.4,0.4,1.0,,0.16666666666666666,0.5,0.7692307692307693,0.4,0.5588958333333334,,0.5457,0.07142857142857142,,7.114285714285714,29.5,0.4375,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,10.0,0.2,0.2,0.5,0.5,0.6666666666666666,0.7142857142857143,1.0,1.0,1.0,0.3076923076923077,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.14285714285714285,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1629675-1630183-1630245-203497,1610612750,"Donte DiVincenzo, Naz Reid, Jaden McDaniels, Ayo Dosunmu, Rudy Gobert","DiVincenzo, Reid, McDaniels, Dosunmu, Gobert",1628978-1629675-1630183-1630245-203497,MIN,89.0,2,1.0,,3.0,3.0,,1.0,6.0,,,,,,,2.0,1.0,,,1.0,,2.0,,,,,1.0,,,,2.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,0.6666666666666666,,,1.0,,,1.0,,,,,1.0,,,97.07865168539325,9.0,20.666666666666668,6.0,20.666666666666668,,,,,,0.6666666666666666,,,,1.0,,,1.0,,0.5635,0.55635,,,,3.3,26.35,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1629675-1630183-1630245-203937,1610612750,"Donte DiVincenzo, Naz Reid, Jaden McDaniels, Ayo Dosunmu, Kyle Anderson","DiVincenzo, Reid, McDaniels, Dosunmu, Anderson",1628978-1629675-1630183-1630245-203937,MIN,21.0,1,,3.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,3.0,,,,,1.0,1.0,1.5,,,,,,,,,,,,,,,137.14285714285714,15.0,6.0,15.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,0.4281,,,1.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1629675-1630245-1630538-203497,1610612750,"Donte DiVincenzo, Naz Reid, Ayo Dosunmu, Bones Hyland, Rudy Gobert","DiVincenzo, Reid, Dosunmu, Hyland, Gobert",1628978-1629675-1630245-1630538-203497,MIN,287.0,1,5.0,-4.0,12.0,11.0,6.0,2.0,23.0,,2.0,1.0,,,1.0,3.0,,,1.0,7.0,1.0,3.0,3.0,8.0,12.0,1.0,,,2.0,,3.0,1.0,,,,,,2.0,1.0,,4.0,2.0,6.0,1.0,,,2.0,2.0,3.0,3.0,2.0,,,4.0,1.0,4.0,6.0,,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.25,0.3333333333333333,0.3,,,1.0,0.3333333333333333,,1.0,0.25,0.5,,,1.0,,0.125,115.4006968641115,10.266666666666667,14.890909090909092,10.266666666666667,14.890909090909092,0.2,,,0.1,,0.3,0.3333333333333333,0.3333333333333333,,,,,0.7,0.3333333333333333,0.52932,0.6112,0.522675,0.09090909090909091,0.125,7.071428571428571,24.2,0.5,6.0,1.0,4.0,1.0,3.0,,,1.0,4.0,,1.0,3.0,,,,3.0,2.0,,,3.0,,,,0.25,0.25,0.3,1.0,,1.0,0.4,0.25,0.25,,,,0.75,0.3333333333333333,,,0.375,,,,,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1629675-1630245-1630538-203937,1610612750,"Donte DiVincenzo, Naz Reid, Ayo Dosunmu, Bones Hyland, Kyle Anderson","DiVincenzo, Reid, Dosunmu, Hyland, Anderson",1628978-1629675-1630245-1630538-203937,MIN,161.0,1,3.0,-3.0,6.0,6.0,6.0,2.0,12.0,,1.0,,,,,1.0,,1.0,1.0,2.0,,1.0,4.0,6.0,9.0,1.0,,1.0,2.0,,1.0,,,,,,1.0,,1.0,,2.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,7.0,,6.0,6.0,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,,0.5,,1.0,0.6666666666666666,0.5,,1.0,,0.5,,,107.32919254658385,13.033333333333333,13.799999999999999,12.850000000000001,12.783333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,,,0.3333333333333333,0.6666666666666666,,0.44778333333333337,0.4499,0.44778333333333337,0.25,,4.9,25.4,1.0,6.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,4.0,6.0,,,,1.0,,,1.0,6.0,,,,0.5,0.3333333333333333,0.5,1.0,,1.0,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,1.0,,0.5,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1630162-1630183-1630245-203497,1610612750,"Donte DiVincenzo, Anthony Edwards, Jaden McDaniels, Ayo Dosunmu, Rudy Gobert","DiVincenzo, Edwards, McDaniels, Dosunmu, Gobert",1628978-1630162-1630183-1630245-203497,MIN,223.0,2,4.0,-4.0,8.0,8.0,4.0,1.0,16.0,,,3.0,1.0,1.0,1.0,1.0,,,2.0,4.0,2.0,2.0,2.0,12.0,16.0,,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,5.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,2.0,,12.0,4.0,0.5,1.0,1.0,0.5,0.8333333333333334,0.8571428571428571,0.3333333333333333,1.0,,,0.5,,,0.5,,,,,,,103.31838565022422,13.7625,14.1125,13.75,14.1125,,,,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,,,0.3333333333333333,,0.5,1.0,0.4900166666666667,,0.44121666666666665,,,14.1,24.35,0.5,4.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,,,,,7.0,0.5,0.5,1.0,0.5,0.8333333333333334,0.875,,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,0.5833333333333334,,,,,,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1630162-1630183-1630245-203944,1610612750,"Donte DiVincenzo, Anthony Edwards, Jaden McDaniels, Ayo Dosunmu, Julius Randle","DiVincenzo, Edwards, McDaniels, Dosunmu, Randle",1628978-1630162-1630183-1630245-203944,MIN,263.7,3,4.0,-11.0,10.0,12.0,2.0,,22.0,1.0,2.0,1.0,1.0,,1.0,2.0,,,2.0,5.0,1.0,3.0,2.0,9.0,20.0,,,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,,,,2.0,3.0,,3.0,,,,1.0,1.0,1.0,3.0,2.0,,,2.0,,9.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4375,0.5,0.375,,1.0,,,,1.0,,,,,,,,120.13651877133107,16.259999999999998,8.424999999999999,16.259999999999998,8.424999999999999,0.25,0.5,0.5,0.125,0.125,0.25,0.5,0.5,1.0,,,,0.625,0.5,0.530625,,,,,7.32,24.733333333333334,0.2,8.0,,2.0,,,1.0,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,,,0.5,0.5,,,,1.0,1.0,,,0.25,,,,1.0,1.0,,,,,0.2222222222222222,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1630162-1630183-203497-203944,1610612750,"Donte DiVincenzo, Anthony Edwards, Jaden McDaniels, Rudy Gobert, Julius Randle","DiVincenzo, Edwards, McDaniels, Gobert, Randle",1628978-1630162-1630183-203497-203944,MIN,2683.5,4,45.0,-7.0,93.0,95.0,12.0,7.0,188.0,3.0,18.0,5.0,12.0,1.0,6.0,30.0,1.0,5.0,16.0,40.0,10.0,42.0,23.0,85.0,92.0,3.0,2.0,6.0,4.0,30.0,30.0,6.0,10.0,24.0,6.0,58.0,3.0,5.0,23.0,3.0,44.0,8.0,52.0,,5.0,3.0,10.0,3.0,10.0,14.0,21.0,2.0,2.0,25.0,10.0,75.0,12.0,1.0,0.23809523809523808,0.23809523809523808,0.4,0.3780487804878049,0.45161290322580644,0.5121951219512195,0.5,1.0,0.7931034482758621,0.20833333333333334,0.0967741935483871,0.7884615384615384,0.14545454545454545,0.26666666666666666,0.043478260869565216,0.25,0.6666666666666666,1.0,,100.88317495807713,14.739784946236558,13.817894736842106,14.427956989247312,13.238947368421053,0.21951219512195122,0.16666666666666666,0.1875,0.06097560975609756,0.14634146341463414,0.36585365853658536,0.2,0.2,1.0,0.2,0.125,0.625,0.7195121951219512,0.2,0.548587037037037,0.51155,0.5807857142857143,0.10989010989010989,0.20408163265306123,6.477500000000001,25.01219512195122,0.12903225806451613,22.0,13.0,17.0,1.0,1.0,,3.0,1.0,2.0,3.0,4.0,15.0,28.0,14.0,11.0,18.0,5.0,,1.0,15.0,0.875,0.875,0.5,0.5,0.6875,0.75,0.782608695652174,0.7777777777777778,0.7619047619047619,0.2073170731707317,0.7647058823529411,0.8666666666666667,0.8461538461538461,,,0.125,1.0,0.6,,0.17647058823529413,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,10.0,,,6.0,5.0,4.0,1.0,1.0,1.0,0.6,0.7142857142857143,,0.2,1.0,0.11764705882352941,,,,4.0,,4.0,0.2,0.3333333333333333,0.3333333333333333,1.0,,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.1,0.11764705882352941,0.1111111111111111,0.5,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
1628978-1630162-1630245-203497-203944,1610612750,"Donte DiVincenzo, Anthony Edwards, Ayo Dosunmu, Rudy Gobert, Julius Randle","DiVincenzo, Edwards, Dosunmu, Gobert, Randle",1628978-1630162-1630245-203497-203944,MIN,442.0,2,7.0,-7.0,16.0,15.0,,2.0,31.0,3.0,4.0,3.0,2.0,,,3.0,1.0,,6.0,9.0,,5.0,2.0,14.0,21.0,1.0,1.0,,6.0,,3.0,,,3.0,,6.0,2.0,,1.0,,4.0,2.0,6.0,,2.0,2.0,3.0,,,3.0,2.0,,,3.0,2.0,12.0,,,,,0.6666666666666666,0.42857142857142855,0.4666666666666667,0.35714285714285715,0.6666666666666666,,1.0,,0.4,0.8,0.25,,,1.0,1.0,,,100.99547511312218,14.8125,13.666666666666666,14.5,13.666666666666666,0.2857142857142857,0.75,0.75,0.21428571428571427,0.14285714285714285,0.21428571428571427,,,,0.5,,,0.5,,0.5070214285714286,0.55335,,0.13333333333333333,0.2,9.288888888888888,25.0,,,1.0,2.0,,,2.0,,,,,,,6.0,3.0,,3.0,1.0,1.0,,,0.5,0.6,,,,,0.75,,0.6666666666666666,0.14285714285714285,0.5,0.5,,0.6666666666666666,0.6666666666666666,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,1.0,0.5,0.5,,0.5,1.0,0.14285714285714285,,,,,,,,,,,,2.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2026,2025-26,True
