EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffShortMidRangeReboundPct,BadPassSteals,PenaltyArc3FGA,PenaltyArc3Frequency,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,SecondChanceAtRimPctAssisted,Travels,PtsUnassisted3s,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,RecoveredBlocks,SecondChanceFg3Pct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,LongMidRangeFGM,LongMidRangeAssists,BlockedAtRim,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Technical Free Throw Trips,SecondChanceCorner3FGA,PenaltyCorner3FGM,Fg3aBlocked,SecondChanceTurnovers,Charge Fouls,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,DefensiveGoaltends,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1626145-1627750-1628971-1642461-202685,1610612743,"Tyus Jones, Jamal Murray, Bruce Brown, Spencer Jones, Jonas Valančiūnas","Jones, Murray, Brown, Jones, Valančiūnas",1626145-1627750-1628971-1642461-202685,DEN,852.0,2,14.0,8.0,29.0,29.0,3.0,3.0,5.0,58,6.0,8.0,3.0,3.0,1.0,2.0,4.0,6.0,1.0,2.0,5.0,1.0,3.0,10.0,15.0,2.0,8.0,9.0,35.0,27.0,3.0,4.0,3.0,9.0,1.0,2.0,1.0,2.0,4.0,10.0,10.0,6.0,4.0,3.0,3.0,5.0,2.0,7.0,2.0,2.0,3.0,16.0,2.0,3.0,2.0,7.0,2.0,11.0,5.0,16.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,7.0,1.0,12.0,1.0,2.0,15.0,2.0,3.0,10.0,2.0,6.0,1.0,1.0,1.0,26.0,4.0,3.0,2.0,0.5,0.625,1.0,0.25,0.25,0.6666666666666666,0.75,0.5,0.5652173913043478,0.75,0.3333333333333333,0.6481481481481481,0.9,0.5,0.34782608695652173,0.2,0.25,0.16666666666666666,0.5714285714285714,1.0,0.7,0.6,0.6666666666666666,0.3333333333333333,0.6923076923076923,0.45454545454545453,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,1.0,0.5,98.02816901408451,12.275862068965518,17.103448275862068,11.482758620689655,16.03448275862069,0.34782608695652173,0.75,1.0,0.3333333333333333,0.2608695652173913,0.6666666666666666,0.8,0.75,0.043478260869565216,0.21739130434782608,0.4,0.4,1.0,0.13043478260869565,0.75,1.0,0.6666666666666666,0.5,0.3333333333333333,0.6956521739130435,0.5610565217391305,0.5814,0.6578666666666667,0.2222222222222222,0.3157894736842105,0.2571428571428571,0.11428571428571428,4.92,24.425,0.10344827586206896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1627750-1628971-1642461-203999,1610612743,"Tyus Jones, Jamal Murray, Bruce Brown, Spencer Jones, Nikola Jokić","Jones, Murray, Brown, Jones, Jokić",1626145-1627750-1628971-1642461-203999,DEN,87.0,1,1.0,,3.0,4.0,,,,7,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,2.0,,,,2.0,,1.0,,1.0,,1.0,,2.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,1.0,,,0.3333333333333333,,,0.3333333333333333,,,0.6666666666666666,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,1.0,0.5,,,,115.86206896551724,16.666666666666668,9.25,16.666666666666668,8.5,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,0.6666666666666666,,,,,,1.0,0.6364333333333333,,,,,,,1.1,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1627750-1629661-1642461-203999,1610612743,"Tyus Jones, Jamal Murray, Cameron Johnson, Spencer Jones, Nikola Jokić","Jones, Murray, Johnson, Jones, Jokić",1626145-1627750-1629661-1642461-203999,DEN,94.0,1,2.0,1.0,2.0,3.0,,,1.0,5,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,3.0,,,,2.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,,,,,,,1.0,0.5,1.0,,1.0,0.5,,,,,,1.0,,1.0,,76.59574468085107,22.0,16.666666666666668,22.0,16.666666666666668,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,,1.0,1.0,,,,0.3333333333333333,0.4782,0.5872,,,,1.0,,7.633333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1627750-1631128-1642461-203999,1610612743,"Tyus Jones, Jamal Murray, Christian Braun, Spencer Jones, Nikola Jokić","Jones, Murray, Braun, Jones, Jokić",1626145-1627750-1631128-1642461-203999,DEN,79.0,1,1.0,6.0,4.0,3.0,4.0,3.0,,7,3.0,3.0,,,3.0,3.0,1.0,1.0,,,,,,4.0,4.0,,,,8.0,2.0,,,,,4.0,4.0,,,8.0,4.0,4.0,,,,,2.0,,2.0,,2.0,,4.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,8.0,8.0,4.0,1.0,0.5,0.5,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,127.59493670886076,9.5,13.666666666666666,9.5,13.666666666666666,0.75,1.0,1.0,0.6666666666666666,0.25,1.0,1.0,,,,,,,,,,0.75,1.0,,0.75,0.605125,,0.605125,,,,1.0,3.275,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1628971-1629661-1630192-203501,1610612743,"Tyus Jones, Bruce Brown, Cameron Johnson, Zeke Nnaji, Tim Hardaway Jr.","Jones, Brown, Johnson, Nnaji, Hardaway Jr.",1626145-1628971-1629661-1630192-203501,DEN,18.1,1,,-1.0,1.0,1.0,1.0,1.0,,2,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,159.1160220994475,12.1,6.0,12.1,6.0,,,,,,,,,,,,,,1.0,,,,,,1.0,0.48855,,0.48855,,,,,,27.9,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1628971-1629661-1642461-203999,1610612743,"Tyus Jones, Bruce Brown, Cameron Johnson, Spencer Jones, Nikola Jokić","Jones, Brown, Johnson, Jones, Jokić",1626145-1628971-1629661-1642461-203999,DEN,111.0,1,2.0,-5.0,4.0,4.0,,,,8,,,,,,,,2.0,1.0,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,,1.0,,,,,,,,,1.0,,103.78378378378378,16.25,11.5,16.25,11.5,,,,,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,,,,0.45186666666666664,,,,,,,12.266666666666666,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1628971-1629661-203501-203999,1610612743,"Tyus Jones, Bruce Brown, Cameron Johnson, Tim Hardaway Jr., Nikola Jokić","Jones, Brown, Johnson, Hardaway Jr., Jokić",1626145-1628971-1629661-203501-203999,DEN,67.5,1,1.0,-3.0,3.0,3.0,3.0,3.0,,6,,,,,,,,,,,,,,,,,,2.0,2.0,5.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,2.0,,1.0,,1.0,2.0,1.0,1.0,,,1.0,,,2.0,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,128.0,15.066666666666668,7.433333333333334,15.066666666666668,7.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1629618-1630192-1631124-1641747,1610612743,"Tyus Jones, Jalen Pickett, Zeke Nnaji, Julian Strawther, DaRon Holmes II","Jones, Pickett, Nnaji, Strawther, Holmes II",1626145-1629618-1630192-1631124-1641747,DEN,250.0,1,4.0,,8.0,9.0,3.0,9.0,2.0,17,3.0,5.0,,1.0,1.0,2.0,,,1.0,,1.0,,3.0,3.0,6.0,1.0,4.0,1.0,10.0,10.0,,2.0,1.0,1.0,1.0,3.0,2.0,,5.0,6.0,,3.0,,3.0,,3.0,1.0,4.0,,3.0,,9.0,1.0,2.0,2.0,,,2.0,3.0,5.0,1.0,1.0,,,,,,,2.0,2.0,,,1.0,,,2.0,,1.0,,,,9.0,5.0,3.0,,1.0,1.0,1.0,0.25,0.25,0.5,,0.3333333333333333,0.45,,0.5,0.45454545454545453,0.16666666666666666,0.5,0.4,,,,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.5,,,,,0.6666666666666666,,97.91999999999999,18.9125,10.966666666666667,16.762500000000003,9.411111111111111,0.5,0.6,0.6,1.0,,,,,0.1,0.1,,,,0.3,0.5,,0.4,0.5,,0.9,0.635485,0.5394,0.58395,0.09090909090909091,0.14285714285714285,0.1,0.5,3.5666666666666664,24.45,0.375,,,2.0,0.4,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1626145-1629661-1642461-203501-203999,1610612743,"Tyus Jones, Cameron Johnson, Spencer Jones, Tim Hardaway Jr., Nikola Jokić","Jones, Johnson, Jones, Hardaway Jr., Jokić",1626145-1629661-1642461-203501-203999,DEN,256.0,1,4.0,-4.0,6.0,5.0,,,2.0,11,1.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,2.0,3.0,4.0,1.0,3.0,,9.0,13.0,1.0,1.0,,2.0,,,,,,4.0,2.0,3.0,,2.0,,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,,,,,2.0,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,7.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,,0.6428571428571429,0.5,,0.6428571428571429,0.5,,0.42857142857142855,,,,1.0,,,1.0,,0.5,,0.6666666666666666,,1.0,0.5,,,,,,,61.875,25.0,21.2,21.166666666666668,20.0,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,,,,,,0.5714285714285714,0.4890857142857143,0.389,,,,0.2222222222222222,,8.575,24.3,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
1627750-1628971-1629661-1631128-203932,1610612743,"Jamal Murray, Bruce Brown, Cameron Johnson, Christian Braun, Aaron Gordon","Murray, Brown, Johnson, Braun, Gordon",1627750-1628971-1629661-1631128-203932,DEN,56.0,1,1.0,-4.0,2.0,3.0,,,,5,,1.0,,,,,,1.0,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.57142857142856,15.5,8.333333333333334,15.5,8.333333333333334,0.5,,,,0.5,,,,,,,,,,,,,,,0.5,0.499,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,True
