EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Defensive 3 Seconds Violations,Technical Free Throw Trips,OffensiveGoaltends,BlockedLongMidRange,team_id,year,season,team_vs
1626157-1628384-1628404-1628969-1628973,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges, Jalen Brunson","Towns, Anunoby, Hart, Bridges, Brunson",1626157-1628384-1628404-1628969-1628973,NYK,15773.8,17,263.0,-63.0,510.0,518.0,100.0,93.0,50.0,1028.0,80.0,123.0,17.0,24.0,13.0,18.0,37.0,92.0,13.0,29.0,25.0,55.0,1.0,4.0,2.0,4.0,46.0,145.0,2.0,10.0,11.0,34.0,130.0,244.0,71.0,200.0,84.0,557.0,620.0,21.0,32.0,3.0,14.0,9.0,60.0,22.0,42.0,13.0,38.0,23.0,106.0,112.0,148.0,180.0,33.0,32.0,145.0,46.0,23.0,2.0,56.0,60.0,116.0,37.0,23.0,40.0,11.0,5.0,292.0,20.0,40.0,1.0,87.0,82.0,8.0,177.0,61.0,238.0,4.0,36.0,24.0,12.0,53.0,6.0,36.0,28.0,5.0,17.0,1.0,81.0,4.0,15.0,38.0,100.0,1.0,17.0,6.0,98.0,7.0,6.0,114.0,13.0,1.0,54.0,3.0,6.0,28.0,2.0,1.0,20.0,1.0,8.0,30.0,16.0,1.0,497.0,104.0,99.0,12.0,4.0,0.4307692307692308,0.49122807017543857,0.8450704225352113,0.355,0.21428571428571427,0.34210526315789475,0.355,0.5327868852459017,0.65625,0.5238095238095238,0.5326576576576577,0.5543478260869565,0.51875,0.5649087221095335,0.5660377358490566,0.5578947368421052,0.45045045045045046,0.01,0.0942622950819672,0.10569105691056911,0.09782608695652174,0.034482758620689655,0.01818181818181818,0.006896551724137931,0.654320987654321,0.8888888888888888,0.07692307692307693,0.6890756302521008,0.35398230088495575,0.8130841121495327,0.15503875968992248,0.7477876106194691,0.24793388429752067,0.37209302325581395,0.37037037037037035,0.25,0.16161616161616163,0.13333333333333333,0.5869565217391305,0.7457627118644068,0.7857142857142857,0.8405797101449275,0.7631578947368421,0.01834862385321101,93.8467585489863,0.5333333333333333,14.636274509803922,16.04111969111969,14.163921568627451,15.661389961389961,0.27702702702702703,0.6504065040650406,0.7272727272727273,0.5,0.2072072072072072,0.40217391304347827,0.4457831325301205,0.2972972972972973,0.06531531531531531,0.4482758620689655,0.4642857142857143,0.38461538461538464,0.12387387387387387,0.45454545454545453,0.46296296296296297,0.92,0.32657657657657657,0.31724137931034485,0.3194444444444444,0.8043478260869565,0.5217391304347826,0.7083333333333334,0.08695652173913043,0.25,1.0,0.21739130434782608,0.2,1.0,0.225,0.7222222222222222,0.05,0.5,0.425,0.3235294117647059,0.7274774774774775,0.31724137931034485,0.5565171945701358,0.5495328571428572,0.5350386075949367,0.11704312114989733,0.18947368421052632,0.01485148514851485,0.10771992818671454,0.19030520646319568,5.983196721311476,25.127135678391962,0.19607843137254902,,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628969-1629011,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges, Mitchell Robinson","Towns, Anunoby, Hart, Bridges, Robinson",1626157-1628384-1628404-1628969-1629011,NYK,1.2,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628969-1629013,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges, Landry Shamet","Towns, Anunoby, Hart, Bridges, Shamet",1626157-1628384-1628404-1628969-1629013,NYK,12.0,2,,6.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,,,2.0,2.0,,6.0,,,,,,,,,,1.0,1.0,,3.0,,,6.0,,,2.0,2.0,,,,2.0,2.0,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,5.95,,5.95,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3519,,0.32205,,,,,0.5,,25.25,0.5,,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628969-1630631,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges, Jose Alvarado","Towns, Anunoby, Hart, Bridges, Alvarado",1626157-1628384-1628404-1628969-1630631,NYK,245.0,2,4.0,-4.0,8.0,8.0,,,3.0,16.0,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,,2.0,,,,,3.0,5.0,,3.0,,6.0,10.0,1.0,2.0,,,,2.0,,,,,,,6.0,,,,,2.0,,1.0,,3.0,,3.0,,,1.0,1.0,1.0,6.0,3.0,,,,3.0,,3.0,3.0,6.0,,,,,2.0,,,1.0,,2.0,1.0,3.0,1.0,,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,4.0,,,,,1.0,1.0,,,,,,0.6,0.5,,0.375,0.5,,0.375,0.5,,0.375,,0.2,,0.5,,,,0.6666666666666666,,,1.0,,,1.0,1.0,0.6,,,,1.0,1.0,1.0,1.0,,,,,94.04081632653062,,14.125,16.5,11.5,16.5,0.25,0.5,0.5,1.0,0.25,0.5,1.0,1.0,0.125,1.0,1.0,1.0,0.125,,,,0.25,,,,0.5,1.0,,,,,,,,,,,,,0.625,,0.55049375,0.4589,,,,,0.3333333333333333,,6.6,25.066666666666666,,1.0,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628973-1629013,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Jalen Brunson, Landry Shamet","Towns, Anunoby, Hart, Brunson, Shamet",1626157-1628384-1628404-1628973-1629013,NYK,576.0,3,10.0,16.0,19.0,18.0,8.0,,3.0,37.0,4.0,7.0,,1.0,2.0,4.0,1.0,4.0,1.0,1.0,,1.0,,1.0,,,2.0,4.0,,,,2.0,6.0,12.0,2.0,5.0,8.0,26.0,10.0,,1.0,,1.0,3.0,3.0,2.0,6.0,,2.0,5.0,9.0,6.0,6.0,6.0,,,4.0,2.0,1.0,,3.0,2.0,5.0,2.0,,2.0,1.0,,12.0,3.0,1.0,,5.0,6.0,1.0,12.0,4.0,16.0,2.0,1.0,,1.0,,,,2.0,1.0,,,2.0,,,2.0,4.0,,,,8.0,1.0,1.0,10.0,2.0,,5.0,,1.0,1.0,,,1.0,,,1.0,1.0,,23.0,9.0,8.0,,1.0,0.5,0.5,1.0,0.4,,,0.4,0.5,,0.3333333333333333,0.5294117647058824,,0.25,0.6190476190476191,0.375,0.45,0.29411764705882354,,0.08333333333333333,,0.25,,,,,1.0,,1.0,0.16666666666666666,0.7142857142857143,1.0,0.8461538461538461,0.4444444444444444,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.25,92.5,1.0,12.894736842105264,18.38888888888889,11.947368421052632,17.77777777777778,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,0.23529411764705882,0.25,0.3333333333333333,1.0,0.058823529411764705,1.0,1.0,,0.058823529411764705,,,,0.23529411764705882,0.5,0.5,1.0,0.5,,0.5,,,,,,0.5,0.5,,,0.25,,0.7058823529411765,0.5,0.5736382352941176,0.5697,0.5852875,0.25,0.3333333333333333,,0.11538461538461539,0.34615384615384615,4.116666666666666,25.6,0.42105263157894735,,1.0,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628973-1630540,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Jalen Brunson, Miles McBride","Towns, Anunoby, Hart, Brunson, McBride",1626157-1628384-1628404-1628973-1630540,NYK,1923.5,6,32.0,-44.0,62.0,67.0,17.0,30.0,14.0,129.0,7.0,15.0,2.0,2.0,3.0,7.0,2.0,10.0,3.0,7.0,2.0,8.0,,2.0,,1.0,3.0,18.0,1.0,2.0,,4.0,12.0,32.0,5.0,26.0,13.0,52.0,96.0,3.0,5.0,1.0,4.0,5.0,14.0,5.0,12.0,,5.0,6.0,16.0,10.0,14.0,12.0,3.0,4.0,18.0,3.0,4.0,1.0,5.0,4.0,9.0,2.0,2.0,3.0,1.0,1.0,22.0,7.0,7.0,,9.0,8.0,,17.0,14.0,31.0,2.0,5.0,1.0,4.0,6.0,1.0,3.0,3.0,,3.0,2.0,9.0,1.0,,9.0,13.0,,,,14.0,2.0,1.0,19.0,1.0,,7.0,,3.0,3.0,1.0,,3.0,1.0,,4.0,2.0,,38.0,16.0,17.0,2.0,3.0,0.4166666666666667,0.5,0.8,0.19230769230769232,0.25,,0.19230769230769232,0.375,0.6,0.4166666666666667,0.33620689655172414,0.5,0.29411764705882354,0.3880597014925373,0.5833333333333334,0.38095238095238093,0.4482758620689655,0.038461538461538464,0.125,0.2,0.1,,,0.05555555555555555,0.6666666666666666,,,0.5714285714285714,0.35,0.6923076923076923,0.35,0.6296296296296297,0.35,0.25,0.375,0.5,0.35714285714285715,0.3333333333333333,0.5,0.6,1.0,0.7142857142857143,0.6666666666666666,0.05714285714285714,96.57395373017937,0.5,15.19032258064516,14.65223880597015,14.425806451612903,13.832835820895523,0.25862068965517243,0.4666666666666667,0.5833333333333334,0.42857142857142855,0.1724137931034483,0.2,0.2222222222222222,0.5,0.1206896551724138,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.13793103448275862,0.25,0.25,1.0,0.3103448275862069,0.16666666666666666,0.17647058823529413,0.6666666666666666,0.2222222222222222,1.0,0.2222222222222222,,,0.2222222222222222,0.5,1.0,0.4117647058823529,0.42857142857142855,0.058823529411764705,,0.23529411764705882,,0.7068965517241379,0.16666666666666666,0.5525973684210527,0.5831583333333333,0.565015625,0.109375,0.18421052631578946,,0.2692307692307692,0.3076923076923077,6.996875,24.811999999999998,0.27419354838709675,,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628973-1630631,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Jalen Brunson, Jose Alvarado","Towns, Anunoby, Hart, Brunson, Alvarado",1626157-1628384-1628404-1628973-1630631,NYK,419.8,1,7.0,-15.0,12.0,13.0,12.0,,,25.0,,1.0,,,,1.0,,,1.0,2.0,,1.0,,,,1.0,1.0,3.0,,,1.0,3.0,1.0,3.0,1.0,4.0,2.0,7.0,22.0,,,,,,,1.0,3.0,1.0,4.0,2.0,7.0,2.0,,3.0,,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,,,,2.0,,2.0,,2.0,,1.0,,1.0,2.0,,2.0,1.0,,,,3.0,,3.0,1.0,2.0,,,,2.0,,,4.0,,,1.0,,1.0,,,,,,,,,,7.0,7.0,12.0,,1.0,1.0,1.0,1.0,0.25,,0.25,0.25,0.3333333333333333,,0.3333333333333333,0.35714285714285715,,0.35714285714285715,0.3888888888888889,,0.3888888888888889,0.5714285714285714,,0.3333333333333333,1.0,,,,,0.6666666666666666,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,85.7551214864221,,16.116666666666667,17.415384615384617,16.116666666666667,17.415384615384617,0.14285714285714285,,,,,,,,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.14285714285714285,,0.14285714285714285,,0.42857142857142855,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5433928571428571,,0.5433928571428571,0.125,0.25,,,1.0,13.5,25.35,1.0,,1.0,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1628973-203903,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Jalen Brunson, Jordan Clarkson","Towns, Anunoby, Hart, Brunson, Clarkson",1626157-1628384-1628404-1628973-203903,NYK,37.0,1,1.0,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,3.0,,,,1.0,1.0,,3.0,,,,,,,,,3.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.5,1.5,,1.5,1.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91891891891892,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,0.528,,,,,,1.0,,,25.7,,,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628404-1630631-203903,1610612752,"Karl-Anthony Towns, OG Anunoby, Josh Hart, Jose Alvarado, Jordan Clarkson","Towns, Anunoby, Hart, Alvarado, Clarkson",1626157-1628384-1628404-1630631-203903,NYK,116.0,1,2.0,-9.0,4.0,5.0,,3.0,1.0,9.0,,,,,,,,1.0,,,,,,,,,,4.0,,1.0,,,,1.0,,4.0,,,9.0,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1.0,1.0,,1.0,0.2,,1.0,,,,,,,1.0,,0.2,111.72413793103448,,19.0,8.0,17.5,8.0,,,,,0.2,,,,,,,,,,,,0.8,,,,,,,,,1.0,,,,,,,,,0.8,,0.53727,0.56265,,,,,,,11.5,25.775,,,,,,,,,1610612752,2026,2025-26,True
1626157-1628384-1628969-1628973-1629013,1610612752,"Karl-Anthony Towns, OG Anunoby, Mikal Bridges, Jalen Brunson, Landry Shamet","Towns, Anunoby, Bridges, Brunson, Shamet",1626157-1628384-1628969-1628973-1629013,NYK,2037.1000000000001,7,34.0,-54.0,65.0,73.0,34.0,28.0,4.0,138.0,8.0,13.0,2.0,3.0,2.0,5.0,4.0,8.0,,2.0,2.0,6.0,,,1.0,2.0,4.0,19.0,1.0,1.0,3.0,10.0,12.0,23.0,6.0,25.0,6.0,48.0,102.0,2.0,3.0,1.0,1.0,1.0,8.0,4.0,12.0,4.0,12.0,3.0,23.0,10.0,14.0,18.0,,4.0,19.0,4.0,1.0,,5.0,6.0,11.0,4.0,2.0,5.0,,,28.0,1.0,3.0,,10.0,9.0,1.0,20.0,4.0,24.0,2.0,4.0,3.0,1.0,7.0,1.0,6.0,9.0,1.0,1.0,,16.0,1.0,10.0,6.0,22.0,2.0,5.0,2.0,13.0,1.0,2.0,11.0,,1.0,4.0,1.0,1.0,5.0,1.0,1.0,3.0,,2.0,6.0,3.0,,40.0,23.0,34.0,5.0,1.0,0.4166666666666667,0.5,1.0,0.24,1.0,0.3333333333333333,0.24,0.5217391304347826,0.6666666666666666,0.3333333333333333,0.4375,0.875,0.4166666666666667,0.4528301886792453,1.0,0.42592592592592593,0.5208333333333334,,0.043478260869565216,,,0.5,,,0.4375,0.5,,0.6,0.3,0.6666666666666666,0.05555555555555555,0.6333333333333333,0.14285714285714285,0.6,,,,0.25,0.6666666666666666,0.2,1.0,0.5833333333333334,1.0,0.07407407407407407,97.55043935005645,0.5,14.21846153846154,15.245205479452055,14.018461538461539,14.57123287671233,0.2708333333333333,0.6153846153846154,0.6153846153846154,0.625,0.16666666666666666,0.5,0.5,,0.041666666666666664,,,,0.125,0.3333333333333333,0.3333333333333333,1.0,0.3958333333333333,0.21052631578947367,0.21052631578947367,1.0,0.75,0.6666666666666666,,,,0.25,1.0,1.0,0.20833333333333334,0.4,0.08333333333333333,0.5,0.4166666666666667,0.3,0.7916666666666666,0.21052631578947367,0.5515322916666666,0.60585,0.5197729166666667,0.09615384615384616,0.14814814814814814,0.04,0.16666666666666666,0.4791666666666667,5.821739130434783,25.272,0.5230769230769231,,,1.0,,,,,1610612752,2026,2025-26,True
