EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,SecondChanceArc3FGM,FG3M,OpponentPoints,SecondChanceFG3M,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,LostBallSteals,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PtsPutbacks,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PtsUnassisted3s,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,LiveBallTurnoverPct,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,Fg2aBlocked,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,FG2APctBlocked,AtRimPctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Blocked3s,BlockedCorner3,SecondChanceCorner3FGA,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,Travels,SecondChanceCorner3FGM,PenaltyArc3FGM,FTDefRebounds,BlockedShortMidRange,OffensiveGoaltends,DefFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,Offensive Fouls,Charge Fouls Drawn,SecondChanceTurnovers,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceFtPoints,LongMidRangePctBlocked,OffLongMidRangeReboundPct,Arc3PctBlocked,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1629057-1629680-1630166-1630249-1631321,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Vít Krejčí, Sidy Cissoko","Williams III, Thybulle, Avdija, Krejčí, Cissoko",1629057-1629680-1630166-1630249-1631321,POR,87.0,1,1.0,2.0,4.0,3.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.2,0.2,0.2,0.2,0.8,1.0,0.5,1.0,0.5,0.5,1.0,0.25,115.86206896551724,12.7,12.066666666666668,9.5,12.066666666666668,0.2,1.0,1.0,0.8,1.0,0.2,1.0,0.8,1.0,0.62324,0.62324,1.0,1.8,25.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1630703-1631101,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Scoot Henderson, Shaedon Sharpe","Williams III, Thybulle, Avdija, Henderson, Sharpe",1629057-1629680-1630166-1630703-1631101,POR,240.0,2,4.0,3.0,7.0,8.0,,2.0,1.0,15.0,1.0,3.0,,,2.0,1.0,,3.0,5.0,2.0,9.0,1.0,,,,,,2.0,,2.0,4.0,1.0,5.0,1.0,1.0,,6.0,,,0.6,,0.6428571428571429,,0.5625,,0.2857142857142857,1.0,,1.0,0.3333333333333333,,1.0,0.3333333333333333,90.0,16.285714285714285,15.75,16.142857142857142,15.75,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.2857142857142857,1.0,,,,0.7142857142857143,0.5483571428571429,,,7.0200000000000005,26.75,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,6.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.5,1.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5604,0.125,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1630703-1641739,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Scoot Henderson, Toumani Camara","Williams III, Thybulle, Avdija, Henderson, Camara",1629057-1629680-1630166-1630703-1641739,POR,68.0,1,1.0,,2.0,1.0,2.0,1.0,1.0,3.0,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,,,,,,,0.5,1.0,1.0,0.5,0.5,1.0,,,63.529411764705884,17.4,33.2,17.349999999999998,14.800000000000004,,,,0.5,,,,0.5,0.5,0.40375,0.40375,,15.9,24.9,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1630703-201950,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Scoot Henderson, Jrue Holiday","Williams III, Thybulle, Avdija, Henderson, Holiday",1629057-1629680-1630166-1630703-201950,POR,26.0,1,,-2.0,1.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,12.0,14.0,12.0,14.0,,,,,,,,,,0.4502,,,10.6,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1631101-201950,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Shaedon Sharpe, Jrue Holiday","Williams III, Thybulle, Avdija, Sharpe, Holiday",1629057-1629680-1630166-1631101-201950,POR,222.0,1,4.0,4.0,7.0,7.0,7.0,,2.0,14.0,3.0,4.0,3.0,4.0,,,,4.0,7.0,1.0,13.0,,4.0,7.0,1.0,13.0,4.0,,1.0,2.0,2.0,3.0,5.0,,,,9.0,13.0,7.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.65,0.65,0.125,0.6666666666666666,1.0,0.5,0.75,,0.5,,90.8108108108108,15.285714285714286,16.428571428571427,14.571428571428571,15.714285714285714,0.5,0.75,0.75,,,0.5,0.75,,0.625,0.61714375,0.61714375,1.0,3.914285714285714,23.8,1.0,1.0,2.0,,1.0,,,,9.0,,4.0,4.0,,,2.0,,2.0,,1.0,1.0,,4.0,2.0,,,,4.0,,5.0,,1.0,,0.5,1.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,,,,0.3333333333333333,0.25,0.5,0.5,1.0,0.125,,,,,,,,,,0.63095,0.125,0.14285714285714285,0.3076923076923077,1.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,1.0,2.0,2.0,0.6666666666666666,1.0,1.0,0.125,1.0,0.6666666666666666,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1631101-203924,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Shaedon Sharpe, Jerami Grant","Williams III, Thybulle, Avdija, Sharpe, Grant",1629057-1629680-1630166-1631101-203924,POR,127.0,1,2.0,-1.0,4.0,4.0,,,,8.0,,,,,2.0,,,1.0,1.0,2.0,5.0,,,,,,,2.0,,,,,,,,,5.0,,,1.0,,0.8333333333333334,,0.8333333333333334,,0.6666666666666666,,,,,,,,90.70866141732283,20.0,11.75,20.0,11.75,,,,0.6666666666666666,,,,,0.6666666666666666,0.48915,,,9.9,25.95,,1.0,1.0,,,1.0,,1.0,6.0,,,2.0,,1.0,1.0,,1.0,,,1.0,,2.0,,,,1.0,,,,,,,1.0,1.0,,0.5,,0.5,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,0.5,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1631200-201950,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Kris Murray, Jrue Holiday","Williams III, Thybulle, Avdija, Murray, Holiday",1629057-1629680-1630166-1631200-201950,POR,101.0,1,2.0,-3.0,3.0,4.0,3.0,3.0,,7.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,,2.0,2.0,3.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,0.5,,,,,99.8019801980198,15.933333333333332,13.3,15.933333333333332,12.100000000000001,0.3333333333333333,1.0,1.0,0.3333333333333333,,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.54405,0.54405,1.0,6.85,,1.0,,1.0,,,,,,5.0,,,2.0,,,1.0,,1.0,,1.0,,,2.0,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,0.5,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1631321-201950,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Sidy Cissoko, Jrue Holiday","Williams III, Thybulle, Avdija, Cissoko, Holiday",1629057-1629680-1630166-1631321-201950,POR,26.0,1,,-1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,19.0,7.0,19.0,7.0,,,,,,,,,,0.4294,,,8.7,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1641739-201950,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Toumani Camara, Jrue Holiday","Williams III, Thybulle, Avdija, Camara, Holiday",1629057-1629680-1630166-1641739-201950,POR,125.0,1,2.0,-5.0,4.0,4.0,,,,8.0,1.0,2.0,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,1.0,,1.0,,,,2.0,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,,,,,92.16,12.75,18.5,12.75,18.5,0.6666666666666666,0.5,1.0,,,,,,1.0,0.68355,,,1.3,23.9,,,,,,,,,7.0,,,2.0,,,1.0,,1.0,,1.0,,,2.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
1629057-1629680-1630166-1641739-203924,1610612757,"Robert Williams III, Matisse Thybulle, Deni Avdija, Toumani Camara, Jerami Grant","Williams III, Thybulle, Avdija, Camara, Grant",1629057-1629680-1630166-1641739-203924,POR,170.0,2,3.0,-8.0,4.0,6.0,,,,10.0,,,,,1.0,,,,1.0,3.0,3.0,,,,,,,1.0,,,,,,,1.0,1.0,3.0,,,,,0.375,,0.375,,0.75,,,,,,,,84.70588235294117,20.25,14.833333333333334,20.25,10.0,,,,0.25,,,,,0.75,0.539675,,,4.8,24.3,,,1.0,,,,,1.0,11.0,,,,3.0,,,1.0,1.0,,,,,3.0,,,,1.0,1.0,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2026,2025-26,False
