EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Fouls,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,ShortMidRangePctBlocked,PenaltyShotQualityAvg,PenaltyOffPossPct,ShortMidRangeFGM,PtsUnassisted2s,ShortMidRangeAssists,DefThreePtRebounds,2pt And 1 Free Throw Trips,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,ShootingFouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyFG3M,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,Blocks,PenaltyFg3Pct,PenaltyCorner3Accuracy,PtsUnassisted3s,PenaltyArc3FGM,LostBallSteals,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,PenaltyArc3Accuracy,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,LostBallTurnovers,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyAtRimFGM,SecondChanceFtPoints,SelfOReb,SelfORebPct,PenaltyAtRimAccuracy,FTDefRebounds,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,RecoveredBlocks,BlocksRecoveredPct,PtsPutbacks,BlockedAtRim,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceTurnovers,DefensiveGoaltends,FTOffRebounds,Charge Fouls,OffFTReboundPct,Travels,Charge Fouls Drawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,SecondChanceAtRimPctAssisted,Corner3PctBlocked,team_id,year,season,team_vs
1626145-1628971-1629661-203501-203932,1610612743,"Tyus Jones, Bruce Brown, Cameron Johnson, Tim Hardaway Jr., Aaron Gordon","Jones, Brown, Johnson, Hardaway Jr., Gordon",1626145-1628971-1629661-203501-203932,DEN,177.0,1,3.0,-1.0,6.0,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,8.0,9.0,2.0,6.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,89.4915254237288,14.5,18.0,14.5,18.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.3333333333333333,0.56335,8.55,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1628971-1630192-1631124-202685,1610612743,"Tyus Jones, Bruce Brown, Zeke Nnaji, Julian Strawther, Jonas Valančiūnas","Jones, Brown, Nnaji, Strawther, Valančiūnas",1626145-1628971-1630192-1631124-202685,DEN,111.0,1,2.0,4.0,4.0,4.0,8.0,,3.0,,1.0,2.0,,,,4.0,1.0,2.0,4.0,,,3.0,,,,1.0,1.0,,1.0,,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,,,1.0,0.5,0.5,,0.25,0.2857142857142857,0.3333333333333333,1.0,1.0,1.0,103.78378378378378,16.0,11.75,13.25,11.75,0.5,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,0.8333333333333334,,0.5836,4.775,23.35,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.75,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.518,0.14285714285714285,0.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1628971-1630192-202685-203501,1610612743,"Tyus Jones, Bruce Brown, Zeke Nnaji, Jonas Valančiūnas, Tim Hardaway Jr.","Jones, Brown, Nnaji, Valančiūnas, Hardaway Jr.",1626145-1628971-1630192-202685-203501,DEN,32.5,1,1.0,-2.0,1.0,1.0,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,88.61538461538463,12.3,20.2,9.5,20.2,,,,,,,,,,,,,,,,0.3118,6.85,,1.0,,2.0,,,,1.0,,,,1.0,,2.0,2.0,,,,,,,0.5,,1.0,,1.0,,1.0,,,1.0,,,,,0.2428,,,,1.0,1.0,2.0,1.0,0.5,0.3118,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1628971-1631124-1642461-202685,1610612743,"Tyus Jones, Bruce Brown, Julian Strawther, Spencer Jones, Jonas Valančiūnas","Jones, Brown, Strawther, Jones, Valančiūnas",1626145-1628971-1631124-1642461-202685,DEN,147.0,2,2.0,1.0,3.0,4.0,7.0,1.0,1.0,,,,,1.0,3.0,3.0,,1.0,6.0,5.0,2.0,,1.0,,1.0,,1.0,,,,2.0,1.0,2.0,2.0,,,2.0,6.0,0.3333333333333333,0.3333333333333333,,,,1.0,0.75,0.6,0.25,1.0,1.0,1.0,68.57142857142857,27.0,16.5,27.0,16.5,0.25,1.0,1.0,,,,,,,0.25,,,,0.5,,0.56635,6.366666666666667,26.6,,,2.0,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,0.5,,,,,,0.4,0.5,,,,,,,,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1628971-1631124-203501-203999,1610612743,"Tyus Jones, Bruce Brown, Julian Strawther, Tim Hardaway Jr., Nikola Jokić","Jones, Brown, Strawther, Hardaway Jr., Jokić",1626145-1628971-1631124-203501-203999,DEN,188.10000000000002,1,3.0,-11.0,7.0,8.0,15.0,,1.0,,,1.0,,3.0,1.0,2.0,,4.0,3.0,14.0,,,3.0,,,,,,,,,1.0,1.0,1.0,,,1.0,3.0,,,,,,0.5,0.16666666666666666,0.21428571428571427,0.6666666666666666,1.0,0.5,,114.83253588516746,14.1,11.175,14.1,10.175,0.16666666666666666,,,,,0.16666666666666666,,,,0.5,,,,0.8333333333333334,,0.4869333333333334,6.75,25.65,,,1.0,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,7.0,2.0,2.0,7.0,,0.4869333333333334,1.0,1.0,2.0,,,,,,1.0,1.0,,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,0.5,0.16666666666666666,0.21428571428571427,1.0,0.16666666666666666,0.16666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1628971-1631128-202685-203501,1610612743,"Tyus Jones, Bruce Brown, Christian Braun, Jonas Valančiūnas, Tim Hardaway Jr.","Jones, Brown, Braun, Valančiūnas, Hardaway Jr.",1626145-1628971-1631128-202685-203501,DEN,98.5,1,2.0,4.0,4.0,3.0,7.0,,,1.0,,,,1.0,1.0,1.0,,1.0,4.0,,2.0,,1.0,,1.0,,1.0,,,,2.0,,2.0,2.0,,,1.0,4.0,1.0,1.0,,,,1.0,0.5,0.6666666666666666,0.5,,1.0,,102.33502538071066,14.675,13.266666666666666,14.675,13.266666666666666,,,,,0.5,,,,,0.5,,,,0.5,,0.474475,16.8,29.4,,,,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,,3.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1628971-1631128-203501-203999,1610612743,"Tyus Jones, Bruce Brown, Christian Braun, Tim Hardaway Jr., Nikola Jokić","Jones, Brown, Braun, Hardaway Jr., Jokić",1626145-1628971-1631128-203501-203999,DEN,212.3,1,4.0,2.0,8.0,7.0,15.0,,,,1.0,2.0,1.0,2.0,,1.0,2.0,4.0,10.0,8.0,,6.0,2.0,1.0,,2.0,2.0,1.0,1.0,,6.0,2.0,3.0,3.0,,,2.0,10.0,,,1.0,0.5,0.5,,0.6,0.7142857142857143,0.8,0.6666666666666666,0.6,,101.7428167687235,13.1625,15.285714285714286,13.1625,14.428571428571429,,,,,,0.4,0.5,0.5,1.0,0.4,0.5,0.5,1.0,0.8,0.5,0.55191,7.9,25.775,,,1.0,,,4.0,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,0.2,,,,,,,,,5.0,3.0,,5.0,,0.5742,0.625,,,,1.0,,0.5,,,,,,1.0,1.0,,2.0,4.0,7.0,1.0,2.0,7.0,2.0,,0.75,0.875,1.0,,0.5,0.5,0.7,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1629618-1629661-1630192-1641747,1610612743,"Tyus Jones, Jalen Pickett, Cameron Johnson, Zeke Nnaji, DaRon Holmes II","Jones, Pickett, Johnson, Nnaji, Holmes II",1626145-1629618-1629661-1630192-1641747,DEN,78.0,1,1.0,4.0,3.0,3.0,6.0,,,,1.0,1.0,1.0,1.0,,,2.0,2.0,7.0,3.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,,3.0,2.0,2.0,2.0,,,1.0,7.0,,,0.5,1.0,1.0,,1.5,1.1666666666666667,1.0,1.0,1.0,1.0,110.76923076923076,10.333333333333334,15.666666666666666,10.333333333333334,15.666666666666666,,,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,1.0,1.0,0.538575,,24.45,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1629618-1629661-1630192-203932,1610612743,"Tyus Jones, Jalen Pickett, Cameron Johnson, Zeke Nnaji, Aaron Gordon","Jones, Pickett, Johnson, Nnaji, Gordon",1626145-1629618-1629661-1630192-203932,DEN,82.0,1,1.0,-4.0,2.0,3.0,5.0,,,,,1.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,87.80487804878048,17.5,15.666666666666666,17.5,13.666666666666666,,,,,,1.0,,,,,,,,1.0,,0.54825,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
1626145-1629618-1630192-1631124-1631223,1610612743,"Tyus Jones, Jalen Pickett, Zeke Nnaji, Julian Strawther, David Roddy","Jones, Pickett, Nnaji, Strawther, Roddy",1626145-1629618-1630192-1631124-1631223,DEN,351.0,1,6.0,2.0,13.0,13.0,26.0,,,1.0,,1.0,3.0,6.0,,2.0,3.0,7.0,12.0,10.0,,9.0,6.0,3.0,,3.0,3.0,3.0,,,9.0,2.0,6.0,7.0,1.0,,2.0,12.0,,,1.0,0.42857142857142855,0.42857142857142855,,0.5,0.5454545454545454,0.7777777777777778,0.2222222222222222,0.375,,106.66666666666667,12.446153846153846,14.553846153846154,11.907692307692308,11.86153846153846,,,,,0.1111111111111111,0.1111111111111111,,,,0.6666666666666666,0.5,0.5,1.0,0.7777777777777778,0.5,0.498,13.8,26.157142857142855,1.0,,1.0,,1.0,3.0,,,1.0,,,,1.0,1.0,3.0,4.0,2.0,,,,,,0.5,,0.16666666666666666,,,,,0.1111111111111111,,1.0,,,0.6093,0.18181818181818182,0.5,,3.0,7.0,,3.0,,0.49815,0.23076923076923078,,,,4.0,,0.5714285714285714,0.8,,,,,,1.0,,1.0,2.0,5.0,,,5.0,,,1.5,1.25,0.2857142857142857,,,1.0,0.4166666666666667,,,,2.0,2.0,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2026,2025-26,False
