EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,FG2M,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,ShortMidRangeAssists,Offensive Fouls,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,BadPassSteals,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2M,PtsUnassisted2s,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg2Pct,LiveBallTurnoverPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,SecondChanceCorner3FGA,SecondChanceFG2M,Fg2aBlocked,LongMidRangeAssists,FTDefRebounds,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceAtRimFGM,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,SecondChanceTurnovers,PtsPutbacks,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,Travels,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,Charge Fouls Drawn,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,Corner3PctBlocked,Charge Fouls,team_id,year,season,team_vs
1627936-1628392-1628983-1629026-1641717,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Kenrich Williams, Cason Wallace","Caruso, Hartenstein, Gilgeous-Alexander, Williams, Wallace",1627936-1628392-1628983-1629026-1641717,OKC,253.3,1,4.0,6.0,9.0,9.0,6.0,4.0,18.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,6.0,15.0,9.0,1.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,4.0,10.0,9.0,3.0,3.0,3.0,3.0,3.0,9.0,1.0,3.0,2.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,6.0,2.0,1.0,7.0,10.0,6.0,1.0,1.0,0.75,1.0,1.0,0.75,0.5625,1.0,0.75,0.6818181818181818,1.0,0.8333333333333334,0.5,0.5,0.75,1.0,1.0,0.75,0.8,1.0,0.5,1.0,0.5,1.0,0.2,102.32925384919068,16.555555555555557,11.588888888888889,14.61111111111111,11.588888888888889,0.25,0.25,0.125,0.375,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.25,0.5,1.0,0.75,1.0,0.5744875,0.5508,0.60405,0.2,0.3333333333333333,0.5333333333333333,0.6666666666666666,5.15,25.15,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1629652-1641717,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Luguentz Dort, Cason Wallace","Caruso, Hartenstein, Gilgeous-Alexander, Dort, Wallace",1627936-1628392-1628983-1629652-1641717,OKC,154.0,1,3.0,6.0,4.0,4.0,,,8.0,,,1.0,,2.0,2.0,,,,,1.0,2.0,2.0,1.0,9.0,3.0,,,,,,,,,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,,,2.0,1.0,3.0,,3.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,9.0,1.0,,,0.5,1.0,,,1.0,1.3333333333333333,,,1.3333333333333333,,,0.6666666666666666,1.0,,1.0,,1.0,,,,,,1.0,,74.8051948051948,18.75,19.75,18.75,19.75,,0.3333333333333333,,0.6666666666666666,1.0,1.0,0.5,,,,,,,0.6666666666666666,1.0,0.44988333333333336,,,,,,0.1111111111111111,6.3,27.55,,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1629652-1642272,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Luguentz Dort, Jared McCain","Caruso, Hartenstein, Gilgeous-Alexander, Dort, McCain",1627936-1628392-1628983-1629652-1642272,OKC,189.0,3,3.0,12.0,7.0,5.0,2.0,,12.0,,,,1.0,2.0,3.0,,,,,,3.0,4.0,6.0,15.0,3.0,,,,,,,1.0,1.0,2.0,5.0,9.0,3.0,2.0,3.0,3.0,2.0,9.0,,,2.0,,2.0,,2.0,,1.0,,,,,,,,3.0,6.0,2.0,1.0,15.0,5.0,2.0,1.0,1.0,0.75,,1.0,0.75,1.125,,1.5,1.0714285714285714,,1.25,1.0,,,1.0,,1.0,,,,,,1.0,,91.42857142857143,13.285714285714286,19.2,13.285714285714286,19.2,,,0.25,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,,,,1.0,0.6666666666666666,0.559425,,0.5898,0.3333333333333333,1.0,,0.3333333333333333,,26.075,0.2857142857142857,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1629652-1642349,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Luguentz Dort, Ajay Mitchell","Caruso, Hartenstein, Gilgeous-Alexander, Dort, Mitchell",1627936-1628392-1628983-1629652-1642349,OKC,321.9,4,5.0,3.0,12.0,11.0,6.0,,23.0,2.0,1.0,2.0,,,1.0,,,,,6.0,,1.0,4.0,14.0,11.0,,,,,,2.0,,,4.0,6.0,,1.0,,,3.0,,6.0,,,1.0,4.0,5.0,,5.0,,1.0,,,,3.0,2.0,,1.0,2.0,4.0,,2.0,14.0,4.0,5.0,1.0,,,,,,0.7142857142857143,,0.5,0.7777777777777778,,0.75,0.14285714285714285,1.0,,1.0,,1.0,,,,,1.0,,,102.88909599254428,15.0,12.9,15.0,12.9,0.2857142857142857,0.2857142857142857,,0.14285714285714285,,,,,,,0.5,,,0.42857142857142855,,0.5114214285714286,,0.5237,,,,0.42857142857142855,10.683333333333332,26.5,0.5,5.0,2.0,5.0,6.0,,3.0,1.0,,,0.6,0.6,0.8333333333333334,1.0,1.0,1.0,0.5,,,,,1.0,,,,,,2.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1630198-1641717,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Isaiah Joe, Cason Wallace","Caruso, Hartenstein, Gilgeous-Alexander, Joe, Wallace",1627936-1628392-1628983-1630198-1641717,OKC,674.7,4,11.0,-10.0,24.0,25.0,11.0,6.0,49.0,5.0,2.0,6.0,3.0,3.0,9.0,,1.0,3.0,7.0,16.0,4.0,12.0,1.0,21.0,31.0,4.0,,3.0,,2.0,5.0,3.0,8.0,1.0,14.0,12.0,9.0,3.0,4.0,7.0,3.0,18.0,3.0,4.0,2.0,2.0,5.0,7.0,12.0,1.0,5.0,2.0,1.0,1.0,1.0,,3.0,6.0,3.0,2.0,1.0,,19.0,14.0,11.0,,1.0,0.3333333333333333,,0.375,0.3333333333333333,0.35714285714285715,0.14285714285714285,0.5,0.3620689655172414,0.14285714285714285,0.5,0.42857142857142855,0.5,0.3333333333333333,0.5,0.375,0.5,0.35,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.0625,104.57981325033347,14.970833333333333,12.616,12.620833333333335,12.451999999999998,0.17857142857142858,0.21428571428571427,0.10714285714285714,0.32142857142857145,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,,,0.15384615384615385,0.5384615384615384,0.42857142857142855,0.6071428571428571,0.3333333333333333,0.5431339285714286,0.52837,0.5316807692307692,0.034482758620689655,0.058823529411764705,0.09523809523809523,0.6666666666666666,9.91875,25.925,0.4583333333333333,11.0,,4.0,6.0,,3.0,,,,0.75,0.75,0.25,,,,,1.0,,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.07692307692307693,,2.0,1.0,2.0,5.0,2.0,2.0,2.0,,,,,,,,0.4,,0.5,0.5,,0.4,0.6666666666666666,1.0,0.17857142857142858,0.4,0.5,0.5,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.25,0.25,0.4,0.16666666666666666,0.2,0.5,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1630198-1642349,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Isaiah Joe, Ajay Mitchell","Caruso, Hartenstein, Gilgeous-Alexander, Joe, Mitchell",1627936-1628392-1628983-1630198-1642349,OKC,205.7,2,3.0,12.0,8.0,6.0,,2.0,14.0,1.0,,2.0,3.0,,,,,,,3.0,2.0,3.0,6.0,16.0,4.0,1.0,,,2.0,4.0,,,,,,6.0,,,2.0,3.0,,8.0,,1.0,1.0,,1.0,1.0,2.0,,3.0,1.0,,,1.0,,,1.0,4.0,6.0,3.0,,12.0,,,,1.0,0.6666666666666666,,,0.6666666666666666,0.8333333333333334,1.0,,1.0,1.0,,0.5,,1.0,1.0,,0.3333333333333333,0.5,,1.0,,,1.0,,98.00680602819641,11.4625,19.0,9.7125,18.666666666666668,0.16666666666666666,0.3333333333333333,0.5,,,,,,,,,,,0.6666666666666666,,0.5689833333333333,0.7507,,0.5,0.6,0.25,,6.966666666666666,22.900000000000002,,,1.0,2.0,2.0,,1.0,,,,0.5,0.5,0.6666666666666666,,0.5,0.5,,2.0,,,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,,,1.0,,,,,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1630598-1641717,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Aaron Wiggins, Cason Wallace","Caruso, Hartenstein, Gilgeous-Alexander, Wiggins, Wallace",1627936-1628392-1628983-1630598-1641717,OKC,91.0,1,2.0,-6.0,4.0,4.0,,,8.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,0.5,,,,,1.0,,,126.5934065934066,12.25,10.5,12.25,10.5,0.5,,0.5,,,,,,,,,,,1.0,,0.626,,,,,,,1.8,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1630598-1642272,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Aaron Wiggins, Jared McCain","Caruso, Hartenstein, Gilgeous-Alexander, Wiggins, McCain",1627936-1628392-1628983-1630598-1642272,OKC,58.0,1,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,74.48275862068965,39.0,9.5,39.0,9.5,,,,,,,,,,,,,,,,0.4161,,,,,,,18.7,,,2.0,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1631096-1631114,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Chet Holmgren, Jalen Williams","Caruso, Hartenstein, Gilgeous-Alexander, Holmgren, Williams",1627936-1628392-1628983-1631096-1631114,OKC,15.8,2,,-2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,182.2784810126582,9.8,6.0,9.8,6.0,,,,,,,,,,,,,,,,0.4631,,0.4631,,,,,14.9,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
1627936-1628392-1628983-1631096-1641717,1610612760,"Alex Caruso, Isaiah Hartenstein, Shai Gilgeous-Alexander, Chet Holmgren, Cason Wallace","Caruso, Hartenstein, Gilgeous-Alexander, Holmgren, Wallace",1627936-1628392-1628983-1631096-1641717,OKC,43.0,1,1.0,-4.0,1.0,2.0,,1.0,3.0,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,100.46511627906976,22.0,10.5,21.0,10.0,,,,,,,,,,,,,,,,0.4238,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612760,2026,2025-26,False
