index,year,ortg,drtg,AtRimFGM,AtRimFGA,AtRimAssists,Turnovers,FTA,OffPoss,DefPoss,TwoPtAssists,Steals,BadPassSteals,ThreePtAssists,FG3A,OpponentPoints,Points,SecondChancePoints,FG2A,LiveBallTurnovers,TsPct,Fg3Pct,AtRimFG3AFrequency,Pace,AtRimFrequency,SecondsPerPossOff,SecondsPerPossDef,Minutes,DefAtRimReboundPct,DefFGReboundPct,AtRimAccuracy,player_on,OffFGReboundPct,nba_id
0,2008,103.53721444362564,109.5690284879474,264.0,464.0,109.0,180.0,325.0,1357.0,1369.0,185.0,104.0,69.0,66.0,252.0,1500.0,1405.0,219.0,1005.0,96.0,0.5003576537911302,0.3412698412698413,0.569610182975338,95.50251806437488,0.3691328560063643,14.893146647015476,15.261504747991234,685.0,0.4927536231884058,0.707641196013289,0.5689655172413793,True,0.3054755043227665,201163
1,2008,104.7382743716984,112.19903691813803,1093.0,2000.0,546.0,1007.0,1770.0,6247.0,6230.0,957.0,417.0,269.0,322.0,1202.0,6990.0,6543.0,988.0,4298.0,525.0,0.5193934557063049,0.3361064891846921,0.5821818181818181,90.99135507984018,0.3636363636363636,16.130942852569234,15.519582664526483,3291.0,0.5712074303405573,0.69701230228471,0.5465,False,0.3179538615847542,201163
2,2009,107.54478017007418,111.51898734177216,998.0,1720.0,466.0,804.0,1316.0,5527.0,5530.0,741.0,406.0,265.0,469.0,1546.0,6167.0,5944.0,735.0,3365.0,449.0,0.5413465056714234,0.3551099611901682,0.6650376705355325,97.03556083737088,0.3502341681938505,13.931065677582776,15.748282097649186,2735.0,0.566006600660066,0.7051024507834471,0.5802325581395349,True,0.2682835820895522,201163
3,2009,109.33170334148328,108.69565217391305,449.0,796.0,205.0,371.0,584.0,2454.0,2461.0,303.0,204.0,127.0,225.0,738.0,2675.0,2683.0,367.0,1442.0,205.0,0.5487253289473685,0.3712737127371274,0.7036697247706422,96.19571865443424,0.3651376146788991,14.15281173594132,15.783827712312068,1226.0,0.6007751937984496,0.6886446886446886,0.5640703517587939,False,0.2829226847918437,201163
4,2010,106.5121412803532,109.49115044247787,844.0,1388.0,390.0,651.0,962.0,4530.0,4520.0,679.0,330.0,217.0,349.0,1171.0,4949.0,4825.0,627.0,2861.0,316.0,0.5416760531651272,0.3390264730999146,0.6346726190476191,93.62405258809584,0.3442460317460317,14.854746136865344,15.90774336283186,2320.0,0.610337972166998,0.7027683341427877,0.6080691642651297,True,0.2543083372147182,201163
5,2010,109.0015360983103,114.28134556574923,559.0,918.0,277.0,497.0,797.0,3255.0,3270.0,462.0,256.0,158.0,282.0,974.0,3737.0,3548.0,423.0,1870.0,269.0,0.5532915360501567,0.3552361396303901,0.6652601969057665,94.56045891410456,0.3227848101265823,15.035330261136712,15.420489296636086,1656.0,0.5374331550802139,0.6827880512091038,0.6089324618736384,False,0.2711198428290766,201163
6,2011,106.57165479018212,98.97233201581028,263.0,420.0,154.0,198.0,352.0,1263.0,1265.0,231.0,104.0,65.0,73.0,233.0,1252.0,1346.0,166.0,844.0,114.0,0.5447882736156352,0.351931330472103,0.606313834726091,94.54148811842616,0.3899721448467966,14.062549485352337,16.398418972332017,642.0,0.631578947368421,0.7515923566878981,0.6261904761904762,True,0.2730560578661845,201163
7,2011,113.96946564885496,109.60097844366304,1298.0,2158.0,675.0,960.0,2076.0,6550.0,6541.0,1003.0,501.0,320.0,506.0,1471.0,7169.0,7465.0,875.0,4065.0,497.0,0.5765997197571229,0.3942895989123045,0.6555274566473989,95.2289156626506,0.3898121387283237,14.66885496183206,15.57468277021862,3299.0,0.5728,0.7168112074716477,0.6014828544949027,False,0.2804662663369834,201163
8,2011,111.67656205824144,109.41209723007348,618.0,958.0,321.0,495.0,891.0,3537.0,3538.0,506.0,267.0,164.0,301.0,949.0,3871.0,3950.0,471.0,2151.0,258.0,0.5633620689655172,0.3761854583772392,0.6151612903225806,96.54675713581744,0.3090322580645161,14.346338705117333,15.48360655737705,1759.0,0.6320754716981132,0.6846295162278015,0.6450939457202505,True,0.2628361858190709,201163
9,2011,110.3830179972312,110.93388811835412,700.0,1148.0,354.0,628.0,1196.0,4334.0,4326.0,623.0,358.0,208.0,327.0,1132.0,4799.0,4784.0,555.0,2635.0,328.0,0.5539089848308051,0.3604240282685512,0.6052561720201752,94.59024849054886,0.304751791876825,14.576142131979696,15.872168284789645,2197.0,0.5881147540983607,0.676175382989963,0.6097560975609756,False,0.2752836704489393,201163
10,2012,111.55660377358492,115.76470588235294,99.0,155.0,53.0,73.0,111.0,424.0,425.0,75.0,26.0,17.0,27.0,73.0,492.0,473.0,58.0,290.0,38.0,0.5705596107055961,0.3972602739726027,0.628099173553719,94.94874184529355,0.4269972451790633,13.827830188679243,16.501176470588234,215.0,0.6666666666666666,0.7286432160804021,0.6387096774193548,True,0.3050847457627119,201163
11,2012,109.25388424107904,105.59535994541112,1372.0,2215.0,829.0,944.0,1647.0,5857.0,5862.0,1106.0,514.0,327.0,373.0,1238.0,6190.0,6399.0,828.0,3803.0,486.0,0.5506318158213606,0.3279483037156704,0.684983138266217,93.95870916015234,0.4393969450505852,14.741676626259178,15.909587171613785,2993.0,0.6152647975077882,0.7130339539978094,0.61941309255079,False,0.3115577889447236,201163
12,2013,112.44196843082636,104.12801484230056,548.0,871.0,339.0,324.0,592.0,2154.0,2156.0,428.0,235.0,147.0,127.0,427.0,2245.0,2422.0,310.0,1456.0,154.0,0.5634624358376108,0.3419203747072599,0.6893255443441317,95.83989622903734,0.4625597450876261,14.086350974930362,15.962894248608537,1079.0,0.5398550724637681,0.65625,0.6291618828932262,True,0.3158458244111349,201163
