EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PenaltyFtPoints,AtRimAssists,ShortMidRangeAssists,StepOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceFtPoints,Clear Path Fouls,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,FTDefRebounds,PenaltyFg3Pct,DefFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,Offensive Fouls,RecoveredBlocks,LongMidRangePctBlocked,OffLongMidRangeReboundPct,BlocksRecoveredPct,DefensiveGoaltends,PenaltyAtRimFGM,PtsPutbacks,Fg3aBlocked,Offensive Fouls Drawn,FG3APctBlocked,Corner3PctBlocked,PenaltyAtRimAccuracy,PenaltyCorner3FGA,Charge Fouls,PenaltyCorner3Frequency,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,OffCorner3ReboundPct,Arc3PctBlocked,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFoulsDrawn,3SecondViolations,BlockedLongMidRange,Blocked3s,BlockedCorner3,HeaveAttempts,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedArc3,team_id,year,season,team_vs
101128-101236-201574-201936-202690,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Tyreke Evans, Jimmer Fredette","Garcia, Hayes, Thompson, Evans, Fredette",101128-101236-201574-201936-202690,SAC,587.0,2,10.0,2.0,17.0,17.0,2.0,2.0,34.0,4.0,4.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,7.0,12.0,1.0,2.0,4.0,21.0,19.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,10.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,5.0,1.0,3.0,19.0,2.0,2.0,0.2857142857142857,0.2857142857142857,1.0,0.5,0.5,0.5833333333333334,0.5,1.0,0.6071428571428571,0.5,1.0,0.65625,0.5,1.0,0.14285714285714285,0.08333333333333333,0.2,0.5,0.3333333333333333,0.2,1.0,1.0,0.6,0.3333333333333333,0.25,1.0,0.5,1.0,0.2,83.40715502555366,16.58823529411765,17.941176470588236,16.176470588235293,16.88235294117647,0.2857142857142857,1.0,1.0,0.35714285714285715,0.2,0.25,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,0.5,0.5,1.0,0.5,1.0,0.42857142857142855,0.5,0.48736428571428575,0.4265,0.3691,0.1875,0.21428571428571427,0.09523809523809523,0.09523809523809523,7.616666666666667,25.8,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201936-202738,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Tyreke Evans, Isaiah Thomas","Garcia, Hayes, Thompson, Evans, Thomas",101128-101236-201574-201936-202738,SAC,997.0,4,17.0,-8.0,27.0,30.0,9.0,4.0,57.0,3.0,6.0,,,1.0,3.0,4.0,7.0,3.0,7.0,8.0,16.0,3.0,7.0,2.0,27.0,35.0,,1.0,3.0,2.0,4.0,6.0,8.0,8.0,9.0,7.0,3.0,1.0,4.0,3.0,7.0,3.0,2.0,17.0,1.0,3.0,3.0,5.0,8.0,4.0,12.0,,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,7.0,3.0,10.0,4.0,3.0,,,24.0,6.0,9.0,0.5,0.5,1.0,0.42857142857142855,0.42857142857142855,0.5,,0.5,0.5434782608695652,0.75,0.4,0.5625,0.75,0.5,0.30434782608695654,0.0625,,0.42857142857142855,0.45454545454545453,0.375,1.0,0.25,0.5714285714285714,0.3333333333333333,0.5,0.25,0.75,1.0,,82.32698094282848,18.925925925925927,16.2,17.925925925925927,13.7,0.2608695652173913,0.5,0.6,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.5,0.30434782608695654,0.42857142857142855,0.42857142857142855,1.0,,,0.5652173913043478,0.42857142857142855,0.4863630434782608,0.4911,0.45597000000000004,,,0.1111111111111111,0.2222222222222222,10.775,25.085714285714285,0.3333333333333333,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.25,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201936-2422,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Tyreke Evans, John Salmons","Garcia, Hayes, Thompson, Evans, Salmons",101128-101236-201574-201936-2422,SAC,96.0,2,2.0,-1.0,2.0,2.0,,1.0,4.0,,,,,1.0,3.0,,,,,1.0,3.0,,,1.0,3.0,4.0,,1.0,1.0,,,,2.0,,,,,1.0,1.0,,1.0,,,2.0,,2.0,,,,2.0,2.0,,,,,,,,,,,,,2.0,1.0,2.0,,1.0,2.0,,,1.0,1.0,,,,0.3333333333333333,,,0.3333333333333333,,,0.375,0.25,,,0.3333333333333333,0.3333333333333333,,,1.0,,,,1.0,1.0,,,,,60.0,26.0,22.0,17.5,22.0,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,0.39693333333333336,0.4007,,0.25,0.25,0.3333333333333333,,9.266666666666667,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201944-202690,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Terrence Williams, Jimmer Fredette","Garcia, Hayes, Thompson, Williams, Fredette",101128-101236-201574-201944-202690,SAC,417.0,3,7.0,-4.0,12.0,13.0,,1.0,25.0,1.0,2.0,,,,1.0,2.0,4.0,2.0,3.0,3.0,7.0,2.0,3.0,2.0,14.0,18.0,,,3.0,,,,6.0,,6.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,12.0,,1.0,2.0,,2.0,1.0,3.0,,3.0,1.0,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,3.0,1.0,2.0,11.0,,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,,,0.6,1.5,,0.6363636363636364,1.5,,0.3,0.2857142857142857,1.0,1.0,,0.25,1.0,,1.0,0.2,1.0,,,,,86.33093525179856,15.833333333333334,17.46153846153846,15.583333333333334,17.46153846153846,0.2,0.5,1.0,0.1,,,0.4,0.5,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,,,0.5,0.6666666666666666,0.48965500000000006,0.5469,,0.18181818181818182,0.25,0.21428571428571427,,11.028571428571428,24.53333333333333,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,0.5,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201944-202738,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Terrence Williams, Isaiah Thomas","Garcia, Hayes, Thompson, Williams, Thomas",101128-101236-201574-201944-202738,SAC,297.0,2,5.0,6.0,9.0,9.0,3.0,1.0,18.0,,,,,1.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,1.0,18.0,12.0,,,3.0,1.0,1.0,6.0,,8.0,6.0,4.0,2.0,,,2.0,2.0,1.0,,6.0,1.0,,2.0,,3.0,1.0,4.0,,,,,,,,,,,,,2.0,3.0,2.0,,1.0,15.0,6.0,3.0,,,0.6666666666666666,0.6,0.6,1.0,,1.0,0.9444444444444444,1.5,1.25,0.9,1.5,1.0,0.5555555555555556,,,,,,1.0,0.5,1.0,0.5,,0.5,,1.0,,87.27272727272727,18.0,15.0,16.88888888888889,15.0,,,,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,1.0,,0.4444444444444444,0.5,0.5,0.5,,,0.5555555555555556,0.5,0.5015277777777778,,0.4837,0.1,0.2,0.16666666666666666,0.3333333333333333,14.525,24.759999999999998,0.3333333333333333,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,0.5,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201977-202690,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Marcus Thornton, Jimmer Fredette","Garcia, Hayes, Thompson, Thornton, Fredette",101128-101236-201574-201977-202690,SAC,115.0,1,2.0,-1.0,4.0,4.0,,,8.0,,,,,1.0,1.0,1.0,1.0,,,2.0,2.0,,,,4.0,5.0,,,,,,,4.0,,,,,,2.0,,2.0,,1.0,4.0,,,2.0,,2.0,,2.0,,,,,2.0,,,,2.0,,2.0,,1.0,,,,,4.0,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,100.17391304347825,13.0,15.75,13.0,15.75,,,,0.5,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,0.41365,,,,,,,12.45,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201977-202738,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Marcus Thornton, Isaiah Thomas","Garcia, Hayes, Thompson, Thornton, Thomas",101128-101236-201574-201977-202738,SAC,811.0,2,14.0,-14.0,23.0,23.0,4.0,6.0,46.0,2.0,5.0,,2.0,,2.0,2.0,7.0,,3.0,4.0,14.0,2.0,5.0,4.0,18.0,32.0,,3.0,2.0,,2.0,2.0,6.0,2.0,6.0,3.0,,2.0,3.0,2.0,5.0,,1.0,12.0,2.0,4.0,3.0,4.0,7.0,6.0,13.0,,1.0,1.0,,4.0,2.0,2.0,,2.0,,6.0,1.0,3.0,6.0,8.0,,2.0,16.0,2.0,4.0,0.75,0.75,1.0,0.4,0.4,0.2857142857142857,,,0.3684210526315789,,,0.391304347826087,0.2,0.2,0.2631578947368421,0.14285714285714285,,0.6666666666666666,0.4444444444444444,0.4,0.75,1.0,0.5384615384615384,0.5,0.5,1.0,0.5,0.75,,81.67694204685573,18.0,17.26086956521739,16.608695652173914,14.91304347826087,0.2631578947368421,0.4,0.4,0.10526315789473684,,,0.3684210526315789,0.2857142857142857,0.4,0.5,0.15789473684210525,,,,0.6666666666666666,,0.5263157894736842,,0.47863947368421056,0.43875,0.38736666666666664,0.09523809523809523,0.125,0.1111111111111111,0.1111111111111111,10.885714285714286,25.52,0.17391304347826086,5.0,,,,1.0,,,1.0,2.0,2.0,,,1.0,2.0,,,,,,2.0,1.0,1.0,,1.0,,2.0,,,0.3333333333333333,0.5,0.3333333333333333,,1.0,,,,,,0.3333333333333333,2.0,,2.0,2.0,,,,2.0,,,,0.10526315789473684,1.0,1.0,1.0,,1.0,1.0,1.0,0.2857142857142857,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-201977-2422,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Marcus Thornton, John Salmons","Garcia, Hayes, Thompson, Thornton, Salmons",101128-101236-201574-201977-2422,SAC,10.0,1,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,144.0,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-202690-202715,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Jimmer Fredette, Tyler Honeycutt","Garcia, Hayes, Thompson, Fredette, Honeycutt",101128-101236-201574-202690-202715,SAC,269.0,1,4.0,3.0,8.0,9.0,,1.0,17.0,2.0,3.0,,,1.0,1.0,2.0,2.0,,,5.0,6.0,1.0,2.0,,13.0,10.0,1.0,1.0,2.0,,,,8.0,2.0,3.0,,,,4.0,1.0,5.0,,1.0,11.0,,1.0,1.0,1.0,4.0,1.0,5.0,,,,,1.0,1.0,,,,,1.0,,1.0,2.0,,,,11.0,,,0.8,0.8,1.0,0.5,0.5,0.8333333333333334,1.0,,0.8125,1.0,,0.8125,1.0,,0.25,,,1.0,1.0,1.0,1.0,,1.0,0.5,,,,1.0,,91.00371747211896,17.0,14.777777777777779,15.875,14.777777777777779,0.375,0.6666666666666666,0.6666666666666666,0.125,1.0,1.0,0.25,1.0,1.0,0.5,,,,,,,0.625,,0.5301125,0.4114,,,,0.15384615384615385,,8.75,23.5,,8.0,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,2.0,,,,1.0,2.0,,1.0,0.25,0.5,0.5,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
101128-101236-201574-202690-202738,1610612758,"Francisco Garcia, Chuck Hayes, Jason Thompson, Jimmer Fredette, Isaiah Thomas","Garcia, Hayes, Thompson, Fredette, Thomas",101128-101236-201574-202690-202738,SAC,115.0,1,2.0,6.0,5.0,4.0,,2.0,9.0,2.0,4.0,1.0,1.0,,,,,,1.0,2.0,4.0,,2.0,2.0,6.0,,1.0,1.0,4.0,,,,,4.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,2.0,1.0,1.0,,,,,,,,,,2.0,2.0,,1.0,2.0,,,,,,,,0.5,1.0,,0.3333333333333333,1.0,,0.42857142857142855,1.0,,0.3333333333333333,0.25,,,1.0,0.5,1.0,0.5,1.0,0.5,,1.0,1.0,1.0,,112.69565217391303,10.8,15.25,9.0,15.25,0.6666666666666666,0.5,0.6666666666666666,,,,,,,,0.16666666666666666,,,,1.0,1.0,1.0,,0.6944166666666667,,,0.14285714285714285,0.2,0.6666666666666666,,1.4,23.2,,4.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,0.25,0.5,,,,,,,,,,,2.0,,,1.0,,,,,,,,0.16666666666666666,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2012,2011-12,True
