EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg3ptShotDistance,Minutes,DefPoss,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,FtPoints,PenaltyFtPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3PctAssisted,PenaltyAtRimFrequency,AtRimFGM,FG2M,PtsUnassisted2s,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Fg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,OffThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyDefPoss,SecondChanceAtRimFGA,LongMidRangeFGM,LostBallTurnovers,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceFtPoints,BlockingFouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceFG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeAssists,LongMidRangePctAssisted,Travels,LongMidRangePctBlocked,OffAtRimReboundPct,DefShortMidRangeReboundPct,Offensive Fouls Drawn,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,PenaltyFg2Pct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Offensive Fouls,FTOffRebounds,Blocked3s,BlockedCorner3,OffFTReboundPct,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,BlockedArc3,DefensiveGoaltends,team_id,year,season,team_vs
101107-1503-201143-201952-2207,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Jeff Teague, Joe Johnson","Williams, McGrady, Horford, Teague, Johnson",101107-1503-201143-201952-2207,ATL,14.0,1,-2.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,102.85714285714286,9.0,9.0,1.0,0.4124,0.4124,10.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201143-201952-2584,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Jeff Teague, Willie Green","Williams, McGrady, Horford, Teague, Green",101107-1503-201143-201952-2584,ATL,23.0,1,3.0,1.0,1.0,1,,,,,,,1.0,62.60869565217391,23.0,23.0,,0.42345,0.42345,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201143-2207-2457,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Joe Johnson, Jannero Pargo","Williams, McGrady, Horford, Johnson, Pargo",101107-1503-201143-2207-2457,ATL,220.0,1,-5.0,7.0,7.0,14,,4.0,9.0,4.0,1.0,3.0,7.0,91.63636363636364,18.714285714285715,17.0,,0.42813999999999997,0.42813999999999997,10.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.3,0.3,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.2,1.0,0.6,1.0,1.0,26.8,4.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,12.714285714285714,12.714285714285714,0.4,0.4,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201143-2550-2746,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Kirk Hinrich, Josh Smith","Williams, McGrady, Horford, Hinrich, Smith",101107-1503-201143-2550-2746,ATL,43.0,1,1.0,1.0,,2,,1.0,2.0,,,,,66.97674418604652,19.0,19.0,,0.4088,,2.7,,,,,,,,3.0,,,,,,,3.0,,,,,1.0,,1.5,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,24.0,24.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201143-2550-956,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Kirk Hinrich, Erick Dampier","Williams, McGrady, Horford, Hinrich, Dampier",101107-1503-201143-2550-956,ATL,185.0,1,2.0,5.0,,10,3.0,4.0,3.0,,1.0,1.0,,77.83783783783784,21.4,15.6,0.5,0.45803333333333335,,10.85,,1.0,2.0,,,1.0,2.0,5.0,,,,,2.0,1.0,2.0,,0.5,,0.5,0.4166666666666667,,0.4166666666666667,,0.3333333333333333,0.3333333333333333,0.5,0.5,,,0.3333333333333333,0.5,,25.15,3.0,5.0,1.0,,,1.0,,,3.0,,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,3.0,4.0,1.0,1.0,1.0,2.0,,,,2.0,,,,1.0,,,0.5,,,0.6666666666666666,1.0,1.0,0.75,1.0,,,15.6,15.6,,0.16666666666666666,1.0,,,1.0,2.0,,,0.25,,,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5315666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201274-201952-2584,1610612737,"Marvin Williams, Tracy McGrady, Ivan Johnson, Jeff Teague, Willie Green","Williams, McGrady, Johnson, Teague, Green",101107-1503-201274-201952-2584,ATL,36.0,1,-2.0,1.0,1.0,3,,1.0,2.0,1.0,,,1.0,120.0,12.0,12.0,,0.4056,0.4056,21.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201274-2457-2584,1610612737,"Marvin Williams, Tracy McGrady, Ivan Johnson, Jannero Pargo, Willie Green","Williams, McGrady, Johnson, Pargo, Green",101107-1503-201274-2457-2584,ATL,124.0,1,-2.0,3.0,,6,1.0,3.0,4.0,,,1.0,,69.6774193548387,22.333333333333332,21.333333333333332,0.3333333333333333,0.4714,,9.566666666666666,,,,,,,,2.0,,,,,,,2.0,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,2.0,3.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,0.3333333333333333,1.0,1.0,,1.0,0.5,,1.0,0.5,,,,19.0,19.0,0.3333333333333333,0.3333333333333333,,,,1.0,2.0,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.6416,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201274-2550-2584,1610612737,"Marvin Williams, Tracy McGrady, Ivan Johnson, Kirk Hinrich, Willie Green","Williams, McGrady, Johnson, Hinrich, Green",101107-1503-201274-2550-2584,ATL,51.0,1,-2.0,1.0,,2,,,2.0,,,,,56.470588235294116,44.0,44.0,,0.50085,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,25.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201952-2207-2215,1610612737,"Marvin Williams, Tracy McGrady, Jeff Teague, Joe Johnson, Jason Collins","Williams, McGrady, Teague, Johnson, Collins",101107-1503-201952-2207-2215,ATL,14.0,1,,,,1,,,,,,1.0,,102.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
101107-1503-201952-2207-2550,1610612737,"Marvin Williams, Tracy McGrady, Jeff Teague, Joe Johnson, Kirk Hinrich","Williams, McGrady, Teague, Johnson, Hinrich",101107-1503-201952-2207-2550,ATL,117.0,1,-3.0,3.0,,6,2.0,4.0,6.0,,,1.0,,73.84615384615385,30.333333333333332,21.666666666666668,0.5,0.376575,,13.6,,,,,,,,3.0,,,,,,,2.0,,,,,0.25,,0.25,,,,,,,,,,,,2.0,3.0,1.0,,,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,0.25,,,,,0.3333333333333333,,,0.3333333333333333,0.5,,,8.666666666666666,8.666666666666666,,0.5,,,,1.0,2.0,,,0.25,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,0.5,1.0,,,,0.3264,0.3333333333333333,3.0,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,False
