EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,LostBallSteals,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGM,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Charge Fouls Drawn,PtsUnassisted3s,OffThreePtRebounds,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,BlockingFouls,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Technical Free Throw Trips,team_id,year,season,team_vs
101122-200811-201588-201946-2571,1610612754,"Danny Granger, Lou Amundson, George Hill, Tyler Hansbrough, Leandro Barbosa","Granger, Amundson, Hill, Hansbrough, Barbosa",101122-200811-201588-201946-2571,IND,101.0,2,2.0,-3.0,4.0,3.0,1.0,2.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.2,0.5,0.2,0.5,0.2,1.0,0.75,1.0,1.0,1.0,0.25,99.8019801980198,13.25,16.0,12.5,16.0,0.4,0.5,0.5,0.2,0.2,0.2,1.0,0.5,0.6,0.49993999999999994,0.48945,1.0,7.25,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201588-202331-2561,1610612754,"Danny Granger, Lou Amundson, George Hill, Paul George, David West","Granger, Amundson, Hill, George, West",101122-200811-201588-202331-2561,IND,181.0,2,3.0,-5.0,4.0,5.0,2.0,,9.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,7.0,,,,,,,,,2.0,,,,2.0,1.0,2.0,,1.0,2.0,1.0,,0.5,,0.5,,0.5,,,,,,,71.60220994475138,17.0,22.6,17.0,21.2,0.5,1.0,1.0,,,,,,1.0,0.62555,,,0.5,24.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.62555,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201588-2561-2571,1610612754,"Danny Granger, Lou Amundson, George Hill, David West, Leandro Barbosa","Granger, Amundson, Hill, West, Barbosa",101122-200811-201588-2561-2571,IND,303.0,4,5.0,10.0,9.0,7.0,2.0,2.0,16.0,2.0,3.0,1.0,1.0,,,3.0,2.0,3.0,3.0,14.0,4.0,1.0,1.0,4.0,4.0,,3.0,1.0,1.0,5.0,,1.0,,1.0,,1.0,,3.0,5.0,0.6666666666666666,1.0,0.8333333333333334,1.0,0.875,1.0,0.5,1.0,0.5,1.0,,,,76.03960396039604,15.88888888888889,22.857142857142858,13.88888888888889,22.857142857142858,0.5,0.6666666666666666,1.0,,,0.5,1.0,1.0,1.0,0.5263833333333333,0.6089,0.2857142857142857,2.2333333333333334,24.866666666666664,2.0,,,,,,,1.0,5.0,,,2.0,,6.0,3.0,1.0,4.0,,,10.0,5.0,2.0,,,,,1.5,1.25,0.5,1.0,1.0,1.0,,,,,,0.5493,0.35714285714285715,0.2222222222222222,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201946-201954-202331,1610612754,"Danny Granger, Lou Amundson, Tyler Hansbrough, Darren Collison, Paul George","Granger, Amundson, Hansbrough, Collison, George",101122-200811-201946-201954-202331,IND,13.0,1,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,221.53846153846152,13.0,,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,0.5,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201946-201954-2571,1610612754,"Danny Granger, Lou Amundson, Tyler Hansbrough, Darren Collison, Leandro Barbosa","Granger, Amundson, Hansbrough, Collison, Barbosa",101122-200811-201946-201954-2571,IND,1709.0,11,28.0,-24.0,56.0,59.0,39.0,10.0,115.0,6.0,13.0,,3.0,8.0,24.0,5.0,17.0,45.0,8.0,36.0,60.0,2.0,9.0,6.0,12.0,,5.0,11.0,12.0,25.0,1.0,9.0,,8.0,,11.0,1.0,8.0,18.0,0.37777777777777777,0.2222222222222222,0.32075471698113206,0.2222222222222222,0.32142857142857145,0.2727272727272727,0.1509433962264151,0.44,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.38461538461538464,0.03125,96.89877121123463,15.214285714285714,14.525423728813559,14.053571428571429,13.796610169491526,0.24528301886792453,0.46153846153846156,0.5,0.1509433962264151,0.4528301886792453,0.09433962264150944,0.3333333333333333,,0.39622641509433965,0.46196037735849055,0.4322333333333333,0.16666666666666666,11.4,24.8875,36.0,4.0,7.0,3.0,1.0,10.0,28.0,4.0,22.0,22.0,11.0,11.0,4.0,22.0,5.0,,13.0,,9.0,30.0,22.0,36.0,5.0,0.6470588235294118,0.6470588235294118,0.35714285714285715,0.3125,0.3235294117647059,,0.8333333333333334,0.5652173913043478,,0.6666666666666666,0.05660377358490566,0.21875,0.5714285714285714,0.03125,0.442228125,0.6111111111111112,0.6428571428571429,,,3.0,,2.0,2.0,,2.0,,,1.0,,,9.0,,6.0,7.0,2.0,,,,,0.022222222222222223,0.07692307692307693,0.8333333333333334,,,,0.09375,,,0.037037037037037035,0.043478260869565216,2.0,9.0,2.0,5.0,1.0,8.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.2727272727272727,0.25,0.47058823529411764,0.5714285714285714,0.3333333333333333,1.0,0.3333333333333333,0.25,0.25,1.0,0.375,0.375,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201954-202331-2561,1610612754,"Danny Granger, Lou Amundson, Darren Collison, Paul George, David West","Granger, Amundson, Collison, George, West",101122-200811-201954-202331-2561,IND,288.0,1,5.0,-1.0,9.0,10.0,9.0,1.0,19.0,1.0,1.0,,,1.0,4.0,2.0,2.0,6.0,3.0,11.0,12.0,,,1.0,,,2.0,1.0,1.0,5.0,,,,,,,,1.0,2.0,0.3333333333333333,,0.5555555555555556,,0.55,0.5,0.3333333333333333,0.25,0.2,,,0.3333333333333333,,95.0,15.777777777777779,14.6,15.777777777777779,14.1,0.1111111111111111,1.0,1.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,,,0.4444444444444444,0.5028388888888888,,0.09090909090909091,13.25,23.933333333333334,5.0,,,1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,10.0,,1.0,4.0,,,10.0,5.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,,0.6,,1.0,0.1111111111111111,,,0.2,0.48512000000000005,0.45454545454545453,0.5555555555555556,1.0,,1.0,2.0,1.0,1.0,1.0,,6.0,1.0,1.0,2.0,1.0,,,2.0,2.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,,,0.5,0.5,1.0,0.2,,0.5,0.1,0.14285714285714285,,1.0,,1.0,,3.0,,,,,,,1.0,,,,,,,,,,,,0.6,,0.5,0.6666666666666666,,,,,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201954-202331-2571,1610612754,"Danny Granger, Lou Amundson, Darren Collison, Paul George, Leandro Barbosa","Granger, Amundson, Collison, George, Barbosa",101122-200811-201954-202331-2571,IND,205.0,1,3.0,-2.0,6.0,6.0,,,12.0,1.0,2.0,,,,1.0,1.0,1.0,3.0,2.0,2.0,4.0,,,,,,1.0,,,3.0,,,,,,1.0,,,2.0,0.3333333333333333,,0.2,,0.2,,0.4,,,,,,,84.29268292682927,12.333333333333334,21.833333333333332,12.333333333333334,18.5,0.4,0.5,1.0,,0.2,0.2,,,0.8,0.54566,,,7.5,25.3,,,,1.0,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,,3.0,,,2.0,,,,1.0,1.0,,,,,1.0,0.6,1.0,1.0,0.2,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,0.5,,0.5,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201954-2561-2571,1610612754,"Danny Granger, Lou Amundson, Darren Collison, David West, Leandro Barbosa","Granger, Amundson, Collison, West, Barbosa",101122-200811-201954-2561-2571,IND,279.0,3,5.0,-1.0,10.0,9.0,8.0,,19.0,2.0,2.0,,,1.0,3.0,,2.0,6.0,,6.0,7.0,,,,2.0,,,,,6.0,,,,1.0,1.0,3.0,,,1.0,0.3333333333333333,,0.3333333333333333,,0.42857142857142855,,,,,,,,,98.06451612903226,15.8,13.444444444444445,15.8,12.222222222222221,0.3333333333333333,1.0,1.0,0.16666666666666666,0.5,,,,0.3333333333333333,0.4535666666666667,,,11.733333333333334,,2.0,,,,,,1.0,,,2.0,1.0,1.0,1.0,2.0,3.0,,6.0,,1.0,6.0,,2.0,,0.5,0.5,,,,,1.0,1.0,1.0,0.5,,,,,0.3415,,0.2,,,,,2.0,,,,,,,,,,,2.0,2.0,1.0,,,,,,,1.0,,,,,,,0.14285714285714285,0.14285714285714285,,,,,,3.0,2.0,2.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,0.6666666666666666,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-200811-201954-2563-2571,1610612754,"Danny Granger, Lou Amundson, Darren Collison, Dahntay Jones, Leandro Barbosa","Granger, Amundson, Collison, Jones, Barbosa",101122-200811-201954-2563-2571,IND,7.0,1,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
101122-201579-201588-201946-202331,1610612754,"Danny Granger, Roy Hibbert, George Hill, Tyler Hansbrough, Paul George","Granger, Hibbert, Hill, Hansbrough, George",101122-201579-201588-201946-202331,IND,400.0,2,7.0,,12.0,13.0,1.0,1.0,25.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,16.0,16.0,1.0,1.0,2.0,6.0,2.0,3.0,,1.0,6.0,,1.0,,2.0,,2.0,,1.0,3.0,0.6,1.0,0.6666666666666666,1.0,0.7272727272727273,1.0,0.4444444444444444,,0.25,,,,,90.0,16.083333333333332,15.923076923076923,15.916666666666666,15.692307692307692,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.0,1.0,0.7777777777777778,0.4908111111111111,,0.125,8.32,24.85,4.0,,,1.0,,1.0,1.0,,4.0,,,1.0,,3.0,,,5.0,,2.0,14.0,4.0,4.0,,,,1.0,1.0,1.0,,,0.8333333333333334,,,0.1111111111111111,,,,0.2792,0.25,0.3333333333333333,2.0,,,2.0,4.0,,,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.5,0.5,,0.5,,,,0.6666666666666666,0.6666666666666666,0.5,,,0.6666666666666666,0.1,0.16666666666666666,1.0,,,,,5.0,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,0.8333333333333334,,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,3.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2012,2011-12,False
