EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceOffPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PenaltyFG3A,PtsUnassisted3s,OffThreePtRebounds,OffRebounds,BadPassTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Frequency,PenaltyFG2M,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Offensive Fouls Drawn,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffTwoPtRebounds,Blocked3s,BlockedArc3,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,FTDefRebounds,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChancePointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,StepOutOfBoundsTurnovers,PenaltyFg3Pct,OffAtRimReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,Corner3Assists,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,PtsPutbacks,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,BlockingFoulsDrawn,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,FTOffRebounds,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,Arc3PctBlocked,BlockedCorner3,3SecondViolations,team_id,year,season,team_vs
101142-101154-1740-201156-202322,1610612764,"Ronny Turiaf, Andray Blatche, Rashard Lewis, Nick Young, John Wall","Turiaf, Blatche, Lewis, Young, Wall",101142-101154-1740-201156-202322,WAS,410.0,3,7.0,2.0,14.0,16.0,4.0,30.0,3.0,6.0,2.0,4.0,5.0,10.0,2.0,12.0,10.0,1.0,2.0,2.0,4.0,6.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,6.0,6.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,12.0,2.0,4.0,0.4,0.4,0.5,0.5,0.5454545454545454,0.5,0.1,0.16666666666666666,0.25,1.0,1.0,1.0,1.0,1.0,1.0,105.3658536585366,11.357142857142858,15.6875,11.357142857142858,15.6875,0.6,0.5,0.6,0.6666666666666666,0.4,0.5,0.5,0.6,0.542,0.4137,0.18181818181818182,0.18181818181818182,0.16666666666666666,9.14,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-1740-201156-202348,1610612764,"Ronny Turiaf, Andray Blatche, Rashard Lewis, Nick Young, Jordan Crawford","Turiaf, Blatche, Lewis, Young, Crawford",101142-101154-1740-201156-202348,WAS,197.0,1,3.0,4.0,6.0,6.0,,12.0,1.0,1.0,1.0,2.0,3.0,4.0,,9.0,5.0,,,,2.0,4.0,,1.0,2.0,,5.0,,2.0,2.0,2.0,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,9.0,,,0.3333333333333333,0.3333333333333333,0.75,0.9,0.9,,,,,0.6666666666666666,,0.6666666666666666,,1.0,,87.71573604060914,14.666666666666666,18.166666666666668,14.666666666666666,16.5,0.2,1.0,1.0,,0.4,0.5,0.5,0.4,0.49639,,,,,11.825,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,0.5,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-1740-202322-202348,1610612764,"Ronny Turiaf, Andray Blatche, Rashard Lewis, John Wall, Jordan Crawford","Turiaf, Blatche, Lewis, Wall, Crawford",101142-101154-1740-202322-202348,WAS,355.0,2,6.0,1.0,11.0,9.0,3.0,20.0,2.0,3.0,1.0,1.0,3.0,5.0,4.0,16.0,15.0,1.0,4.0,4.0,6.0,,,3.0,4.0,2.0,9.0,3.0,,3.0,4.0,,,,2.0,,,,2.0,,1.0,1.0,,,2.0,5.0,,1.0,16.0,4.0,3.0,1.0,1.0,0.6,0.6666666666666666,0.6818181818181818,0.375,,,1.0,,1.0,1.0,,,1.0,81.12676056338027,18.818181818181817,16.444444444444443,17.90909090909091,16.444444444444443,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,0.7777777777777778,0.50903125,0.472325,0.1,0.16666666666666666,0.25,5.4,0.2727272727272727,2.0,,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,0.5,0.5,0.5,0.4444444444444444,,,0.1111111111111111,,,1.0,0.2222222222222222,0.5,0.5,1.0,0.5,25.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.2222222222222222,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-201156-202322-202348,1610612764,"Ronny Turiaf, Andray Blatche, Nick Young, John Wall, Jordan Crawford","Turiaf, Blatche, Young, Wall, Crawford",101142-101154-201156-202322-202348,WAS,85.0,1,1.0,3.0,4.0,4.0,4.0,8.0,,,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,,2.0,,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,2.0,4.0,,,5.0,5.0,4.0,,,1.0,1.0,0.8333333333333334,0.8333333333333334,,,1.0,1.0,,1.0,,1.0,,135.52941176470588,4.5,16.75,4.5,16.75,,,,,1.0,1.0,1.0,,0.3327,0.3327,,,1.0,17.6,1.0,4.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-201156-202322-202698,1610612764,"Ronny Turiaf, Andray Blatche, Nick Young, John Wall, Chris Singleton","Turiaf, Blatche, Young, Wall, Singleton",101142-101154-201156-202322-202698,WAS,568.0,2,9.0,-1.0,20.0,17.0,6.0,37.0,3.0,5.0,4.0,7.0,7.0,13.0,4.0,18.0,19.0,4.0,1.0,7.0,4.0,10.0,,2.0,2.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,,,,1.0,1.0,3.0,4.0,,,7.0,8.0,2.0,5.0,18.0,7.0,6.0,0.2857142857142857,0.2857142857142857,0.5384615384615384,0.5,0.5294117647058824,0.875,,,1.0,1.0,0.25,0.5714285714285714,1.0,1.0,0.25,93.80281690140845,13.8,17.176470588235293,13.8,16.176470588235293,0.35714285714285715,0.6,0.6,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.4860035714285714,0.4663,0.29411764705882354,0.3125,0.3888888888888889,11.576923076923077,0.3,4.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,0.07142857142857142,,,0.07142857142857142,,,,0.07142857142857142,,,,,24.5,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,0.75,0.75,1.0,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-201156-202698-202714,1610612764,"Ronny Turiaf, Andray Blatche, Nick Young, Chris Singleton, Shelvin Mack","Turiaf, Blatche, Young, Singleton, Mack",101142-101154-201156-202698-202714,WAS,131.0,1,2.0,4.0,3.0,5.0,,8.0,,,1.0,1.0,2.0,2.0,,4.0,,,,,2.0,2.0,,1.0,1.0,,2.0,2.0,1.0,3.0,3.0,,,,1.0,,,,1.0,,,,,,,,,,4.0,,,0.5,0.5,1.0,1.0,1.0,,,,1.0,0.5,1.0,0.75,,1.0,1.0,87.93893129770993,12.333333333333334,18.8,12.333333333333334,17.4,,,,,0.5,1.0,1.0,,0.43325,,,,,12.5,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-202322-202348-202698,1610612764,"Ronny Turiaf, Andray Blatche, John Wall, Jordan Crawford, Chris Singleton","Turiaf, Blatche, Wall, Crawford, Singleton",101142-101154-202322-202348-202698,WAS,84.0,1,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,1.0,2.0,2.0,3.0,,4.0,2.0,,,,2.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,,,0.5,0.5,0.6666666666666666,0.5,0.5,,,,,1.0,,0.5,,1.0,,68.57142857142857,20.5,21.5,18.0,19.5,0.25,1.0,1.0,,0.5,0.5,0.5,0.5,0.5140875,,0.25,0.3333333333333333,,13.799999999999999,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,0.25,,,,,,1.0,0.25,,,,,26.0,1.0,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-202348-202698-202714,1610612764,"Ronny Turiaf, Andray Blatche, Jordan Crawford, Chris Singleton, Shelvin Mack","Turiaf, Blatche, Crawford, Singleton, Mack",101142-101154-202348-202698-202714,WAS,69.0,1,1.0,-2.0,3.0,4.0,,7.0,1.0,2.0,,,1.0,2.0,,2.0,4.0,,,,,2.0,1.0,,,,,,,,,2.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,,0.5,0.5,0.5,,0.5,0.5,,,,,,,,146.08695652173915,12.666666666666666,7.75,12.666666666666666,7.75,1.0,0.5,1.0,,,,,1.0,0.74065,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-101154-202698-202714-2427,1610612764,"Ronny Turiaf, Andray Blatche, Chris Singleton, Shelvin Mack, Roger Mason Jr.","Turiaf, Blatche, Singleton, Mack, Mason Jr.",101142-101154-202698-202714-2427,WAS,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
101142-1740-201156-202322-202344,1610612764,"Ronny Turiaf, Rashard Lewis, Nick Young, John Wall, Trevor Booker","Turiaf, Lewis, Young, Wall, Booker",101142-1740-201156-202322-202344,WAS,166.0,1,3.0,2.0,4.0,5.0,2.0,9.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,6.0,4.0,3.0,,2.0,2.0,2.0,,1.0,1.0,,2.0,,2.0,3.0,5.0,,,,,,,,,,1.0,2.0,,,2.0,2.0,,1.0,2.0,2.0,2.0,0.5,0.5,0.4,0.4,0.5,0.3333333333333333,,,,0.6666666666666666,,0.6666666666666666,,,,78.07228915662651,22.75,15.0,15.0,13.2,0.4,0.5,0.5,,0.4,0.5,0.5,0.4,0.47444,0.43720000000000003,0.16666666666666666,0.16666666666666666,0.3333333333333333,8.92,0.5,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,0.2,,,1.0,,,,,,,2.0,,,,,,,2.0,,,,,,,0.6666666666666666,,,,,,,1.0,,,0.3333333333333333,0.3333333333333333,,1.0,,0.3333333333333333,,,,2.0,,,0.6666666666666666,1.0,,0.3969,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,False
