EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,LongMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Travels,ShootingFouls,BlockingFouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceArc3FGA,SecondChanceFG3A,ShortMidRangeAssists,OffTwoPtRebounds,LostBallSteals,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,OffTwoPtReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,SecondChanceFG2A,OffAtRimReboundPct,DefAtRimReboundPct,SecondChanceAtRimFrequency,PenaltyCorner3FGA,PtsUnassisted3s,HeaveAttempts,Fg2aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SelfOReb,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceCorner3FGA,Loose Ball Fouls Drawn,DefShortMidRangeReboundPct,SecondChanceCorner3Frequency,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,SecondChanceAtRimPctAssisted,OffShortMidRangeReboundPct,OffensiveGoaltends,Corner3FGM,PenaltyFtPoints,Corner3Assists,StepOutOfBoundsTurnovers,Charge Fouls,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffCorner3ReboundPct,ShortMidRangePctBlocked,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,BlockingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1710-200764-200779-201611-202725,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Henry Walker, Josh Harrellson","Bibby, Balkman, Novak, Walker, Harrellson",1710-200764-200779-201611-202725,NYK,117.0,1,2.0,7.0,5.0,4.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.875,1.0,0.875,1.0,0.5,1.0,1.0,1.0,1.0,110.76923076923077,9.0,18.0,9.0,18.0,0.5,1.0,1.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5965875,0.5474,0.2857142857142857,2.2,24.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-200779-201611-2199,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Henry Walker, Tyson Chandler","Bibby, Balkman, Novak, Walker, Chandler",1710-200764-200779-201611-2199,NYK,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-200779-201611-2405,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Henry Walker, Amar'e Stoudemire","Bibby, Balkman, Novak, Walker, Stoudemire",1710-200764-200779-201611-2405,NYK,486.0,1,8.0,-4.0,16.0,16.0,6.0,32.0,2.0,4.0,1.0,2.0,,1.0,3.0,5.0,10.0,1.0,3.0,14.0,3.0,4.0,9.0,4.0,6.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,,6.0,7.0,2.0,,3.0,1.0,4.0,,2.0,13.0,9.0,6.0,0.4,0.4,1.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.5,0.9,0.5,0.9,0.23076923076923078,,0.8333333333333334,,,94.81481481481482,16.9375,13.4375,16.4375,13.4375,0.3076923076923077,0.5,0.5,0.5,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5384615384615384,0.3333333333333333,0.4589769230769231,0.41075999999999996,0.6428571428571429,8.25,26.599999999999998,0.375,6.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.8333333333333334,0.5,0.14285714285714285,0.5,0.8333333333333334,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,0.07142857142857142,0.09090909090909091,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-200779-201962-202366,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Toney Douglas, Jerome Jordan","Bibby, Balkman, Novak, Douglas, Jordan",1710-200764-200779-201962-202366,NYK,304.0,1,5.0,10.0,11.0,10.0,4.0,21.0,2.0,2.0,1.0,1.0,,1.0,2.0,6.0,9.0,1.0,2.0,16.0,3.0,4.0,6.0,2.0,10.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,4.0,4.0,5.0,1.0,,1.0,,2.0,,2.0,16.0,6.0,4.0,0.16666666666666666,0.16666666666666666,1.0,0.5,0.5,0.6666666666666666,0.75,0.6818181818181818,0.6,0.7272727272727273,0.6,0.18181818181818182,1.0,0.5714285714285714,1.0,1.0,99.47368421052632,12.454545454545455,16.7,11.545454545454545,14.9,0.18181818181818182,1.0,1.0,,,0.18181818181818182,0.5,0.5,1.0,0.2,1.0,0.36363636363636365,0.5,0.4761818181818182,0.48341,0.375,10.833333333333334,25.3,0.36363636363636365,,1.0,2.0,3.0,2.0,4.0,,1.0,1.0,6.0,,,,1.0,,,,,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,0.25,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.5,0.5,,0.2,,0.09090909090909091,0.1111111111111111,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.40905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-200779-202697-2405,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Iman Shumpert, Amar'e Stoudemire","Bibby, Balkman, Novak, Shumpert, Stoudemire",1710-200764-200779-202697-2405,NYK,227.0,1,4.0,1.0,8.0,7.0,,15.0,,3.0,,,,2.0,2.0,1.0,4.0,2.0,2.0,8.0,,,,,2.0,6.0,2.0,2.0,,2.0,2.0,2.0,,6.0,2.0,3.0,4.0,1.0,1.0,2.0,,1.0,,1.0,8.0,,,,,1.0,1.0,1.0,0.25,,0.6666666666666666,,0.5714285714285714,,0.3333333333333333,1.0,1.0,1.0,1.0,95.15418502202644,15.0,15.285714285714286,15.0,15.285714285714286,0.5,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.8333333333333334,1.0,0.59985,,,2.225,26.3,,,1.0,1.0,1.0,,,,,,7.0,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,2.0,1.0,,,0.5,,1.0,,0.3333333333333333,,,0.16666666666666666,1.0,1.0,,,,,,,0.14285714285714285,0.2,,,,,1.0,,,,,,,0.3333333333333333,,,,0.6125,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-200779-202725-2546,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Josh Harrellson, Carmelo Anthony","Bibby, Balkman, Novak, Harrellson, Anthony",1710-200764-200779-202725-2546,NYK,178.0,1,3.0,-5.0,5.0,6.0,4.0,11.0,,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,6.0,1.0,3.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,3.0,,1.0,6.0,2.0,4.0,,,,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.2,0.5,0.2,0.5,,,,,88.98876404494382,21.0,12.166666666666666,21.0,12.166666666666666,0.16666666666666666,,,,0.16666666666666666,0.3333333333333333,0.5,0.5,,0.2,,0.6666666666666666,1.0,0.43506,0.4561125,0.3333333333333333,9.200000000000001,35.733333333333334,0.8,6.0,,,1.0,1.0,1.0,,1.0,1.0,11.0,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,,0.2,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-200779-2405-2546,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Amar'e Stoudemire, Carmelo Anthony","Bibby, Balkman, Novak, Stoudemire, Anthony",1710-200764-200779-2405-2546,NYK,67.0,1,1.0,2.0,2.0,2.0,,4.0,,,,,,,,1.0,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,0.5,,0.5,,0.5,,,,,,,85.97014925373134,16.0,17.5,16.0,17.5,,,,,,,,,,,,,,0.41155,,,16.85,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-201611-201962-2405,1610612752,"Mike Bibby, Renaldo Balkman, Henry Walker, Toney Douglas, Amar'e Stoudemire","Bibby, Balkman, Walker, Douglas, Stoudemire",1710-200764-201611-201962-2405,NYK,138.0,1,2.0,2.0,5.0,5.0,5.0,10.0,2.0,3.0,2.0,3.0,,,,3.0,5.0,,,6.0,3.0,5.0,6.0,2.0,4.0,,,,1.0,,1.0,,1.0,2.0,,1.0,2.0,,,1.0,1.0,,,,4.0,6.0,5.0,0.3333333333333333,0.5,,,,0.6,0.6,0.6,0.6,0.6,0.6,,,1.0,,,104.34782608695653,15.8,11.8,15.8,11.8,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.6,0.6666666666666666,0.6,,0.53402,0.53402,1.0,5.64,,1.0,5.0,1.0,1.0,1.0,,1.0,,,,4.0,,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,0.5,,,0.2,1.0,1.0,0.2,,,,,,,,0.3333333333333333,,,,1.0,,,,1.0,,1.0,0.5,,,,0.659,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-201611-202697-2405,1610612752,"Mike Bibby, Renaldo Balkman, Henry Walker, Iman Shumpert, Amar'e Stoudemire","Bibby, Balkman, Walker, Shumpert, Stoudemire",1710-200764-201611-202697-2405,NYK,141.0,1,2.0,,5.0,6.0,,11.0,,2.0,,,1.0,1.0,2.0,,2.0,1.0,3.0,3.0,,,,,,,2.0,1.0,,,,,,,,5.0,7.0,1.0,,2.0,,3.0,,1.0,3.0,,,,,,0.3333333333333333,0.3333333333333333,,,0.3,,0.3,,0.6,,0.8333333333333334,,,112.34042553191489,12.2,13.333333333333334,9.2,11.833333333333334,0.4,,,,0.2,0.4,0.5,0.5,,,,1.0,0.5,0.5872499999999999,,,2.05,24.900000000000002,,,2.0,,,,,,,,3.0,,,,,,1.0,5.0,,2.0,,,1.0,1.0,,1.0,,1.0,,,,,0.5,,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,0.5,,,,0.59595,1.0,1.0,0.5,1.0,0.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
1710-200764-201611-202725-2199,1610612752,"Mike Bibby, Renaldo Balkman, Henry Walker, Josh Harrellson, Tyson Chandler","Bibby, Balkman, Walker, Harrellson, Chandler",1710-200764-201611-202725-2199,NYK,39.0,1,1.0,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,,,,,110.76923076923076,9.5,20.0,9.5,20.0,0.5,1.0,1.0,1.0,,0.5,,,,0.5,1.0,1.0,,0.4936,0.4936,1.0,1.0,25.6,1.0,1.0,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,True
