EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,OpponentPoints,Minutes,OffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG3A,FtPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,Fouls,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGA,NonHeaveArc3FGA,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Loose Ball Fouls,LiveBallTurnoverPct,Arc3Frequency,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallSteals,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFtPoints,ShortMidRangeAssists,BlockingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Fg2aBlocked,FG2APctBlocked,LongMidRangePctBlocked,BlockedLongMidRange,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,Offensive Fouls,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,SelfOReb,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,PenaltyFg3Pct,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,Offensive Fouls Drawn,PtsUnassisted3s,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FTDefRebounds,FG3APctBlocked,Corner3PctBlocked,DefFTReboundPct,SecondChanceTurnovers,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,Arc3PctBlocked,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101107-1503-201143-201952-2207,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Jeff Teague, Joe Johnson","Williams, McGrady, Horford, Teague, Johnson",101107-1503-201143-201952-2207,ATL,14.0,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,102.85714285714286,9.0,9.0,1.0,1.0,1.0,0.4662,1.0,1.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201143-201952-2584,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Jeff Teague, Willie Green","Williams, McGrady, Horford, Teague, Green",101107-1503-201143-201952-2584,ATL,23.0,1,-3.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,62.60869565217391,23.0,23.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201143-2207-2457,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Joe Johnson, Jannero Pargo","Williams, McGrady, Horford, Johnson, Pargo",101107-1503-201143-2207-2457,ATL,220.0,1,5.0,7.0,7.0,14,1.0,1.0,4.0,5.0,9.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,9.0,0.8,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,,91.63636363636364,18.714285714285715,17.0,0.16666666666666666,1.0,1.0,0.48880833333333334,0.16666666666666666,0.2,7.08,4.0,4.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.25,0.25,0.16666666666666666,1.0,0.5,0.5,12.714285714285714,12.714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,0.6666666666666666,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201143-2550-2746,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Kirk Hinrich, Josh Smith","Williams, McGrady, Horford, Hinrich, Smith",101107-1503-201143-2550-2746,ATL,43.0,1,-1.0,1.0,,2,,,1.0,2.0,2.0,2.0,,,1.0,,,,,,0.5,0.5,0.5,,,,66.97674418604652,19.0,19.0,,,,0.53095,,,7.25,3.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,24.0,24.0,0.5,1.0,1.0,,0.5,,,,0.5,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.699,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201143-2550-956,1610612737,"Marvin Williams, Tracy McGrady, Al Horford, Kirk Hinrich, Erick Dampier","Williams, McGrady, Horford, Hinrich, Dampier",101107-1503-201143-2550-956,ATL,185.0,1,-2.0,5.0,,10,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.75,0.3333333333333333,0.25,0.5,77.83783783783784,21.4,15.6,0.5,1.0,1.0,0.458775,0.5,1.0,9.9,5.0,3.0,5.0,,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,0.5,,,,15.6,15.6,,,,,,,,,0.5,25.9,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201274-201952-2584,1610612737,"Marvin Williams, Tracy McGrady, Ivan Johnson, Jeff Teague, Willie Green","Williams, McGrady, Johnson, Teague, Green",101107-1503-201274-201952-2584,ATL,36.0,1,2.0,1.0,1.0,3,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,0.5,0.5,0.5,1.0,1.0,,120.0,12.0,12.0,0.5,,,0.32765,,,13.95,,1.0,2.0,,,1.0,1.0,,,,2.0,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,,1.0,,12.0,11.0,,,,,0.5,1.0,1.0,,,,1.0,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,0.3746,1.0,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,0.5,1.0,0.32765,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201274-2457-2584,1610612737,"Marvin Williams, Tracy McGrady, Ivan Johnson, Jannero Pargo, Willie Green","Williams, McGrady, Johnson, Pargo, Green",101107-1503-201274-2457-2584,ATL,124.0,1,2.0,3.0,,6,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,,69.6774193548387,22.333333333333332,21.333333333333332,0.3333333333333333,1.0,1.0,0.39746666666666663,,,17.066666666666666,2.0,2.0,3.0,,,1.0,2.0,,,,2.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,0.5,0.5,,1.0,,1.0,19.0,19.0,,,,,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201274-2550-2584,1610612737,"Marvin Williams, Tracy McGrady, Ivan Johnson, Kirk Hinrich, Willie Green","Williams, McGrady, Johnson, Hinrich, Green",101107-1503-201274-2550-2584,ATL,51.0,1,2.0,1.0,,2,,,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,1.0,,56.470588235294116,44.0,44.0,,,,0.7094,,,0.6,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,7.0,7.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201952-2207-2215,1610612737,"Marvin Williams, Tracy McGrady, Jeff Teague, Joe Johnson, Jason Collins","Williams, McGrady, Teague, Johnson, Collins",101107-1503-201952-2207-2215,ATL,14.0,1,,,,1,,,,1.0,,,,,,1.0,,,,,,,,,,,102.85714285714286,,,,,,0.2467,,,20.6,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,0.2467,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
101107-1503-201952-2207-2550,1610612737,"Marvin Williams, Tracy McGrady, Jeff Teague, Joe Johnson, Kirk Hinrich","Williams, McGrady, Teague, Johnson, Hinrich",101107-1503-201952-2207-2550,ATL,117.0,1,3.0,3.0,,6,1.0,1.0,2.0,2.0,6.0,,2.0,2.0,2.0,1.0,2.0,,,6.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,73.84615384615385,30.333333333333332,21.666666666666668,0.5,1.0,1.0,0.51175,,,6.2,3.0,2.0,3.0,1.0,1.0,,,,,2.0,4.0,2.0,2.0,1.0,4.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,0.5,1.0,8.666666666666666,8.666666666666666,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,6.0,,6.0,3.0,1.0,1.0,1.0,,0.51175,1.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2012,2011-12,True
