EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,DefPoss,TotalPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PlusMinus,OffPoss,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceArc3FGA,FG2A,OpponentPoints,SecondChanceFG3A,OffTwoPtRebounds,DefTwoPtRebounds,ShootingFouls,Fouls,Defensive 3 Seconds Violations,DefTwoPtReboundPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGA,FG2M,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,DefLongMidRangeReboundPct,Corner3Frequency,PenaltyCorner3Frequency,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,BadPassSteals,Offensive Fouls,DefensiveGoaltends,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,SelfOReb,Charge Fouls,Assisted3sPct,SelfORebPct,Arc3PctAssisted,PenaltyDefPoss,PenaltyTurnovers,FTDefRebounds,LostBallTurnovers,BlockingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Travels,SecondChanceTurnovers,PenaltyArc3FGM,PenaltyFG3M,BlockedAtRim,PenaltyFg3Pct,PenaltyArc3Accuracy,BlockingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockedLongMidRange,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,LongMidRangePctBlocked,ShortMidRangePctAssisted,Technical Free Throw Trips,HeaveAttempts,NonShootingPenaltyNonTakeFouls,Clear Path Fouls,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Corner3FGM,SecondChanceCorner3FGA,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3FGM,Fg3aBlocked,FTOffRebounds,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,OffensiveGoaltends,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,team_id,year,season,team_vs
101112-101124-101162-101179-200769,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Ronnie Price, Shannon Brown","Frye, Warrick, Gortat, Price, Brown",101112-101124-101162-101179-200769,PHX,31.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.4516129032258,17.0,17.0,1.0,1.0,0.53865,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101162-200769-959,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Shannon Brown, Steve Nash","Frye, Warrick, Gortat, Brown, Nash",101112-101124-101162-200769-959,PHX,92.0,2,2.0,3.0,6.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,,,0.25,1.0,,0.6666666666666666,0.25,,1.0,93.91304347826086,18.0,17.333333333333332,0.25,0.25,0.4722375,27.0,-4.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,12.666666666666666,9.666666666666666,0.75,1.0,0.51645,17.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101162-201162-959,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Jared Dudley, Steve Nash","Frye, Warrick, Gortat, Dudley, Nash",101112-101124-101162-201162-959,PHX,247.0,3,4.0,8.0,18.0,2.0,2.0,2.0,,1.0,2.0,,2.0,4.0,,0.3333333333333333,0.5,,0.6666666666666666,,,1.0,104.93927125506075,16.5,16.5,0.3333333333333333,0.8333333333333334,0.5232583333333333,24.9,2.0,10.0,1.0,1.0,,4.0,9.0,,,1.0,,2.0,,1.0,,,,11.5,10.5,0.16666666666666666,,0.5281,7.3,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,11.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,6.0,3.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,9.0,3.0,3.0,1.0,1.0,0.5,0.5,0.75,1.0,0.5,0.75,1.0,0.3333333333333333,0.7857142857142857,1.0,0.5,0.3333333333333333,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5096333333333333,0.2857142857142857,0.4,0.18181818181818182,0.2727272727272727,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101162-2072-2742,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Michael Redd, Sebastian Telfair","Frye, Warrick, Gortat, Redd, Telfair",101112-101124-101162-2072-2742,PHX,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101179-200769-201162,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Shannon Brown, Jared Dudley","Frye, Warrick, Price, Brown, Dudley",101112-101124-101179-200769-201162,PHX,37.0,1,1.0,2.0,4.0,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,155.67567567567568,5.5,3.5,,1.0,0.5772,23.1,-2.0,2.0,,,,,2.0,,,1.0,1.0,1.0,,1.0,,,,13.0,13.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5772,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101179-200769-201577,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Shannon Brown, Robin Lopez","Frye, Warrick, Price, Brown, Lopez",101112-101124-101179-200769-201577,PHX,208.0,1,3.0,6.0,12.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,2.0,,0.16666666666666666,0.5,,0.6666666666666666,0.3333333333333333,,0.5,83.07692307692308,18.666666666666668,18.5,0.16666666666666666,0.5,0.4393833333333333,26.5,2.0,6.0,1.0,,,5.0,4.0,,1.0,1.0,,1.0,,1.0,0.5,,,16.0,15.666666666666666,,,0.4425,4.84,,1.0,2.0,,,,,,,,3.0,,,6.0,1.0,1.0,2.0,,,,,,2.0,,,1.0,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,,,,,4.0,,,0.3333333333333333,0.5,,,0.6,1.0,,0.5,1.0,,0.5,1.0,,,1.0,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,0.2,0.3333333333333333,1.0,0.5,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101179-200769-202693,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Shannon Brown, Markieff Morris","Frye, Warrick, Price, Brown, Morris",101112-101124-101179-200769-202693,PHX,311.0,1,5.0,10.0,20.0,3.0,3.0,3.0,,4.0,6.0,2.0,8.0,3.0,1.0,0.375,1.0,,1.0,0.3333333333333333,,1.0,92.60450160771704,15.5,15.5,0.375,0.5,0.494725,25.2,3.0,10.0,1.0,2.0,,5.0,6.0,,2.0,2.0,,3.0,,1.0,0.5,,,15.6,15.4,0.25,,0.4453,10.14,,1.0,1.0,,,,,,1.0,,1.0,1.0,4.0,9.0,,1.0,2.0,,,,,,,,1.0,,1.0,,,3.0,1.0,,,,,2.0,2.0,,4.0,,2.0,7.0,,,,,0.3333333333333333,0.3333333333333333,0.2,,,0.3125,,,0.45,0.5,,,1.0,0.125,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,0.2,0.2857142857142857,0.2222222222222222,,,,,1.0,,,,2.0,2.0,,,1.0,1.0,,,,1.0,0.25,,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101179-201162-201577,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Jared Dudley, Robin Lopez","Frye, Warrick, Price, Dudley, Lopez",101112-101124-101179-201162-201577,PHX,36.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,120.0,5.5,5.5,,,,,-2.0,1.0,,,,,2.0,,,,,,,,,,,25.0,25.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-101179-201162-2072,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Jared Dudley, Michael Redd","Frye, Warrick, Price, Dudley, Redd",101112-101124-101179-201162-2072,PHX,58.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,74.48275862068965,16.5,10.0,,1.0,0.3166,,-2.0,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,25.0,25.0,,,,3.1,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.3166,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
101112-101124-200769-201162-2742,1610612756,"Channing Frye, Hakim Warrick, Shannon Brown, Jared Dudley, Sebastian Telfair","Frye, Warrick, Brown, Dudley, Telfair",101112-101124-200769-201162-2742,PHX,898.0,3,15.0,29.0,55.0,5.0,6.0,5.0,1.0,3.0,12.0,3.0,15.0,4.0,,0.25,1.0,0.25,0.6111111111111112,0.1875,0.3333333333333333,,88.19599109131403,16.413793103448278,14.89655172413793,0.20833333333333334,0.5416666666666666,0.5097166666666667,24.8,-10.0,26.0,3.0,8.0,,18.0,29.0,,2.0,8.0,2.0,3.0,,0.5333333333333333,0.16666666666666666,,0.42857142857142855,16.23076923076923,15.923076923076923,0.3333333333333333,,0.5171,10.627777777777778,,4.0,7.0,1.0,2.0,,,1.0,2.0,,6.0,2.0,1.0,19.0,1.0,3.0,2.0,,,,,,6.0,3.0,2.0,3.0,4.0,3.0,,9.0,3.0,,4.0,,1.0,,4.0,,2.0,,1.0,17.0,,,0.5,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.375,0.3333333333333333,,0.38,0.3333333333333333,,1.0,0.8,0.2916666666666667,0.5714285714285714,0.6666666666666666,0.75,0.125,0.125,,0.4,0.4,0.6666666666666666,0.5,,,,,0.4,,0.04,0.05263157894736842,0.10526315789473684,,,1.0,,0.3333333333333333,0.041666666666666664,,1.0,3.0,6.0,2.0,1.0,3.0,,,0.05555555555555555,,0.5,0.125,0.3333333333333333,0.3333333333333333,,3.0,1.0,1.0,,,0.5,,0.5,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,False
