EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,LongMidRangeAssists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,ShootingFouls,Charge Fouls Drawn,Technical Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceFtPoints,PenaltyFtPoints,PenaltyTurnovers,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,FTDefRebounds,DefFTReboundPct,PenaltyDefPoss,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGM,PtsPutbacks,SelfOReb,LostBallSteals,SelfORebPct,SecondChanceAtRimAccuracy,Charge Fouls,BlockedShortMidRange,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,Loose Ball Fouls,ShortMidRangePctBlocked,Blocked3s,BlockedArc3,Travels,BlockingFouls,Offensive Fouls,Loose Ball Fouls Drawn,OffCorner3ReboundPct,PtsUnassisted3s,HeaveAttempts,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,SecondChanceCorner3FGA,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,3SecondViolations,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,BlockingFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,DefensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101110-1802-200826-201229-201563,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Anthony Tolliver, Michael Beasley","Webster, Miller, Barea, Tolliver, Beasley",101110-1802-200826-201229-201563,MIN,270.0,1,4.0,9.0,9.0,1.0,18.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.375,0.14285714285714285,1.0,1.0,1.0,1.0,0.2,1.0,1.0,96.0,18.11111111111111,11.88888888888889,17.77777777777778,9.88888888888889,0.5714285714285714,0.25,0.25,1.0,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,0.7142857142857143,0.5361571428571429,0.125,0.14285714285714285,4.333333333333333,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-200826-201229-201961,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Anthony Tolliver, Wayne Ellington","Webster, Miller, Barea, Tolliver, Ellington",101110-1802-200826-201229-201961,MIN,163.0,2,3.0,6.0,7.0,,13.0,1.0,1.0,,,1.0,,2.0,4.0,2.0,,7.0,13.0,,2.0,2.0,,1.0,2.0,,5.0,,,,,,1.0,1.0,,,,1.0,,,,,7.0,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,,,,,,,,114.84662576687116,14.5,10.857142857142858,14.5,10.857142857142858,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,,0.5,0.54465,,,11.875,22.6,-6.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,0.5,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.6949333333333333,0.7142857142857143,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-200826-201563-202682,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Michael Beasley, Derrick Williams","Webster, Miller, Barea, Beasley, Williams",101110-1802-200826-201563-202682,MIN,544.0,2,9.0,17.0,15.0,4.0,32.0,4.0,8.0,2.0,2.0,3.0,2.0,7.0,14.0,2.0,2.0,19.0,16.0,3.0,4.0,10.0,2.0,2.0,3.0,1.0,7.0,1.0,2.0,6.0,4.0,10.0,,,1.0,,4.0,4.0,4.0,1.0,3.0,1.0,17.0,0.2857142857142857,0.2857142857142857,0.5,0.53125,0.5588235294117647,0.125,0.25,1.0,1.0,0.5,0.5,1.0,,84.70588235294117,17.352941176470587,16.6,15.764705882352942,15.266666666666667,0.5,0.5,0.5714285714285714,0.25,0.1875,0.6666666666666666,0.6666666666666666,0.125,0.6666666666666666,0.625,0.547709375,0.058823529411764705,0.06666666666666667,5.535714285714286,25.0,3.0,3.0,1.0,1.0,1.0,3.0,,,,,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,,,5.0,3.0,1.0,0.5,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.1875,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,1.0,,,0.5193833333333333,0.2631578947368421,0.17647058823529413,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07142857142857142,0.125,0.4,0.42857142857142855,0.5,1.0,0.6,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,0.4893,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-200826-201567-201961,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Kevin Love, Wayne Ellington","Webster, Miller, Barea, Love, Ellington",101110-1802-200826-201567-201961,MIN,111.0,1,2.0,5.0,4.0,1.0,9.0,,1.0,,,,2.0,,1.0,2.0,2.0,5.0,10.0,,,,2.0,,1.0,,3.0,,,,1.0,1.0,,,1.0,,2.0,,1.0,,2.0,1.0,3.0,,,,0.5,0.625,0.6666666666666666,0.5,,,,0.5,,,116.75675675675676,13.2,11.25,12.8,11.25,0.3333333333333333,,,,,,,0.6666666666666666,,1.0,0.6189,0.25,0.5,0.5,24.7,-5.0,5.0,,1.0,,,,,,,1.0,,1.0,1.0,2.0,5.0,3.0,1.0,,,5.0,5.0,1.0,0.5,0.5,0.5,,0.5,0.625,,,,,,,,,0.3333333333333333,,,,0.6189,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,,0.4,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-200826-201567-202325,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Kevin Love, Wesley Johnson","Webster, Miller, Barea, Love, Johnson",101110-1802-200826-201567-202325,MIN,56.0,1,1.0,2.0,1.0,1.0,3.0,,1.0,,,,1.0,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,77.14285714285714,18.0,20.0,9.0,20.0,0.5,,,,,,,0.5,,1.0,0.57075,,,1.1,25.3,-2.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,0.57075,,0.5,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,0.5,,,0.4557,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-200826-201576-202325,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Anthony Randolph, Wesley Johnson","Webster, Miller, Barea, Randolph, Johnson",101110-1802-200826-201576-202325,MIN,178.0,1,3.0,5.0,6.0,,11.0,1.0,2.0,,,,1.0,1.0,3.0,1.0,,5.0,4.0,,2.0,,1.0,1.0,2.0,1.0,5.0,,,3.0,,3.0,,,1.0,,1.0,,1.0,,,,5.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,1.0,,,1.0,,,,88.98876404494382,16.8,15.666666666666666,16.8,15.666666666666666,0.5,0.5,0.5,1.0,,,,0.25,,0.75,0.5811375,,,6.3,25.0,1.0,,,,,1.0,,,,,1.0,,,,,,3.0,1.0,,,,,1.0,1.0,,1.0,,,,0.25,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-200826-202325-202682,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Wesley Johnson, Derrick Williams","Webster, Miller, Barea, Johnson, Williams",101110-1802-200826-202325-202682,MIN,140.0,1,2.0,5.0,4.0,,9.0,,,,,,1.0,1.0,3.0,2.0,,5.0,2.0,,2.0,,1.0,1.0,2.0,,5.0,,,2.0,,2.0,,,,,,2.0,,,,,5.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.4,,,,0.6666666666666666,,,,92.57142857142857,11.2,21.0,11.2,21.0,,,,,,,,0.2,,0.4,0.48460000000000003,,,17.2,25.45,3.0,5.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,,,0.2,1.0,0.48460000000000003,1.0,1.0,,,1.0,,,,,,,,2.0,,,,,2.0,,,,,,,,0.6666666666666666,,,,,1.0,,,,,,0.2,,,,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-201563-201567-201937,1610612750,"Martell Webster, Brad Miller, Michael Beasley, Kevin Love, Ricky Rubio","Webster, Miller, Beasley, Love, Rubio",101110-1802-201563-201567-201937,MIN,101.0,1,2.0,4.0,4.0,1.0,8.0,4.0,5.0,1.0,,,,4.0,5.0,,,8.0,2.0,1.0,2.0,6.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,6.0,0.25,0.3333333333333333,0.8,0.8,0.8,,,,,1.0,1.0,,,114.05940594059406,12.25,13.0,12.25,13.0,1.0,0.8,0.8,0.25,,,,,1.0,1.0,0.69956,,,0.58,,6.0,4.0,4.0,5.0,,,,,,,,4.0,5.0,,,8.0,,,,,8.0,4.0,,,,,0.8,0.8,0.8,,,,,,,,,1.0,0.8,,,0.69956,1.0,1.0,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,0.6221,0.25,,,,,,,,,4.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-201563-201576-202723,1610612750,"Martell Webster, Brad Miller, Michael Beasley, Anthony Randolph, Malcolm Lee","Webster, Miller, Beasley, Randolph, Lee",101110-1802-201563-201576-202723,MIN,97.0,1,2.0,4.0,3.0,,7.0,,,,,,,,1.0,,4.0,4.0,2.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,,4.0,2.0,4.0,,,,,0.6666666666666666,,1.0,,,1.0,,,,103.91752577319588,15.0,12.333333333333334,15.0,12.333333333333334,,,,,,,,,,,0.3973,0.6666666666666666,0.6666666666666666,20.2,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
101110-1802-201563-202682-202723,1610612750,"Martell Webster, Brad Miller, Michael Beasley, Derrick Williams, Malcolm Lee","Webster, Miller, Beasley, Williams, Lee",101110-1802-201563-202682-202723,MIN,174.0,2,3.0,6.0,6.0,,12.0,,2.0,,,1.0,,1.0,4.0,,,2.0,9.0,,,2.0,,,,,,,,1.0,,1.0,,,1.0,,2.0,2.0,1.0,,,,2.0,,,0.25,0.25,0.25,,0.5,,,,,,,99.3103448275862,18.833333333333332,10.166666666666666,18.833333333333332,10.0,0.5,,,,0.25,,,,,0.5,0.4775,,,7.875,,-7.0,2.0,,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,0.25,1.0,1.0,,,,,,1.0,,,,0.54155,,0.3333333333333333,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,False
