EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,TotalPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,Fouls,Loose Ball Fouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PlusMinus,DefPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2A,PtsUnassisted2s,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyDefPoss,AtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG3M,OpponentPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Loose Ball Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,BadPassTurnovers,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceFtPoints,PenaltyFtPoints,PenaltyCorner3FGA,PenaltyFG3A,Fg2aBlocked,SelfOReb,LostBallSteals,BlockingFouls,BlockedAtRim,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,AtRimPctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFoulsDrawn,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimPctAssisted,3SecondViolations,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyFG3M,ShortMidRangeAssists,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,BlockedLongMidRange,PenaltyFg3Pct,DefFTReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,PenaltyArc3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,FTOffRebounds,Charge Fouls,Blocked3s,BlockedArc3,OffFTReboundPct,Fg3aBlocked,Clear Path Fouls,OffensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
101112-101124-101162-101179-200769,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Ronnie Price, Shannon Brown","Frye, Warrick, Gortat, Price, Brown",101112-101124-101162-101179-200769,PHX,31.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.4516129032258,17.0,17.0,1.0,1.0,0.43755,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101162-200769-959,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Shannon Brown, Steve Nash","Frye, Warrick, Gortat, Brown, Nash",101112-101124-101162-200769-959,PHX,92.0,2,2.0,3.0,6.0,1.0,1.0,1.0,,,0.25,93.91304347826086,18.0,17.333333333333332,0.25,0.5,0.4562375,26.1,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,0.3333333333333333,0.25,0.375,0.6666666666666666,0.5,1.0,0.75,0.3333333333333333,1.0,0.6666666666666666,1.0,12.666666666666666,9.666666666666666,0.25,0.5,0.5,0.5,1.0,0.5582,0.25,0.3333333333333333,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101162-201162-959,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Jared Dudley, Steve Nash","Frye, Warrick, Gortat, Dudley, Nash",101112-101124-101162-201162-959,PHX,247.0,3,4.0,8.0,18.0,1.0,3.0,1.0,4.0,,0.42857142857142855,104.93927125506075,16.5,16.5,0.14285714285714285,0.5714285714285714,0.5371571428571429,24.0,-2.0,10.0,,1.0,,1.0,2.0,3.0,4.0,,9.0,,4.0,,1.0,1.0,2.0,1.0,3.0,2.0,,,,,9.0,0.75,0.6428571428571429,0.6428571428571429,1.0,,1.0,1.0,0.3333333333333333,,,1.0,11.5,10.5,0.14285714285714285,0.2857142857142857,0.5,0.5,,,,,9.1,3.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101162-2072-2742,1610612756,"Channing Frye, Hakim Warrick, Marcin Gortat, Michael Redd, Sebastian Telfair","Frye, Warrick, Gortat, Redd, Telfair",101112-101124-101162-2072-2742,PHX,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101179-200769-201162,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Shannon Brown, Jared Dudley","Frye, Warrick, Price, Brown, Dudley",101112-101124-101179-200769-201162,PHX,37.0,1,1.0,2.0,4.0,,,,,,,155.67567567567568,5.5,3.5,,,0.3568,,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,2.0,,,1.0,2.0,,,0.5,,,1.0,1.0,,,,,13.0,13.0,,,,,,0.3568,0.5,0.5,17.4,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101179-200769-201577,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Shannon Brown, Robin Lopez","Frye, Warrick, Price, Brown, Lopez",101112-101124-101179-200769-201577,PHX,208.0,1,3.0,6.0,12.0,2.0,2.0,2.0,2.0,,0.4,83.07692307692308,18.666666666666668,18.5,0.4,0.6,0.48009,26.35,-2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,4.0,1.0,4.0,,1.0,1.0,2.0,1.0,3.0,1.0,,,,,2.0,0.6666666666666666,0.4,0.4,0.5,,1.0,0.6666666666666666,0.3333333333333333,,,1.0,16.0,15.666666666666666,0.2,0.4,0.5,0.5,1.0,,,,6.6000000000000005,,1.0,,,,,,6.0,,,,,,,,,1.0,,,2.0,,2.0,,,,,,,,1.0,0.5,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101179-200769-202693,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Shannon Brown, Markieff Morris","Frye, Warrick, Price, Brown, Morris",101112-101124-101179-200769-202693,PHX,311.0,1,5.0,10.0,20.0,6.0,6.0,6.0,3.0,1.0,0.75,92.60450160771704,15.5,15.5,0.75,0.75,0.50104375,25.766666666666666,-3.0,10.0,,,,,1.0,,2.0,,6.0,,,,2.0,2.0,4.0,,4.0,3.0,,,,,6.0,,0.375,0.375,0.5,,1.0,0.6666666666666666,,,1.0,1.0,15.6,15.4,,0.125,,,,,,,12.75,,,,1.0,,,2.0,9.0,,6.0,,2.0,2.0,,,6.0,,,,1.0,,2.0,2.0,,,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,0.125,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101179-201162-201577,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Jared Dudley, Robin Lopez","Frye, Warrick, Price, Dudley, Lopez",101112-101124-101179-201162-201577,PHX,36.0,1,1.0,2.0,3.0,,,,,,,120.0,5.5,5.5,,,0.2988,,2.0,1.0,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,2.0,0.5,0.5,0.5,,,,,,,,,25.0,25.0,,0.5,,,,,,,15.0,1.0,,1.0,1.0,,,,,2.0,,1.0,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,0.5,1.0,0.2988,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-101179-201162-2072,1610612756,"Channing Frye, Hakim Warrick, Ronnie Price, Jared Dudley, Michael Redd","Frye, Warrick, Price, Dudley, Redd",101112-101124-101179-201162-2072,PHX,58.0,1,1.0,2.0,3.0,,,,,,,74.48275862068965,16.5,10.0,,,,,2.0,1.0,1.0,,,,,,,2.0,2.0,,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,25.0,25.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,2.0,,2.0,2.0,,,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
101112-101124-200769-201162-2742,1610612756,"Channing Frye, Hakim Warrick, Shannon Brown, Jared Dudley, Sebastian Telfair","Frye, Warrick, Brown, Dudley, Telfair",101112-101124-200769-201162-2742,PHX,898.0,3,15.0,29.0,55.0,,4.0,,4.0,,0.12903225806451613,88.19599109131403,16.413793103448278,14.89655172413793,,0.6451612903225806,0.5419596774193549,22.7,10.0,26.0,6.0,16.0,4.0,2.0,7.0,12.0,27.0,2.0,29.0,6.0,12.0,7.0,3.0,10.0,13.0,7.0,20.0,3.0,3.0,1.0,,2.0,23.0,0.4444444444444444,0.43548387096774194,0.453125,0.8333333333333334,0.4666666666666667,0.75,0.8125,0.3888888888888889,0.2,1.0,0.6666666666666666,16.23076923076923,15.923076923076923,0.5161290322580645,0.22580645161290322,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.54925,0.0625,0.07142857142857142,6.02962962962963,,9.0,1.0,4.0,1.0,4.0,1.0,19.0,12.0,3.0,6.0,1.0,7.0,1.0,6.0,15.0,,4.0,1.0,3.0,,4.0,1.0,,0.5,0.6,1.0,0.25,0.25,0.75,,,0.6666666666666666,0.5625,0.5625,0.6666666666666666,0.12903225806451613,0.25,0.25,0.12903225806451613,0.25,0.25,1.0,1.0,2.0,2.0,6.0,4.0,3.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.5,0.20689655172413793,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,0.5949,,0.034482758620689655,2.0,,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.037037037037037035,0.14285714285714285,0.5714285714285714,0.6666666666666666,0.5,0.23529411764705882,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2012,2011-12,True
