EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,BlockingFouls,Loose Ball Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,SelfOReb,LostBallSteals,BadPassTurnovers,FTA,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,DefAtRimReboundPct,Charge Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Offensive Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,ShortMidRangeFGM,SecondChanceCorner3FGA,ShortMidRangeAssists,FTOffRebounds,Loose Ball Fouls Drawn,BlockingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,Travels,Blocked3s,BlockedArc3,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,Technical Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
200794-201336-201960-202324-2734,1610612762,"Paul Millsap, Blake Ahearn, DeMarre Carroll, Derrick Favors, Devin Harris","Millsap, Ahearn, Carroll, Favors, Harris",200794-201336-201960-202324-2734,UTA,11.0,1,-2.0,1,1.0,1,2.0,130.9090909090909,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202324-202330-2224,1610612762,"Paul Millsap, DeMarre Carroll, Derrick Favors, Gordon Hayward, Jamaal Tinsley","Millsap, Carroll, Favors, Hayward, Tinsley",200794-201960-202324-202330-2224,UTA,189.0,1,5.0,6,6.0,12,6.0,91.42857142857143,16.333333333333332,15.333333333333334,3.0,6.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,11.0,1.0,2.0,3.0,3.0,11.0,2.0,9.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,11.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.1,1.1,1.1,1.1,0.6,1.0,1.0,15.166666666666666,15.166666666666666,0.4,0.5,0.5,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,0.5,0.2,1.0,0.4,1.0,1.0,1.0,0.56174,0.56174,1.0,1.55,24.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202324-202692-2224,1610612762,"Paul Millsap, DeMarre Carroll, Derrick Favors, Alec Burks, Jamaal Tinsley","Millsap, Carroll, Favors, Burks, Tinsley",200794-201960-202324-202692-2224,UTA,288.0,2,-5.0,7,,15,11.0,75.0,19.428571428571427,17.714285714285715,5.0,8.0,5.0,2.0,5.0,2.0,5.0,,,,,,2.0,,,3.0,7.0,,2.0,6.0,3.0,7.0,,,6.0,4.0,,2.0,,2.0,,2.0,,,2.0,4.0,,2.0,4.0,,,,,1.0,,1.0,2.0,4.0,6.0,5.0,,0.6666666666666666,0.6666666666666666,,,,,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.2222222222222222,,,19.0,16.375,0.5555555555555556,0.4,1.0,1.0,,,,,0.2222222222222222,,,,0.7142857142857143,0.4,,,,,0.7777777777777778,,0.6057166666666667,0.6369857142857143,1.0,4.214285714285714,26.6,0.625,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,0.42857142857142855,0.6,0.2857142857142857,0.5,0.2857142857142857,0.3333333333333333,0.6666666666666666,1.0,0.5,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,0.5,1.0,0.68505,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202324-2734-2744,1610612762,"Paul Millsap, DeMarre Carroll, Derrick Favors, Devin Harris, Al Jefferson","Millsap, Carroll, Favors, Harris, Jefferson",200794-201960-202324-2734-2744,UTA,374.0,1,-10.0,12,12.0,25,19.0,96.2566844919786,12.916666666666666,11.833333333333334,6.0,13.0,13.0,1.0,1.0,1.0,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,9.0,1.0,4.0,1.0,4.0,9.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,2.0,3.0,3.0,4.0,1.0,,2.0,1.0,3.0,3.0,4.0,6.0,7.0,9.0,13.0,1.0,1.0,1.0,,0.25,0.25,0.25,0.25,0.25,0.3125,0.3125,0.4090909090909091,0.4090909090909091,0.5,0.6666666666666666,1.0,16.846153846153847,15.846153846153847,0.125,1.0,1.0,1.0,0.375,,,,0.125,1.0,1.0,,0.125,1.0,0.375,,0.125,1.0,0.625,1.0,0.50838125,0.50838125,1.0,7.5,23.625,1.0,1.0,,,2.0,,1.0,,,2.0,,,1.0,,1.0,,1.0,,,3.0,,,,,,1.0,,,,0.3333333333333333,,0.16666666666666666,,,,0.25,0.125,,,,,,,0.2222222222222222,4.0,2.0,4.0,3.0,1.0,1.0,1.0,6.0,3.0,1.0,3.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202330-2734-2744,1610612762,"Paul Millsap, DeMarre Carroll, Gordon Hayward, Devin Harris, Al Jefferson","Millsap, Carroll, Hayward, Harris, Jefferson",200794-201960-202330-2734-2744,UTA,200.0,2,6.0,4,,9,2.0,64.8,28.25,23.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,,,,,,1.0,,,4.0,5.0,,1.0,8.0,1.0,1.0,,,2.0,8.0,,1.0,,4.0,,4.0,,,3.0,8.0,,2.0,3.0,,,,,,,,,6.0,2.0,1.0,,1.0,1.0,,,,,0.8,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.16666666666666666,,,17.4,16.8,0.5,1.0,1.0,1.0,,,,,0.16666666666666666,,,,1.0,1.0,,,,,0.6666666666666666,,0.5423666666666667,0.5905,0.25,7.06,24.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,0.3333333333333333,,0.5,0.5,,0.3333333333333333,,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,0.25,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202683-202692-2224,1610612762,"Paul Millsap, DeMarre Carroll, Enes Kanter, Alec Burks, Jamaal Tinsley","Millsap, Carroll, Kanter, Burks, Tinsley",200794-201960-202683-202692-2224,UTA,85.0,1,,2,,4,,67.76470588235294,37.5,19.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,5.0,5.0,0.5,,,,,,,,0.5,,,,,,,,,,1.0,,0.53525,,,2.7,24.6,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,0.2,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202692-2224-2744,1610612762,"Paul Millsap, DeMarre Carroll, Alec Burks, Jamaal Tinsley, Al Jefferson","Millsap, Carroll, Burks, Tinsley, Jefferson",200794-201960-202692-2224-2744,UTA,409.0,3,13.0,12,8.0,26,5.0,91.54034229828851,19.0,17.416666666666668,7.0,14.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,4.0,1.0,2.0,4.0,6.0,18.0,1.0,1.0,3.0,5.0,12.0,2.0,9.0,5.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,,6.0,7.0,2.0,2.0,3.0,,4.0,2.0,1.0,2.0,17.0,12.0,9.0,,1.0,1.0,0.75,0.6666666666666666,0.6,0.6666666666666666,0.5,1.0,0.875,0.9166666666666666,0.8181818181818182,0.8571428571428571,0.75,0.75,,12.928571428571429,12.428571428571429,0.125,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.625,0.6,0.6,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666666,1.0,0.6666666666666666,0.5,0.875,0.6,0.53851875,0.5582833333333334,0.6666666666666666,3.9,24.383333333333336,0.6428571428571429,1.0,,,1.0,,,,,1.0,,,1.0,5.0,1.0,1.0,1.0,,,7.0,,,,,,0.5,,,0.7142857142857143,1.0,0.6,0.3333333333333333,,0.5,0.5,0.125,,,,,,,,0.05555555555555555,4.0,1.0,1.0,3.0,,,3.0,6.0,,,,1.0,,,,1.0,0.3333333333333333,,,0.5,,1.0,1.0,1.0,3.0,0.2727272727272727,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-201960-202692-2734-2744,1610612762,"Paul Millsap, DeMarre Carroll, Alec Burks, Devin Harris, Al Jefferson","Millsap, Carroll, Burks, Harris, Jefferson",200794-201960-202692-2734-2744,UTA,129.0,1,-5.0,4,3.0,8,6.0,89.30232558139535,14.75,11.5,2.0,4.0,4.0,,1.0,,1.0,,,,,,,,,,2.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,2.0,2.0,,2.0,1.0,1.0,4.0,,,,,,,,,,,,0.16666666666666666,0.16666666666666666,,0.5,,17.5,17.5,0.5,,,,,,,,,,,,0.5,,,,,,0.5,,0.46065,0.46065,1.0,9.75,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-202324-202330-2224-2744,1610612762,"Paul Millsap, Derrick Favors, Gordon Hayward, Jamaal Tinsley, Al Jefferson","Millsap, Favors, Hayward, Tinsley, Jefferson",200794-202324-202330-2224-2744,UTA,451.0,4,9.0,15,10.0,31,15.0,98.98004434589801,16.466666666666665,16.266666666666666,8.0,16.0,6.0,7.0,7.0,4.0,4.0,1.0,1.0,,,2.0,6.0,,2.0,7.0,9.0,3.0,7.0,24.0,4.0,5.0,,2.0,8.0,8.0,6.0,6.0,2.0,4.0,2.0,6.0,1.0,1.0,4.0,14.0,,4.0,6.0,,,1.0,,2.0,,2.0,4.0,19.0,8.0,6.0,2.0,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.42857142857142855,,0.42857142857142855,0.7777777777777778,0.8,0.71875,0.5714285714285714,0.75,0.5714285714285714,0.4375,0.5,,12.75,12.5,0.4375,1.0,1.0,0.5714285714285714,0.0625,1.0,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,0.5,0.5714285714285714,1.0,,,0.2857142857142857,,0.875,0.3333333333333333,0.535240625,0.49992142857142857,0.3333333333333333,3.922222222222222,24.385714285714283,0.375,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,6.0,,2.0,3.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.25,1.25,,,0.42857142857142855,1.0,0.5,0.4,,,0.4,0.0625,0.0625,,,0.5,1.0,,0.6017,0.20833333333333334,1.0,,,3.0,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,0.5,,1.0,1.0,0.0625,0.1111111111111111,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2012,2011-12,True
200794-202324-202330-2734-2744,1610612762,"Paul Millsap, Derrick Favors, Gordon Hayward, Devin Harris, Al Jefferson","Millsap, Favors, Hayward, Harris, Jefferson",200794-202324-202330-2734-2744,UTA,2369.0,4,-8.0,78,24.0,152,81.0,92.39341494301392,15.08974358974359,13.935897435897436,39.0,74.0,23.0,6.0,17.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,9.0,,2.0,19.0,46.0,4.0,13.0,73.0,6.0,9.0,1.0,3.0,28.0,12.0,9.0,9.0,3.0,6.0,3.0,9.0,2.0,1.0,1.0,21.0,4.0,32.0,40.0,4.0,3.0,5.0,3.0,8.0,4.0,13.0,19.0,67.0,28.0,23.0,2.0,0.3157894736842105,0.3333333333333333,0.75,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.41304347826086957,0.6666666666666666,0.423728813559322,0.625,0.5,0.7,0.22033898305084745,0.625,1.0,16.10810810810811,15.175675675675675,0.288135593220339,0.35294117647058826,0.5454545454545454,0.16666666666666666,0.06779661016949153,0.25,0.25,1.0,0.15254237288135594,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.6666666666666666,0.08333333333333333,1.0,0.16666666666666666,,0.5084745762711864,0.3333333333333333,0.47739745762711866,0.4990125,0.3835616438356164,9.878260869565217,24.16923076923077,0.3108108108108108,6.0,1.0,2.0,13.0,7.0,16.0,1.0,4.0,6.0,26.0,10.0,5.0,24.0,8.0,1.0,3.0,,,21.0,4.0,2.0,4.0,0.25,0.35714285714285715,0.375,0.21739130434782608,0.35294117647058826,0.6666666666666666,0.19230769230769232,0.6666666666666666,0.2,0.1,0.6,0.75,0.22033898305084745,0.2711864406779661,0.4375,0.4375,0.2857142857142857,0.5,,0.55685,0.0821917808219178,23.0,1.0,13.0,3.0,,1.0,2.0,30.0,5.0,,5.0,0.42857142857142855,,3.0,2.0,4.0,0.6666666666666666,0.2222222222222222,0.16666666666666666,0.6,0.42857142857142855,0.6,1.0,,11.0,0.16176470588235295,0.2,,1.0,1.0,1.0,3.0,2.0,2.0,0.3333333333333333,0.1111111111111111,0.14285714285714285,1.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.3076923076923077,0.2,0.3333333333333333,1.0,0.5,0.46153846153846156,0.6666666666666666,0.3333333333333333,0.2857142857142857,,,,,,,,,,,,,1610612762,2012,2011-12,True
