EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Corner3FGA,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeAssists,FTDefRebounds,DefFTReboundPct,LongMidRangePctAssisted,PenaltyArc3FGA,SecondChanceFtPoints,OffThreePtRebounds,Travels,PenaltyTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,BadPassOutOfBoundsTurnovers,AtRimPctBlocked,SelfOReb,Loose Ball Fouls,SelfORebPct,BadPassSteals,SecondChanceTurnovers,OffCorner3ReboundPct,DefensiveGoaltends,Arc3FGM,SecondChanceArc3FGM,SecondChanceFG3M,NonHeaveArc3FGM,Arc3Assists,SecondChanceFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyArc3Accuracy,PtsUnassisted3s,Charge Fouls Drawn,NonShootingPenaltyNonTakeFouls,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedShortMidRange,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,3SecondViolations,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Charge Fouls,Blocked3s,BlockedCorner3,OffensiveGoaltends,Arc3PctBlocked,Clear Path Fouls,BlockedArc3,team_id,year,season,team_vs
1710-200764-200779-201611-202725,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Henry Walker, Josh Harrellson","Bibby, Balkman, Novak, Walker, Harrellson",1710-200764-200779-201611-202725,NYK,117.0,1,2.0,-7.0,4.0,5.0,2.0,9.0,2.0,2.0,4.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.76923076923077,18.0,9.0,18.0,9.0,0.5,0.5,1.0,0.5874375,23.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-200779-201611-2199,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Henry Walker, Tyson Chandler","Bibby, Balkman, Novak, Walker, Chandler",1710-200764-200779-201611-2199,NYK,8.0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-200779-201611-2405,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Henry Walker, Amar'e Stoudemire","Bibby, Balkman, Novak, Walker, Stoudemire",1710-200764-200779-201611-2405,NYK,486.0,1,8.0,4.0,16.0,16.0,6.0,32.0,1.0,,1.0,14.0,,1.0,6.0,7.0,2.0,4.0,,0.07692307692307693,0.5,0.8571428571428571,,94.81481481481482,13.4375,16.9375,13.4375,16.4375,0.07692307692307693,,0.3076923076923077,0.4898692307692307,23.4,6.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,6.0,12.0,1.0,3.0,18.0,3.0,5.0,1.0,1.0,1.0,10.0,8.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,18.0,10.0,6.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.6,0.5769230769230769,0.75,0.6,0.8333333333333334,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,0.23076923076923078,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.6153846153846154,0.25,0.25,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.4694833333333333,0.2,0.21428571428571427,0.5555555555555556,13.025,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-200779-201962-202366,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Toney Douglas, Jerome Jordan","Bibby, Balkman, Novak, Douglas, Jordan",1710-200764-200779-201962-202366,NYK,304.0,1,5.0,-10.0,10.0,11.0,4.0,21.0,1.0,3.0,4.0,16.0,3.0,1.0,3.0,6.0,2.0,2.0,,0.4444444444444444,1.0,0.75,,99.47368421052632,16.7,12.454545454545455,14.9,11.545454545454545,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5383777777777777,24.575,,1.0,2.0,,,,2.0,1.0,1.0,,,,2.0,5.0,,2.0,6.0,,,,,,,,4.0,,,,,,,,,3.0,2.0,3.0,,,2.0,1.0,3.0,1.0,,,2.0,,1.0,2.0,,,,,,,,,0.4,,0.2222222222222222,,0.3,,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,,,1.0,0.5,1.0,0.2222222222222222,0.5,0.5,,0.2222222222222222,,,,0.1111111111111111,1.0,1.0,,,,,,,,,0.1,0.16666666666666666,,8.02,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.2,0.5,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.52025,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-200779-202697-2405,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Iman Shumpert, Amar'e Stoudemire","Bibby, Balkman, Novak, Shumpert, Stoudemire",1710-200764-200779-202697-2405,NYK,227.0,1,4.0,-1.0,7.0,8.0,,15.0,1.0,1.0,2.0,8.0,1.0,,3.0,3.0,1.0,1.0,,0.3333333333333333,,0.6666666666666666,,95.15418502202644,15.285714285714286,15.0,15.285714285714286,15.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5695,24.65,,1.0,2.0,,,,,2.0,2.0,,,,3.0,4.0,,1.0,7.0,,,,,,,4.0,2.0,,2.0,,2.0,,1.0,,4.0,,2.0,,1.0,1.0,,,,1.0,,1.0,2.0,,1.0,7.0,,,0.6666666666666666,0.6666666666666666,,,,,0.75,,0.5,,0.5,,,0.6666666666666666,,,,0.6666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,0.14285714285714285,0.2,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-200779-202725-2546,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Josh Harrellson, Carmelo Anthony","Bibby, Balkman, Novak, Harrellson, Anthony",1710-200764-200779-202725-2546,NYK,178.0,1,3.0,5.0,6.0,5.0,4.0,11.0,1.0,1.0,2.0,6.0,1.0,1.0,3.0,4.0,1.0,3.0,,0.6666666666666666,1.0,1.0,1.0,88.98876404494382,12.166666666666666,21.0,12.166666666666666,21.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4033,25.2,6.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,1.0,1.0,1.0,2.0,6.0,11.0,,2.0,3.0,,1.0,1.0,1.0,,,3.0,,2.0,1.0,,,,,1.0,1.0,,,7.0,,2.0,10.0,11.0,6.0,,,1.0,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,0.3333333333333333,1.0,0.4033,0.4,0.6666666666666666,1.0,18.5,1.0,1.0,,,,,,,1.0,,,1.0,,,,,0.5,,,,,,,,,0.09090909090909091,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-200779-2405-2546,1610612752,"Mike Bibby, Renaldo Balkman, Steve Novak, Amar'e Stoudemire, Carmelo Anthony","Bibby, Balkman, Novak, Stoudemire, Anthony",1710-200764-200779-2405-2546,NYK,67.0,1,1.0,-2.0,2.0,2.0,,4.0,,,,2.0,,,1.0,1.0,1.0,,,,,1.0,,85.97014925373134,17.5,16.0,17.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-201611-201962-2405,1610612752,"Mike Bibby, Renaldo Balkman, Henry Walker, Toney Douglas, Amar'e Stoudemire","Bibby, Balkman, Walker, Douglas, Stoudemire",1710-200764-201611-201962-2405,NYK,138.0,1,2.0,-2.0,5.0,5.0,5.0,10.0,,,,6.0,,,1.0,1.0,,,,,,0.5,,104.34782608695653,11.8,15.8,11.8,15.8,,,1.0,0.7139000000000001,,5.0,2.0,3.0,2.0,3.0,,,,,,,,2.0,3.0,,,4.0,2.0,3.0,,,,4.0,,4.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,4.0,4.0,5.0,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,,,,,,1.0,,1.0,0.6666666666666666,1.0,,,,,,,,,,,,1.0,0.6666666666666666,,,0.7139000000000001,,,1.0,1.5999999999999999,1.0,,,,,,,,,,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-201611-202697-2405,1610612752,"Mike Bibby, Renaldo Balkman, Henry Walker, Iman Shumpert, Amar'e Stoudemire","Bibby, Balkman, Walker, Shumpert, Stoudemire",1710-200764-201611-202697-2405,NYK,141.0,1,2.0,,6.0,5.0,,11.0,,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,,0.14285714285714285,0.5,0.5,1.0,112.34042553191489,13.333333333333334,12.2,11.833333333333334,9.2,,0.14285714285714285,0.5714285714285714,0.5431214285714285,26.1,,1.0,3.0,,,,1.0,,2.0,,,,1.0,6.0,,1.0,3.0,,,,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,0.16666666666666666,,0.14285714285714285,,0.21428571428571427,,,0.5,,0.16666666666666666,,0.5,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,0.14285714285714285,,,,0.2857142857142857,,,,,,,,,,,0.14285714285714285,0.16666666666666666,,7.75,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200764-201611-202725-2199,1610612752,"Mike Bibby, Renaldo Balkman, Henry Walker, Josh Harrellson, Tyson Chandler","Bibby, Balkman, Walker, Harrellson, Chandler",1710-200764-201611-202725-2199,NYK,39.0,1,1.0,,1.0,2.0,2.0,3.0,,,,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,,110.76923076923076,20.0,9.5,20.0,9.5,,,,0.3856,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,0.3856,,,1.0,19.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
