EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,SelfOReb,Steals,LostBallSteals,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimAssists,AtRimPctAssisted,SecondChanceFtPoints,Fg3aBlocked,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefAtRimReboundPct,BadPassSteals,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,ShootingFouls,Corner3Frequency,FTDefRebounds,DefFTReboundPct,OffLongMidRangeReboundPct,Blocked2s,BlockedAtRim,Blocks,BlockedShortMidRange,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,BlockedLongMidRange,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShortMidRangePctBlocked,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Charge Fouls,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGM,FTOffRebounds,LostBallTurnovers,Travels,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceArc3Accuracy,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,Offensive Fouls,PenaltyArc3Accuracy,HeaveAttempts,Arc3Assists,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Arc3PctAssisted,DefensiveGoaltends,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,Blocked3s,BlockedArc3,3SecondViolations,Charge Fouls Drawn,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,BlockingFouls,team_id,year,season,team_vs
101249-1888-201149-201959-2594,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Taj Gibson, Kyle Korver","Lucas III, Hamilton, Noah, Gibson, Korver",101249-1888-201149-201959-2594,CHI,126.0,1,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5,1.0,0.25,1.0,1.0,1.0,45.714285714285715,15.5,47.5,13.0,22.0,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.4588833333333333,0.5,6.7,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-202710-2430,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Jimmy Butler, Carlos Boozer","Lucas III, Hamilton, Noah, Butler, Boozer",101249-1888-201149-202710-2430,CHI,207.0,1,3.0,4.0,6.0,6.0,1.0,12.0,,,2.0,3.0,6.0,2.0,8.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,,2.0,1.0,1.0,3.0,3.0,6.0,6.0,0.3333333333333333,0.5,0.5,0.5,0.375,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.25,1.0,0.5,0.5,0.6,0.5,,83.47826086956522,14.0,20.5,11.833333333333334,15.5,,,,,0.25,0.625,0.4578625,0.25,9.15,25.5,6.0,6.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,6.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,6.0,1.0,1.0,0.5,0.375,0.4444444444444444,0.16666666666666666,0.3333333333333333,0.4,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.25,0.375,0.3333333333333333,0.5,0.375,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333,0.375,0.3333333333333333,0.25,0.45635,0.4578625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-2430-2594,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Carlos Boozer, Kyle Korver","Lucas III, Hamilton, Noah, Boozer, Korver",101249-1888-201149-2430-2594,CHI,78.0,1,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,,2.0,2.0,,4.0,2.0,,,,2.0,2.0,,1.0,1.0,,2.0,,,,,,4.0,0.5,0.5,1.0,,1.0,,1.0,,,,,,,,,73.84615384615384,14.5,24.5,14.5,24.5,0.5,1.0,1.0,,,0.5,0.56955,,3.0,,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,,4.0,,,,,,,,,2.0,,,,4.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,0.5,1.0,1.0,,,,,,,,0.5,1.0,,,0.56955,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Noah, Boozer, Deng",101249-1888-201149-2430-2736,CHI,233.0,1,4.0,,6.0,7.0,2.0,13.0,1.0,1.0,3.0,2.0,3.0,3.0,6.0,6.0,,1.0,2.0,,4.0,3.0,,,,,2.0,,3.0,2.0,5.0,4.0,,,0.6666666666666666,,0.3333333333333333,,0.42857142857142855,0.5,0.5,,1.0,0.75,0.6666666666666666,1.0,,80.34334763948497,17.0,18.714285714285715,14.333333333333334,17.857142857142858,0.16666666666666666,1.0,1.0,,0.5,0.6666666666666666,0.48573333333333335,0.3333333333333333,7.8,24.866666666666664,2.0,3.0,,1.0,,1.0,,,1.0,1.0,,2.0,2.0,,,,2.0,2.0,2.0,,,,,3.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,,,0.3333333333333333,,,1.0,,,1.0,1.0,,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,,1.0,,,,,1.0,,0.503175,0.3333333333333333,0.3333333333333333,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201600-201959-2594,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Taj Gibson, Kyle Korver","Lucas III, Hamilton, Asik, Gibson, Korver",101249-1888-201600-201959-2594,CHI,238.0,1,4.0,-3.0,7.0,7.0,,14.0,,,,1.0,3.0,,6.0,9.0,,,,,2.0,,,,,,,,1.0,,1.0,6.0,,,0.3333333333333333,,0.3333333333333333,,0.6,,,,,0.25,,,,84.70588235294117,12.714285714285714,21.285714285714285,12.714285714285714,20.142857142857142,,,,,,0.6666666666666666,0.4071666666666667,,7.8999999999999995,,4.0,4.0,1.0,2.0,,,,1.0,,1.0,,,4.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,3.0,5.0,,1.0,4.0,,,,,0.16666666666666666,,,0.3333333333333333,,,,0.3333333333333333,,,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,,,,0.5,,,,0.39985,0.16666666666666666,0.5714285714285714,,,,,1.0,1.0,1.0,2.0,1.0,,,,0.5,,1.0,1.0,1.0,3.0,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201600-201959-2736,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Taj Gibson, Luol Deng","Lucas III, Hamilton, Asik, Gibson, Deng",101249-1888-201600-201959-2736,CHI,102.0,1,2.0,-4.0,4.0,3.0,,7.0,,1.0,1.0,,2.0,2.0,,4.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,0.5,,,1.0,,,,98.82352941176471,13.75,15.666666666666666,13.75,15.666666666666666,0.25,,,,0.25,0.5,0.4844,,16.1,24.55,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201600-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Asik, Boozer, Deng",101249-1888-201600-2430-2736,CHI,322.0,1,5.0,8.0,9.0,9.0,2.0,18.0,,1.0,1.0,3.0,7.0,1.0,11.0,3.0,,,3.0,6.0,,1.0,3.0,3.0,,6.0,,,8.0,2.0,10.0,8.0,1.0,1.0,0.42857142857142855,,0.375,,0.5,0.75,0.125,,,0.75,0.4,,,80.4968944099379,15.777777777777779,20.0,15.777777777777779,19.555555555555557,0.125,,,,0.125,0.375,0.4510375,0.2727272727272727,12.257142857142856,25.7,2.0,3.0,1.0,2.0,,,,1.0,2.0,4.0,,,5.0,,,2.0,,3.0,3.0,,1.0,2.0,2.0,6.0,,,,3.0,3.0,6.0,,3.0,2.0,,,,,0.375,0.14285714285714285,0.5,0.75,0.5,1.0,0.6666666666666666,1.0,,,0.25,0.5,1.0,0.5,0.5,0.5,1.0,,,,0.5,,,,0.4492,0.2727272727272727,0.2222222222222222,1.0,1.0,3.0,,,,,,,,,,,,,,,3.0,0.2727272727272727,0.3,,2.0,,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201959-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Taj Gibson, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Gibson, Boozer, Deng",101249-1888-201959-2430-2736,CHI,107.0,1,2.0,-2.0,4.0,4.0,,8.0,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,0.16666666666666666,,,,,0.6666666666666666,,,,107.66355140186916,13.25,13.5,13.25,13.0,,,,,,,0.4143,,15.25,,4.0,4.0,,,,,,,,2.0,,,1.0,,,2.0,,1.0,1.0,,,,,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,4.0,,1.0,,,0.16666666666666666,,,0.6666666666666666,,,1.0,,,,,,,1.0,,,,,,,,,,,0.4143,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,0.5,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-2430-2594-2736,1610612741,"John Lucas III, Richard Hamilton, Carlos Boozer, Kyle Korver, Luol Deng","Lucas III, Hamilton, Boozer, Korver, Deng",101249-1888-2430-2594-2736,CHI,20.0,1,,2.0,1.0,2.0,,3.0,,,,,,,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,,,1.0,,,1.0,,0.6666666666666666,,,1.0,216.0,,10.0,,9.5,,,,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-200758-201149-201959-2594,1610612741,"John Lucas III, Ronnie Brewer, Joakim Noah, Taj Gibson, Kyle Korver","Lucas III, Brewer, Noah, Gibson, Korver",101249-200758-201149-201959-2594,CHI,219.0,1,4.0,4.0,7.0,7.0,,14.0,2.0,2.0,,5.0,7.0,,10.0,6.0,,,,4.0,6.0,,2.0,2.0,,4.0,,,3.0,,3.0,10.0,0.4,0.4,0.7142857142857143,,0.7142857142857143,,0.7142857142857143,,,,,0.6666666666666666,,,,92.05479452054794,15.285714285714286,16.0,15.285714285714286,15.285714285714286,0.2857142857142857,1.0,1.0,,,0.14285714285714285,0.4144,,14.057142857142859,,,,,1.0,,,,,3.0,4.0,,,,,,,,,,,,2.0,,2.0,,1.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,0.14285714285714285,,,0.5714285714285714,0.75,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
