EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,LongMidRangeFrequency,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,HeaveAttempts,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,DefTwoPtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,OffensiveGoaltends,Corner3PctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,Clear Path Fouls,BlockingFouls,SecondChanceFtPoints,LongMidRangePctBlocked,PenaltyCorner3FGM,BlockedLongMidRange,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,Blocked3s,BlockedCorner3,BlockedArc3,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1894-200748-201571-201591-201945,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, DJ White, Gerald Henderson","Maggette, Thomas, Augustin, White, Henderson",1894-200748-201571-201591-201945,CHA,110.0,2,2.0,1.0,5.0,4.0,2.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,117.81818181818183,12.0,12.5,10.6,12.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.4380833333333333,0.3839,0.3839,0.5,5.85,25.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201591-202130,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, DJ White, Reggie Williams","Maggette, Thomas, Augustin, White, Williams",1894-200748-201571-201591-202130,CHA,49.0,1,1.0,-1.0,2.0,1.0,2.0,,,3.0,,,,,,,,1.0,,2.0,2.0,3.0,,1.0,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,,,,0.5,0.5,,,,,88.16326530612245,17.0,15.0,17.0,15.0,,,,,,,,,,0.4206,,0.4206,1.0,17.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201591-202689,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, DJ White, Kemba Walker","Maggette, Thomas, Augustin, White, Walker",1894-200748-201571-201591-202689,CHA,51.0,1,1.0,-4.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,1.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,84.70588235294117,17.0,17.0,17.0,15.0,,,,,,,,,,0.4248,,0.4248,,17.8,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201945-201957,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Gerald Henderson, Byron Mullens","Maggette, Thomas, Augustin, Henderson, Mullens",1894-200748-201571-201945-201957,CHA,247.0,2,4.0,-10.0,7.0,9.0,2.0,9.0,2.0,16.0,1.0,,,1.0,4.0,1.0,1.0,7.0,1.0,2.0,4.0,14.0,1.0,2.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,1.0,2.0,3.0,,1.0,2.0,,2.0,,2.0,1.0,,1.0,1.0,0.14285714285714285,0.125,0.2222222222222222,,0.125,1.0,0.5,1.0,93.27935222672066,21.142857142857142,11.0,17.714285714285715,11.0,0.125,0.5,0.25,0.3333333333333333,1.0,0.125,,,0.25,0.45942857142857146,0.4794,0.37935,,10.414285714285715,55.2,0.2857142857142857,2.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.1111111111111111,0.125,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201945-201974,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Gerald Henderson, Derrick Brown","Maggette, Thomas, Augustin, Henderson, Brown",1894-200748-201571-201945-201974,CHA,2.0,1,,-1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201945-202687,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Gerald Henderson, Bismack Biyombo","Maggette, Thomas, Augustin, Henderson, Biyombo",1894-200748-201571-201945-202687,CHA,9695.0,11,162.0,-47.0,313.0,312.0,33.0,34.0,35.0,625.0,83.0,18.0,8.0,12.0,42.0,30.0,96.0,230.0,40.0,63.0,312.0,359.0,30.0,15.0,19.0,36.0,118.0,30.0,59.0,73.0,5.0,160.0,25.0,93.0,133.0,18.0,2.0,49.0,39.0,69.0,3.0,75.0,75.0,6.0,282.0,36.0,33.0,3.0,6.0,0.6145833333333334,0.6483516483516484,0.41739130434782606,0.46111111111111114,0.5082236842105263,0.6206896551724138,0.14814814814814814,0.6578947368421053,0.6013986013986014,0.6785714285714286,92.8313563692625,16.268370607028753,14.753205128205128,15.498402555910543,13.887820512820513,0.3074074074074074,0.15555555555555556,0.2857142857142857,0.3076923076923077,0.4166666666666667,0.1111111111111111,0.5294117647058824,0.4444444444444444,0.45555555555555555,0.5017235185185185,0.5296439393939394,0.5034083333333332,0.11538461538461539,10.455652173913045,24.509999999999998,0.10543130990415335,105.0,0.3888888888888889,3.0,12.0,30.0,3.0,,18.0,,35.0,40.0,26.0,13.0,31.0,8.0,4.0,5.0,30.0,0.4,0.4411764705882353,0.4411764705882353,,0.0782608695652174,0.07142857142857142,,0.6326530612244898,0.2631578947368421,0.24675324675324675,0.3157894736842105,0.27692307692307694,0.16666666666666666,0.1040268456375839,0.11673151750972763,0.09615384615384616,44.0,9.0,4.0,40.0,6.0,10.0,1.0,13.0,2.0,3.0,1.0,19.0,2.0,4.0,7.0,1.0,74.0,42.0,15.0,10.0,13.0,14.0,8.0,6.0,24.0,30.0,3.0,2.0,61.0,7.0,2.0,13.0,4.0,23.0,1.0,2.0,2.0,5.0,3.0,2.0,14.0,1.0,3.0,3.0,1.0,14.0,12.0,2.0,14.0,6.0,2.0,1.0,1.0,0.7368421052631579,0.475,0.5,0.3333333333333333,0.475,0.4666666666666667,0.4722222222222222,0.18072289156626506,0.7777777777777778,0.4,0.580952380952381,0.14285714285714285,0.16666666666666666,0.17647058823529413,0.3673469387755102,0.72,0.8064516129032258,0.6,0.014705882352941176,0.42857142857142855,0.5301204819277109,0.6470588235294118,0.5454545454545454,0.38095238095238093,0.38095238095238093,0.75,0.037037037037037035,0.6,0.6,1.0,0.43333333333333335,0.43333333333333335,0.6153846153846154,0.5,0.3333333333333333,0.029411764705882353,0.08823529411764706,0.6666666666666666,1.0,0.5,0.3333333333333333,0.43333333333333335,0.024390243902439025,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201945-2059,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Gerald Henderson, Eduardo Najera","Maggette, Thomas, Augustin, Henderson, Najera",1894-200748-201571-201945-2059,CHA,352.0,2,6.0,7.0,14.0,14.0,10.0,4.0,1.0,28.0,3.0,,3.0,,1.0,,6.0,8.0,1.0,8.0,20.0,13.0,,5.0,6.0,16.0,6.0,,3.0,3.0,,6.0,1.0,2.0,3.0,1.0,,3.0,,4.0,,7.0,8.0,2.0,20.0,16.0,10.0,,2.0,0.5,0.5,0.75,0.6666666666666666,0.7692307692307693,0.8888888888888888,0.1111111111111111,1.0,0.5,1.0,114.54545454545455,11.857142857142858,13.285714285714286,11.714285714285714,12.642857142857142,0.3333333333333333,0.1111111111111111,,,,,,0.5,0.4444444444444444,0.5186777777777778,,0.5730833333333333,0.8,10.2375,24.0,0.7142857142857143,4.0,0.4444444444444444,,,,1.0,,,1.0,,1.0,2.0,1.0,2.0,,1.0,3.0,3.0,,,,1.0,,,,0.6666666666666666,,0.3333333333333333,,,,0.2727272727272727,0.3,,3.0,,3.0,3.0,,1.0,,,,,,,,,5.0,,6.0,,,,,,,,2.0,1.0,1.0,,1.0,,,1.0,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,0.8333333333333334,,,,0.3333333333333333,1.0,,,1.0,,,,,,1.0,1.0,0.6666666666666666,0.75,0.75,0.3333333333333333,0.1111111111111111,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201945-2564,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Gerald Henderson, Boris Diaw","Maggette, Thomas, Augustin, Henderson, Diaw",1894-200748-201571-201945-2564,CHA,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-201957-202809,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Byron Mullens, Cory Higgins","Maggette, Thomas, Augustin, Mullens, Higgins",1894-200748-201571-201957-202809,CHA,59.0,1,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,2.0,2.0,,,,,2.0,,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,48.8135593220339,24.0,35.0,24.0,34.0,1.0,,,,,,,,1.0,0.6574,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2012,2011-12,False
1894-200748-201571-202130-2205,1610612766,"Corey Maggette, Tyrus Thomas, D.J. Augustin, Reggie Williams, DeSagana Diop","Maggette, Thomas, Augustin, Williams, Diop",1894-200748-201571-202130-2205,CHA,148.0,1,2.0,-8.0,7.0,6.0,,2.0,,13.0,1.0,,,,1.0,,,4.0,,,,8.0,,,,,,,,,,,1.0,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,0.5,0.6666666666666666,,126.48648648648648,9.857142857142858,13.166666666666666,9.857142857142858,13.0,0.25,0.25,,,,,,,0.25,0.468875,,,,11.125,,,2.0,0.5,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1610612766,2012,2011-12,False
