EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyDefPoss,Steals,BadPassSteals,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallTurnovers,Charge Fouls,Loose Ball Fouls Drawn,Corner3FGM,PenaltyCorner3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,FtPoints,PtsUnassisted3s,ShootingFouls,DefensiveGoaltends,SecondChanceCorner3FGA,SecondChanceFG3A,Offensive Fouls,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyFtPoints,Travels,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3FGA,HeaveAttempts,Technical Free Throw Trips,SecondChanceArc3Frequency,ShortMidRangeAssists,Defensive 3 Seconds Violations,ShortMidRangePctAssisted,LostBallSteals,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFtPoints,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,BlockedAtRim,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,LongMidRangePctBlocked,BlockedShortMidRange,BlockingFoulsDrawn,Charge Fouls Drawn,ShortMidRangePctBlocked,3SecondViolations,team_id,year,season,team_vs
1710-200779-202361-202366-202725,1610612752,"Mike Bibby, Steve Novak, Landry Fields, Jerome Jordan, Josh Harrellson","Bibby, Novak, Fields, Jordan, Harrellson",1710-200779-202361-202366-202725,NYK,222.0,1,4.0,-3.0,7.0,8.0,7.0,2.0,15.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,7.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,7.0,0.4,0.5,0.4,0.25,0.5,0.25,0.25,0.5,0.25,0.375,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.5,0.16666666666666666,97.29729729729729,14.285714285714286,15.25,13.571428571428571,14.375,0.25,0.5,0.5,0.25,0.5,0.5,0.125,0.125,0.25,1.0,0.5,0.25,0.5,0.125,0.25,0.625,0.4721375,0.5356,0.4721375,0.5,1.0,8.7,24.400000000000002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-202361-202725-2747,1610612752,"Mike Bibby, Steve Novak, Landry Fields, Josh Harrellson, JR Smith","Bibby, Novak, Fields, Harrellson, Smith",1710-200779-202361-202725-2747,NYK,317.0,1,5.0,6.0,9.0,9.0,9.0,,18.0,1.0,2.0,,,1.0,2.0,2.0,3.0,3.0,,,,,5.0,8.0,,10.0,4.0,,,,5.0,8.0,,10.0,4.0,,,,,3.0,7.0,,7.0,,1.0,,1.0,,1.0,,1.0,,,10.0,10.0,9.0,0.625,,0.625,0.625,,0.625,0.625,,0.625,,1.0,1.0,,,0.8571428571428571,,,,,1.0,,81.76656151419559,14.0,21.22222222222222,14.0,19.444444444444443,0.25,0.5,1.0,0.375,0.6666666666666666,0.6666666666666666,0.375,,,,,0.25,0.5,,,0.25,0.4389,,0.4389,,1.0,11.1,,1.0,2.0,6.0,1.0,3.0,3.0,1.0,2.0,6.0,3.0,1.0,1.0,0.6,0.6,0.125,0.5,1.0,0.75,1.0,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-202361-2199-2546,1610612752,"Mike Bibby, Steve Novak, Landry Fields, Tyson Chandler, Carmelo Anthony","Bibby, Novak, Fields, Chandler, Anthony",1710-200779-202361-2199-2546,NYK,268.0,1,4.0,5.0,8.0,8.0,6.0,,16.0,5.0,6.0,,,4.0,5.0,1.0,1.0,1.0,,,,,7.0,8.0,,14.0,9.0,,,,5.0,6.0,,10.0,8.0,,,,,2.0,2.0,,2.0,,,,,,,,,2.0,,14.0,10.0,6.0,0.875,,0.8333333333333334,0.875,,0.8333333333333334,0.875,,0.8333333333333334,,,0.6666666666666666,,,0.6666666666666666,,,,,0.5,,85.97014925373134,11.25,22.25,11.25,19.625,0.75,0.8333333333333334,0.8333333333333334,0.125,1.0,1.0,0.125,,,,,0.8333333333333334,0.8,,,0.75,0.5748875,,0.5733,,0.7142857142857143,4.35,,0.75,1.0,6.0,,3.0,3.0,3.0,,6.0,,,1.0,0.42857142857142855,0.42857142857142855,,,,,,,,0.6,1.0,1.0,,8.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-202361-2199-2747,1610612752,"Mike Bibby, Steve Novak, Landry Fields, Tyson Chandler, JR Smith","Bibby, Novak, Fields, Chandler, Smith",1710-200779-202361-2199-2747,NYK,171.0,1,3.0,-2.0,5.0,6.0,,1.0,11.0,,3.0,,1.0,,,1.0,1.0,,,,,,1.0,4.0,,2.0,4.0,,1.0,,,,,,2.0,,,,1.0,1.0,3.0,1.0,4.0,1.0,1.0,,,1.0,2.0,,,1.0,,2.0,,,0.25,,,0.25,,,0.25,,,,0.5,1.0,0.3333333333333333,,1.0,0.3333333333333333,0.3333333333333333,,,,0.5,92.63157894736842,14.0,16.833333333333332,14.0,16.833333333333332,0.75,,,0.25,1.0,1.0,,,,1.0,,,,,,0.75,0.563475,0.5585,,,,2.225,,,,,1.0,,,,,,2.0,,1.0,,,0.25,0.3333333333333333,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-202361-2405-2546,1610612752,"Mike Bibby, Steve Novak, Landry Fields, Amar'e Stoudemire, Carmelo Anthony","Bibby, Novak, Fields, Stoudemire, Anthony",1710-200779-202361-2405-2546,NYK,91.0,1,2.0,2.0,3.0,2.0,3.0,,5.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,5.0,3.0,,,,1.0,2.0,1.0,5.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,5.0,5.0,3.0,0.5,,0.5,0.8333333333333334,,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.3333333333333333,,,,,1.0,,,,,,,79.12087912087912,14.333333333333334,24.0,14.333333333333334,24.0,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,,0.3333333333333333,0.43733333333333335,,0.43733333333333335,,1.0,13.3,22.8,1.0,1.0,,,,1.0,,,3.0,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-202361-2405-2747,1610612752,"Mike Bibby, Steve Novak, Landry Fields, Amar'e Stoudemire, JR Smith","Bibby, Novak, Fields, Stoudemire, Smith",1710-200779-202361-2405-2747,NYK,345.0,2,6.0,-2.0,11.0,9.0,,2.0,20.0,1.0,2.0,,,,,,,2.0,4.0,,,,1.0,4.0,4.0,11.0,13.0,,1.0,,,,,,,,,,1.0,1.0,3.0,1.0,4.0,,2.0,,1.0,,2.0,1.0,,3.0,,11.0,,,0.25,,,0.5,,,0.55,,,0.5,1.0,0.5,0.3333333333333333,,0.75,0.2,1.0,,,,,83.47826086956522,16.818181818181817,17.77777777777778,15.727272727272727,17.11111111111111,0.25,0.5,1.0,,,,0.25,0.5,,,,,,,,0.75,0.55785625,0.473,,,,10.575,23.575,,,2.0,1.0,1.0,2.0,1.0,,5.0,2.0,,2.0,1.0,1.0,0.25,0.5,,1.0,1.0,1.0,,1.0,,,,,,,4.0,,2.0,,,0.2,0.3333333333333333,1.0,,,2.0,,2.0,,3.0,1.0,1.0,0.5,0.5,,0.5,0.5,0.5,0.5,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-202725-2407-2747,1610612752,"Mike Bibby, Steve Novak, Josh Harrellson, Jared Jeffries, JR Smith","Bibby, Novak, Harrellson, Jeffries, Smith",1710-200779-202725-2407-2747,NYK,159.0,1,3.0,-6.0,5.0,6.0,,1.0,11.0,,1.0,,,,,,,1.0,2.0,,,,,2.0,2.0,,6.0,,,,,,,,,,,1.0,,,3.0,1.0,4.0,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,0.5,0.5,,,0.5,0.6666666666666666,0.25,,,,,,99.62264150943396,17.2,12.166666666666666,16.2,12.0,0.25,,,,,,0.25,0.5,,,,,,,,0.75,0.5106125,,,,,12.25,23.6,,,,,,,,,,2.0,1.0,4.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-2199-2407-2747,1610612752,"Mike Bibby, Steve Novak, Tyson Chandler, Jared Jeffries, JR Smith","Bibby, Novak, Chandler, Jeffries, Smith",1710-200779-2199-2407-2747,NYK,207.0,1,3.0,1.0,5.0,6.0,,2.0,11.0,2.0,6.0,1.0,5.0,,,,2.0,1.0,,,2.0,,2.0,9.0,2.0,7.0,6.0,1.0,6.0,2.0,,,,,2.0,2.0,2.0,1.0,5.0,,2.0,6.0,8.0,2.0,,,,,,,,1.0,,5.0,,,0.2222222222222222,0.16666666666666666,,0.3181818181818182,0.16666666666666666,,0.3181818181818182,0.16666666666666666,,0.18181818181818182,,,0.7142857142857143,1.0,1.0,0.75,0.75,1.0,1.0,,0.25,76.52173913043478,24.0,14.5,18.4,14.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.18181818181818182,,,0.09090909090909091,,0.18181818181818182,0.8333333333333334,0.2,,,,,0.7272727272727273,0.5548636363636364,0.55186,,0.2857142857142857,,4.655555555555555,24.4,,,2.0,,1.0,2.0,1.0,,5.0,2.0,,3.0,0.5,1.0,,,,1.0,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,1.0,0.5,,0.5,,,,,,,2.0,,,,,,,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-2199-2546-2747,1610612752,"Mike Bibby, Steve Novak, Tyson Chandler, Carmelo Anthony, JR Smith","Bibby, Novak, Chandler, Anthony, Smith",1710-200779-2199-2546-2747,NYK,572.0,4,10.0,-2.0,16.0,16.0,6.0,1.0,32.0,,3.0,,2.0,,,1.0,2.0,5.0,1.0,,1.0,1.0,4.0,10.0,2.0,17.0,19.0,,2.0,,2.0,3.0,1.0,8.0,8.0,,1.0,1.0,2.0,2.0,5.0,3.0,8.0,,,,,2.0,2.0,,,6.0,,17.0,8.0,6.0,0.4,,0.6666666666666666,0.3333333333333333,,0.5,0.5,,0.6666666666666666,0.16666666666666666,,0.6666666666666666,0.3333333333333333,0.5,0.8,0.375,0.6666666666666666,,,1.0,,80.55944055944056,21.375,14.375,20.875,14.375,0.25,,,0.16666666666666666,0.5,0.5,0.4166666666666667,0.08333333333333333,0.08333333333333333,1.0,,,,,0.25,0.4166666666666667,0.45291666666666663,0.57225,0.4141375,,0.47058823529411764,12.120000000000001,24.15,0.375,3.0,,,,,,,,2.0,1.0,3.0,,,,,1.0,1.0,,1.0,1.0,,0.6,0.6,,3.0,,,10.0,,4.0,,1.0,0.25,0.2857142857142857,,1.0,,,,,,,,,,,,,,,,,9.0,,2.0,,,,,1.0,,,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
1710-200779-2405-2407-2747,1610612752,"Mike Bibby, Steve Novak, Amar'e Stoudemire, Jared Jeffries, JR Smith","Bibby, Novak, Stoudemire, Jeffries, Smith",1710-200779-2405-2407-2747,NYK,57.0,1,1.0,-2.0,3.0,3.0,,,6.0,,,,,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,,1.0,,,,,,,151.57894736842107,8.666666666666666,10.333333333333334,8.666666666666666,10.333333333333334,,,,,,,,,1.0,,,,,,,1.0,0.58665,,,,,,24.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2012,2011-12,False
