EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyArc3FGA,FtPoints,PenaltyFG3A,PenaltyFtPoints,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3Frequency,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffTwoPtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,FTDefRebounds,Charge Fouls,Offensive Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyFg3Pct,AtRimPctBlocked,DefFTReboundPct,DefCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Loose Ball Fouls,SecondChanceFtPoints,PtsUnassisted3s,AtRimAssists,OffThreePtRebounds,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,OffFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,BadPassTurnovers,OffAtRimReboundPct,SelfORebPct,SecondChanceArc3Frequency,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffensiveGoaltends,Loose Ball Fouls Drawn,BadPassOutOfBoundsTurnovers,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Travels,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,SecondChanceCorner3FGA,HeaveAttempts,StepOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceTurnovers,BlockedCorner3,BlockedLongMidRange,3SecondViolations,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,team_id,year,season,team_vs
1495-1536-1938-201168-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Tiago Splitter, Tony Parker","Duncan, Jackson, Ginobili, Splitter, Parker",1495-1536-1938-201168-2225,SAS,113.0,2,2.0,-5.0,3.0,4.0,1.0,1.0,7,1.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,89.20353982300885,19.0,14.0,19.0,11.75,0.5,0.5,1.0,1.0,1.0,0.397,13.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-201971-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, DeJuan Blair, Tony Parker","Duncan, Jackson, Ginobili, Blair, Parker",1495-1536-1938-201971-2225,SAS,359.0,3,6.0,-7.0,13.0,11.0,6.0,4.0,24,3.0,1.0,3.0,3.0,7.0,9.0,16.0,4.0,2.0,3.0,1.0,7.0,1.0,,,,9.0,6.0,,,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.45,0.45,96.26740947075209,16.307692307692307,13.363636363636363,16.307692307692307,13.363636363636363,0.3,0.3,0.3333333333333333,0.3333333333333333,1.0,0.442775,11.285714285714286,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.4,0.3333333333333333,0.4051,0.4444444444444444,25.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-201980-2564,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Danny Green, Boris Diaw","Duncan, Jackson, Ginobili, Green, Diaw",1495-1536-1938-201980-2564,SAS,113.0,1,2.0,3.0,4.0,3.0,4.0,3.0,7,1.0,,1.0,1.0,2.0,4.0,1.0,,,,,,1.0,1.0,2.0,1.0,4.0,4.0,,1.0,,,0.5,0.3333333333333333,0.5,89.20353982300885,16.5,15.666666666666666,16.5,15.666666666666666,0.3333333333333333,0.3333333333333333,,,,0.4378166666666667,11.65,1.0,,,,,1.0,,1.0,,1.0,1.0,2.0,4.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,4.0,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,0.3333333333333333,,,,,,0.3333333333333333,,0.4378166666666667,1.0,24.1,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-201980-2588,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Danny Green, Matt Bonner","Duncan, Jackson, Ginobili, Green, Bonner",1495-1536-1938-201980-2588,SAS,73.0,1,1.0,1.0,2.0,2.0,,,4,1.0,,,,1.0,3.0,2.0,,,1.0,,3.0,1.0,,,,3.0,,,,,,,0.75,0.75,78.9041095890411,22.5,14.0,22.5,14.0,0.5,,,,,0.43645,4.6,,,,,,,1.0,1.0,1.0,1.0,,,,,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,0.5,,,1.0,1.0,,,,1.0,,,,,,,0.5,1.0,1.0,1.0,,,0.5,1.0,,,24.2,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-202390-202695,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Kawhi Leonard","Duncan, Jackson, Ginobili, Neal, Leonard",1495-1536-1938-202390-202695,SAS,65.0,1,1.0,3.0,2.0,2.0,,1.0,4,1.0,,,1.0,2.0,5.0,2.0,,,1.0,,3.0,1.0,1.0,,,3.0,,,,,,0.5,0.8333333333333334,0.8333333333333334,88.61538461538463,15.5,17.0,12.5,17.0,0.3333333333333333,,,,,0.5092,3.3,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,0.3333333333333333,,,1.0,1.0,,,,1.0,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,1.0,,,24.5,,,,,,,,,,,,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5431,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-202390-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Tony Parker","Duncan, Jackson, Ginobili, Neal, Parker",1495-1536-1938-202390-2225,SAS,671.0,3,11.0,-12.0,22.0,23.0,17.0,20.0,45,2.0,1.0,2.0,4.0,8.0,23.0,35.0,,,1.0,,3.0,10.0,9.0,14.0,3.0,21.0,17.0,3.0,3.0,,,0.5,0.39285714285714285,0.5476190476190477,96.57228017883756,15.954545454545455,13.91304347826087,15.954545454545455,13.73913043478261,0.14285714285714285,0.14285714285714285,0.5,0.5,,0.5180571428571429,8.1,0.7727272727272727,2.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,6.0,4.0,6.0,21.0,8.0,3.0,4.0,1.0,1.0,1.0,,2.0,2.0,5.0,6.0,,2.0,,2.0,1.0,4.0,,21.0,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.4583333333333333,0.6176470588235294,0.42857142857142855,,1.0,0.6666666666666666,0.8,1.0,,1.0,0.5,0.2857142857142857,0.5,0.6666666666666666,0.5,0.5,,0.2857142857142857,0.25,0.25,1.0,0.25,0.6666666666666666,0.7142857142857143,0.25,0.51035,0.9130434782608695,24.46666666666667,4.0,12.0,6.0,10.0,1.0,1.0,,,2.0,,,0.3333333333333333,1.0,0.125,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1111111111111111,1.0,1.0,1.0,0.6006,0.08695652173913043,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.16666666666666666,0.25,1.0,1.0,0.14285714285714285,0.16666666666666666,0.25,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-202390-2564,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Boris Diaw","Duncan, Jackson, Ginobili, Neal, Diaw",1495-1536-1938-202390-2564,SAS,13.0,2,,1.0,,1.0,,1.0,1,,,,,,1.0,,,,,,,,2.0,2.0,,1.0,,,,,,,,0.5,110.76923076923076,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-202390-2588,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Matt Bonner","Duncan, Jackson, Ginobili, Neal, Bonner",1495-1536-1938-202390-2588,SAS,131.0,2,2.0,-4.0,4.0,5.0,4.0,5.0,9,,,,,,2.0,6.0,,,,,,3.0,1.0,2.0,,2.0,4.0,2.0,,,,,,0.3333333333333333,98.93129770992367,12.0,16.6,12.0,16.6,,,,,,0.511425,,1.0,,,,,,,2.0,,2.0,,,2.0,,,2.0,,,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.511425,1.0,25.75,2.0,2.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-202695-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Kawhi Leonard, Tony Parker","Duncan, Jackson, Ginobili, Leonard, Parker",1495-1536-1938-202695-2225,SAS,1204.0,4,20.0,-2.0,38.0,41.0,14.0,27.0,79,6.0,2.0,6.0,9.0,19.0,46.0,48.0,12.0,6.0,9.0,1.0,21.0,13.0,8.0,10.0,2.0,44.0,13.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.47368421052631576,0.6724137931034483,0.696969696969697,94.48504983388705,16.210526315789473,14.341463414634147,15.473684210526315,13.902439024390244,0.20689655172413793,0.20689655172413793,0.3333333333333333,0.3333333333333333,0.5,0.47883793103448274,8.926315789473684,0.3684210526315789,4.0,7.0,2.0,4.0,3.0,7.0,9.0,7.0,10.0,3.0,7.0,19.0,6.0,9.0,9.0,7.0,3.0,3.0,1.0,3.0,9.0,12.0,14.0,,8.0,,8.0,2.0,3.0,2.0,17.0,0.42857142857142855,0.7,0.7,0.42857142857142855,0.6818181818181818,0.6785714285714286,0.3448275862068966,,0.6428571428571429,0.5,0.6,0.25,0.8571428571428571,0.6666666666666666,0.6,0.2413793103448276,0.5714285714285714,0.5714285714285714,0.5,0.5,0.3333333333333333,0.3103448275862069,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.36363636363636365,0.5,0.5862068965517241,0.7777777777777778,0.4762863636363637,0.41304347826086957,24.64,4.0,7.0,4.0,4.0,3.0,1.0,6.0,3.0,6.0,3.0,0.5,0.36363636363636365,,,,2.0,,1.0,,1.0,2.0,,2.0,,,0.5,,0.08333333333333333,,1.0,,0.5338,0.043478260869565216,1.0,,3.0,3.0,,,,3.0,1.0,,4.0,,,0.75,,,,0.034482758620689655,,0.75,0.12903225806451613,0.19047619047619047,,2.0,12.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
1495-1536-1938-202695-2564,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Kawhi Leonard, Boris Diaw","Duncan, Jackson, Ginobili, Leonard, Diaw",1495-1536-1938-202695-2564,SAS,95.0,1,2.0,5.0,3.0,3.0,,1.0,6,1.0,1.0,1.0,2.0,2.0,8.0,3.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,,8.0,,,,0.5,0.5,1.0,1.1666666666666667,1.3333333333333333,90.94736842105263,13.666666666666666,18.0,13.666666666666666,18.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.45815,12.5,,,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,1.0,,,1.0,1.0,1.0,,,,0.3333333333333333,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,1.0,,,24.1,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,True
