EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyArc3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,Travels,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,3SecondViolations,Clear Path Fouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,Charge Fouls,Blocked3s,BlockedArc3,LongMidRangePctBlocked,team_id,year,season,team_vs
1733-1889-201147-201167-201580,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Arron Afflalo, JaVale McGee","Harrington, Miller, Brewer, Afflalo, McGee",1733-1889-201147-201167-201580,DEN,1679.0,6,28.0,-10.0,52.0,55.0,9.0,10.0,9.0,107.0,10.0,16.0,3.0,5.0,2.0,2.0,2.0,14.0,3.0,8.0,5.0,3.0,3.0,5.0,1.0,1.0,15.0,38.0,3.0,10.0,8.0,47.0,57.0,4.0,6.0,1.0,1.0,2.0,13.0,3.0,5.0,3.0,2.0,8.0,12.0,18.0,9.0,8.0,5.0,3.0,6.0,6.0,3.0,9.0,3.0,3.0,1.0,2.0,21.0,2.0,7.0,3.0,17.0,2.0,22.0,9.0,31.0,3.0,2.0,1.0,6.0,4.0,3.0,2.0,9.0,1.0,2.0,8.0,18.0,4.0,2.0,10.0,1.0,1.0,10.0,5.0,10.0,6.0,2.0,2.0,10.0,6.0,34.0,8.0,9.0,1.0,0.4,0.5454545454545454,1.0,0.3,1.0,0.3,0.39473684210526316,0.6666666666666666,0.6,0.40625,0.7857142857142857,0.375,0.44339622641509435,0.8125,0.4444444444444444,0.20833333333333334,0.15789473684210525,0.3125,0.07142857142857142,0.6666666666666666,1.0,0.68,0.30434782608695654,0.75,0.2857142857142857,0.6896551724137931,0.3,0.3333333333333333,0.25,0.4,0.5,0.2,0.6923076923076923,0.6666666666666666,0.6666666666666666,1.0,0.5,91.76891006551519,0.6,17.46153846153846,14.018181818181818,16.846153846153847,13.6,0.3333333333333333,0.625,0.9090909090909091,0.3,0.2916666666666667,0.14285714285714285,0.15384615384615385,0.5,0.16666666666666666,0.375,0.375,0.6666666666666666,0.10416666666666667,0.10416666666666667,0.6,0.6,1.0,0.7142857142857143,0.6,0.14285714285714285,1.0,1.0,0.25,1.0,0.375,0.5416666666666666,0.6,0.462634375,0.4727333333333333,0.4691875,0.09433962264150944,0.11627906976744186,0.2765957446808511,0.1702127659574468,8.105263157894736,25.45,0.17307692307692307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201167-201951,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Arron Afflalo, Ty Lawson","Harrington, Miller, Brewer, Afflalo, Lawson",1733-1889-201147-201167-201951,DEN,23.0,1,,-2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,125.21739130434781,,3.0,20.0,3.0,20.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.13575,,0.13575,,,,,,34.4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201167-202389,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Arron Afflalo, Timofey Mozgov","Harrington, Miller, Brewer, Afflalo, Mozgov",1733-1889-201147-201167-202389,DEN,22.0,1,,2.0,1.0,1.0,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,9.0,13.0,9.0,13.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.3629,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201167-202702,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Arron Afflalo, Kenneth Faried","Harrington, Miller, Brewer, Afflalo, Faried",1733-1889-201147-201167-202702,DEN,329.0,3,5.0,-3.0,11.0,10.0,,,2.0,21.0,1.0,3.0,1.0,1.0,,,,2.0,,3.0,,,1.0,4.0,,,1.0,8.0,1.0,4.0,2.0,7.0,10.0,1.0,2.0,,,2.0,4.0,,,,,,,2.0,3.0,,4.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,2.0,2.0,1.0,,3.0,3.0,6.0,2.0,,2.0,,,,,,,,1.0,2.0,,,2.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,,,1.0,0.25,,0.25,0.125,0.5,,0.20833333333333334,0.5,,0.2692307692307692,0.6666666666666666,,0.3333333333333333,0.125,,0.5,,,0.5,0.2857142857142857,1.0,0.3333333333333333,0.75,0.3,,0.5,0.3333333333333333,0.3333333333333333,,1.0,,,,1.0,91.91489361702128,1.0,15.818181818181818,15.5,15.090909090909092,13.8,0.25,0.3333333333333333,0.3333333333333333,,0.16666666666666666,,,,0.25,,,,,0.3333333333333333,0.25,0.25,1.0,0.5,1.0,,,,,,,0.5833333333333334,0.25,0.5212375,0.553,,0.07692307692307693,0.1111111111111111,0.5714285714285714,,9.2125,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201568-201580,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Danilo Gallinari, JaVale McGee","Harrington, Miller, Brewer, Gallinari, McGee",1733-1889-201147-201568-201580,DEN,1107.0,6,18.0,9.0,34.0,34.0,14.0,17.0,4.0,68.0,4.0,9.0,1.0,4.0,2.0,2.0,3.0,7.0,2.0,6.0,4.0,1.0,3.0,7.0,,,9.0,22.0,5.0,11.0,3.0,36.0,27.0,2.0,5.0,1.0,1.0,,7.0,3.0,5.0,7.0,3.0,18.0,4.0,14.0,12.0,,7.0,3.0,2.0,2.0,4.0,6.0,2.0,1.0,,1.0,16.0,1.0,5.0,7.0,9.0,2.0,18.0,6.0,24.0,3.0,3.0,,1.0,1.0,4.0,,5.0,,,4.0,12.0,1.0,,5.0,1.0,,4.0,1.0,3.0,3.0,,,3.0,1.0,29.0,18.0,14.0,2.0,0.2222222222222222,0.2222222222222222,0.8,0.45454545454545453,1.0,0.45454545454545453,0.4090909090909091,0.4,0.6,0.5,0.5833333333333334,0.625,0.5142857142857142,0.5833333333333334,0.6428571428571429,0.3333333333333333,0.09090909090909091,0.2222222222222222,,0.2,1.0,0.6428571428571429,0.38461538461538464,0.7777777777777778,0.2,0.6956521739130435,0.3333333333333333,0.6,0.5,,,0.5,0.5555555555555556,0.6666666666666666,1.0,1.0,0.6,88.45528455284553,0.3333333333333333,16.294117647058822,16.264705882352942,15.558823529411764,14.941176470588236,0.2727272727272727,0.4444444444444444,0.5714285714285714,0.25,0.21212121212121213,0.42857142857142855,0.42857142857142855,,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.5,0.12121212121212122,0.21212121212121213,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.25,,,,0.16666666666666666,1.0,0.08333333333333333,0.6060606060606061,0.42857142857142855,0.4788921875,0.5668300000000001,0.50015,0.029411764705882353,0.043478260869565216,0.19444444444444445,0.5,9.05909090909091,26.345454545454547,0.4117647058823529,6.0,0.5,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.42857142857142855,0.0625,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201568-202389,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Danilo Gallinari, Timofey Mozgov","Harrington, Miller, Brewer, Gallinari, Mozgov",1733-1889-201147-201568-202389,DEN,174.0,1,3.0,-4.0,5.0,5.0,,,1.0,10.0,,3.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,1.0,5.0,,1.0,,2.0,6.0,,1.0,,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,2.0,2.0,,,2.0,2.0,4.0,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,0.2,,,0.16666666666666666,,,0.16666666666666666,,,0.16666666666666666,,,,1.0,,,0.5,1.0,,0.6666666666666666,0.4,0.3333333333333333,,1.0,,,,,,1.0,1.0,82.75862068965517,,24.4,10.4,20.6,10.4,0.5,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,0.16666666666666666,,,,0.5,,0.5,,,,,,0.6666666666666666,,0.48971666666666663,0.6098,,,,,,8.66,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201568-202702,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Danilo Gallinari, Kenneth Faried","Harrington, Miller, Brewer, Gallinari, Faried",1733-1889-201147-201568-202702,DEN,547.0,4,9.0,6.0,18.0,16.0,,,3.0,34.0,7.0,10.0,2.0,3.0,,,,2.0,,3.0,2.0,,1.0,2.0,,,7.0,15.0,2.0,4.0,4.0,24.0,18.0,2.0,4.0,,,,4.0,,,,,,12.0,2.0,6.0,2.0,2.0,1.0,3.0,6.0,2.0,8.0,1.0,6.0,,,18.0,1.0,3.0,2.0,4.0,,6.0,4.0,10.0,2.0,1.0,1.0,,,1.0,,1.0,,,2.0,2.0,,,4.0,,,4.0,3.0,2.0,2.0,,,2.0,2.0,20.0,,,,0.8571428571428571,1.0,1.0,0.5,,0.5,0.4666666666666667,0.5,,0.5263157894736842,0.5,,0.6,0.5,,0.21052631578947367,0.2,0.1,1.0,,,0.5,0.375,0.6666666666666666,0.5,0.5454545454545454,0.4,0.3333333333333333,0.5,0.3333333333333333,,1.0,0.6,,0.5,0.6666666666666666,,89.50639853747714,1.0,15.777777777777779,16.4375,14.944444444444445,15.375,0.5263157894736842,0.7,0.7777777777777778,0.8571428571428571,0.10526315789473684,,,,0.15789473684210525,,,,0.10526315789473684,0.10526315789473684,0.5,0.5,1.0,0.75,0.6666666666666666,,,,,,,0.7368421052631579,0.5,0.5103131578947369,0.4968333333333333,,0.15,0.1875,0.16666666666666666,,5.673333333333333,24.55,,,,1.0,,,,,,1.0,1.0,,,,,,0.14285714285714285,0.5,0.5,1.0,,,,,1.0,2.0,0.5,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201580-201951,1610612743,"Al Harrington, Andre Miller, Corey Brewer, JaVale McGee, Ty Lawson","Harrington, Miller, Brewer, McGee, Lawson",1733-1889-201147-201580-201951,DEN,1169.0,5,19.0,-6.0,33.0,39.0,18.0,16.0,6.0,72.0,6.0,9.0,3.0,3.0,1.0,3.0,,4.0,3.0,5.0,4.0,1.0,3.0,7.0,,,9.0,18.0,4.0,11.0,5.0,35.0,41.0,4.0,4.0,,,1.0,9.0,4.0,9.0,4.0,4.0,15.0,4.0,14.0,9.0,2.0,6.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,,,13.0,3.0,4.0,3.0,11.0,3.0,17.0,7.0,24.0,,,,5.0,3.0,4.0,2.0,9.0,1.0,6.0,2.0,8.0,1.0,1.0,11.0,2.0,,9.0,3.0,4.0,2.0,,2.0,4.0,3.0,26.0,15.0,18.0,2.0,0.2222222222222222,0.25,0.75,0.36363636363636365,,0.4,0.5,1.0,0.4444444444444444,0.5172413793103449,1.0,0.4230769230769231,0.5303030303030303,0.9,0.46875,0.3793103448275862,0.1111111111111111,0.1111111111111111,0.25,0.5555555555555556,1.0,0.6111111111111112,0.4444444444444444,0.6,0.5,0.6086956521739131,0.4666666666666667,0.3333333333333333,0.5,0.5,,1.0,0.5,1.0,0.5,0.6,,88.69118905047048,0.75,17.393939393939394,15.256410256410257,17.03030303030303,12.974358974358974,0.3103448275862069,0.6666666666666666,0.75,0.3333333333333333,0.13793103448275862,,,,0.1724137931034483,0.6,0.6,,0.13793103448275862,0.2413793103448276,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.75,1.0,,,,0.23076923076923078,0.3333333333333333,0.07692307692307693,0.6896551724137931,0.5,0.5084875,0.4808,0.48410833333333336,0.0967741935483871,0.15,0.2571428571428571,0.42857142857142855,7.283333333333333,27.354545454545452,0.5454545454545454,3.0,0.23076923076923078,1.0,,,1.0,1.0,3.0,1.0,,1.0,,2.0,2.0,0.25,,0.25,0.25,1.0,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201147-201951-202389,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Ty Lawson, Timofey Mozgov","Harrington, Miller, Brewer, Lawson, Mozgov",1733-1889-201147-201951-202389,DEN,308.0,1,5.0,-8.0,11.0,11.0,3.0,1.0,2.0,22.0,4.0,4.0,,,2.0,2.0,,2.0,,2.0,1.0,,,1.0,,,4.0,8.0,,2.0,2.0,10.0,18.0,,1.0,,,2.0,2.0,2.0,3.0,,2.0,6.0,4.0,4.0,,,1.0,,,2.0,,2.0,,2.0,,,4.0,1.0,1.0,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,2.0,1.0,,1.0,2.0,,,2.0,3.0,,,2.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,8.0,6.0,3.0,,0.5,0.5,,,,,0.5,,0.6666666666666666,0.4,,0.6666666666666666,0.45454545454545453,0.5,0.75,0.2,,,,1.0,1.0,1.0,0.25,,0.5,1.0,0.3333333333333333,,0.5,,,1.0,1.0,,,,,102.85714285714285,1.0,17.636363636363637,10.363636363636363,16.454545454545453,10.363636363636363,0.4,1.0,1.0,0.5,0.2,,,,0.2,,,,0.1,0.1,,,,,,,,,0.6666666666666666,1.0,,0.6,,0.50793,0.4261,0.4927333333333333,0.09090909090909091,0.1111111111111111,0.2,0.6,7.2,23.75,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,True
1733-1889-201167-201568-201580,1610612743,"Al Harrington, Andre Miller, Arron Afflalo, Danilo Gallinari, JaVale McGee","Harrington, Miller, Afflalo, Gallinari, McGee",1733-1889-201167-201568-201580,DEN,320.0,2,5.0,9.0,12.0,12.0,5.0,9.0,4.0,24.0,2.0,6.0,2.0,3.0,1.0,3.0,2.0,2.0,,,,,2.0,5.0,,1.0,4.0,8.0,2.0,5.0,3.0,17.0,8.0,3.0,4.0,,1.0,,6.0,1.0,3.0,4.0,2.0,7.0,2.0,6.0,6.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,,1.0,,8.0,1.0,3.0,1.0,4.0,,5.0,4.0,9.0,,,,,,1.0,,1.0,,,,1.0,,,4.0,,,4.0,1.0,3.0,1.0,,2.0,3.0,3.0,11.0,7.0,5.0,1.0,0.25,0.3333333333333333,1.0,0.4,,0.4,0.5,0.75,0.3333333333333333,0.5384615384615384,0.6,0.35714285714285715,0.5666666666666667,0.6,0.4375,0.38461538461538464,0.125,0.16666666666666666,,,,0.8,0.75,1.0,0.5,0.8333333333333334,0.6666666666666666,0.75,,,0.5,,1.0,0.75,,1.0,,108.0,1.0,14.5,12.166666666666666,12.75,12.0,0.46153846153846156,0.3333333333333333,0.4,,0.15384615384615385,1.0,1.0,0.5,,,,,,0.38461538461538464,0.4,0.4,1.0,0.6,0.6666666666666666,0.2,,,0.42857142857142855,0.3333333333333333,,0.8461538461538461,0.4,0.43874230769230765,0.4996,0.4013857142857143,0.07142857142857142,0.1111111111111111,0.35294117647058826,0.4117647058823529,4.5875,26.080000000000002,0.4166666666666667,4.0,0.5714285714285714,,,,1.0,1.0,,,,,1.0,1.0,1.0,0.25,,,,,,,,0.25,,,,,,1.0,,,,,,,,,,,,,,1610612743,2012,2011-12,True
