EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,LongMidRangeFGM,FG2M,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,Blocked3s,BlockedArc3,Blocks,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,NonShootingPenaltyNonTakeFouls,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGA,SecondChanceFG2A,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,Charge Fouls Drawn,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceFG2M,SecondChancePoints,Fg2aBlocked,ShortMidRangeAssists,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,SelfORebPct,ShortMidRangePctAssisted,SecondChancePointsPct,Technical Free Throw Trips,DefCorner3ReboundPct,SecondChanceAtRimFGM,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,Travels,BlockingFoulsDrawn,SecondChanceAtRimAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,Blocked2s,BlockedAtRim,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,BlockedShortMidRange,OffensiveGoaltends,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceFG3A,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,3SecondViolations,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101249-1888-200758-201149-201959,1610612741,"John Lucas III, Richard Hamilton, Ronnie Brewer, Joakim Noah, Taj Gibson","Lucas III, Hamilton, Brewer, Noah, Gibson",101249-1888-200758-201149-201959,CHI,157.0,2,3.0,-7.0,6.0,6.0,6.0,3.0,1.0,12.0,1.0,4.0,5.0,2.0,2.0,9.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.2,0.2,0.25,110.06369426751593,14.666666666666666,11.5,14.666666666666666,11.5,0.2,0.8,0.38994,0.38994,0.16666666666666666,0.16666666666666666,1.0,16.32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-200758-201149-2430,1610612741,"John Lucas III, Richard Hamilton, Ronnie Brewer, Joakim Noah, Carlos Boozer","Lucas III, Hamilton, Brewer, Noah, Boozer",101249-1888-200758-201149-2430,CHI,162.0,1,3.0,6.0,4.0,5.0,,,,9.0,,1.0,4.0,,8.0,2.0,,,,,,3.0,,3.0,,,,,,,,,,,8.0,,,1.0,,,,,,,80.0,11.5,23.2,11.5,23.2,,0.25,0.671625,,,,,5.075,,3.0,3.0,1.0,4.0,6.0,2.0,3.0,3.0,2.0,1.0,6.0,3.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-201228-2594,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, C.J. Watson, Kyle Korver","Lucas III, Hamilton, Noah, Watson, Korver",101249-1888-201149-201228-2594,CHI,15.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-201959-2736,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Taj Gibson, Luol Deng","Lucas III, Hamilton, Noah, Gibson, Deng",101249-1888-201149-201959-2736,CHI,96.0,1,2.0,2.0,3.0,2.0,,2.0,,5.0,,1.0,1.0,2.0,4.0,2.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,4.0,,,1.0,,1.0,,,,,75.0,17.666666666666668,21.5,17.666666666666668,21.5,,1.0,0.4277,,0.5,0.5,,17.4,,,,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-2430-2594,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Carlos Boozer, Kyle Korver","Lucas III, Hamilton, Noah, Boozer, Korver",101249-1888-201149-2430-2594,CHI,46.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,,4.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,125.21739130434781,20.0,3.0,20.0,3.0,,,0.467925,0.467925,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201149-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Noah, Boozer, Deng",101249-1888-201149-2430-2736,CHI,390.0,2,6.0,-3.0,11.0,13.0,,7.0,2.0,24.0,5.0,2.0,12.0,,8.0,11.0,,,,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,,2.0,,3.0,1.0,,,8.0,,,0.3076923076923077,,1.0,1.0,0.25,0.3333333333333333,,88.61538461538461,19.0,13.923076923076923,16.545454545454547,13.538461538461538,0.38461538461538464,0.15384615384615385,0.5062730769230769,,,,,7.358333333333333,,4.0,5.0,,4.0,6.0,2.0,3.0,3.0,3.0,,6.0,,0.75,0.75,0.3333333333333333,0.3076923076923077,,0.5,,0.38461538461538464,0.8,0.8,0.75,,,,0.46153846153846156,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,0.07692307692307693,0.07692307692307693,,25.2,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,0.3333333333333333,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201600-201959-2594,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Taj Gibson, Kyle Korver","Lucas III, Hamilton, Asik, Gibson, Korver",101249-1888-201600-201959-2594,CHI,186.0,1,3.0,,6.0,5.0,4.0,,,11.0,1.0,2.0,3.0,,5.0,5.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,5.0,,4.0,0.5,,1.0,,,,,85.16129032258064,16.5,17.4,16.5,17.4,0.2,0.4,0.36996,0.32475,,,,14.133333333333333,0.6666666666666666,,,1.0,1.0,,2.0,,1.0,,,3.0,1.0,,,0.3333333333333333,0.5,1.0,1.0,1.0,,,,,0.5,0.5,,0.4,,,,,,,2.0,1.0,2.0,1.0,2.0,,0.4,0.4,0.3333333333333333,26.35,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201600-201959-2736,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Taj Gibson, Luol Deng","Lucas III, Hamilton, Asik, Gibson, Deng",101249-1888-201600-201959-2736,CHI,267.0,1,4.0,,10.0,9.0,9.0,7.0,1.0,19.0,1.0,3.0,4.0,2.0,9.0,9.0,4.0,2.0,9.0,,1.0,5.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,,3.0,2.0,3.0,1.0,9.0,9.0,9.0,0.5625,0.5625,0.5,1.0,,0.25,,102.47191011235955,11.9,16.444444444444443,11.6,16.333333333333332,0.14285714285714285,0.42857142857142855,0.47277142857142856,0.47277142857142856,0.14285714285714285,0.25,1.0,14.2,0.9,,,1.0,2.0,,4.0,,1.0,,,3.0,2.0,,,0.5,0.5,0.6666666666666666,0.8,0.5,,,,,0.3333333333333333,0.3333333333333333,,0.42857142857142855,,,,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,24.666666666666668,,,1.0,,,,,0.5,,,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-201959-202710-2243,1610612741,"John Lucas III, Richard Hamilton, Taj Gibson, Jimmy Butler, Brian Scalabrine","Lucas III, Hamilton, Gibson, Butler, Scalabrine",101249-1888-201959-202710-2243,CHI,51.0,1,1.0,,3.0,3.0,,3.0,2.0,6.0,1.0,,4.0,,4.0,4.0,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,2.0,,,0.5,,,,0.5,0.5,,169.41176470588235,9.333333333333334,7.666666666666667,7.333333333333333,7.666666666666667,0.25,,0.62255,,,,,2.025,,1.0,3.0,,2.0,4.0,,2.0,2.0,1.0,,4.0,,1.0,1.0,0.5,0.5,,,,0.75,0.3333333333333333,0.5,1.0,,,,0.75,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,0.5,,,0.5,0.4721,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
101249-1888-2243-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Brian Scalabrine, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Scalabrine, Boozer, Deng",101249-1888-2243-2430-2736,CHI,21.0,1,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,0.3272,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,True
