EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,DefThreePtRebounds,Steals,LostBallSteals,BlockingFoulsDrawn,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Fg2aBlocked,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyAtRimFGM,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimAccuracy,ShortMidRangeFGM,LongMidRangeFGM,PenaltyArc3FGM,Fg3aBlocked,OffThreePtRebounds,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedAtRim,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,ShortMidRangeAssists,Loose Ball Fouls Drawn,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,BadPassSteals,SecondChanceAtRimPctAssisted,SelfOReb,SelfORebPct,Loose Ball Fouls,Charge Fouls,Defensive 3 Seconds Violations,PtsUnassisted3s,HeaveAttempts,FTOffRebounds,Travels,Technical Free Throw Trips,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,Clear Path Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,DefensiveGoaltends,team_id,year,season,team_vs
1495-1536-1938-201168-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Tiago Splitter, Tony Parker","Duncan, Jackson, Ginobili, Splitter, Parker",1495-1536-1938-201168-2225,SAS,113.0,2,2.0,5.0,4.0,3.0,1.0,1.0,1.0,7,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.5,0.875,1.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.20353982300885,14.0,19.0,11.75,19.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6701166666666666,0.59835,0.42857142857142855,0.2857142857142857,0.75,24.7,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-201971-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, DeJuan Blair, Tony Parker","Duncan, Jackson, Ginobili, Blair, Parker",1495-1536-1938-201971-2225,SAS,359.0,3,6.0,7.0,11.0,13.0,4.0,6.0,,24,4.0,5.0,1.0,1.0,,,4.0,7.0,2.0,3.0,2.0,16.0,9.0,,,,,3.0,4.0,6.0,2.0,2.0,4.0,1.0,2.0,10.0,,4.0,1.0,6.0,,6.0,,,,,1.0,2.0,,16.0,3.0,4.0,,,0.5,0.5,1.0,0.6666666666666666,,0.6666666666666666,0.5714285714285714,0.7,,0.7272727272727273,,0.375,0.3,1.0,1.0,,1.0,,,1.0,96.26740947075209,13.363636363636363,16.307692307692307,13.363636363636363,16.307692307692307,0.5,0.8,0.8,0.5,0.1,1.0,1.0,1.0,,,,0.8,0.46362,,,0.1875,5.457142857142857,24.3,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.375,1.0,1.0,1.0,0.1,0.1,0.2,0.5,0.5,1.0,0.25,0.25,1.0,0.25,0.5,0.502575,0.09090909090909091,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-201980-2564,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Danny Green, Boris Diaw","Duncan, Jackson, Ginobili, Green, Diaw",1495-1536-1938-201980-2564,SAS,113.0,1,2.0,-3.0,3.0,4.0,3.0,4.0,,7,,1.0,,,,,,1.0,,,1.0,1.0,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,,2.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,0.25,,0.25,,,1.0,,1.0,,,,89.20353982300885,15.666666666666666,16.5,15.666666666666666,16.5,1.0,,,,,,,,,,,1.0,0.6699,,,1.0,1.5,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,0.6699,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-201980-2588,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Danny Green, Matt Bonner","Duncan, Jackson, Ginobili, Green, Bonner",1495-1536-1938-201980-2588,SAS,73.0,1,1.0,-1.0,2.0,2.0,,,,4,,,,,,,,,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,0.5,,,1.0,,1.0,,1.0,,,1.0,78.9041095890411,14.0,22.5,14.0,22.5,,,,,,,,,,,,1.0,0.56565,,,,,25.0,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0.5,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-202390-202695,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Kawhi Leonard","Duncan, Jackson, Ginobili, Neal, Leonard",1495-1536-1938-202390-202695,SAS,65.0,1,1.0,-3.0,2.0,2.0,1.0,,,4,1.0,1.0,,,,,1.0,1.0,,1.0,,2.0,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,0.5,,0.5,,1.0,0.5,,,,,,,,88.61538461538463,17.0,15.5,17.0,12.5,0.5,1.0,1.0,,,,,,,,,1.0,0.432525,,,1.0,3.0,28.2,0.5,1.0,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,1.0,,,1.0,,,,,,0.5,,,,1.0,,,,,0.3369,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-202390-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Tony Parker","Duncan, Jackson, Ginobili, Neal, Parker",1495-1536-1938-202390-2225,SAS,671.0,3,11.0,12.0,23.0,22.0,20.0,17.0,1.0,45,6.0,7.0,,1.0,,,9.0,11.0,2.0,6.0,11.0,35.0,23.0,,,,11.0,31.0,4.0,6.0,2.0,2.0,4.0,,2.0,10.0,,3.0,,8.0,1.0,9.0,,1.0,2.0,9.0,10.0,12.0,3.0,35.0,31.0,20.0,3.0,3.0,0.2222222222222222,0.2222222222222222,1.0,0.3333333333333333,,0.3333333333333333,0.8181818181818182,0.7058823529411765,,0.7954545454545454,,0.8157894736842105,0.35294117647058826,,0.75,,0.8888888888888888,0.2,,,96.57228017883756,13.91304347826087,15.954545454545455,13.73913043478261,15.954545454545455,0.4117647058823529,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.058823529411764705,,,,,,,0.7647058823529411,0.5641117647058823,,,0.8857142857142857,4.663636363636363,24.366666666666664,0.8695652173913043,7.0,2.0,2.0,,1.0,2.0,5.0,5.0,8.0,2.0,6.0,14.0,5.0,2.0,2.0,5.0,,,,4.0,0.3333333333333333,0.7142857142857143,1.0,1.0,1.0,0.11764705882352941,0.11764705882352941,0.29411764705882354,0.4,0.6666666666666666,1.0,0.5,0.07142857142857142,,0.35714285714285715,0.4,0.5938142857142857,0.21052631578947367,0.3076923076923077,,1.0,1.0,2.0,,,0.5,1.0,,1.0,1.0,1.0,6.0,7.0,0.875,0.8571428571428571,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-202390-2564,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Boris Diaw","Duncan, Jackson, Ginobili, Neal, Diaw",1495-1536-1938-202390-2564,SAS,13.0,2,,-1.0,1.0,,1.0,,,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,3.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-202390-2588,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Gary Neal, Matt Bonner","Duncan, Jackson, Ginobili, Neal, Bonner",1495-1536-1938-202390-2588,SAS,131.0,2,2.0,4.0,5.0,4.0,5.0,4.0,2.0,9,1.0,2.0,,1.0,,,2.0,3.0,,1.0,2.0,6.0,2.0,,,1.0,2.0,6.0,4.0,,2.0,,2.0,,1.0,4.0,1.0,,,2.0,2.0,4.0,,,,1.0,3.0,4.0,2.0,5.0,6.0,5.0,,2.0,1.0,1.0,,,,,0.6666666666666666,0.5,,0.5,0.5,0.5,0.25,,,1.0,1.0,1.0,1.0,,98.93129770992367,16.6,12.0,16.6,12.0,0.5,0.5,0.5,1.0,0.25,,,,,,,0.75,0.5080625,,0.16666666666666666,1.0,2.433333333333333,22.6,1.0,2.0,1.0,,,1.0,,,,3.0,,1.0,,,,,2.0,,,,,,0.5,1.0,,1.0,0.25,,,,,,0.5,0.25,,,,0.5080625,,,,,,,,,,,,,,,1.0,2.0,0.6666666666666666,0.5,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-202695-2225,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Kawhi Leonard, Tony Parker","Duncan, Jackson, Ginobili, Leonard, Parker",1495-1536-1938-202695-2225,SAS,1204.0,4,20.0,2.0,41.0,38.0,27.0,14.0,7.0,79,9.0,13.0,2.0,3.0,,,13.0,27.0,3.0,9.0,13.0,48.0,46.0,1.0,3.0,8.0,10.0,35.0,12.0,9.0,6.0,3.0,9.0,2.0,3.0,21.0,5.0,10.0,1.0,12.0,8.0,20.0,,3.0,6.0,8.0,13.0,15.0,3.0,40.0,35.0,27.0,1.0,2.0,0.46153846153846156,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48148148148148145,0.4861111111111111,0.625,0.5581395348837209,0.6666666666666666,0.5833333333333334,0.25,0.5,1.0,0.35714285714285715,0.9166666666666666,0.4,0.75,1.0,94.48504983388705,14.341463414634147,16.210526315789473,13.902439024390244,15.473684210526315,0.3611111111111111,0.6923076923076923,0.9,0.3333333333333333,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,,,,0.6111111111111112,0.5008847222222221,0.380175,0.16666666666666666,0.7291666666666666,6.0777777777777775,24.12222222222222,0.6585365853658537,8.0,10.0,4.0,2.0,3.0,1.0,6.0,4.0,17.0,3.0,7.0,14.0,6.0,1.0,1.0,1.0,,,2.0,3.0,0.42857142857142855,0.5208333333333334,0.5,1.0,1.0,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.125,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.4947020833333333,0.1,0.1,6.0,3.0,1.0,3.0,0.2222222222222222,0.23076923076923078,0.5,,,,,,5.0,8.0,0.47058823529411764,0.625,3.0,1.0,1.0,,3.0,2.0,4.0,,1.0,,3.0,,,,,0.5,0.4,1.0,,0.3,0.42857142857142855,0.25,0.25,0.25,3.0,2.0,,1.0,0.6666666666666666,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3,0.14285714285714285,0.3333333333333333,1.0,0.25,1.0,0.75,0.3333333333333333,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
1495-1536-1938-202695-2564,1610612759,"Tim Duncan, Stephen Jackson, Manu Ginobili, Kawhi Leonard, Boris Diaw","Duncan, Jackson, Ginobili, Leonard, Diaw",1495-1536-1938-202695-2564,SAS,95.0,1,2.0,-5.0,3.0,3.0,1.0,,,6,1.0,2.0,,,,,1.0,2.0,,1.0,1.0,3.0,8.0,,,,,,2.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,2.0,1.0,1.0,,3.0,,1.0,,,1.0,1.0,,,,,0.5,0.3333333333333333,,0.5,,,0.3333333333333333,,,,,,,,90.94736842105263,18.0,13.666666666666666,18.0,13.666666666666666,0.6666666666666666,0.5,1.0,1.0,,,,,,,,1.0,0.4199333333333333,,,,3.25,24.8,0.3333333333333333,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,1.0,,0.3774,0.3333333333333333,0.5,1.0,,,,0.5,0.5,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2012,2011-12,False
