EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,OffRebounds,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Corner3Assists,DefThreePtRebounds,BadPassSteals,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyFtPoints,FTDefRebounds,Loose Ball Fouls,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,SecondChanceAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2A,PtsUnassisted3s,OffThreePtRebounds,Travels,SecondChanceTurnovers,Offensive Fouls,OffThreePtReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFG2M,Fg3aBlocked,SecondChanceFg2Pct,FG3APctBlocked,Arc3PctBlocked,OffArc3ReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,SecondChanceFtPoints,OffShortMidRangeReboundPct,Technical Free Throw Trips,Loose Ball Fouls Drawn,BlockedShortMidRange,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,ThreePtShootingFoulsDrawn,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,BlockingFouls,SecondChanceCorner3FGM,Blocked3s,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFoulsDrawn,BlockedLongMidRange,OffensiveGoaltends,BlockedArc3,HeaveAttempts,Corner3PctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
101142-101154-1740-201156-202322,1610612764,"Ronny Turiaf, Andray Blatche, Rashard Lewis, Nick Young, John Wall","Turiaf, Blatche, Lewis, Young, Wall",101142-101154-1740-201156-202322,WAS,410.0,3,7.0,-2.0,16.0,14.0,4.0,30.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,7.0,3.0,2.0,10.0,12.0,6.0,2.0,3.0,3.0,2.0,1.0,6.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.75,0.75,0.5714285714285714,0.4,0.4166666666666667,0.3,0.75,1.0,1.0,1.0,1.0,105.3658536585366,1.0,15.6875,11.357142857142858,15.6875,11.357142857142858,0.1,0.2,1.0,1.0,1.0,0.4,0.5,0.5,0.5,0.3,0.4,0.472675,0.09090909090909091,0.125,13.028571428571428,24.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-1740-201156-202348,1610612764,"Ronny Turiaf, Andray Blatche, Rashard Lewis, Nick Young, Jordan Crawford","Turiaf, Blatche, Lewis, Young, Crawford",101142-101154-1740-201156-202348,WAS,197.0,1,3.0,-4.0,6.0,6.0,,12.0,2.0,,1.0,,1.0,,1.0,4.0,1.0,,5.0,9.0,2.0,,1.0,2.0,,,5.0,1.0,1.0,2.0,,,,2.0,,2.0,,2.0,,1.0,1.0,,1.0,,,,,,,,2.0,1.0,1.0,0.25,0.5,0.5,0.2,,1.0,1.0,,1.0,87.71573604060914,,18.166666666666668,14.666666666666666,16.5,14.666666666666666,0.4,0.2,,,,0.2,,,,,0.6,0.48935000000000006,,,8.8,26.4,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,0.25,1.5,0.5,1.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.2,1.0,1.0,0.38985,0.48935000000000006,0.6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-1740-202322-202348,1610612764,"Ronny Turiaf, Andray Blatche, Rashard Lewis, John Wall, Jordan Crawford","Turiaf, Blatche, Lewis, Wall, Crawford",101142-101154-1740-202322-202348,WAS,355.0,2,6.0,-1.0,9.0,11.0,3.0,20.0,3.0,,,3.0,3.0,3.0,6.0,6.0,4.0,,15.0,16.0,6.0,6.0,3.0,4.0,,1.0,9.0,2.0,3.0,3.0,2.0,,,,,,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,15.0,0.5,0.5,1.0,0.75,0.75,0.4,,1.0,0.75,1.0,,81.12676056338027,,16.444444444444443,18.818181818181817,16.444444444444443,17.90909090909091,0.3,,,,,0.3,1.0,1.0,0.3333333333333333,0.3,0.7,0.564245,0.1,0.16666666666666666,9.700000000000001,24.125,2.0,,3.0,1.0,1.0,,1.0,,,,,1.0,,,,3.0,3.0,,,6.0,3.0,1.0,,,1.0,,2.0,,,,6.0,2.0,1.0,0.25,,,0.25,1.0,,1.0,,1.0,,,,,,,1.0,1.0,0.6666666666666666,0.1,,,,,,,0.3333333333333333,1.0,,,,,0.6085333333333333,,0.4,0.2222222222222222,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-201156-202322-202348,1610612764,"Ronny Turiaf, Andray Blatche, Nick Young, John Wall, Jordan Crawford","Turiaf, Blatche, Young, Wall, Crawford",101142-101154-201156-202322-202348,WAS,85.0,1,1.0,-3.0,4.0,4.0,4.0,8.0,,,1.0,,1.0,,,2.0,,2.0,2.0,5.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,2.0,1.0,,,2.0,,1.0,,,,,2.0,,,,,0.3333333333333333,,1.0,,,,,135.52941176470588,,16.75,4.5,16.75,4.5,,0.5,,,,0.5,,,,,,0.33765,,,11.9,,4.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,1.0,,,,,,1.0,2.0,4.0,,,,,,,,,,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,,,,,,,,0.33765,,1.0,1.0,,,,1.0,,,2.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-201156-202322-202698,1610612764,"Ronny Turiaf, Andray Blatche, Nick Young, John Wall, Chris Singleton","Turiaf, Blatche, Young, Wall, Singleton",101142-101154-201156-202322-202698,WAS,568.0,2,9.0,1.0,17.0,20.0,6.0,37.0,2.0,,,1.0,3.0,6.0,2.0,5.0,7.0,6.0,19.0,18.0,4.0,,2.0,4.0,,1.0,10.0,6.0,11.0,14.0,1.0,,3.0,,1.0,2.0,2.0,5.0,5.0,7.0,4.0,,,6.0,3.0,,,,,,19.0,1.0,1.0,0.4,0.5416666666666666,0.6333333333333333,0.5833333333333334,0.6,1.0,1.0,1.0,1.0,93.80281690140845,,17.176470588235293,13.8,16.176470588235293,13.8,0.16666666666666666,,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.75,0.5366041666666667,0.2,0.375,11.68,24.25714285714286,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,3.0,,1.0,,1.0,1.0,2.0,3.0,8.0,6.0,1.0,1.0,,2.0,,1.0,,3.0,,8.0,4.0,0.6666666666666666,0.42857142857142855,,0.6666666666666666,0.42857142857142855,1.0,,1.0,,1.0,,,,,0.42857142857142855,,0.5,0.5,1.0,0.08333333333333333,1.0,1.0,,,,,0.25,1.0,,,1.0,,0.5995375,,0.42105263157894735,0.23529411764705882,2.0,2.0,1.0,1.0,,,,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,,4.0,,,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.5,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-201156-202698-202714,1610612764,"Ronny Turiaf, Andray Blatche, Nick Young, Chris Singleton, Shelvin Mack","Turiaf, Blatche, Young, Singleton, Mack",101142-101154-201156-202698-202714,WAS,131.0,1,2.0,-4.0,5.0,3.0,,8.0,1.0,,,,1.0,1.0,,2.0,2.0,,,4.0,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,87.93893129770993,,18.8,12.333333333333334,17.4,12.333333333333334,0.25,,,,,0.25,,,,0.25,0.75,0.490525,,,8.9,24.05,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,0.5,0.25,1.0,,,,0.25,,,,1.0,,,,,,,,0.6687,,,,0.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-202322-202348-202698,1610612764,"Ronny Turiaf, Andray Blatche, John Wall, Jordan Crawford, Chris Singleton","Turiaf, Blatche, Wall, Crawford, Singleton",101142-101154-202322-202348-202698,WAS,84.0,1,1.0,-2.0,2.0,2.0,,4.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,,2.0,4.0,,2.0,,,,,,,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.5,,,68.57142857142857,,21.5,20.5,19.5,18.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,0.4261333333333333,,,10.7,24.4,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,0.5,,,,,0.3333333333333333,,,,,,,,,,,,0.3126,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-202348-202698-202714,1610612764,"Ronny Turiaf, Andray Blatche, Jordan Crawford, Chris Singleton, Shelvin Mack","Turiaf, Blatche, Crawford, Singleton, Mack",101142-101154-202348-202698-202714,WAS,69.0,1,1.0,2.0,4.0,3.0,,7.0,2.0,,,,,,2.0,2.0,,,4.0,2.0,2.0,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,,2.0,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,4.0,0.5,0.5,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,146.08695652173915,1.0,7.75,12.666666666666666,7.75,12.666666666666666,1.0,,,,,,,,,,1.0,0.75895,,,0.5,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-101154-202698-202714-2427,1610612764,"Ronny Turiaf, Andray Blatche, Chris Singleton, Shelvin Mack, Roger Mason Jr.","Turiaf, Blatche, Singleton, Mack, Mason Jr.",101142-101154-202698-202714-2427,WAS,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
101142-1740-201156-202322-202344,1610612764,"Ronny Turiaf, Rashard Lewis, Nick Young, John Wall, Trevor Booker","Turiaf, Lewis, Young, Wall, Booker",101142-1740-201156-202322-202344,WAS,166.0,1,3.0,-2.0,5.0,4.0,2.0,9.0,,1.0,3.0,,1.0,,1.0,4.0,,2.0,4.0,6.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,1.0,2.0,2.0,,,2.0,1.0,,,,,,2.0,1.0,1.0,0.25,0.25,0.4,,,0.3333333333333333,0.3333333333333333,1.0,,78.07228915662651,,15.0,22.75,13.2,15.0,,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,0.39145,0.2,0.2,11.225,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,0.4089,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2012,2011-12,True
