EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls Drawn,BlockedShortMidRange,Corner3FGA,PenaltyCorner3FGA,ShortMidRangeAssists,Offensive Fouls,OffCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,Corner3FGM,HeaveAttempts,Corner3Assists,ThreePtShootingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,BlockingFouls,BlockingFoulsDrawn,Technical Free Throw Trips,OffensiveGoaltends,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Corner3PctBlocked,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
101126-101135-101145-201187-201575,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Brandon Rush","Robinson, Lee, Ellis, McGuire, Rush",101126-101135-101145-201187-201575,GSW,1578.0,11,26.0,-2.0,57.0,59.0,33.0,35.0,9.0,116.0,14.0,22.0,4.0,7.0,8.0,16.0,1.0,7.0,4.0,11.0,1.0,8.0,1.0,3.0,19.0,40.0,1.0,8.0,11.0,52.0,54.0,4.0,8.0,1.0,2.0,10.0,11.0,24.0,3.0,9.0,31.0,20.0,18.0,3.0,4.0,8.0,1.0,3.0,10.0,1.0,11.0,1.0,8.0,2.0,23.0,1.0,7.0,6.0,15.0,1.0,22.0,8.0,30.0,2.0,7.0,5.0,2.0,5.0,2.0,4.0,1.0,3.0,1.0,9.0,1.0,4.0,4.0,11.0,1.0,15.0,1.0,2.0,17.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,42.0,28.0,31.0,4.0,3.0,0.5263157894736842,0.5882352941176471,1.0,0.125,0.125,0.475,0.5,0.4583333333333333,0.4270833333333333,0.4444444444444444,0.4074074074074074,0.4642857142857143,0.5,0.45588235294117646,0.16666666666666666,0.075,0.045454545454545456,0.2857142857142857,0.5555555555555556,1.0,0.8823529411764706,0.35,0.8571428571428571,0.14285714285714285,0.875,0.2962962962962963,0.5714285714285714,0.16666666666666666,0.2857142857142857,0.14285714285714285,1.0,1.0,0.8,1.0,0.5,0.08333333333333333,105.8555133079848,1.0,14.771929824561404,12.474576271186441,14.228070175438596,12.305084745762711,0.4583333333333333,0.6363636363636364,0.6666666666666666,0.5714285714285714,0.14583333333333334,0.14285714285714285,0.2,0.22916666666666666,0.36363636363636365,0.36363636363636365,0.5,0.16666666666666666,0.125,0.125,1.0,0.7777777777777778,0.5714285714285714,0.25,0.1111111111111111,0.5925925925925926,0.5,0.1111111111111111,0.625,0.125,0.529121875,0.609325,0.5576277777777777,0.0784313725490196,0.09302325581395349,0.19230769230769232,0.5961538461538461,7.477500000000001,26.3,0.5789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201187-202327,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Ekpe Udoh","Robinson, Lee, Ellis, McGuire, Udoh",101126-101135-101145-201187-202327,GSW,48.0,1,1.0,,1.0,2.0,1.0,,,3.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,20.0,14.0,20.0,14.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.4241,,0.4241,,,,1.0,18.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201187-2198,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Kwame Brown","Robinson, Lee, Ellis, McGuire, Brown",101126-101135-101145-201187-2198,GSW,282.0,1,5.0,4.0,8.0,9.0,2.0,2.0,,17.0,4.0,4.0,,,1.0,1.0,,,1.0,3.0,,,,,5.0,7.0,,,2.0,12.0,8.0,,,,,,1.0,2.0,,,2.0,10.0,,,,,,,5.0,,5.0,,4.0,1.0,10.0,,,1.0,1.0,1.0,3.0,,3.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,2.0,3.0,,2.0,,1.0,2.0,,1.0,,,,,,,,12.0,2.0,2.0,,,1.0,1.0,,,,0.7142857142857143,,0.5,0.7142857142857143,,0.5,0.75,,0.5,,,,,1.0,1.0,0.5,,1.0,,0.6666666666666666,,,,,,,,0.5,1.0,,,86.80851063829788,,12.625,20.11111111111111,12.625,19.77777777777778,0.5714285714285714,1.0,1.0,1.0,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.5,1.0,,0.5714285714285714,,0.5339714285714285,,0.4915,0.125,0.125,,0.16666666666666666,9.057142857142857,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201187-2740,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Andris Biedrins","Robinson, Lee, Ellis, McGuire, Biedrins",101126-101135-101145-201187-2740,GSW,115.0,1,2.0,,4.0,4.0,,,2.0,8.0,1.0,2.0,1.0,2.0,,,,1.0,,1.0,,,,,1.0,4.0,,,2.0,4.0,4.0,1.0,2.0,,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,2.0,2.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,2.0,,,2.0,,1.0,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,0.25,0.5,,0.25,0.5,,0.4,0.5,,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,1.0,1.0,,,,,,,0.3333333333333333,100.17391304347825,,16.0,12.75,15.5,11.0,0.5,0.5,0.5,,0.25,,,0.25,,,,,,,,1.0,0.5,,,,,,0.5,,0.5602,0.6852,,0.2,0.2,0.5,,6.425,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201187-2748,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Dorell Wright","Robinson, Lee, Ellis, McGuire, Wright",101126-101135-101145-201187-2748,GSW,638.0,4,11.0,-10.0,18.0,19.0,7.0,16.0,3.0,37.0,4.0,6.0,3.0,3.0,4.0,5.0,2.0,5.0,,2.0,1.0,1.0,,,6.0,13.0,1.0,3.0,2.0,17.0,27.0,3.0,3.0,,,6.0,4.0,8.0,1.0,,8.0,6.0,6.0,3.0,4.0,1.0,1.0,,3.0,1.0,4.0,1.0,2.0,,9.0,1.0,2.0,,3.0,1.0,4.0,3.0,7.0,,1.0,1.0,,2.0,1.0,2.0,,1.0,,4.0,,1.0,6.0,8.0,,3.0,,1.0,2.0,,1.0,,3.0,2.0,,3.0,2.0,1.0,11.0,8.0,7.0,1.0,,0.5,0.75,1.0,0.3333333333333333,0.3333333333333333,0.46153846153846156,1.0,0.5,0.46875,1.0,0.4444444444444444,0.5,1.0,0.4444444444444444,0.1875,,,,0.5,1.0,0.5,0.2857142857142857,,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,,,0.4,1.0,,,,,83.51097178683386,0.6666666666666666,17.944444444444443,16.57894736842105,17.444444444444443,14.894736842105264,0.375,0.6666666666666666,0.6666666666666666,0.5,0.3125,0.4,0.4,0.125,,,,0.0625,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.5555555555555556,0.8,,0.5625,1.0,0.512909375,0.6833,0.5634555555555556,0.058823529411764705,0.07142857142857142,0.35294117647058826,0.47058823529411764,6.015384615384615,24.133333333333336,0.3888888888888889,,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.125,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201575-201939,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Stephen Curry","Robinson, Lee, Ellis, Rush, Curry",101126-101135-101145-201575-201939,GSW,462.0,5,8.0,6.0,18.0,19.0,7.0,6.0,3.0,37.0,3.0,5.0,2.0,3.0,,1.0,1.0,3.0,3.0,6.0,,2.0,,,7.0,14.0,1.0,3.0,5.0,22.0,16.0,3.0,4.0,,,6.0,1.0,3.0,,2.0,4.0,6.0,8.0,3.0,4.0,1.0,,1.0,3.0,1.0,4.0,,,2.0,9.0,,4.0,2.0,7.0,,9.0,4.0,13.0,,1.0,,1.0,2.0,,1.0,,2.0,1.0,3.0,,3.0,,6.0,,3.0,,,5.0,,1.0,,1.0,1.0,,1.0,1.0,,16.0,4.0,7.0,3.0,,0.42857142857142855,0.6,1.0,0.3333333333333333,0.5,0.5,0.75,0.3333333333333333,0.5,0.75,0.3333333333333333,0.5789473684210527,0.75,0.5,0.17647058823529413,0.07142857142857142,0.2,,0.6666666666666666,,1.0,0.5714285714285714,0.6666666666666666,,0.9,0.5,0.5,,1.0,,1.0,1.0,1.0,1.0,,,115.32467532467533,1.0,11.833333333333334,13.105263157894736,10.833333333333334,12.894736842105264,0.29411764705882354,0.6,0.75,,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.5,0.5,0.6666666666666666,0.11764705882352941,,,,0.75,0.6666666666666666,,,0.3333333333333333,,,0.47058823529411764,,0.463559375,0.550875,0.3893333333333333,0.10526315789473684,0.06666666666666667,0.2727272727272727,0.18181818181818182,9.950000000000001,30.933333333333334,0.3888888888888889,,,1.0,,1.0,,,1.0,0.058823529411764705,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201575-202327,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Ekpe Udoh","Robinson, Lee, Ellis, Rush, Udoh",101126-101135-101145-201575-202327,GSW,3449.0,23,57.0,4.0,103.0,105.0,51.0,48.0,14.0,208.0,22.0,27.0,4.0,6.0,14.0,15.0,10.0,26.0,8.0,21.0,5.0,17.0,,9.0,40.0,74.0,9.0,25.0,23.0,130.0,126.0,5.0,12.0,,5.0,15.0,21.0,35.0,10.0,12.0,66.0,44.0,36.0,24.0,4.0,17.0,5.0,7.0,22.0,8.0,30.0,4.0,11.0,6.0,68.0,6.0,13.0,12.0,24.0,4.0,40.0,19.0,59.0,1.0,6.0,4.0,2.0,4.0,2.0,7.0,,2.0,3.0,11.0,2.0,9.0,16.0,31.0,5.0,23.0,2.0,,33.0,2.0,11.0,6.0,5.0,1.0,,5.0,1.0,1.0,115.0,66.0,51.0,4.0,4.0,0.55,0.5789473684210527,0.8888888888888888,0.36,0.36,0.5405405405405406,0.4166666666666667,0.6,0.5404040404040404,0.4166666666666667,0.6,0.5701754385964912,0.46875,0.6226415094339622,0.25252525252525254,0.0945945945945946,0.1111111111111111,0.15384615384615385,0.36363636363636365,1.0,0.631578947368421,0.3939393939393939,0.75,0.4,0.6666666666666666,0.3958333333333333,0.4,0.5,0.25,0.36363636363636365,0.42857142857142855,0.5,0.9230769230769231,0.7272727272727273,0.8,0.024390243902439025,86.84256306175703,0.2,16.97087378640777,16.2,15.844660194174757,15.247619047619047,0.2727272727272727,0.8148148148148148,0.9166666666666666,0.5,0.26262626262626265,0.38461538461538464,0.45454545454545453,0.21212121212121213,0.38095238095238093,0.38095238095238093,0.75,0.1717171717171717,0.29411764705882354,0.29411764705882354,0.8,0.5,0.6666666666666666,0.25,,0.3333333333333333,0.9333333333333333,0.2,0.5252525252525253,0.29411764705882354,0.4950969387755102,0.48246666666666665,0.5148897727272727,0.10185185185185185,0.13253012048192772,0.11538461538461539,0.5076923076923077,8.622972972972974,25.691999999999997,0.49514563106796117,,4.0,8.0,1.0,5.0,,0.5,0.5,0.08080808080808081,0.022222222222222223,4.0,,4.0,,0.5,0.5,1.0,,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201575-202691,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Klay Thompson","Robinson, Lee, Ellis, Rush, Thompson",101126-101135-101145-201575-202691,GSW,1555.0,13,26.0,6.0,53.0,58.0,28.0,20.0,7.0,111.0,8.0,16.0,3.0,9.0,4.0,9.0,4.0,5.0,7.0,13.0,6.0,12.0,1.0,4.0,19.0,34.0,6.0,13.0,16.0,72.0,66.0,3.0,10.0,1.0,1.0,10.0,10.0,19.0,4.0,12.0,38.0,18.0,20.0,12.0,6.0,12.0,6.0,1.0,9.0,4.0,13.0,4.0,2.0,4.0,30.0,4.0,8.0,4.0,12.0,4.0,20.0,13.0,33.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,,2.0,1.0,8.0,,3.0,7.0,18.0,,19.0,1.0,,19.0,1.0,3.0,7.0,1.0,,,1.0,,1.0,62.0,38.0,28.0,4.0,7.0,0.47368421052631576,0.5625,0.6666666666666666,0.46153846153846156,0.46153846153846156,0.5588235294117647,0.3,0.5263157894736842,0.5957446808510638,0.4090909090909091,0.5652173913043478,0.6428571428571429,0.45454545454545453,0.6333333333333333,0.2765957446808511,0.029411764705882353,,,0.5,1.0,0.9230769230769231,0.5333333333333333,1.0,0.5714285714285714,0.9411764705882353,0.5454545454545454,0.625,,0.5,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.19047619047619047,102.7909967845659,,15.339622641509434,12.793103448275861,14.641509433962264,12.431034482758621,0.3404255319148936,0.5,0.5,0.25,0.10638297872340426,0.8,0.8,0.2765957446808511,0.5384615384615384,0.5833333333333334,0.5714285714285714,0.2553191489361702,0.5,0.5,0.6666666666666666,0.8181818181818182,0.3333333333333333,,0.09090909090909091,0.391304347826087,0.4444444444444444,0.17391304347826086,0.6170212765957447,0.5,0.4923691489361702,0.53300625,0.4816695652173913,0.061224489795918366,0.08333333333333333,0.1388888888888889,0.5277777777777778,8.938235294117646,26.184615384615384,0.5283018867924528,2.0,1.0,1.0,,3.0,1.0,,0.75,0.02127659574468085,,,,,,,,,,,2.0,2.0,6.0,,,,,,0.5,,0.5,1.0,1.0,1.0,1.0,0.07692307692307693,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201575-2198,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Kwame Brown","Robinson, Lee, Ellis, Rush, Brown",101126-101135-101145-201575-2198,GSW,145.0,1,2.0,8.0,6.0,5.0,1.0,,1.0,11.0,1.0,1.0,,,,,,,1.0,1.0,,,,,2.0,2.0,,1.0,6.0,10.0,2.0,,,,1.0,1.0,,,,2.0,2.0,4.0,,,,,,,2.0,,2.0,,1.0,1.0,4.0,1.0,,1.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,4.0,1.0,,8.0,,2.0,2.0,,,,,,,9.0,2.0,1.0,,1.0,1.0,1.0,,,,1.0,,,0.6666666666666666,,,0.7142857142857143,0.5,1.0,0.3333333333333333,,,,,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,1.0,,,109.24137931034484,,9.666666666666666,17.4,9.666666666666666,16.8,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,0.6666666666666666,,0.5253666666666666,,,0.4,0.5,0.1,0.2,12.15,23.2,0.16666666666666666,,,1.0,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
101126-101135-101145-201575-2740,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Andris Biedrins","Robinson, Lee, Ellis, Rush, Biedrins",101126-101135-101145-201575-2740,GSW,332.0,3,6.0,-4.0,9.0,11.0,3.0,2.0,,20.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,4.0,6.0,,1.0,1.0,9.0,13.0,1.0,1.0,,,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,,2.0,1.0,,,2.0,,2.0,,2.0,,4.0,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,,,,2.0,,,1.0,2.0,,1.0,2.0,4.0,,5.0,,1.0,3.0,1.0,2.0,,,,,,,,7.0,3.0,3.0,,,0.5,0.6666666666666666,,,,0.6666666666666666,1.0,0.5,0.5714285714285714,1.0,0.3333333333333333,0.5625,1.0,0.375,0.14285714285714285,,,,,1.0,1.0,,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,1.0,,1.0,,0.3333333333333333,,,86.74698795180723,,15.777777777777779,17.272727272727273,15.555555555555555,16.272727272727273,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,,,0.2857142857142857,0.5,0.5,,0.14285714285714285,,,,1.0,1.0,,,0.3333333333333333,1.0,0.3333333333333333,0.5714285714285714,,0.56985,,0.5410166666666667,0.25,0.2857142857142857,0.2222222222222222,0.3333333333333333,7.483333333333333,26.1,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,True
