EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,AtRimFGM,LongMidRangeAssists,Steals,BadPassSteals,Offensive Fouls,Blocked3s,BlockedArc3,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangePctAssisted,Arc3FGM,PenaltyArc3FGA,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,BadPassTurnovers,SecondChanceTurnovers,ShootingFouls,OffensiveGoaltends,Fg3Pct,NonHeaveFg3Pct,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,AtRimAssists,TwoPtShootingFoulsDrawn,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,SelfOReb,PenaltyFg3Pct,OffShortMidRangeReboundPct,SelfORebPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,FTDefRebounds,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,ShortMidRangePctBlocked,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,Loose Ball Fouls Drawn,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,RecoveredBlocks,BlocksRecoveredPct,BlockedShortMidRange,Corner3FGM,Corner3Assists,Charge Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,HeaveAttempts,LostBallSteals,BlockedLongMidRange,Loose Ball Fouls,Offensive Fouls Drawn,3SecondViolations,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Charge Fouls,Technical Free Throw Trips,BlockingFoulsDrawn,team_id,year,season,team_vs
101249-1888-201149-201959-2594,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Taj Gibson, Kyle Korver","Lucas III, Hamilton, Noah, Gibson, Korver",101249-1888-201149-201959-2594,CHI,126.0,1,2.0,-2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.5,0.2,0.3333333333333333,0.2,0.3333333333333333,0.4,1.0,0.5,0.75,1.0,1.0,45.714285714285715,47.5,15.5,22.0,13.0,0.6,0.3333333333333333,0.3333333333333333,0.2,0.2,0.3333333333333333,0.4,0.47949,0.4675,1.0,16.633333333333333,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201149-202710-2430,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Jimmy Butler, Carlos Boozer","Lucas III, Hamilton, Noah, Butler, Boozer",101249-1888-201149-202710-2430,CHI,207.0,1,3.0,-4.0,6.0,6.0,2.0,12.0,,3.0,1.0,,,1.0,6.0,1.0,4.0,8.0,,3.0,1.0,,,,,3.0,4.0,6.0,0.16666666666666666,,0.14285714285714285,,0.25,,0.14285714285714285,0.6,,0.5,0.6666666666666666,,83.47826086956522,20.5,14.0,15.5,11.833333333333334,0.42857142857142855,,,0.14285714285714285,,,0.2857142857142857,0.4308142857142857,0.44645,,9.916666666666666,22.4,6.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.25,1.0,1.0,0.3333333333333333,0.5,0.4,1.0,1.0,0.5,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,0.25,0.25,0.14285714285714285,0.14285714285714285,0.4308142857142857,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201149-2430-2594,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Carlos Boozer, Kyle Korver","Lucas III, Hamilton, Noah, Boozer, Korver",101249-1888-201149-2430-2594,CHI,78.0,1,1.0,-2.0,2.0,2.0,,4.0,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,0.5,,,,,,,,73.84615384615384,24.5,14.5,24.5,14.5,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,2.0,2.0,2.0,,2.0,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201149-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Joakim Noah, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Noah, Boozer, Deng",101249-1888-201149-2430-2736,CHI,233.0,1,4.0,,7.0,6.0,1.0,13.0,2.0,3.0,1.0,,,3.0,6.0,1.0,6.0,6.0,,1.0,,,2.0,,1.0,,1.0,2.0,0.5,,0.42857142857142855,,0.42857142857142855,,0.14285714285714285,,1.0,0.25,,1.0,80.34334763948497,18.714285714285715,17.0,17.857142857142858,14.333333333333334,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,,,0.42857142857142855,0.45739285714285716,,,11.383333333333333,23.1,3.0,2.0,2.0,1.0,,,1.0,,,,2.0,3.0,,,4.0,4.0,2.0,2.0,,4.0,,,1.0,1.0,,,1.0,,2.0,1.0,,,,,1.0,6.0,4.0,3.0,1.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,,0.3333333333333333,,,,0.2857142857142857,0.14285714285714285,,,,1.0,,,,0.35990000000000005,0.6666666666666666,0.42857142857142855,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201600-201959-2594,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Taj Gibson, Kyle Korver","Lucas III, Hamilton, Asik, Gibson, Korver",101249-1888-201600-201959-2594,CHI,238.0,1,4.0,3.0,7.0,7.0,3.0,14.0,2.0,5.0,,2.0,,3.0,6.0,2.0,9.0,6.0,1.0,1.0,,2.0,,2.0,1.0,2.0,3.0,5.0,0.5,1.0,0.5625,1.0,0.5625,1.0,0.25,0.6666666666666666,1.0,0.75,0.6666666666666666,,84.70588235294117,21.285714285714285,12.714285714285714,20.142857142857142,12.714285714285714,0.625,0.4,0.4,,0.25,,0.25,0.427275,0.4444,0.2222222222222222,16.566666666666666,26.2,4.0,4.0,,,,1.0,1.0,,,,1.0,3.0,1.0,,2.0,6.0,3.0,3.0,1.0,6.0,,,2.0,2.0,1.0,,2.0,2.0,3.0,,,,,,,7.0,2.0,4.0,,,1.0,1.0,0.3333333333333333,0.25,0.25,0.5,,1.0,,1.0,,1.0,,,0.125,1.0,1.0,1.0,,,,,0.43185,0.2222222222222222,0.5714285714285714,,1.0,,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,0.5,0.5,1.0,0.5,0.5,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201600-201959-2736,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Taj Gibson, Luol Deng","Lucas III, Hamilton, Asik, Gibson, Deng",101249-1888-201600-201959-2736,CHI,102.0,1,2.0,4.0,3.0,4.0,,7.0,,,,,,1.0,2.0,,4.0,,,,,,,,,,,4.0,0.5,,0.5,,0.6666666666666666,,,,,,,,98.82352941176471,15.666666666666666,13.75,15.666666666666666,13.75,,,,,,,0.5,0.55,,,6.35,,,,1.0,,,,1.0,,,2.0,,,,,,2.0,1.0,1.0,,2.0,,2.0,2.0,4.0,,,,,,3.0,2.0,,,,,4.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201600-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Omer Asik, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Asik, Boozer, Deng",101249-1888-201600-2430-2736,CHI,322.0,1,5.0,-8.0,9.0,9.0,2.0,18.0,,2.0,,1.0,,,8.0,1.0,3.0,11.0,,1.0,,,,1.0,,2.0,2.0,5.0,,,0.16666666666666666,,0.13636363636363635,,0.1111111111111111,0.25,,0.25,,,80.4968944099379,20.0,15.777777777777779,19.555555555555557,15.777777777777779,0.2222222222222222,,,,0.1111111111111111,,0.1111111111111111,0.4049222222222222,0.4474,,9.45,24.7,3.0,2.0,,,,,6.0,,,,,2.0,1.0,,3.0,,,,,,,1.0,2.0,3.0,,,,,3.0,3.0,4.0,,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,0.5,0.5,,,0.5,1.0,0.6,,0.5,1.0,,0.6666666666666666,,,,,,,,0.4032,1.0,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,,,3.0,,1.0,1.0,,1.0,1.0,0.3333333333333333,1.0,,2.0,1.0,,,0.18181818181818182,0.2,1.0,1.0,1.0,1.0,0.3333333333333333,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-201959-2430-2736,1610612741,"John Lucas III, Richard Hamilton, Taj Gibson, Carlos Boozer, Luol Deng","Lucas III, Hamilton, Gibson, Boozer, Deng",101249-1888-201959-2430-2736,CHI,107.0,1,2.0,2.0,4.0,4.0,1.0,8.0,,,,,,1.0,4.0,,3.0,1.0,1.0,1.0,,3.0,2.0,,,1.0,1.0,4.0,0.25,1.0,0.25,1.0,0.375,1.5,,0.3333333333333333,,0.3333333333333333,,,107.66355140186916,13.5,13.25,13.0,13.25,,,,,,,0.75,0.4348,0.4584,1.0,5.45,,4.0,4.0,3.0,1.0,3.0,,1.0,,,1.0,1.0,4.0,,1.0,3.0,,,,,,,,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,3.0,4.0,1.0,,,,0.25,0.25,0.375,1.0,,1.0,,1.0,0.5,1.0,,0.75,0.25,,,,1.0,,0.75,,0.4348,1.0,1.0,,,1.0,,1.0,1.0,,,,,0.3333333333333333,0.5,,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.25,0.25,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-1888-2430-2594-2736,1610612741,"John Lucas III, Richard Hamilton, Carlos Boozer, Kyle Korver, Luol Deng","Lucas III, Hamilton, Boozer, Korver, Deng",101249-1888-2430-2594-2736,CHI,20.0,1,,-2.0,2.0,1.0,1.0,3.0,,,,2.0,1.0,,1.0,2.0,,2.0,,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,0.6666666666666666,1.0,,0.3333333333333333,,,216.0,10.0,,9.5,,,,,,0.6666666666666666,1.0,0.6666666666666666,0.33945000000000003,0.2355,,12.4,25.45,2.0,1.0,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.33945000000000003,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
101249-200758-201149-201959-2594,1610612741,"John Lucas III, Ronnie Brewer, Joakim Noah, Taj Gibson, Kyle Korver","Lucas III, Brewer, Noah, Gibson, Korver",101249-200758-201149-201959-2594,CHI,219.0,1,4.0,-4.0,7.0,7.0,1.0,14.0,,,1.0,,,2.0,4.0,1.0,6.0,10.0,,1.0,,,2.0,,1.0,,1.0,3.0,0.5,,0.4,,0.42857142857142855,,0.2,,1.0,0.3333333333333333,,1.0,92.05479452054794,16.0,15.285714285714286,15.285714285714286,15.285714285714286,,,,0.2,,,0.4,0.49112,,,4.975,24.5,,,1.0,,,1.0,3.0,,,2.0,,,,,,2.0,1.0,1.0,,2.0,,,2.0,2.0,1.0,,1.0,,,2.0,4.0,,,,,6.0,,,,,0.5,0.5,,,,1.0,,1.0,,1.0,,1.0,,0.2,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,1.0,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2012,2011-12,False
