EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,Charge Fouls,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,OffAtRimReboundPct,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,PtsPutbacks,StepOutOfBoundsTurnovers,BlockingFouls,BlockingFoulsDrawn,OffArc3ReboundPct,SecondChanceCorner3FGA,BlockedLongMidRange,SecondChanceCorner3Frequency,Charge Fouls Drawn,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,3SecondViolations,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,HeaveMakes,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101126-101135-101145-201187-201575,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Brandon Rush","Robinson, Lee, Ellis, McGuire, Rush",101126-101135-101145-201187-201575,GSW,1578.0,11,26.0,2.0,59.0,57.0,35.0,33.0,3.0,116.0,9.0,13.0,1.0,1.0,4.0,7.0,3.0,3.0,14.0,2.0,4.0,2.0,3.0,3.0,9.0,1.0,1.0,1.0,5.0,12.0,30.0,5.0,13.0,15.0,54.0,52.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,18.0,3.0,8.0,10.0,33.0,12.0,12.0,12.0,3.0,1.0,8.0,3.0,2.0,6.0,4.0,10.0,2.0,2.0,4.0,2.0,24.0,1.0,2.0,6.0,13.0,4.0,23.0,3.0,26.0,1.0,5.0,2.0,3.0,7.0,5.0,5.0,2.0,1.0,12.0,6.0,4.0,15.0,1.0,2.0,11.0,1.0,18.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,47.0,31.0,34.0,3.0,4.0,0.5,0.5,0.8,0.38461538461538464,1.0,0.375,0.4166666666666667,0.4,1.0,0.3888888888888889,0.45348837209302323,1.25,0.4423076923076923,0.5192307692307693,1.1666666666666667,0.515625,0.3023255813953488,0.06666666666666667,0.07692307692307693,0.07142857142857142,0.5833333333333334,1.0,0.65,0.11764705882352941,0.8571428571428571,0.14285714285714285,0.7037037037037037,0.125,0.2,0.5,0.42857142857142855,0.8333333333333334,0.7142857142857143,0.8571428571428571,0.045454545454545456,105.8555133079848,0.6666666666666666,12.474576271186441,14.771929824561404,12.305084745762711,14.228070175438596,0.3023255813953488,0.6923076923076923,0.75,0.4444444444444444,0.06976744186046512,0.32558139534883723,0.21428571428571427,0.23076923076923078,0.6666666666666666,0.09302325581395349,0.5,0.5,1.0,0.20930232558139536,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,0.5,1.0,1.0,0.2692307692307692,0.5714285714285714,0.11538461538461539,0.6666666666666666,0.19230769230769232,0.2,0.6046511627906976,0.375,0.5071195121951219,0.6047,0.47430625,0.0851063829787234,0.11764705882352941,0.12962962962962962,0.6111111111111112,9.956666666666667,28.653846153846153,0.5932203389830508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201187-202327,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Ekpe Udoh","Robinson, Lee, Ellis, McGuire, Udoh",101126-101135-101145-201187-202327,GSW,48.0,1,1.0,,2.0,1.0,,1.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,90.0,,14.0,20.0,14.0,20.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3888,,,,,,,7.3,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201187-2198,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Kwame Brown","Robinson, Lee, Ellis, McGuire, Brown",101126-101135-101145-201187-2198,GSW,282.0,1,5.0,-4.0,9.0,8.0,2.0,2.0,1.0,17.0,3.0,3.0,,,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,4.0,6.0,,1.0,,8.0,12.0,,,,,,,1.0,1.0,,,,2.0,8.0,,,,,1.0,,,4.0,,4.0,,,3.0,,8.0,,1.0,,2.0,,2.0,1.0,3.0,,1.0,1.0,,1.0,,2.0,1.0,,3.0,1.0,1.0,2.0,,1.0,3.0,,3.0,2.0,,,,,,,,8.0,2.0,2.0,,,1.0,1.0,,,,,,0.6666666666666666,,1.0,0.5714285714285714,,1.0,0.5,,1.0,0.14285714285714285,,,,0.3333333333333333,,1.0,0.5,,,1.0,0.3333333333333333,0.5,,,,1.0,,,86.80851063829788,,20.11111111111111,12.625,19.77777777777778,12.625,0.42857142857142855,1.0,1.0,1.0,0.14285714285714285,0.2857142857142857,,,,,,,,0.14285714285714285,,,,,,,,,,1.0,1.0,,,,,0.5714285714285714,,0.5627857142857142,,0.6647,0.25,0.2857142857142857,,0.25,8.200000000000001,25.5,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201187-2740,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Andris Biedrins","Robinson, Lee, Ellis, McGuire, Biedrins",101126-101135-101145-201187-2740,GSW,115.0,1,2.0,,4.0,4.0,,,1.0,8.0,,,,,,,3.0,,,,,,,,,,,,,2.0,3.0,,,,4.0,4.0,1.0,1.0,,,,2.0,,,,,,,4.0,,,,,,,1.0,2.0,,2.0,,,,,4.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,0.3333333333333333,,,0.5,,0.3333333333333333,1.0,,,0.3333333333333333,1.0,,,1.0,,,,,100.17391304347825,,12.75,16.0,11.0,15.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861666666666667,0.3708,,,,0.5,,7.3999999999999995,,,2.0,0.6666666666666666,1.0,2.0,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201187-2748,1610612744,"Nate Robinson, David Lee, Monta Ellis, Dominic McGuire, Dorell Wright","Robinson, Lee, Ellis, McGuire, Wright",101126-101135-101145-201187-2748,GSW,638.0,4,11.0,10.0,19.0,18.0,16.0,7.0,2.0,37.0,1.0,6.0,,2.0,1.0,6.0,2.0,2.0,2.0,,,,,2.0,2.0,,,1.0,1.0,4.0,10.0,2.0,2.0,13.0,27.0,17.0,,2.0,,,,,4.0,10.0,1.0,1.0,11.0,22.0,4.0,4.0,3.0,3.0,,2.0,2.0,3.0,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,,3.0,1.0,5.0,,6.0,3.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,3.0,2.0,1.0,3.0,,1.0,8.0,,17.0,5.0,1.0,,,,,,,27.0,22.0,16.0,,1.0,0.5,0.5,0.5,1.0,,1.0,1.0,0.4,,0.4,0.5833333333333334,,0.5,0.6842105263157895,,0.6176470588235294,0.16666666666666666,0.3,0.3333333333333333,,0.3333333333333333,,0.7142857142857143,0.5,0.5,,0.6666666666666666,0.5,,,0.5,0.6666666666666666,1.0,,0.3333333333333333,83.51097178683386,,16.57894736842105,17.944444444444443,14.894736842105264,17.444444444444443,0.5,0.16666666666666666,0.25,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5,,,,,0.16666666666666666,1.0,1.0,0.5,1.0,,,,,,0.5454545454545454,0.16666666666666666,,,0.09090909090909091,1.0,0.6666666666666666,1.0,0.5184708333333333,0.6573,0.5192818181818182,0.3333333333333333,0.3333333333333333,,0.8148148148148148,6.68,25.55,0.8421052631578947,1.0,0.5,1.0,,,,,0.5,,1.0,1.0,1.0,2.0,1.0,0.6,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201575-201939,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Stephen Curry","Robinson, Lee, Ellis, Rush, Curry",101126-101135-101145-201575-201939,GSW,462.0,5,8.0,-6.0,19.0,18.0,6.0,7.0,1.0,37.0,2.0,7.0,,1.0,2.0,2.0,2.0,2.0,3.0,,1.0,,,,2.0,,,,,5.0,12.0,,3.0,6.0,16.0,22.0,,1.0,,,,,3.0,3.0,,,6.0,12.0,6.0,4.0,,,,2.0,,1.0,3.0,,3.0,,,1.0,2.0,6.0,1.0,,1.0,3.0,,4.0,1.0,5.0,,2.0,,2.0,1.0,,1.0,1.0,,2.0,,1.0,3.0,,,6.0,,6.0,,3.0,1.0,1.0,,1.0,1.0,,16.0,12.0,6.0,,3.0,0.6,0.6,,,,,,0.4166666666666667,,1.0,0.3333333333333333,,1.0,0.4444444444444444,,1.0,0.2,0.08333333333333333,0.14285714285714285,,0.5,,0.42857142857142855,,1.0,0.3333333333333333,0.5,0.1,,1.0,0.5,1.0,,1.0,,115.32467532467533,1.0,13.105263157894736,11.833333333333334,12.894736842105264,10.833333333333334,0.4666666666666667,0.2857142857142857,0.3333333333333333,0.5,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,1.0,0.06666666666666667,,,,0.13333333333333333,,,,1.0,,,,,,0.6666666666666666,1.0,,,,,0.6666666666666666,,0.50259,,0.4243333333333333,,,,0.75,7.083333333333333,25.833333333333332,0.3157894736842105,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201575-202327,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Ekpe Udoh","Robinson, Lee, Ellis, Rush, Udoh",101126-101135-101145-201575-202327,GSW,3449.0,23,57.0,-4.0,105.0,103.0,48.0,51.0,13.0,208.0,17.0,24.0,2.0,6.0,5.0,7.0,25.0,10.0,23.0,,5.0,,3.0,9.0,22.0,3.0,4.0,3.0,12.0,34.0,72.0,9.0,27.0,31.0,126.0,130.0,3.0,10.0,3.0,4.0,5.0,20.0,14.0,30.0,3.0,15.0,17.0,54.0,44.0,24.0,24.0,3.0,1.0,21.0,9.0,5.0,22.0,8.0,30.0,8.0,,11.0,7.0,68.0,4.0,14.0,9.0,20.0,4.0,33.0,18.0,51.0,2.0,4.0,2.0,2.0,6.0,4.0,3.0,2.0,,9.0,5.0,11.0,23.0,2.0,,31.0,5.0,36.0,15.0,4.0,7.0,3.0,4.0,7.0,4.0,1.0,106.0,54.0,48.0,4.0,4.0,0.6470588235294118,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.75,0.2,0.34615384615384615,0.4722222222222222,0.3,0.4666666666666667,0.4797979797979798,0.5357142857142857,0.4111111111111111,0.5478260869565217,0.5882352941176471,0.5,0.2727272727272727,0.06944444444444445,0.041666666666666664,,0.6666666666666666,1.0,0.6060606060606061,0.3684210526315789,0.6,0.25,0.6041666666666666,0.3333333333333333,0.07692307692307693,0.2,0.6,0.5,0.75,0.6363636363636364,0.04081632653061224,86.84256306175703,0.5714285714285714,16.2,16.97087378640777,15.247619047619047,15.844660194174757,0.24242424242424243,0.7083333333333334,0.7391304347826086,0.6470588235294118,0.25252525252525254,0.23232323232323232,0.43478260869565216,0.43478260869565216,0.7,0.050505050505050504,,,,0.2222222222222222,0.4090909090909091,0.4090909090909091,0.8888888888888888,0.42857142857142855,0.3333333333333333,0.5,0.2857142857142857,0.75,1.0,0.15555555555555556,0.7142857142857143,0.06666666666666667,,0.26666666666666666,0.25,0.5151515151515151,0.42857142857142855,0.4755255102040816,0.4872,0.4703102272727273,0.14414414414414414,0.18072289156626506,0.15873015873015872,0.42857142857142855,8.851388888888888,26.177777777777777,0.45714285714285713,7.0,0.28,0.3333333333333333,4.0,4.0,0.5714285714285714,,0.16,0.5,1.0,2.0,,,1.0,0.5714285714285714,0.5,0.03571428571428571,2.0,1.0,1.0,1.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201575-202691,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Klay Thompson","Robinson, Lee, Ellis, Rush, Thompson",101126-101135-101145-201575-202691,GSW,1555.0,13,26.0,-6.0,58.0,53.0,20.0,28.0,2.0,111.0,8.0,12.0,,,3.0,3.0,7.0,6.0,12.0,2.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,,2.0,16.0,31.0,4.0,9.0,22.0,66.0,72.0,,,1.0,2.0,,3.0,5.0,7.0,1.0,3.0,13.0,26.0,10.0,22.0,12.0,,1.0,4.0,2.0,1.0,5.0,4.0,9.0,2.0,2.0,2.0,3.0,22.0,,1.0,3.0,7.0,2.0,12.0,1.0,13.0,1.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,8.0,5.0,3.0,19.0,1.0,,18.0,,28.0,7.0,8.0,1.0,,,1.0,1.0,,63.0,21.0,17.0,7.0,4.0,0.3125,0.3125,1.0,0.4444444444444444,0.5,0.3333333333333333,0.5,0.5161290322580645,,0.7142857142857143,0.55,0.75,0.65,0.6226415094339622,0.75,0.7647058823529411,0.225,0.03225806451612903,,,0.625,0.6666666666666666,0.4666666666666667,0.07692307692307693,0.42857142857142855,,0.45454545454545453,0.058823529411764705,,,0.375,1.0,0.5,0.3333333333333333,0.058823529411764705,102.7909967845659,1.0,12.793103448275861,15.339622641509434,12.431034482758621,14.641509433962264,0.3,0.6666666666666666,0.6666666666666666,0.25,0.175,0.3,0.5,0.5,0.5,0.1,0.5,0.5,1.0,0.125,0.4,0.4,1.0,,,,0.5,1.0,1.0,0.3,1.0,0.1,1.0,0.2,,0.525,0.5,0.5043269230769231,0.58695,0.57165,0.15555555555555556,0.19444444444444445,0.045454545454545456,0.3939393939393939,9.564516129032258,26.9,0.3448275862068966,2.0,0.2857142857142857,0.3333333333333333,,2.0,,2.0,0.14285714285714285,,,,1.0,,,0.25,1.0,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201575-2198,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Kwame Brown","Robinson, Lee, Ellis, Rush, Brown",101126-101135-101145-201575-2198,GSW,145.0,1,2.0,-8.0,5.0,6.0,,1.0,2.0,11.0,1.0,2.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,3.0,,1.0,,2.0,10.0,1.0,1.0,,,,2.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,2.0,1.0,1.0,1.0,,3.0,,2.0,4.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,1.0,,0.25,1.0,,0.25,1.0,,0.25,,,,0.6666666666666666,,,1.0,,,,0.6666666666666666,1.0,,,,,,,109.24137931034484,,17.4,9.666666666666666,16.8,9.666666666666666,0.5,0.5,0.5,,,0.25,,,,,,,,0.25,,,,1.0,1.0,,,,,,,,,,,0.75,,0.4351875,0.4832,,,,1.0,,8.5,25.8,,,,,,,,,,,,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
101126-101135-101145-201575-2740,1610612744,"Nate Robinson, David Lee, Monta Ellis, Brandon Rush, Andris Biedrins","Robinson, Lee, Ellis, Rush, Biedrins",101126-101135-101145-201575-2740,GSW,332.0,3,6.0,4.0,11.0,9.0,2.0,3.0,2.0,20.0,2.0,2.0,,,,,2.0,1.0,1.0,,,,,,3.0,,,,1.0,4.0,5.0,,3.0,5.0,13.0,9.0,1.0,1.0,,,,2.0,1.0,1.0,,1.0,,2.0,6.0,2.0,,,,3.0,,,3.0,,3.0,,,2.0,1.0,6.0,2.0,,,2.0,1.0,3.0,2.0,5.0,,,,,1.0,1.0,1.0,,,2.0,1.0,2.0,5.0,,1.0,4.0,,6.0,2.0,1.0,,,,,,,11.0,2.0,2.0,,,0.75,0.75,,,,,,0.8,1.0,1.0,0.5,1.0,0.5,0.5909090909090909,1.0,0.5,0.375,,,,0.5,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,1.0,,,86.74698795180723,,17.272727272727273,15.777777777777779,16.272727272727273,15.555555555555555,0.25,1.0,1.0,1.0,0.25,0.125,1.0,1.0,1.0,,,,,0.375,,,,,,,,,,,,,,0.5,,0.625,,0.4969,,0.50245,0.2,0.2857142857142857,0.15384615384615385,0.15384615384615385,7.44,26.566666666666666,0.18181818181818182,1.0,0.5,0.5,,,,,,,,1.0,,,,,,,,,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2012,2011-12,False
