EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Travels,DefLongMidRangeReboundPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,AtRimAssists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,Charge Fouls Drawn,Corner3Frequency,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,DefThreePtRebounds,2pt And 1 Free Throw Trips,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,PtsAssisted3s,ThreePtAssists,Corner3Assists,OffThreePtRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Assisted3sPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyDefPoss,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3Assists,LongMidRangeAssists,Technical Free Throw Trips,OffLongMidRangeReboundPct,LongMidRangePctAssisted,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceTurnovers,BlockedAtRim,LongMidRangePctBlocked,HeaveAttempts,Blocked3s,BlockedArc3,Offensive Fouls,BlockedLongMidRange,Charge Fouls,Loose Ball Fouls Drawn,BlockingFouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,3SecondViolations,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101111-101131-101198-201973-2732,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Jonas Jerebko, Ben Gordon","Villanueva, Maxiell, Bynum, Jerebko, Gordon",101111-101131-101198-201973-2732,DET,412.0,1,7.0,-14.0,11.0,13.0,3.0,24.0,3.0,8.0,2.0,4.0,2.0,3.0,1.0,1.0,5.0,12.0,1.0,1.0,11.0,25.0,2.0,4.0,4.0,2.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,7.0,0.2,0.3333333333333333,0.4166666666666667,0.5,0.38461538461538464,0.5,0.39285714285714285,0.5,0.07692307692307693,0.16666666666666666,0.25,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.5,0.6,1.0,0.6666666666666666,83.88349514563107,19.545454545454547,15.153846153846153,18.90909090909091,11.076923076923077,0.6153846153846154,0.375,0.5,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.07692307692307693,0.07692307692307693,1.0,0.5,0.6923076923076923,0.5983115384615385,0.640675,0.07142857142857142,0.07692307692307693,0.36363636363636365,3.4583333333333335,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101131-101198-202688-2732,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Brandon Knight, Ben Gordon","Villanueva, Maxiell, Bynum, Knight, Gordon",101111-101131-101198-202688-2732,DET,64.0,1,1.0,,2.0,2.0,,4.0,,,,,1.0,1.0,,,1.0,1.0,,,2.0,2.0,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,90.0,14.5,17.5,14.5,17.5,,,,1.0,1.0,1.0,,,,,,,0.373,,,,,12.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101131-201041-201948-2863,1610612765,"Charlie Villanueva, Jason Maxiell, Walker Russell, Austin Daye, Damien Wilkins","Villanueva, Maxiell, Russell, Daye, Wilkins",101111-101131-201041-201948-2863,DET,369.0,1,6.0,-1.0,13.0,13.0,2.0,26.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,,4.0,11.0,,2.0,10.0,11.0,1.0,2.0,2.0,2.0,6.0,2.0,,1.0,1.0,1.0,,2.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,,2.0,1.0,2.0,,2.0,4.0,1.0,8.0,0.25,0.3333333333333333,0.36363636363636365,0.5,0.36363636363636365,0.5,0.38461538461538464,0.5,,0.09090909090909091,0.2,1.0,0.2857142857142857,1.0,0.2857142857142857,0.3333333333333333,0.5,1.0,101.46341463414633,15.923076923076923,12.461538461538462,15.846153846153847,12.461538461538462,0.45454545454545453,0.4,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.2727272727272727,,1.0,0.5,0.45454545454545453,0.49619090909090907,0.67705,0.08333333333333333,0.08333333333333333,0.2,7.872727272727272,,,1.0,13.0,2.0,5.0,1.0,4.0,11.0,2.0,10.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,0.36363636363636365,0.36363636363636365,0.38461538461538464,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.4,0.49619090909090907,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101131-201155-201973-2732,1610612765,"Charlie Villanueva, Jason Maxiell, Rodney Stuckey, Jonas Jerebko, Ben Gordon","Villanueva, Maxiell, Stuckey, Jerebko, Gordon",101111-101131-201155-201973-2732,DET,77.0,1,1.0,-5.0,3.0,2.0,,5.0,,,,,,,2.0,,,2.0,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,0.16666666666666666,,,,,,,,,,,,93.5064935064935,20.666666666666668,7.5,20.666666666666668,7.5,,,,,,,,1.0,,,,,0.3818,,0.3333333333333333,0.3333333333333333,,19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101131-201155-202688-2419,1610612765,"Charlie Villanueva, Jason Maxiell, Rodney Stuckey, Brandon Knight, Tayshaun Prince","Villanueva, Maxiell, Stuckey, Knight, Prince",101111-101131-201155-202688-2419,DET,107.0,1,2.0,,4.0,5.0,,9.0,,2.0,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,4.0,4.0,,4.0,,,,,,,,1.0,,,,,,,,,,,,0.25,,,0.8,,0.8,,,,0.5,121.12149532710279,13.25,10.8,13.25,9.8,0.5,,,,,,,0.25,,,,0.75,0.630425,,,,,5.833333333333333,23.5,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101131-201155-2419-2732,1610612765,"Charlie Villanueva, Jason Maxiell, Rodney Stuckey, Tayshaun Prince, Ben Gordon","Villanueva, Maxiell, Stuckey, Prince, Gordon",101111-101131-201155-2419-2732,DET,27.0,1,,-1.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,106.66666666666666,14.0,13.0,14.0,13.0,,,,1.0,,,,,,,,,0.3879,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101198-1112-201948-2863,1610612765,"Charlie Villanueva, Will Bynum, Ben Wallace, Austin Daye, Damien Wilkins","Villanueva, Bynum, Wallace, Daye, Wilkins",101111-101198-1112-201948-2863,DET,246.0,1,4.0,2.0,7.0,6.0,,13.0,2.0,3.0,,,,,,1.0,2.0,3.0,3.0,2.0,9.0,7.0,,,,4.0,,,1.0,,2.0,2.0,,4.0,,1.0,2.0,,2.0,1.0,1.0,,,,,,5.0,3.0,2.0,9.0,1.0,1.0,0.6666666666666666,,0.5833333333333334,,0.6428571428571429,,0.5,,,0.3333333333333333,,0.5,,,,1.0,76.09756097560977,20.0,17.666666666666668,20.0,16.166666666666668,0.5,0.6666666666666666,0.6666666666666666,,,,,,0.16666666666666666,,,1.0,0.596825,,0.2857142857142857,0.5,,1.4333333333333333,24.03333333333333,,,3.0,,1.0,,,1.0,1.0,4.0,2.0,,,,,,,,,,,,4.0,3.0,,0.75,0.6666666666666666,,,,1.0,,,0.5,,0.530575,0.4444444444444444,0.42857142857142855,2.0,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101198-1112-201973-2732,1610612765,"Charlie Villanueva, Will Bynum, Ben Wallace, Jonas Jerebko, Ben Gordon","Villanueva, Bynum, Wallace, Jerebko, Gordon",101111-101198-1112-201973-2732,DET,696.0,2,12.0,-4.0,23.0,23.0,4.0,46.0,3.0,7.0,1.0,2.0,1.0,3.0,5.0,1.0,4.0,15.0,2.0,5.0,16.0,20.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,,7.0,2.0,4.0,9.0,3.0,12.0,4.0,3.0,4.0,6.0,4.0,6.0,,5.0,6.0,3.0,14.0,0.5,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.3235294117647059,0.3333333333333333,0.4,0.3333333333333333,0.11764705882352941,0.13333333333333333,0.2857142857142857,0.8,0.18181818181818182,0.8888888888888888,0.25,0.25,0.5,1.0,95.17241379310344,14.956521739130435,15.304347826086957,14.130434782608695,13.956521739130435,0.4117647058823529,0.42857142857142855,0.6,0.17647058823529413,0.3333333333333333,0.3333333333333333,,0.29411764705882354,0.058823529411764705,0.6666666666666666,0.5,0.5294117647058824,0.5551382352941177,0.65595,0.15,0.16666666666666666,0.125,8.08,25.6,,0.5,,,,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.6666666666666666,,,,,,,,1.0,,0.058823529411764705,,,,1.0,,,,,4.0,,0.5,,0.5,1.0,1.0,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101198-1112-2419-2732,1610612765,"Charlie Villanueva, Will Bynum, Ben Wallace, Tayshaun Prince, Ben Gordon","Villanueva, Bynum, Wallace, Prince, Gordon",101111-101198-1112-2419-2732,DET,352.0,2,6.0,-1.0,14.0,13.0,1.0,27.0,2.0,3.0,,1.0,,,3.0,1.0,4.0,6.0,2.0,2.0,16.0,17.0,,1.0,,8.0,,,1.0,,4.0,6.0,,14.0,1.0,,5.0,1.0,6.0,,,2.0,6.0,3.0,3.0,,1.0,2.0,1.0,16.0,1.0,1.0,0.6666666666666666,,0.875,,0.9375,,0.25,,,,0.5,0.7142857142857143,0.5,,,,110.45454545454547,12.428571428571429,13.692307692307692,12.285714285714286,13.615384615384615,0.375,0.6666666666666666,0.6666666666666666,,,,,0.375,0.125,1.0,,0.625,0.53414375,0.4997,0.125,0.16666666666666666,,10.683333333333332,23.55,,,2.0,,,2.0,,,,3.0,2.0,,4.0,2.0,2.0,,,,,,,,3.0,2.0,,1.5,1.5,0.6666666666666666,,,1.0,0.6666666666666666,0.6666666666666666,,,0.60405,0.1875,0.14285714285714285,1.0,,0.125,1.0,,,2.0,1.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,,,1.0,1.0,6.0,2.0,1.0,,,,2.0,,,1.0,,,,0.5,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
101111-101198-1112-2732-2863,1610612765,"Charlie Villanueva, Will Bynum, Ben Wallace, Ben Gordon, Damien Wilkins","Villanueva, Bynum, Wallace, Gordon, Wilkins",101111-101198-1112-2732-2863,DET,176.0,1,3.0,-3.0,5.0,5.0,,10.0,,,,,1.0,3.0,,2.0,1.0,3.0,2.0,,5.0,8.0,,,,2.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,,2.0,,,5.0,1.0,1.0,0.3333333333333333,,0.5,,0.5,,0.4,0.3333333333333333,,1.0,,0.5,,,,,81.81818181818183,21.4,13.8,21.4,13.2,,,,0.6,0.3333333333333333,0.5,1.0,,0.4,,,0.4,0.44948,,,,,8.533333333333333,26.35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,3.0,1.0,,,0.5,,0.5,,,0.5,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2012,2011-12,True
