EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,FG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,DefThreePtRebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,LongMidRangeAssists,OffTwoPtRebounds,BadPassSteals,Charge Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFtPoints,PtsUnassisted3s,Technical Free Throw Trips,DefArc3ReboundPct,FTDefRebounds,DefFTReboundPct,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,ShortMidRangePctAssisted,PenaltyOffPoss,PenaltyAtRimFGA,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Travels,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFG2M,LostBallTurnovers,DefensiveGoaltends,PenaltyFg2Pct,PenaltyEfgPct,Charge Fouls Drawn,RecoveredBlocks,ShortMidRangePctBlocked,BlocksRecoveredPct,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,OffThreePtRebounds,SelfOReb,Loose Ball Fouls Drawn,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,SecondChanceTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,Loose Ball Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGM,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,BlockingFouls,LongMidRangePctBlocked,OffensiveGoaltends,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedCorner3,SecondChanceCorner3PctAssisted,Clear Path Fouls,team_id,year,season,team_vs
101110-1802-200826-201229-201563,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Anthony Tolliver, Michael Beasley","Webster, Miller, Barea, Tolliver, Beasley",101110-1802-200826-201229-201563,MIN,270.0,1,4.0,9.0,9.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,6.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,6.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.6,0.4,0.5,1.0,1.0,0.8,1.0,1.0,96.0,11.88888888888889,18.11111111111111,9.88888888888889,17.77777777777778,0.4,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,0.8,0.6423,0.76605,2.733333333333333,23.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-200826-201229-201961,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Anthony Tolliver, Wayne Ellington","Webster, Miller, Barea, Tolliver, Ellington",101110-1802-200826-201229-201961,MIN,163.0,2,3.0,7.0,6.0,,13.0,1.0,1.0,,,1.0,,2.0,2.0,4.0,13.0,7.0,,2.0,2.0,1.0,4.0,1.0,11.0,,2.0,3.0,,3.0,,,1.0,,1.0,,1.0,,,,1.0,13.0,0.5,0.5,1.0,1.0833333333333333,1.0833333333333333,0.6666666666666666,1.0,,1.0,1.0,,1.0,114.84662576687116,10.857142857142858,14.5,10.857142857142858,14.5,0.16666666666666666,1.0,1.0,1.0,,,,0.16666666666666666,,0.8333333333333334,0.58208,,9.65,32.025,6.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,9.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-200826-201563-202682,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Michael Beasley, Derrick Williams","Webster, Miller, Barea, Beasley, Williams",101110-1802-200826-201563-202682,MIN,544.0,2,9.0,15.0,17.0,2.0,32.0,4.0,6.0,1.0,6.0,,,7.0,17.0,2.0,16.0,19.0,1.0,4.0,10.0,2.0,2.0,1.0,4.0,,4.0,4.0,6.0,10.0,1.0,,,,,2.0,2.0,1.0,4.0,1.0,4.0,12.0,0.2857142857142857,0.4,0.4117647058823529,0.3684210526315789,0.4,0.10526315789473684,,,0.5714285714285714,0.5,0.5,,84.70588235294117,16.6,17.352941176470587,15.266666666666667,15.764705882352942,0.3157894736842105,0.6666666666666666,0.6666666666666666,0.25,0.3157894736842105,0.16666666666666666,0.16666666666666666,,,0.42105263157894735,0.4788210526315789,0.5220416666666666,9.211764705882352,25.15,-3.0,3.0,2.0,5.0,,,2.0,,,,2.0,,,,,,,,,,1.0,,0.2631578947368421,0.4,0.4,,,,0.10526315789473684,,,,,2.0,4.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,0.6,0.5,1.0,0.4,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.1,0.058823529411764705,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-200826-201567-201961,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Kevin Love, Wayne Ellington","Webster, Miller, Barea, Love, Ellington",101110-1802-200826-201567-201961,MIN,111.0,1,2.0,4.0,5.0,,9.0,1.0,1.0,,,,,3.0,3.0,1.0,10.0,5.0,,6.0,,3.0,3.0,1.0,6.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,9.0,1.0,1.0,1.0,1.125,1.125,0.25,,,,0.5,,,116.75675675675676,11.25,13.2,11.25,12.8,0.25,1.0,1.0,1.0,,,,,,0.5,0.5862625,,11.0,24.5,5.0,5.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,0.5,1.0,1.0,,,,0.25,1.0,1.0,,1.0,,,,1.0,,,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.1,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-200826-201567-202325,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Kevin Love, Wesley Johnson","Webster, Miller, Barea, Love, Johnson",101110-1802-200826-201567-202325,MIN,56.0,1,1.0,1.0,2.0,,3.0,,,,,,,1.0,1.0,,2.0,,,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,0.5,,,77.14285714285714,20.0,18.0,20.0,9.0,,,,,,,,,,,0.4491,,14.6,,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-200826-201576-202325,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Anthony Randolph, Wesley Johnson","Webster, Miller, Barea, Randolph, Johnson",101110-1802-200826-201576-202325,MIN,178.0,1,3.0,6.0,5.0,,11.0,,,2.0,3.0,,,2.0,4.0,,4.0,5.0,,4.0,,2.0,2.0,,4.0,,2.0,2.0,,2.0,1.0,,,,,1.0,1.0,,1.0,,,4.0,1.0,1.0,0.5,0.5,0.5,,,,1.0,1.0,1.0,,88.98876404494382,15.666666666666666,16.8,15.666666666666666,16.8,,,,,0.75,0.6666666666666666,0.6666666666666666,,,,0.403475,,9.825,,-1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-200826-202325-202682,1610612750,"Martell Webster, Brad Miller, J.J. Barea, Wesley Johnson, Derrick Williams","Webster, Miller, Barea, Johnson, Williams",101110-1802-200826-202325-202682,MIN,140.0,1,2.0,4.0,5.0,,9.0,,2.0,,,,,,3.0,,2.0,5.0,,,,,,,,,2.0,3.0,1.0,4.0,,,,,,1.0,1.0,,,,2.0,2.0,,,,,0.2,,,,1.0,1.0,,,92.57142857142857,21.0,11.2,21.0,11.2,0.6666666666666666,,,,,,,,,0.6666666666666666,0.5339333333333333,,6.7,,-3.0,5.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,2.0,,,,,,1.0,,,4.0,,2.0,,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,,0.4,0.4,,,,,,1.0,,,,,,4.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,0.2,0.3333333333333333,0.5,0.6666666666666666,0.5339333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-201563-201567-201937,1610612750,"Martell Webster, Brad Miller, Michael Beasley, Kevin Love, Ricky Rubio","Webster, Miller, Beasley, Love, Rubio",101110-1802-201563-201567-201937,MIN,101.0,1,2.0,4.0,4.0,,8.0,,,1.0,2.0,,,1.0,2.0,,2.0,8.0,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,2.0,,,0.5,0.5,0.5,,1.0,,,,,,114.05940594059406,13.0,12.25,13.0,12.25,,,,,1.0,0.5,0.5,,,,0.4013,,11.7,,-6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,2.0,,,1.0,2.0,4.0,0.5,,,,0.4013,1.0,1.0,1.0,1.0,2.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-201563-201576-202723,1610612750,"Martell Webster, Brad Miller, Michael Beasley, Anthony Randolph, Malcolm Lee","Webster, Miller, Beasley, Randolph, Lee",101110-1802-201563-201576-202723,MIN,97.0,1,2.0,3.0,4.0,,7.0,1.0,1.0,,,,,1.0,2.0,,2.0,4.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,2.0,2.0,,,2.0,1.0,1.0,0.5,0.5,0.5,,1.0,,1.0,1.0,,,103.91752577319588,12.333333333333334,15.0,12.333333333333334,15.0,0.5,1.0,1.0,1.0,,,,,,0.5,0.5659,,9.65,,-2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
101110-1802-201563-202682-202723,1610612750,"Martell Webster, Brad Miller, Michael Beasley, Derrick Williams, Malcolm Lee","Webster, Miller, Beasley, Williams, Lee",101110-1802-201563-202682-202723,MIN,174.0,2,3.0,6.0,6.0,,12.0,3.0,3.0,,1.0,,,4.0,5.0,,9.0,2.0,,4.0,4.0,2.0,2.0,2.0,4.0,,3.0,3.0,1.0,4.0,1.0,,,,,1.0,1.0,,1.0,,2.0,8.0,0.5,0.5,0.8,0.8,0.75,,,,1.0,1.0,1.0,1.0,99.3103448275862,10.166666666666666,18.833333333333332,10.0,18.833333333333332,0.6,1.0,1.0,0.6666666666666666,0.2,,,,,0.6,0.62234,,5.7,,7.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,0.5,1.0,1.0,,1.0,,,,,,0.16666666666666666,0.16666666666666666,,0.1111111111111111,1.0,,,,,,,,,,,,,,1.0,,,,,,0.2,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2012,2011-12,True
