EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedShortMidRange,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,FTOffRebounds,LostBallSteals,Loose Ball Fouls Drawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SelfOReb,Defensive 3 Seconds Violations,SelfORebPct,Corner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,DefensiveGoaltends,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
200752-201144-201188-201564-201578,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Marreese Speights","Gay, Conley, Gasol, Mayo, Speights",200752-201144-201188-201564-201578,MEM,938.0,4,16.0,2.0,30.0,30.0,10.0,19.0,5.0,60.0,5.0,12.0,2.0,4.0,3.0,5.0,4.0,10.0,2.0,4.0,1.0,1.0,1.0,5.0,3.0,11.0,26.0,1.0,6.0,4.0,29.0,27.0,3.0,7.0,1.0,6.0,5.0,9.0,3.0,1.0,11.0,12.0,10.0,3.0,6.0,5.0,1.0,2.0,6.0,1.0,7.0,1.0,2.0,2.0,2.0,15.0,2.0,7.0,1.0,9.0,2.0,12.0,9.0,21.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,9.0,2.0,1.0,7.0,1.0,8.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,23.0,11.0,10.0,1.0,0.5454545454545454,0.75,1.0,0.16666666666666666,0.16666666666666666,0.4230769230769231,0.42857142857142855,0.5555555555555556,0.390625,0.375,0.4166666666666667,0.4,0.3333333333333333,0.4583333333333333,0.1875,0.07692307692307693,0.08333333333333333,0.1,0.5,0.6666666666666666,0.8181818181818182,0.4666666666666667,0.3333333333333333,0.4,0.7142857142857143,0.45,0.5714285714285714,0.5,0.25,1.0,0.8,0.75,1.0,0.5,92.11087420042644,1.0,17.066666666666666,14.2,15.9,13.066666666666666,0.375,0.4166666666666667,0.45454545454545453,0.4,0.3125,0.4,0.4444444444444444,0.5,0.125,0.5,0.5,1.0,0.03125,0.15625,0.2,0.2,1.0,0.5,0.5,0.125,0.4166666666666667,0.6,0.25,0.5625,0.2,0.4923548387096774,0.46715,0.4536590909090909,0.11428571428571428,0.13793103448275862,0.20689655172413793,0.3793103448275862,7.038461538461538,27.28333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201564-201632,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Hamed Haddadi","Gay, Conley, Gasol, Mayo, Haddadi",200752-201144-201188-201564-201632,MEM,161.0,1,3.0,-4.0,4.0,5.0,,1.0,,9.0,,,,,,,,,1.0,2.0,,,,1.0,,1.0,2.0,,1.0,,2.0,6.0,,,,,,,,,,2.0,,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,2.0,,,,,,,,,,2.0,,,,1.0,1.0,,,,0.5,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,1.0,,1.0,,,,,,,,,1.0,80.4968944099379,,23.25,13.6,23.25,13.6,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,0.44615,,,,,,,20.25,25.4,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201564-201967,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Dante Cunningham","Gay, Conley, Gasol, Mayo, Cunningham",200752-201144-201188-201564-201967,MEM,147.0,2,2.0,6.0,4.0,4.0,3.0,4.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,,2.0,5.0,,,2.0,6.0,,1.0,2.0,,2.0,2.0,5.0,,,4.0,,4.0,,2.0,,,,,,,,,,,,,2.0,1.0,1.0,,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,4.0,4.0,3.0,,,,,,,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.4,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,78.3673469387755,1.0,18.0,18.75,17.75,18.75,0.2,1.0,1.0,,0.6,0.3333333333333333,0.3333333333333333,,0.2,,,,,,,,,0.5,1.0,,0.2,1.0,,0.2,,0.42300000000000004,0.48835,0.42300000000000004,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,9.92,,0.75,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201564-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Quincy Pondexter","Gay, Conley, Gasol, Mayo, Pondexter",200752-201144-201188-201564-202347,MEM,57.0,3,1.0,1.0,4.0,2.0,4.0,2.0,1.0,6.0,,,,,,,,,,1.0,,,,2.0,2.0,,1.0,,2.0,3.0,3.0,2.0,,,,1.0,,1.0,2.0,3.0,3.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,3.0,,4.0,,,,,,,,2.0,1.0,3.0,,,,,,,,,,,,,0.3,0.5,0.3,0.6666666666666666,,,,,,,,,0.5,,0.3333333333333333,,,0.5,,,,,,151.57894736842107,,11.5,5.5,10.25,5.5,,,,,,,,,0.3333333333333333,,,,,0.6666666666666666,,,,,,,,,0.6666666666666666,0.6666666666666666,,0.3569,,0.3569,,,0.3333333333333333,1.0,18.2,28.55,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201564-2216,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Zach Randolph","Gay, Conley, Gasol, Mayo, Randolph",200752-201144-201188-201564-2216,MEM,1991.0,6,33.0,-5.0,63.0,56.0,39.0,15.0,9.0,119.0,5.0,9.0,2.0,2.0,4.0,5.0,7.0,18.0,5.0,13.0,3.0,,2.0,6.0,3.0,17.0,40.0,2.0,9.0,21.0,61.0,66.0,2.0,3.0,1.0,15.0,13.0,27.0,4.0,18.0,44.0,16.0,18.0,6.0,2.0,6.0,2.0,2.0,8.0,2.0,10.0,2.0,2.0,2.0,4.0,22.0,2.0,5.0,4.0,12.0,4.0,20.0,9.0,29.0,4.0,2.0,7.0,4.0,3.0,3.0,10.0,,4.0,6.0,15.0,1.0,,22.0,2.0,28.0,2.0,,10.0,3.0,1.0,3.0,2.0,46.0,44.0,39.0,4.0,0.47058823529411764,0.5,1.0,0.2222222222222222,0.2222222222222222,0.425,0.6666666666666666,0.48148148148148145,0.40816326530612246,0.875,0.41935483870967744,0.49193548387096775,0.8333333333333334,0.5238095238095238,0.1836734693877551,0.05,0.1111111111111111,0.05555555555555555,0.7,0.6666666666666666,0.7058823529411765,0.22727272727272727,0.6666666666666666,0.2857142857142857,0.6956521739130435,0.2413793103448276,,0.36363636363636365,0.25,0.3333333333333333,0.6666666666666666,1.0,0.5714285714285714,0.6666666666666666,86.06730286288298,0.6666666666666666,17.50793650793651,15.857142857142858,16.73015873015873,15.053571428571429,0.1836734693877551,0.5555555555555556,0.625,0.4,0.3673469387755102,0.3888888888888889,0.4117647058823529,0.2857142857142857,0.2653061224489796,0.38461538461538464,0.38461538461538464,0.8,0.061224489795918366,0.12244897959183673,0.3333333333333333,0.4,1.0,0.5,1.0,,0.16129032258064516,0.8,0.0967741935483871,0.3673469387755102,0.3333333333333333,0.4337877551020408,0.470525,0.4153048387096774,0.17543859649122806,0.20833333333333334,0.2459016393442623,0.7213114754098361,9.76,24.866666666666667,0.6190476190476191,2.0,,2.0,0.14285714285714285,,8.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1111111111111111,0.16666666666666666,0.6666666666666666,0.25,1.0,1.0,0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201564-2240,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Gilbert Arenas","Gay, Conley, Gasol, Mayo, Arenas",200752-201144-201188-201564-2240,MEM,43.0,2,1.0,7.0,4.0,,4.0,,,4.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,8.0,1.0,,,,,1.0,2.0,2.0,,8.0,2.0,,6.0,,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,,,8.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.5,1.0,,1.0,1.0,,1.0,0.5,,,,,,,,,,,,,,,,,,,,133.95348837209303,,10.5,,10.5,,0.25,1.0,1.0,1.0,,,,,0.25,,,,,0.5,1.0,1.0,1.0,,,,0.25,1.0,0.5,0.75,1.0,0.35945,,0.35945,,,,1.0,7.9,26.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201564-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, O.J. Mayo, Tony Allen","Gay, Conley, Gasol, Mayo, Allen",200752-201144-201188-201564-2754,MEM,79.0,1,1.0,-4.0,4.0,5.0,4.0,5.0,,9.0,,,,,,,,1.0,,,,,,,,,1.0,,,3.0,3.0,7.0,,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,3.0,,2.0,,,,,,,,,,,,,0.5,,0.5,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,164.0506329113924,,10.75,7.2,10.75,7.2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.2767,,0.2767,,,,1.0,12.7,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201578-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Tony Allen","Gay, Conley, Gasol, Speights, Allen",200752-201144-201188-201578-2754,MEM,425.0,3,7.0,5.0,12.0,14.0,11.0,11.0,,26.0,,,,,,,2.0,4.0,1.0,2.0,,,,1.0,1.0,3.0,6.0,,1.0,6.0,12.0,7.0,,,,,3.0,6.0,1.0,6.0,12.0,2.0,4.0,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,,2.0,3.0,1.0,6.0,,6.0,,,2.0,1.0,,1.0,2.0,,1.0,2.0,3.0,,,6.0,,7.0,,1.0,3.0,,,,,12.0,12.0,11.0,,0.3333333333333333,0.3333333333333333,,,,0.5,,0.5,0.42857142857142855,,0.42857142857142855,0.55,,0.55,0.14285714285714285,,,,1.0,1.0,0.6,,0.6666666666666666,,0.625,,,,,,1.0,,0.6666666666666666,1.0,88.09411764705882,,15.083333333333334,17.428571428571427,15.083333333333334,14.357142857142858,,,,,0.5714285714285714,0.5,0.5,,0.2857142857142857,0.5,0.5,1.0,,0.14285714285714285,,,,,,,,,0.14285714285714285,0.14285714285714285,,0.4147071428571429,,0.4147071428571429,0.3,0.3333333333333333,,1.0,12.066666666666668,25.5,0.9166666666666666,,1.0,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201967-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Dante Cunningham, Quincy Pondexter","Gay, Conley, Gasol, Cunningham, Pondexter",200752-201144-201188-201967-202347,MEM,406.0,2,7.0,-3.0,13.0,13.0,5.0,5.0,2.0,26.0,5.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,,4.0,,,,,,6.0,13.0,,,3.0,15.0,18.0,2.0,2.0,,5.0,2.0,4.0,,3.0,7.0,6.0,6.0,,4.0,,,,3.0,,3.0,,2.0,1.0,,6.0,,2.0,2.0,1.0,1.0,4.0,2.0,6.0,,,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,,,2.0,,3.0,2.0,1.0,2.0,,,,,10.0,7.0,5.0,,0.5,0.75,,,,0.46153846153846156,1.0,0.5,0.46153846153846156,1.0,0.5,0.5384615384615384,1.25,0.75,,,,,0.5,1.0,0.5,0.2857142857142857,1.0,,0.75,0.2857142857142857,,,,,0.5,,,1.0,92.21674876847291,,15.76923076923077,15.461538461538462,15.76923076923077,15.461538461538462,0.46153846153846156,0.8333333333333334,0.8333333333333334,0.4,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.3076923076923077,,,,,,,,,1.0,1.0,,0.5,1.0,,0.46153846153846156,,0.4578692307692308,0.49555,0.482175,0.15384615384615385,0.15384615384615385,0.3333333333333333,0.4666666666666667,8.415384615384616,,0.38461538461538464,1.0,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
200752-201144-201188-201967-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Dante Cunningham, Tony Allen","Gay, Conley, Gasol, Cunningham, Allen",200752-201144-201188-201967-2754,MEM,143.0,1,2.0,-7.0,3.0,5.0,,4.0,,8.0,,,,,,,,1.0,,2.0,,,,,,,3.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,80.55944055944056,,21.0,16.0,21.0,16.0,,,,,0.3333333333333333,,,,0.6666666666666666,,,,,,,,,,,,,,,,,0.3794,,,,,,,16.966666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2012,2011-12,False
