EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,DefCorner3ReboundPct,PenaltyOffPoss,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,NonHeaveArc3FGM,Arc3Assists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceFtPoints,2pt And 1 Free Throw Trips,OffArc3ReboundPct,ShortMidRangeFGA,PenaltyFG2A,FTDefRebounds,DefFTReboundPct,ShortMidRangeFrequency,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyCorner3FGA,PenaltyFG2M,PtsUnassisted3s,Fg2aBlocked,LostBallSteals,Travels,Loose Ball Fouls,PenaltyFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SelfOReb,PenaltyTurnovers,Technical Free Throw Trips,3SecondViolations,NonShootingPenaltyNonTakeFouls,SelfORebPct,PenaltyCorner3FGM,ShortMidRangeAssists,NonShootingFoulsDrawn,AtRimPctBlocked,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,PtsPutbacks,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,BlocksRecoveredPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,BlockingFouls,FTOffRebounds,OffensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Blocked3s,BlockedCorner3,BlockedArc3,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101115-1897-201177-201196-2440,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Ramon Sessions, Matt Barnes","Bynum, World Peace, McRoberts, Sessions, Barnes",101115-1897-201177-201196-2440,LAL,450.0,5,8.0,14.0,13.0,13.0,2.0,2.0,26.0,4.0,4.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,7.0,10.0,1.0,3.0,2.0,19.0,5.0,1.0,2.0,2.0,8.0,6.0,3.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,11.0,1.0,1.0,1.0,5.0,6.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,17.0,0.5714285714285714,0.5714285714285714,1.0,0.3333333333333333,0.3333333333333333,0.7,0.5,0.6538461538461539,0.5,0.6333333333333333,0.5,0.23076923076923078,1.0,0.7142857142857143,0.3333333333333333,0.5,0.5,0.6666666666666666,0.4,0.3333333333333333,1.0,0.5,0.75,1.0,1.0,83.2,13.153846153846153,21.46153846153846,12.615384615384615,20.46153846153846,0.3076923076923077,1.0,1.0,0.5,0.46153846153846156,0.5,0.5,0.6666666666666666,0.15384615384615385,0.5,0.5,1.0,0.07692307692307693,0.5,1.0,0.5384615384615384,0.5384961538461538,0.4675,0.13333333333333333,0.16666666666666666,0.10526315789473684,11.32,23.633333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-201196-2581,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Ramon Sessions, Steve Blake","Bynum, World Peace, McRoberts, Sessions, Blake",101115-1897-201177-201196-2581,LAL,104.0,2,2.0,4.0,3.0,3.0,,,6.0,2.0,2.0,,,,,,,,2.0,2.0,,,,4.0,,,,,4.0,,,,2.0,,2.0,,2.0,,4.0,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,4.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,0.5,,0.3333333333333333,,,,,,,,83.07692307692308,12.0,22.666666666666668,12.0,20.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.7843,,,,,0.8,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-201196-977,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Ramon Sessions, Kobe Bryant","Bynum, World Peace, McRoberts, Sessions, Bryant",101115-1897-201177-201196-977,LAL,155.0,3,3.0,-2.0,5.0,6.0,1.0,,11.0,,,,,1.0,1.0,,,2.0,1.0,1.0,,2.0,1.0,3.0,5.0,,,,,2.0,,2.0,,,,,,,,,,,3.0,3.0,,3.0,,,,,1.0,2.0,2.0,1.0,,2.0,1.0,3.0,,,,,,1.0,,0.3333333333333333,,0.375,,0.6666666666666666,,1.0,,,,1.0,,,,,1.0,1.0,,102.19354838709677,12.6,15.333333333333334,12.6,15.333333333333334,,,,,0.3333333333333333,1.0,1.0,,,,,,0.6666666666666666,,,0.6666666666666666,0.49700000000000005,,0.25,0.5,,18.2,25.45,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-202365-2440,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Devin Ebanks, Matt Barnes","Bynum, World Peace, McRoberts, Ebanks, Barnes",101115-1897-201177-202365-2440,LAL,25.0,1,,3.0,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,3.0,,,,,,,3.0,1.0,,1.0,1.0,,,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,1.0,1.0,1.0,,,1.5,,1.5,,1.0,,,,,,,,,,,,,,57.599999999999994,25.0,,25.0,,,,,,,,,,,,,,1.0,,,1.0,0.3345,,,,,,25.3,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3345,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-202721-202726,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Darius Morris, Andrew Goudelock","Bynum, World Peace, McRoberts, Morris, Goudelock",101115-1897-201177-202721-202726,LAL,45.0,1,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,,2.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,0.5,1.0,0.75,1.5,0.5,,,,,1.0,,1.0,,,,,,,64.0,36.0,9.0,16.0,9.0,0.5,1.0,1.0,,,,,,,,,,0.5,1.0,1.0,1.0,0.4815,,0.5,1.0,1.0,3.3,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-202721-2440,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Darius Morris, Matt Barnes","Bynum, World Peace, McRoberts, Morris, Barnes",101115-1897-201177-202721-2440,LAL,17.0,1,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.41176470588235,16.0,1.0,16.0,1.0,,,,,,,,,,,,,,,,,0.2373,,,,,4.2,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.2373,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-202721-2574,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Darius Morris, Jason Kapono","Bynum, World Peace, McRoberts, Morris, Kapono",101115-1897-201177-202721-2574,LAL,872.0,2,15.0,5.0,24.0,25.0,4.0,5.0,49.0,3.0,8.0,2.0,4.0,1.0,4.0,,2.0,7.0,5.0,16.0,4.0,9.0,2.0,24.0,19.0,2.0,4.0,5.0,4.0,6.0,9.0,7.0,2.0,3.0,5.0,,2.0,,13.0,2.0,3.0,2.0,6.0,8.0,5.0,13.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,4.0,2.0,19.0,0.4,0.4,0.75,0.4444444444444444,0.4444444444444444,0.3125,0.5,0.44,0.5,0.4444444444444444,0.5,0.36,0.5,0.6666666666666666,0.2727272727272727,0.6666666666666666,0.4,0.6666666666666666,0.3125,,0.5,0.6666666666666666,1.0,0.3333333333333333,,80.91743119266054,17.0,18.56,15.541666666666666,18.0,0.32,0.375,0.375,0.6666666666666666,0.16,0.25,0.25,,0.08,,,,0.28,1.0,0.5,0.68,0.5183639999999999,0.6360333333333333,0.07407407407407407,0.1111111111111111,0.20833333333333334,7.25,25.48888888888889,,1.0,0.6666666666666666,3.0,4.0,,,,1.0,2.0,4.0,3.0,2.0,3.0,,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.75,,,0.5714285714285714,0.5313333333333333,0.08333333333333333,0.125,1.0,,0.3333333333333333,4.0,2.0,,,0.16,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.5,0.0625,0.25,0.4,0.3333333333333333,0.25,0.3333333333333333,0.5,0.6666666666666666,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-202721-977,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Darius Morris, Kobe Bryant","Bynum, World Peace, McRoberts, Morris, Bryant",101115-1897-201177-202721-977,LAL,317.0,2,5.0,-7.0,9.0,11.0,7.0,1.0,20.0,1.0,2.0,,,1.0,3.0,,,,3.0,8.0,,,2.0,8.0,15.0,1.0,1.0,2.0,4.0,2.0,,,2.0,,2.0,,1.0,1.0,4.0,,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,,,2.0,2.0,4.0,2.0,1.0,2.0,,6.0,0.6666666666666666,0.6666666666666666,,,,0.375,1.0,0.375,1.0,0.375,1.0,,,1.0,0.2,0.5,,0.6666666666666666,0.2,,,,,1.0,0.5,90.85173501577287,18.555555555555557,13.636363636363637,17.666666666666668,12.545454545454545,0.25,0.5,0.5,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.25,0.462125,0.4231,,,0.25,10.7625,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.1111111111111111,,,,3.0,,1.0,1.0,0.375,,,1.0,,,,,,1.0,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,2.0,1.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-202726-977,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Andrew Goudelock, Kobe Bryant","Bynum, World Peace, McRoberts, Goudelock, Bryant",101115-1897-201177-202726-977,LAL,551.0,2,9.0,-12.0,17.0,17.0,1.0,2.0,34.0,2.0,4.0,,,,3.0,1.0,2.0,1.0,5.0,13.0,1.0,3.0,5.0,18.0,30.0,,1.0,,6.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,,9.0,1.0,1.0,3.0,1.0,4.0,2.0,6.0,,,,,,2.0,3.0,5.0,1.0,5.0,2.0,18.0,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.38461538461538464,,0.40625,,0.5,,0.1875,,0.3333333333333333,0.125,1.0,0.5,0.6666666666666666,0.2,0.3333333333333333,1.0,,,0.5,1.0,88.85662431941924,16.0,16.41176470588235,15.588235294117647,16.0,0.25,0.5,0.6666666666666666,1.0,0.1875,,,,0.125,0.5,0.5,1.0,0.0625,,,0.4375,0.508925,0.4943,0.11764705882352941,0.14285714285714285,,8.684615384615386,24.366666666666664,,,,6.0,,,1.0,1.0,2.0,5.0,,,5.0,6.0,0.5,0.4166666666666667,0.4166666666666667,,,,0.16666666666666666,,,0.4795666666666667,0.2777777777777778,0.35294117647058826,,1.0,,6.0,4.0,,,0.375,,,3.0,1.0,1.0,,3.0,,,,0.25,0.23076923076923078,0.3333333333333333,,,0.5,0.75,,,,0.16666666666666666,,,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
101115-1897-201177-2440-2581,1610612747,"Andrew Bynum, Metta World Peace, Josh McRoberts, Matt Barnes, Steve Blake","Bynum, World Peace, McRoberts, Barnes, Blake",101115-1897-201177-2440-2581,LAL,1011.0,6,17.0,-1.0,32.0,31.0,12.0,5.0,63.0,4.0,8.0,1.0,2.0,5.0,11.0,1.0,1.0,4.0,13.0,24.0,2.0,5.0,3.0,35.0,36.0,1.0,4.0,5.0,10.0,16.0,3.0,4.0,5.0,1.0,6.0,1.0,3.0,2.0,13.0,,5.0,3.0,5.0,8.0,5.0,13.0,3.0,2.0,4.0,2.0,7.0,4.0,6.0,3.0,,6.0,1.0,30.0,0.38461538461538464,0.4166666666666667,0.5,0.4,0.4,0.5416666666666666,0.25,0.5517241379310345,0.5,0.5483870967741935,0.5,0.1724137931034483,0.5714285714285714,0.4166666666666667,0.5,0.42857142857142855,,0.42105263157894735,0.4166666666666667,0.5,,0.5714285714285714,,0.5,0.6,89.73293768545993,16.90625,15.161290322580646,15.375,13.774193548387096,0.27586206896551724,0.5,0.6666666666666666,0.75,0.3793103448275862,0.45454545454545453,0.45454545454545453,0.4,0.034482758620689655,1.0,1.0,1.0,0.13793103448275862,0.4,0.5,0.4482758620689655,0.44923620689655175,0.45724,0.03333333333333333,0.04,0.14285714285714285,11.454166666666666,25.5,,3.0,,6.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,,5.0,6.0,0.5,0.5,0.5,0.25,0.25,,0.6666666666666666,0.5,0.25,0.39713333333333334,0.14285714285714285,0.1875,,,,5.0,1.0,,,0.1724137931034483,,,4.0,,,3.0,3.0,1.0,,,,0.125,0.2,0.5,,0.8,1.0,,,,,,2.0,2.0,,,,,,1.0,0.25,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2012,2011-12,True
