EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,ShortMidRangeFGM,FtPoints,ShortMidRangeAssists,LongMidRangeAssists,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,OffAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,DeadBallTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Charge Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,FTOffRebounds,FTDefRebounds,LostBallSteals,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceFtPoints,HeaveAttempts,Arc3Assists,BadPassOutOfBoundsTurnovers,BlockingFouls,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Arc3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveMakes,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,3SecondViolations,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,Loose Ball Fouls,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,Arc3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1733-1889-201147-201163-201167,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Wilson Chandler, Arron Afflalo","Harrington, Miller, Brewer, Chandler, Afflalo",1733-1889-201147-201163-201167,DEN,56.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,1.5,1.0,51.42857142857143,23.0,33.0,23.0,33.0,1.0,1.0,1.0,1.0,1.0,0.5661,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201163-201580,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Wilson Chandler, JaVale McGee","Harrington, Miller, Brewer, Chandler, McGee",1733-1889-201147-201163-201580,DEN,552.0,3,9.0,-9.0,21.0,23.0,44.0,,,,1.0,18.0,27.0,,,,16.0,,,0.47368421052631576,0.47368421052631576,0.05263157894736842,114.78260869565219,12.619047619047619,12.478260869565217,12.0,11.521739130434783,,,,0.6842105263157895,,0.5713368421052631,22.8,3.0,2.0,8.0,12.0,1.0,2.0,3.0,1.0,3.0,1.0,9.0,18.0,1.0,2.0,2.0,10.0,8.0,2.0,5.0,5.0,5.0,10.0,1.0,1.0,5.0,4.0,9.0,2.0,11.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5,0.5,0.1111111111111111,0.16666666666666666,1.0,0.5714285714285714,0.1111111111111111,0.8333333333333334,1.0,0.6923076923076923,0.2,0.5,1.0,0.6,1.0,1.0,0.6666666666666666,0.125,0.631578947368421,0.6666666666666666,0.8,0.625,0.15789473684210525,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.05263157894736842,1.0,0.5,0.6874,0.1111111111111111,5.072222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201163-201585,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Wilson Chandler, Kosta Koufos","Harrington, Miller, Brewer, Chandler, Koufos",1733-1889-201147-201163-201585,DEN,228.0,1,4.0,-2.0,8.0,9.0,17.0,,1.0,,1.0,9.0,11.0,,1.0,,9.0,,,0.5,0.5,0.125,107.36842105263159,12.875,13.88888888888889,12.625,13.88888888888889,0.125,,,0.5,,0.5520625,25.5,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,2.0,,4.0,7.0,,1.0,,4.0,4.0,,2.0,2.0,,4.0,,1.0,,4.0,4.0,1.0,5.0,,,,,,,1.0,,0.5,0.5,0.5714285714285714,,,,,,,1.0,0.3333333333333333,,,1.0,0.25,,,1.0,,,,,0.375,0.3333333333333333,0.3333333333333333,,0.25,0.25,0.5,0.5,,1.0,,0.6805,,7.757142857142857,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.1111111111111111,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201163-202702,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Wilson Chandler, Kenneth Faried","Harrington, Miller, Brewer, Chandler, Faried",1733-1889-201147-201163-202702,DEN,118.0,1,2.0,-2.0,4.0,3.0,7.0,,,,,2.0,4.0,,,,2.0,,,0.25,0.25,,85.42372881355932,14.0,20.666666666666668,14.0,20.666666666666668,,,,0.75,,0.658425,,,,1.0,3.0,,,1.0,,,,1.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,2.0,,1.0,1.0,0.25,,,,,,,1.0,,,,1.0,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,,,,3.425,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201164-201167,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Rudy Fernandez, Arron Afflalo","Harrington, Miller, Brewer, Fernandez, Afflalo",1733-1889-201147-201164-201167,DEN,78.0,1,1.0,-1.0,3.0,4.0,7.0,,,,,2.0,3.0,,,,2.0,,,1.0,1.0,,129.23076923076923,16.333333333333332,7.25,16.333333333333332,7.25,,,,1.0,,0.3384,,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,0.5,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,2.3,,,,,1.0,,,,,,,,,1.0,,,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3384,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201164-201568,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Rudy Fernandez, Danilo Gallinari","Harrington, Miller, Brewer, Fernandez, Gallinari",1733-1889-201147-201164-201568,DEN,813.0,5,14.0,-2.0,26.0,24.0,50.0,,4.0,1.0,8.0,25.0,27.0,,4.0,,23.0,0.125,0.125,0.5,0.5434782608695652,0.38095238095238093,88.56088560885608,14.576923076923077,18.083333333333332,13.26923076923077,17.75,0.19047619047619047,,,0.8095238095238095,,0.5516071428571429,24.175,5.0,4.0,7.0,9.0,1.0,1.0,4.0,,,4.0,9.0,13.0,1.0,1.0,2.0,8.0,10.0,1.0,4.0,5.0,4.0,11.0,2.0,2.0,3.0,4.0,8.0,5.0,13.0,1.0,2.0,1.0,6.0,2.0,7.0,4.0,,0.4444444444444444,0.5,0.6923076923076923,1.0,0.3333333333333333,0.3333333333333333,0.07692307692307693,,0.8571428571428571,0.8,0.6666666666666666,1.0,0.2857142857142857,0.875,0.4,,0.3333333333333333,1.0,0.5,1.0,1.0,0.1111111111111111,0.42857142857142855,0.7777777777777778,0.7777777777777778,0.5714285714285714,0.19047619047619047,,,,0.19047619047619047,0.3333333333333333,1.0,0.5842666666666666,0.08,3.0923076923076924,2.0,4.0,,,6.0,5.0,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,0.5,0.5,0.6666666666666666,,,0.09090909090909091,0.14285714285714285,8.0,2.0,4.0,2.0,4.0,5.0,1.0,4.0,,1.0,,5.0,8.0,0.5,0.25,0.2777777777777778,0.5,0.5,0.5888875,0.2,0.3076923076923077,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.5,0.25,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,0.125,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201164-201585,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Rudy Fernandez, Kosta Koufos","Harrington, Miller, Brewer, Fernandez, Koufos",1733-1889-201147-201164-201585,DEN,1900.0,7,32.0,-8.0,59.0,62.0,121.0,1.0,7.0,3.0,11.0,59.0,67.0,,6.0,1.0,49.0,0.2727272727272727,0.3,0.5108695652173914,0.5363636363636364,0.2391304347826087,91.70526315789473,14.271186440677965,17.06451612903226,13.88135593220339,16.29032258064516,0.15217391304347827,0.14285714285714285,0.14285714285714285,0.6956521739130435,0.16666666666666666,0.5465166666666667,29.90909090909091,14.0,10.0,13.0,21.0,3.0,4.0,6.0,5.0,8.0,4.0,19.0,35.0,4.0,6.0,10.0,16.0,22.0,6.0,8.0,11.0,7.0,25.0,,7.0,8.0,12.0,20.0,8.0,28.0,,5.0,3.0,8.0,5.0,15.0,12.0,,0.42105263157894735,0.47058823529411764,0.5428571428571428,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.17142857142857143,0.19047619047619047,0.5333333333333333,0.631578947368421,0.5,0.8,,0.6896551724137931,0.3333333333333333,0.5,,0.4444444444444444,1.0,0.75,1.0,,0.45652173913043476,0.6190476190476191,0.7647058823529411,0.5384615384615384,0.13043478260869565,0.17391304347826086,0.625,0.7142857142857143,0.08695652173913043,0.6666666666666666,0.75,0.5447166666666666,0.1694915254237288,6.42,1.0,12.0,,1.0,13.0,18.0,9.0,1.0,1.0,2.0,2.0,1.0,0.5714285714285714,0.75,1.0,0.16666666666666666,0.2,,0.2,0.16363636363636364,0.20454545454545456,17.0,3.0,4.0,6.0,11.0,17.0,7.0,3.0,2.0,3.0,,17.0,17.0,0.5454545454545454,0.46153846153846156,0.53125,0.3076923076923077,0.75,0.4865115384615385,0.288135593220339,0.288135593220339,2.0,,,,2.0,,2.0,5.0,9.0,4.0,3.0,2.0,1.0,,2.0,4.0,6.0,,,1.0,,,,,1.0,0.16666666666666666,,0.5,0.4,,0.5,0.5,1.0,,,,0.15384615384615385,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201164-201951,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Rudy Fernandez, Ty Lawson","Harrington, Miller, Brewer, Fernandez, Lawson",1733-1889-201147-201164-201951,DEN,167.0,2,3.0,-2.0,5.0,6.0,11.0,,1.0,,1.0,4.0,6.0,,1.0,,4.0,,,0.5,0.5,0.25,94.8502994011976,16.0,14.5,16.0,14.166666666666666,0.25,,,1.0,,0.6047,25.3,1.0,,2.0,3.0,,,,,,,2.0,3.0,,,,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,2.0,2.0,,,1.0,2.0,,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,1.1333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6614,0.5,0.2,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201164-202389,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Rudy Fernandez, Timofey Mozgov","Harrington, Miller, Brewer, Fernandez, Mozgov",1733-1889-201147-201164-202389,DEN,390.0,3,6.0,8.0,15.0,15.0,30.0,1.0,3.0,1.0,3.0,23.0,15.0,,2.0,1.0,23.0,0.3333333333333333,0.5,0.7307692307692307,0.7666666666666667,0.23076923076923078,110.76923076923077,13.2,12.8,13.133333333333333,11.933333333333334,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.7692307692307693,0.5,0.5944583333333333,39.5,12.0,1.0,7.0,7.0,,,1.0,1.0,2.0,,8.0,10.0,,,,10.0,6.0,1.0,5.0,6.0,5.0,13.0,,1.0,3.0,3.0,6.0,1.0,7.0,,1.0,,1.0,1.0,2.0,1.0,,0.625,0.625,0.8,,,,0.1,,0.5,1.0,0.5,1.0,,1.0,0.3333333333333333,,,1.0,,1.0,1.0,,0.5384615384615384,1.0,1.0,0.7142857142857143,0.07692307692307693,0.15384615384615385,0.5,0.5,,,,,,5.65,,4.0,,,4.0,4.0,2.0,,,,,,,1.0,,,,,,0.13333333333333333,0.16666666666666666,9.0,3.0,3.0,3.0,4.0,13.0,1.0,,,2.0,,13.0,9.0,0.75,0.6428571428571429,0.7222222222222222,0.42857142857142855,1.0,0.5783166666666667,0.5652173913043478,0.6,,,,,3.0,,3.0,4.0,3.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,0.42857142857142855,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
1733-1889-201147-201164-202702,1610612743,"Al Harrington, Andre Miller, Corey Brewer, Rudy Fernandez, Kenneth Faried","Harrington, Miller, Brewer, Fernandez, Faried",1733-1889-201147-201164-202702,DEN,363.0,2,6.0,-9.0,13.0,13.0,26.0,,1.0,1.0,2.0,10.0,19.0,,1.0,,10.0,0.5,0.5,0.22727272727272727,0.35714285714285715,0.18181818181818182,103.14049586776859,13.923076923076923,14.0,12.384615384615385,13.615384615384615,0.09090909090909091,,,0.8181818181818182,,0.58245,24.4,,3.0,1.0,7.0,,4.0,1.0,,1.0,1.0,1.0,9.0,,4.0,,,2.0,,,1.0,,3.0,1.0,3.0,1.0,4.0,5.0,4.0,9.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,,,,0.1111111111111111,,,,,,1.0,1.0,0.375,0.5,1.0,0.8333333333333334,0.4444444444444444,,,1.0,,,1.0,0.1111111111111111,0.6363636363636364,0.14285714285714285,0.14285714285714285,,0.09090909090909091,0.09090909090909091,,,0.09090909090909091,1.0,,0.5690000000000001,,3.8666666666666663,,5.0,,,5.0,6.0,2.0,1.0,1.0,1.0,1.0,,0.3333333333333333,1.0,1.0,,,,,0.15384615384615385,0.18181818181818182,3.0,,1.0,,1.0,1.0,,2.0,,1.0,,1.0,3.0,,,0.25,1.0,,0.7109,0.1,0.23076923076923078,1.0,,,,,,,1.0,3.0,,1.0,1.0,,,,,2.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2012,2011-12,False
