EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,PenaltyShotQualityAvg,PenaltyOffPossPct,Fg2aBlocked,LongMidRangeAssists,BadPassTurnovers,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceCorner3FGA,SecondChanceFG3A,FTOffRebounds,Loose Ball Fouls,OffFTReboundPct,SecondChanceCorner3Frequency,ShortMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,PenaltyFG3M,PenaltyFtPoints,Steals,BadPassSteals,ShootingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,BlocksRecoveredPct,ShortMidRangeFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3FGM,Corner3Assists,FTDefRebounds,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BadPassOutOfBoundsTurnovers,ShortMidRangeFGM,ShortMidRangeAssists,BlockingFoulsDrawn,BlockedLongMidRange,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Technical Free Throw Trips,BlockedCorner3,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,Travels,Charge Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PtsPutbacks,LostBallSteals,SecondChanceTurnovers,Offensive Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
101141-1626143-1626184-1627789-200771,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Timothe Luwawu-Cabarrot, Sergio Rodriguez","Ilyasova, Okafor, Randle, Luwawu-Cabarrot, Rodriguez",101141-1626143-1626184-1627789-200771,PHI,166.0,1,3.0,-3.0,5.0,5.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,0.4,1.0,0.4,1.0,0.2,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,86.74698795180723,18.6,14.6,17.2,14.4,0.4,0.5,0.5,1.0,0.4,0.5,0.5,0.2,1.0,1.0,1.0,0.6,0.58632,0.8929,0.5,9.25,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1626184-200771-201945,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Sergio Rodriguez, Gerald Henderson","Ilyasova, Okafor, Randle, Rodriguez, Henderson",101141-1626143-1626184-200771-201945,PHI,25.0,1,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.19999999999999,12.0,13.0,,13.0,,,,,1.0,,,,,,,,0.3907,0.3907,,15.4,,1.0,1.0,1.0,1.0,0.3907,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1626184-201945-203496,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Gerald Henderson, Robert Covington","Ilyasova, Okafor, Randle, Henderson, Covington",101141-1626143-1626184-201945-203496,PHI,96.0,1,2.0,-6.0,3.0,3.0,1.0,6.0,,1.0,,,1.0,2.0,,1.0,3.0,,2.0,8.0,,1.0,,2.0,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,2.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,,0.5,,0.5,1.0,,,,,90.0,20.666666666666668,11.333333333333334,19.666666666666668,11.333333333333334,0.3333333333333333,,,,0.6666666666666666,0.5,0.5,,,,,0.3333333333333333,0.43193333333333334,0.3861,,12.433333333333332,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1626184-201945-203967,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Gerald Henderson, Dario Saric","Ilyasova, Okafor, Randle, Henderson, Saric",101141-1626143-1626184-201945-203967,PHI,213.0,1,4.0,9.0,8.0,8.0,,16.0,2.0,2.0,,,1.0,1.0,3.0,3.0,3.0,4.0,15.0,6.0,,,,2.0,4.0,3.0,1.0,3.0,1.0,8.0,,1.0,4.0,,4.0,,1.0,,,1.0,,,,15.0,0.3333333333333333,0.3333333333333333,1.0,,1.0714285714285714,,1.0714285714285714,,0.5714285714285714,1.0,1.0,,1.0,,,,,,,108.16901408450705,13.25,13.375,13.25,13.375,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,1.0,1.0,0.42857142857142855,,,,0.8571428571428571,0.531,,,8.066666666666666,25.05,4.0,3.0,2.0,4.0,0.54955,0.5,,,1.0,,,,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,0.14285714285714285,0.3333333333333333,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1626184-203496-203917,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Robert Covington, Nik Stauskas","Ilyasova, Okafor, Randle, Covington, Stauskas",101141-1626143-1626184-203496-203917,PHI,34.0,1,1.0,,2.0,1.0,2.0,3.0,,2.0,,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,1.0,0.5,1.0,0.3333333333333333,0.5,,,,,127.05882352941177,8.0,18.0,6.0,18.0,0.6666666666666666,,,,,,,,0.5,,,1.0,0.5345166666666666,0.600675,,1.75,24.2,2.0,,2.0,2.0,0.5345166666666666,1.0,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,0.3333333333333333,,,,0.6666666666666666,,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1627789-200771-201945,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Gerald Henderson","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Henderson",101141-1626143-1627789-200771-201945,PHI,470.0,3,8.0,-1.0,15.0,16.0,,31.0,1.0,1.0,,,3.0,3.0,3.0,4.0,8.0,4.0,15.0,16.0,,,,4.0,4.0,3.0,2.0,4.0,,10.0,,4.0,7.0,,7.0,,1.0,,1.0,1.0,,,1.0,15.0,0.5,0.5,0.5,,0.5833333333333334,,0.5769230769230769,,0.3333333333333333,1.0,0.8,,0.875,,,,1.0,,,94.97872340425532,12.733333333333333,17.4375,12.733333333333333,17.4375,0.08333333333333333,1.0,1.0,,0.25,1.0,1.0,0.25,,,,0.4166666666666667,0.49781666666666663,,,10.3125,24.125,7.0,,3.0,7.0,0.4914833333333333,0.4666666666666667,1.0,2.0,,0.125,,0.6666666666666666,,,1.0,1.0,2.0,2.0,1.0,3.0,6.0,6.0,,2.0,2.0,2.0,3.0,,4.0,2.0,2.0,,,6.0,1.0,0.5,0.5,0.3333333333333333,0.4166666666666667,0.42857142857142855,1.0,0.5,1.0,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,,,0.16666666666666666,0.6666666666666666,,,0.4,,,,,,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1627789-200771-203138,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Hollis Thompson","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Thompson",101141-1626143-1627789-200771-203138,PHI,311.0,2,5.0,-5.0,10.0,9.0,2.0,19.0,,3.0,,3.0,1.0,1.0,2.0,1.0,6.0,4.0,4.0,9.0,,3.0,,2.0,,2.0,1.0,1.0,,2.0,2.0,4.0,5.0,3.0,8.0,,,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.16666666666666666,,0.1,,0.18181818181818182,,0.4,,1.0,0.4,1.0,0.3333333333333333,0.3333333333333333,,,1.0,,87.97427652733118,15.5,17.333333333333332,14.8,17.333333333333332,0.3,,,,0.1,1.0,1.0,0.2,1.0,,,0.7,0.49776,0.5512,,7.816666666666666,24.6,,1.0,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,1.0,,2.0,1.0,2.0,,1.0,,,,,,,,1.0,1.0,,0.2,,,,,,,,0.09090909090909091,0.14285714285714285,,,,,,,,2.0,,,2.0,,,,,2.0,,,,,1.0,,,,1.0,0.2,,,1.0,1.0,0.25,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1627789-200771-203496,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Robert Covington","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Covington",101141-1626143-1627789-200771-203496,PHI,184.0,3,3.0,-1.0,6.0,7.0,2.0,13.0,,3.0,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,6.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,,5.0,1.0,,2.0,1.0,3.0,,,1.0,,1.0,,,,3.0,1.0,1.0,0.25,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,,,,,101.7391304347826,13.333333333333334,14.857142857142858,12.666666666666666,12.571428571428571,0.5,,,,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,,,0.8333333333333334,0.5436166666666666,0.44895,0.4,4.8,25.1,,3.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,3.0,,,1.0,,1.0,,5.0,1.0,,,,,1.0,0.5,0.5,,,,0.5,,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1627789-200771-203917,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Nik Stauskas","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Stauskas",101141-1626143-1627789-200771-203917,PHI,150.0,1,2.0,3.0,5.0,5.0,1.0,10.0,1.0,2.0,,1.0,,,,1.0,3.0,2.0,5.0,2.0,,1.0,,2.0,,,1.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,,,1.0,,1.0,,,,5.0,1.0,1.0,0.3333333333333333,,0.5,,0.5,,0.4,,1.0,0.5,1.0,0.3333333333333333,,,1.0,,,96.0,17.4,12.6,16.4,12.6,0.4,0.5,1.0,1.0,,,,,1.0,,,0.8,0.65442,0.7165,,3.1999999999999997,23.45,,,,,,,1.0,,,0.3333333333333333,0.5,,,,2.0,,,1.0,,,,3.0,,,1.0,,1.0,,,,,,,,1.0,0.5,0.5,,,,1.0,,1.0,0.4,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,0.2,,,,,,1.0,,,1.0,1.0,,,,,,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
101141-1626143-1627789-200771-203967,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Dario Saric","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Saric",101141-1626143-1627789-200771-203967,PHI,358.0,3,6.0,8.0,11.0,11.0,2.0,22.0,2.0,3.0,,1.0,2.0,2.0,,5.0,7.0,2.0,14.0,6.0,1.0,2.0,2.0,6.0,4.0,,3.0,4.0,1.0,9.0,,4.0,7.0,1.0,8.0,,1.0,1.0,,2.0,1.0,,1.0,12.0,0.6,0.6,0.7142857142857143,0.5,0.7222222222222222,0.5,0.7,0.5,0.2222222222222222,0.5,1.0,,1.0,0.3333333333333333,,,1.0,1.0,,88.49162011173185,15.545454545454545,17.0,13.454545454545455,17.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,1.0,1.0,,0.5,,,0.5555555555555556,0.5081222222222223,0.4056,0.14285714285714285,8.214285714285714,23.0,,,,,,,,1.0,1.0,,,0.5,,,2.0,,,1.0,,,,3.0,,,1.0,,2.0,,2.0,4.0,3.0,1.0,2.0,,1.0,0.5,0.5,,,,1.0,,1.0,0.2222222222222222,,,,,,,,0.2,0.25,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,0.2222222222222222,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,0.5,0.5,1.0,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,True
