EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGM,FG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FTDefRebounds,Steals,BadPassSteals,ShootingFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,DefTwoPtRebounds,SecondChanceTurnovers,DefTwoPtReboundPct,DefAtRimReboundPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PtsAssisted2s,PtsUnassisted3s,PtsPutbacks,TwoPtAssists,Corner3Assists,AtRimAssists,OffTwoPtRebounds,SelfOReb,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,DeadBallTurnovers,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeFGM,Loose Ball Fouls Drawn,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LostBallTurnovers,Charge Fouls Drawn,OffCorner3ReboundPct,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,Offensive Fouls Drawn,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg3Pct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,Fg3aBlocked,BlockingFouls,Loose Ball Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,OffLongMidRangeReboundPct,FTOffRebounds,Travels,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,Arc3PctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,OffensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101150-1626149-1626155-201569-201583,1610612745,"Lou Williams, Montrezl Harrell, Sam Dekker, Eric Gordon, Ryan Anderson","Williams, Harrell, Dekker, Gordon, Anderson",101150-1626149-1626155-201569-201583,HOU,118.0,1,2.0,-3.0,4,4.0,3.0,3.0,1.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,1.0,97.6271186440678,15.0,14.5,11.25,14.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.47678333333333334,0.47678333333333334,0.25,0.3333333333333333,0.5,0.5,6.5,24.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626149-1627786-201583-201628,1610612745,"Lou Williams, Montrezl Harrell, Troy Williams, Ryan Anderson, Bobby Brown","Williams, Harrell, Williams, Anderson, Brown",101150-1626149-1627786-201583-201628,HOU,218.0,1,4.0,1.0,7,8.0,4.0,3.0,,15,,1.0,,,,,,2.0,1.0,,3.0,2.0,4.0,7.0,6.0,,,,,2.0,1.0,2.0,,2.0,,2.0,3.0,,3.0,,,,,1.0,2.0,4.0,2.0,7.0,2.0,4.0,,,,,0.3,,,0.5,,0.25,0.4,,1.0,,0.6666666666666666,,,1.0,99.08256880733946,14.714285714285714,14.375,14.714285714285714,13.875,0.2,,,,0.4,,,,,0.3333333333333333,0.6,0.45713,0.40478333333333333,0.2857142857142857,0.4,,0.2857142857142857,13.233333333333334,25.25,0.5714285714285714,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.4,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626149-201569-201583-2772,1610612745,"Lou Williams, Montrezl Harrell, Eric Gordon, Ryan Anderson, Trevor Ariza","Williams, Harrell, Gordon, Anderson, Ariza",101150-1626149-201569-201583-2772,HOU,36.0,1,1.0,-2.0,2,1.0,,,,3,,1.0,,,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,120.0,13.0,10.0,13.0,10.0,0.5,,,,0.5,,,,,,1.0,0.6227,,,,,,1.2,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626155-201569-201583-201935,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Ryan Anderson, James Harden","Williams, Dekker, Gordon, Anderson, Harden",101150-1626155-201569-201583-201935,HOU,119.0,1,2.0,-3.0,6,6.0,6.0,,1.0,12,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,2.0,5.0,,,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,6.0,,0.3333333333333333,,0.3333333333333333,0.25,,0.25,0.25,,0.25,0.25,1.0,,1.0,1.0,0.3333333333333333,1.0,,145.21008403361344,12.666666666666666,7.166666666666667,10.333333333333334,7.166666666666667,0.5,0.5,0.5,0.25,0.25,,,0.5,0.5,0.25,0.75,0.54245,0.54245,,,,1.0,3.4,24.1,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626155-201569-201583-201976,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Ryan Anderson, Patrick Beverley","Williams, Dekker, Gordon, Anderson, Beverley",101150-1626155-201569-201583-201976,HOU,289.0,1,5.0,9.0,9,9.0,,4.0,2.0,18,4.0,6.0,1.0,2.0,,,1.0,4.0,,5.0,7.0,5.0,,19.0,10.0,2.0,3.0,4.0,,,,,6.0,4.0,1.0,5.0,5.0,3.0,8.0,,,,,,2.0,1.0,1.0,15.0,,,,0.7142857142857143,0.6666666666666666,,0.7916666666666666,0.6666666666666666,,0.7916666666666666,0.6666666666666666,,0.4166666666666667,,1.0,0.5,1.0,0.75,0.5,1.0,89.6885813148789,20.11111111111111,12.0,17.88888888888889,12.0,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.5,,,,0.9166666666666666,0.5246458333333334,,0.08333333333333333,0.14285714285714285,0.21052631578947367,,2.8428571428571425,25.04,,,2.0,3.0,,6.0,2.0,2.0,4.0,1.0,10.0,,,,,0.6666666666666666,0.6,0.6,,,0.5,0.5,0.5,0.5,,,,,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.4,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.4798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626155-201569-201976-203991,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Patrick Beverley, Clint Capela","Williams, Dekker, Gordon, Beverley, Capela",101150-1626155-201569-201976-203991,HOU,156.0,1,3.0,4.0,6,5.0,,,2.0,11,2.0,5.0,,1.0,,,,2.0,,2.0,5.0,2.0,,7.0,3.0,,1.0,3.0,,,,,2.0,2.0,1.0,1.0,2.0,2.0,4.0,,,1.0,,,,,,4.0,,,,0.4,,,0.5,0.75,,0.5,0.75,,0.2857142857142857,,1.0,1.0,1.0,0.5,1.0,1.0,101.53846153846153,15.833333333333334,12.2,14.333333333333334,12.2,0.7142857142857143,0.4,0.6666666666666666,,0.2857142857142857,0.5,,,,,1.0,0.6174285714285714,,,,0.42857142857142855,,1.22,24.45,,,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,5.0,,2.0,2.0,,1.0,0.5,0.5,,,0.5,0.5,1.0,0.5,1.0,,1.0,,,,,2.0,,,1.0,,1.0,1.0,1.0,,0.5,0.5,0.3333333333333333,0.3333333333333333,,0.5,0.5,,,,,,,0.4546,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4,0.4,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626155-201583-201628-203991,1610612745,"Lou Williams, Sam Dekker, Ryan Anderson, Bobby Brown, Clint Capela","Williams, Dekker, Anderson, Brown, Capela",101150-1626155-201583-201628-203991,HOU,184.0,1,3.0,1.0,6,6.0,6.0,,,12,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,,8.0,7.0,,,,4.0,5.0,1.0,8.0,4.0,1.0,,1.0,3.0,,3.0,,,,,1.0,1.0,,,8.0,8.0,6.0,,0.8,,0.8,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.16666666666666666,,0.5,,0.75,,,0.5,93.91304347826086,10.333333333333334,20.333333333333332,10.333333333333334,16.166666666666668,0.3333333333333333,1.0,1.0,0.16666666666666666,0.16666666666666666,,,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5970666666666666,0.5970666666666666,,,,1.0,9.52,24.4,1.0,2.0,,,,,,,2.0,,4.0,,,,1.0,,,,,0.3333333333333333,,,,,2.0,,1.0,1.0,1.0,,,4.0,,,2.0,,2.0,,,,0.5,0.5,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-1626155-201935-201976-203991,1610612745,"Lou Williams, Sam Dekker, James Harden, Patrick Beverley, Clint Capela","Williams, Dekker, Harden, Beverley, Capela",101150-1626155-201935-201976-203991,HOU,117.0,1,2.0,5.0,4,3.0,,,,7,1.0,1.0,,,,,,1.0,,2.0,2.0,1.0,1.0,5.0,,,,,,,,,4.0,1.0,,1.0,3.0,,3.0,,,,,1.0,2.0,2.0,1.0,5.0,,,,1.0,,,0.6666666666666666,,,0.625,,,0.3333333333333333,,1.0,,1.0,,,1.0,86.15384615384616,18.25,14.666666666666666,18.25,14.666666666666666,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,0.6666666666666666,0.48845,,0.25,0.3333333333333333,,,8.25,25.0,,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-201569-201583-201935-201976,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Patrick Beverley","Williams, Gordon, Anderson, Harden, Beverley",101150-201569-201583-201935-201976,HOU,32.0,1,1.0,-3.0,1,2.0,,,,3,,,,,,,,1.0,,,,1.0,,3.0,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,1.5,,,1.5,,,1.0,,,,,,,,135.0,20.0,6.0,20.0,6.0,,,,,1.0,,,,,,1.0,0.46485,,,,,,,24.6,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
101150-201569-201583-201935-203991,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Clint Capela","Williams, Gordon, Anderson, Harden, Capela",101150-201569-201583-201935-203991,HOU,316.0,2,5.0,-11.0,10,10.0,,5.0,2.0,20,1.0,2.0,,,,,3.0,1.0,,1.0,7.0,2.0,,2.0,13.0,,,,,,,,,1.0,1.0,2.0,3.0,1.0,4.0,1.0,,1.0,,1.0,1.0,,,2.0,,,,0.14285714285714285,,,0.1111111111111111,,,0.1111111111111111,,,0.2222222222222222,1.0,0.6666666666666666,0.5,0.6666666666666666,0.125,,0.5,91.13924050632912,15.6,16.0,13.8,14.7,0.2222222222222222,0.5,0.5,0.3333333333333333,0.1111111111111111,,,,,,0.4444444444444444,0.46480000000000005,,,,,,9.085714285714285,24.25,,2.0,,,,,,,1.0,,2.0,1.0,,,1.0,,,,1.0,0.2222222222222222,,,,,,1.0,,,,,1.0,2.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,0.1111111111111111,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,True
