EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,AtRimAssists,FTOffRebounds,SelfOReb,Travels,BlockingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffFTReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTDefRebounds,DefFTReboundPct,ShortMidRangeFGM,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,Arc3Assists,Charge Fouls,2pt And 1 Free Throw Trips,Arc3PctAssisted,LostBallTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,BlockingFouls,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceTurnovers,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,Defensive 3 Seconds Violations,Arc3PctBlocked,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,3SecondViolations,ShortMidRangePctBlocked,SecondChanceArc3PctAssisted,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1626153-1626181-1627751-1627783-1627832,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Pascal Siakam, Fred VanVleet","Wright, Powell, Poeltl, Siakam, VanVleet",1626153-1626181-1627751-1627783-1627832,TOR,198.0,1,3.0,9.0,8.0,7.0,8.0,2.0,15.0,4.0,6.0,1.0,2.0,4.0,6.0,1.0,1.0,4.0,6.0,1.0,5.0,13.0,4.0,1.0,2.0,2.0,4.0,6.0,1.0,5.0,13.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,13.0,8.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.5,0.5714285714285714,0.6,0.5,0.6,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,109.0909090909091,1.0,11.625,15.0,10.25,15.0,0.8571428571428571,0.6666666666666666,1.0,0.14285714285714285,1.0,0.5,0.8571428571428571,0.6666666666666666,0.14285714285714285,1.0,0.51915,0.3083,0.51915,0.2222222222222222,0.25,0.15384615384615385,1.0,2.0,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-1627751-1627832-200782,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, PJ Tucker","Wright, Powell, Poeltl, VanVleet, Tucker",1626153-1626181-1627751-1627832-200782,TOR,24.0,1,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,120.0,,4.0,20.0,,20.0,,,,,,,,,,,0.3598,0.3598,0.3598,,,1.0,1.0,18.9,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-1627751-1627832-202685,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Jonas Valanciunas","Wright, Powell, Poeltl, VanVleet, Valanciunas",1626153-1626181-1627751-1627832-202685,TOR,150.0,1,2.0,,5.0,4.0,5.0,3.0,9.0,2.0,4.0,2.0,2.0,2.0,4.0,,,2.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,5.0,4.0,4.0,,,1.0,2.0,1.0,,1.0,3.0,4.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,,5.0,5.0,1.0,0.4,1.0,0.4,0.3333333333333333,1.0,0.3333333333333333,0.35714285714285715,0.8333333333333334,0.35714285714285715,0.16666666666666666,,,,0.6666666666666666,1.0,1.0,1.0,0.75,0.5,,,,86.4,,15.8,17.75,15.6,17.75,0.6666666666666666,0.5,0.5,,1.0,1.0,0.6666666666666666,0.5,,0.8333333333333334,0.5665250000000001,0.5721,0.5665250000000001,,,1.0,1.0,2.18,24.1,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-1627751-1627832-203512,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Lucas Nogueira","Wright, Powell, Poeltl, VanVleet, Nogueira",1626153-1626181-1627751-1627832-203512,TOR,423.0,3,7.0,9.0,15.0,14.0,15.0,4.0,29.0,5.0,10.0,1.0,2.0,5.0,10.0,2.0,2.0,5.0,10.0,4.0,2.0,18.0,9.0,1.0,2.0,5.0,5.0,10.0,4.0,2.0,18.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,7.0,5.0,12.0,2.0,1.0,1.0,3.0,6.0,,2.0,1.0,,,,,13.0,18.0,15.0,1.0,0.5,0.5,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5294117647058824,0.5,0.5294117647058824,0.2857142857142857,0.2,0.2,1.0,0.6,1.0,0.5,1.0,0.5714285714285714,0.6,,1.0,1.0,98.72340425531915,,12.666666666666666,16.642857142857142,11.2,16.642857142857142,0.7142857142857143,0.5,0.625,0.14285714285714285,0.4,0.5,0.7142857142857143,0.5,0.14285714285714285,1.0,0.5920678571428571,0.563175,0.5920678571428571,0.125,0.16666666666666666,0.2777777777777778,1.0,1.42,24.3,1.0,6.0,,,6.0,3.0,4.0,,9.0,1.0,2.0,0.6,0.75,,,,,,2.0,2.0,,,2.0,2.0,2.0,,,1.0,,,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,1.0,1.0,0.4,0.6,0.5,0.5,1.0,0.5,0.5,0.2,0.4,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-1627832-200782-201586,1610612761,"Delon Wright, Norman Powell, Fred VanVleet, PJ Tucker, Serge Ibaka","Wright, Powell, VanVleet, Tucker, Ibaka",1626153-1626181-1627832-200782-201586,TOR,39.0,1,1.0,,1.0,2.0,1.0,,3.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,23.0,8.0,23.0,8.0,,,,,,,,,,,0.3213,,0.3213,,,,,19.0,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-1627832-202335-202685,1610612761,"Delon Wright, Norman Powell, Fred VanVleet, Patrick Patterson, Jonas Valanciunas","Wright, Powell, VanVleet, Patterson, Valanciunas",1626153-1626181-1627832-202335-202685,TOR,207.0,1,3.0,,7.0,7.0,1.0,1.0,14.0,1.0,2.0,,,,,1.0,,4.0,5.0,1.0,2.0,10.0,10.0,,,2.0,,,,,,4.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,,1.0,,,,,,8.0,,1.0,,0.8,,,0.6666666666666666,,,0.7142857142857143,1.0,,0.16666666666666666,0.2,0.5,0.5,1.0,,,0.5,0.5,1.0,,,,97.39130434782608,,12.571428571428571,17.0,11.285714285714286,16.714285714285715,0.3333333333333333,0.5,1.0,0.16666666666666666,,,,,,0.5,0.45576666666666665,,,0.14285714285714285,0.16666666666666666,0.2,,6.540000000000001,24.8,0.14285714285714285,7.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,,,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,2.0,,,2.0,,,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200768-200782-201586,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, PJ Tucker, Serge Ibaka","Wright, Powell, Lowry, Tucker, Ibaka",1626153-1626181-200768-200782-201586,TOR,214.0,2,4.0,,5.0,7.0,,,12.0,1.0,1.0,,,,,1.0,,1.0,3.0,2.0,,2.0,2.0,,,,,,,,,2.0,,1.0,,,,,3.0,3.0,,3.0,1.0,1.0,,2.0,,,,,2.0,1.0,2.0,1.0,2.0,,,,0.3333333333333333,,,0.2,,,0.2,,,0.4,,,0.42857142857142855,,,,0.3333333333333333,,,,,,80.74766355140187,0.5,11.8,22.142857142857142,11.8,16.714285714285715,0.2,1.0,1.0,0.2,,,,,,0.6,0.51259,,,,,,,10.733333333333334,25.2,,,,1.0,,,,,,,3.0,,,0.2,,,,1.0,1.0,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200768-200782-202335,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, PJ Tucker, Patrick Patterson","Wright, Powell, Lowry, Tucker, Patterson",1626153-1626181-200768-200782-202335,TOR,273.0,1,5.0,5.0,9.0,8.0,,1.0,17.0,1.0,2.0,,,,,1.0,,2.0,4.0,4.0,3.0,13.0,8.0,,1.0,,,,,,,2.0,,1.0,,,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,,4.0,3.0,,2.0,,,,,,13.0,,,,0.5,,,0.625,,,0.7222222222222222,,,0.5,,,1.0,0.5,,,1.0,0.25,1.0,,,,89.67032967032968,,16.22222222222222,15.875,14.11111111111111,15.875,0.25,0.5,0.5,0.125,,,,,,0.75,0.568825,0.4554,,0.2222222222222222,0.4,,,6.975,23.475,,,1.0,1.0,2.0,1.0,3.0,1.0,8.0,,1.0,0.5,0.5,0.125,1.0,1.0,1.0,1.0,3.0,,,,1.0,1.0,,,,,,0.125,0.375,,1.0,,,1.0,,,,2.0,,,,6.0,,1.0,2.0,1.0,,,,,1.0,1.0,0.5,,,0.5,,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200768-202335-202685,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, Patrick Patterson, Jonas Valanciunas","Wright, Powell, Lowry, Patterson, Valanciunas",1626153-1626181-200768-202335-202685,TOR,344.0,1,6.0,2.0,12.0,13.0,3.0,1.0,25.0,3.0,6.0,,1.0,1.0,2.0,2.0,,3.0,6.0,2.0,5.0,17.0,15.0,,1.0,,1.0,2.0,,,2.0,2.0,,2.0,,,1.0,,4.0,4.0,1.0,5.0,1.0,,1.0,5.0,5.0,,2.0,1.0,,,,,17.0,2.0,3.0,,0.5,,0.5,0.75,,0.5,0.85,,0.5,0.25,,,1.0,0.3333333333333333,,,1.0,0.3333333333333333,0.3333333333333333,,,,104.65116279069767,,12.083333333333334,15.307692307692308,11.916666666666666,15.307692307692308,0.75,0.5,0.5,0.25,1.0,,1.0,0.5,,1.0,0.57791875,0.5134,0.6638,0.2222222222222222,0.2857142857142857,,0.11764705882352941,1.6500000000000001,25.55,0.25,,,,4.0,2.0,3.0,,7.0,1.0,3.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,2.0,,,,2.0,,,,3.0,3.0,2.0,1.0,,2.0,,,,,0.5,1.0,,,1.0,,1.0,1.0,,0.6666666666666666,,,,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,0.6666666666666666,,,,,1.0,,,1.0,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
1626153-1626181-200782-201586-202335,1610612761,"Delon Wright, Norman Powell, PJ Tucker, Serge Ibaka, Patrick Patterson","Wright, Powell, Tucker, Ibaka, Patterson",1626153-1626181-200782-201586-202335,TOR,112.0,1,2.0,-6.0,3.0,3.0,,,6.0,,1.0,,,,,,,1.0,3.0,,,2.0,8.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,1.0,,,,,,,,,,,77.14285714285714,,17.0,20.333333333333332,17.0,20.333333333333332,0.3333333333333333,,,,,,,,,0.3333333333333333,0.37506666666666666,,,,,,,14.466666666666667,,,,1.0,2.0,,,,,,1.0,1.0,,,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,False
