EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,FtPoints,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,FG3M,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Loose Ball Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,Corner3Assists,DefThreePtRebounds,FTDefRebounds,Travels,PenaltyTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,BadPassOutOfBoundsTurnovers,DefLongMidRangeReboundPct,SecondChanceOffPoss,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffThreePtRebounds,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,SecondChanceFg2Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,Charge Fouls Drawn,LostBallSteals,Offensive Fouls Drawn,DefensiveGoaltends,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PtsUnassisted3s,ShortMidRangeAssists,ShortMidRangePctAssisted,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LongMidRangePctAssisted,BlockingFoulsDrawn,Technical Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceFtPoints,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,BlockedLongMidRange,SecondChanceCorner3FGM,FTOffRebounds,SecondChanceTurnovers,3pt And 1 Free Throw Trips,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,BlockedShortMidRange,HeaveAttempts,team_id,year,season,team_vs
1626153-1626181-1627751-1627783-1627832,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Pascal Siakam, Fred VanVleet","Wright, Powell, Poeltl, Siakam, VanVleet",1626153-1626181-1627751-1627783-1627832,TOR,198.0,1,3.0,-9.0,7.0,8.0,8.0,15.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,13.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.5,109.0909090909091,0.5,15.0,11.625,15.0,10.25,0.75,0.6666666666666666,1.0,1.0,0.25,1.0,0.6413,1.3666666666666665,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-200782,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, PJ Tucker","Wright, Powell, Poeltl, VanVleet, Tucker",1626153-1626181-1627751-1627832-200782,TOR,24.0,1,,,1.0,1.0,1.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,120.0,,20.0,4.0,20.0,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-202685,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Jonas Valanciunas","Wright, Powell, Poeltl, VanVleet, Valanciunas",1626153-1626181-1627751-1627832-202685,TOR,150.0,1,2.0,,4.0,5.0,5.0,9.0,,,1.0,1.0,1.0,2.0,5.0,5.0,,1.0,,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,5.0,1.0,,,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,1.0,0.3333333333333333,0.25,0.5,86.4,,17.75,15.8,17.75,15.6,,,,,0.3333333333333333,0.6666666666666666,0.46354999999999996,17.1,25.85,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-203512,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Lucas Nogueira","Wright, Powell, Poeltl, VanVleet, Nogueira",1626153-1626181-1627751-1627832-203512,TOR,423.0,3,7.0,-9.0,14.0,15.0,15.0,29.0,1.0,3.0,3.0,1.0,6.0,4.0,9.0,18.0,2.0,3.0,,1.0,3.0,1.0,8.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,,3.0,2.0,3.0,2.0,2.0,2.0,1.0,9.0,1.0,1.0,1.0,0.16666666666666666,0.4,0.45,0.4,,,0.6666666666666666,0.4,0.42857142857142855,0.4,98.72340425531915,0.5,16.642857142857142,12.666666666666666,16.642857142857142,11.2,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3,0.7,0.42229,6.483333333333333,25.45,6.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,6.0,0.375,0.1,0.16666666666666666,0.3333333333333333,0.42857142857142855,,1.0,1.0,1.0,2.0,,6.0,1.0,2.0,1.0,,1.0,0.5,0.5,0.1,,,0.1,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.5,1.0,0.2,1.0,1.0,1.0,0.5,0.5,0.25,0.4175125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627832-200782-201586,1610612761,"Delon Wright, Norman Powell, Fred VanVleet, PJ Tucker, Serge Ibaka","Wright, Powell, VanVleet, Tucker, Ibaka",1626153-1626181-1627832-200782-201586,TOR,39.0,1,1.0,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,110.76923076923076,,8.0,23.0,8.0,23.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627832-202335-202685,1610612761,"Delon Wright, Norman Powell, Fred VanVleet, Patrick Patterson, Jonas Valanciunas","Wright, Powell, VanVleet, Patterson, Valanciunas",1626153-1626181-1627832-202335-202685,TOR,207.0,1,3.0,,7.0,7.0,1.0,14.0,1.0,2.0,2.0,2.0,4.0,2.0,10.0,10.0,,2.0,,,2.0,,6.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,,,,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,,,1.0,,0.5,,97.39130434782608,,17.0,12.571428571428571,16.714285714285715,11.285714285714286,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.6666666666666666,0.509375,10.975,25.05,7.0,,,10.0,,,,10.0,7.0,0.8333333333333334,,,1.0,1.0,1.0,2.0,,2.0,2.0,4.0,6.0,2.0,2.0,2.0,,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,2.0,4.0,2.0,,1.0,,,1.0,,,0.5,0.8333333333333334,,1.0,1.0,,,,,0.3333333333333333,0.5,0.3333333333333333,0.509375,,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.86265,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-200768-200782-201586,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, PJ Tucker, Serge Ibaka","Wright, Powell, Lowry, Tucker, Ibaka",1626153-1626181-200768-200782-201586,TOR,214.0,2,4.0,,7.0,5.0,,12.0,1.0,4.0,1.0,1.0,8.0,2.0,2.0,2.0,,1.0,2.0,,,,,2.0,4.0,10.0,1.0,1.0,2.0,,,3.0,,2.0,,,,,,,,,0.125,0.1,0.1,0.2,0.25,0.25,0.3333333333333333,1.0,1.0,,80.74766355140187,,22.142857142857142,11.8,16.714285714285715,11.8,0.4,0.25,0.3333333333333333,,0.1,0.6,0.47329,4.5,25.35,,,,,3.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,0.1,,,,,,,4.0,,,,,,,2.0,,,,,,,,,1.0,1.0,0.4,,,,,,,,,1.0,2.0,,,,,1.0,2.0,,4.0,6.0,1.0,,,,,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.6666666666666666,1.0,0.14285714285714285,,,,,0.4903625,1.0,1.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,0.2,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-200768-200782-202335,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, PJ Tucker, Patrick Patterson","Wright, Powell, Lowry, Tucker, Patterson",1626153-1626181-200768-200782-202335,TOR,273.0,1,5.0,-5.0,8.0,9.0,,17.0,1.0,1.0,,4.0,6.0,,8.0,13.0,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,,,2.0,2.0,4.0,,,,,8.0,,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,0.5,0.5,0.75,,89.67032967032968,,15.875,16.22222222222222,15.875,14.11111111111111,0.16666666666666666,1.0,1.0,1.0,,0.16666666666666666,0.43250000000000005,15.216666666666667,,,,,,1.0,,,,,,,,,,3.0,5.0,,,,6.0,,,,,,,,,0.8333333333333334,0.6,0.6,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-200768-202335-202685,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, Patrick Patterson, Jonas Valanciunas","Wright, Powell, Lowry, Patterson, Valanciunas",1626153-1626181-200768-202335-202685,TOR,344.0,1,6.0,-2.0,13.0,12.0,3.0,25.0,5.0,5.0,1.0,5.0,9.0,1.0,15.0,17.0,6.0,1.0,,3.0,4.0,3.0,9.0,2.0,2.0,2.0,1.0,,1.0,1.0,,2.0,2.0,5.0,,,,,15.0,,0.6,0.6,0.5555555555555556,0.65,0.6818181818181818,0.1,,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,104.65116279069767,,15.307692307692308,12.083333333333334,15.307692307692308,11.916666666666666,0.5,1.0,1.0,0.6,0.1,0.6,0.58888,6.377777777777777,25.6,,2.0,,,3.0,2.0,1.0,,,,0.09090909090909091,0.1,,,,2.0,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.2,,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-200782-201586-202335,1610612761,"Delon Wright, Norman Powell, PJ Tucker, Serge Ibaka, Patrick Patterson","Wright, Powell, Tucker, Ibaka, Patterson",1626153-1626181-200782-201586-202335,TOR,112.0,1,2.0,6.0,3.0,3.0,,6.0,,,1.0,2.0,2.0,1.0,8.0,2.0,,1.0,,,1.0,,3.0,2.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,8.0,,,,1.0,1.1666666666666667,1.3333333333333333,0.3333333333333333,,,,1.0,1.0,1.0,77.14285714285714,1.0,20.333333333333332,17.0,20.333333333333332,17.0,,,,,0.3333333333333333,0.3333333333333333,0.41100000000000003,13.0,25.1,,1.0,,,1.0,1.0,1.0,,,,0.3333333333333333,0.5,,,1.0,1.0,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
