EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,Avg2ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,StepOutOfBoundsTurnovers,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,PtsUnassisted3s,ShortMidRangeAssists,ShortMidRangePctAssisted,OffCorner3ReboundPct,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,BlockingFoulsDrawn,OffFTReboundPct,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,BadPassTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3M,Charge Fouls,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg3Pct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,Travels,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,3SecondViolations,ShortMidRangePctBlocked,SecondChanceTurnovers,BlockedLongMidRange,OffensiveGoaltends,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,HeaveAttempts,HeaveMakes,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1626168-1627762-202692-202714-203481,1610612762,"Trey Lyles, Joel Bolomboy, Alec Burks, Shelvin Mack, Jeff Withey","Lyles, Bolomboy, Burks, Mack, Withey",1626168-1627762-202692-202714-203481,UTA,175.0,1,3.0,3.0,5.0,4.0,3.0,4.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,9.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,8.0,5.0,3.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.5,0.9,0.5,1.25,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,74.05714285714286,20.8,17.75,18.0,16.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.51205,0.51765,0.25,1.0,0.1111111111111111,0.5555555555555556,24.333333333333332,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-1627762-202692-203526-203957,1610612762,"Trey Lyles, Joel Bolomboy, Alec Burks, Raul Neto, Dante Exum","Lyles, Bolomboy, Burks, Neto, Exum",1626168-1627762-202692-203526-203957,UTA,515.0,1,9.0,9.0,18.0,18.0,7.0,3.0,2.0,36.0,1.0,2.0,,,2.0,4.0,6.0,24.0,15.0,,,,,2.0,6.0,6.0,2.0,1.0,2.0,5.0,1.0,12.0,,1.0,6.0,8.0,2.0,10.0,1.0,6.0,6.0,3.0,1.0,24.0,6.0,7.0,1.0,1.0,0.5,,0.5,0.6,0.5,0.7058823529411765,,0.6,0.26666666666666666,0.75,1.0,,0.7777777777777778,0.2857142857142857,,0.6666666666666666,1.0,0.2,100.66019417475728,13.61111111111111,15.0,12.833333333333334,13.88888888888889,0.13333333333333333,0.5,0.5,1.0,,,1.0,0.5,0.5870599999999999,0.5276,0.1875,0.25,,0.25,23.7,0.3888888888888889,6.0,11.0,2.0,2.0,4.0,1.0,2.0,6.0,11.0,2.0,2.0,4.0,6.0,6.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,7.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5454545454545454,0.5,0.18181818181818182,0.18181818181818182,0.6666666666666666,1.0,0.4,0.4,0.75,1.0,0.7333333333333333,0.5454545454545454,0.6666666666666666,0.5,0.13333333333333333,0.5,0.5,1.0,1.0,1.0,0.5,0.48535,1.3727272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-1627762-202692-203526-204060,1610612762,"Trey Lyles, Joel Bolomboy, Alec Burks, Raul Neto, Joe Ingles","Lyles, Bolomboy, Burks, Neto, Ingles",1626168-1627762-202692-203526-204060,UTA,189.0,1,3.0,-1.0,6.0,7.0,2.0,3.0,,13.0,,,,,,1.0,1.0,3.0,4.0,,,,,1.0,3.0,,,,,1.0,,2.0,,2.0,2.0,4.0,,4.0,,1.0,2.0,1.0,,3.0,3.0,2.0,,,,,,0.25,1.0,0.3,,0.75,0.25,0.5,1.0,,0.6666666666666666,,,,1.0,,99.04761904761905,14.333333333333334,14.714285714285714,14.333333333333334,14.0,,,,,,,0.5,,0.56325,0.3917,0.2,0.25,,1.0,22.3,0.3333333333333333,,1.0,,,,,1.0,1.0,3.0,,1.0,1.0,2.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,1.0,,0.25,,,,0.25,,,,,,,,10.9,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-1627762-202692-203957-204060,1610612762,"Trey Lyles, Joel Bolomboy, Alec Burks, Dante Exum, Joe Ingles","Lyles, Bolomboy, Burks, Exum, Ingles",1626168-1627762-202692-203957-204060,UTA,87.0,1,1.0,1.0,3.0,3.0,2.0,1.0,,6.0,,,,,,,2.0,6.0,5.0,,,,,1.0,5.0,,,,,,,,,,1.0,1.0,,1.0,,2.0,3.0,2.0,,6.0,5.0,2.0,,,,,,1.0,1.0,1.0,,1.25,,1.0,,,1.0,,,,,,99.3103448275862,12.333333333333334,16.666666666666668,12.333333333333334,16.666666666666668,,,,,,,0.5,,0.4606,0.4606,0.6666666666666666,0.6666666666666666,,0.8333333333333334,,0.6666666666666666,1.0,1.0,,1.0,1.0,,,2.0,2.0,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,0.5,1.0,1.0,,,,,,,0.5,1.0,,3.05,,,,,,,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-1627762-202714-203526-203957,1610612762,"Trey Lyles, Joel Bolomboy, Shelvin Mack, Raul Neto, Dante Exum","Lyles, Bolomboy, Mack, Neto, Exum",1626168-1627762-202714-203526-203957,UTA,104.0,1,2.0,,3.0,2.0,,,1.0,5.0,,1.0,,,,1.0,,4.0,4.0,,2.0,,,,,,1.0,,,1.0,,2.0,1.0,,,,1.0,1.0,,,,,,2.0,,,,,,,,0.6666666666666666,,0.6666666666666666,1.0,,0.3333333333333333,,,1.0,,1.0,1.0,,,,69.23076923076923,15.0,29.5,15.0,28.0,0.3333333333333333,,,,,,1.0,,0.5075999999999999,,,,0.5,,25.6,,2.0,2.0,1.0,,,,,2.0,2.0,1.0,,,2.0,2.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,0.6666666666666666,1.0,1.0,0.5,,,,,1.0,,,,2.2,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-1627762-203526-203918-204060,1610612762,"Trey Lyles, Joel Bolomboy, Raul Neto, Rodney Hood, Joe Ingles","Lyles, Bolomboy, Neto, Hood, Ingles",1626168-1627762-203526-203918-204060,UTA,90.0,1,2.0,,3.0,3.0,,3.0,,6.0,1.0,1.0,,,1.0,1.0,,5.0,5.0,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,,,,,,5.0,,,,,1.0,,1.0,1.25,,1.25,,,0.5,,1.0,,1.0,,,,,,96.0,18.0,12.0,18.0,12.0,0.5,1.0,1.0,,,,0.5,1.0,0.3505,,,,,,24.4,,,,,,,,,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,1.0,,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-1627762-203526-203957-204060,1610612762,"Trey Lyles, Joel Bolomboy, Raul Neto, Dante Exum, Joe Ingles","Lyles, Bolomboy, Neto, Exum, Ingles",1626168-1627762-203526-203957-204060,UTA,144.0,1,2.0,7.0,5.0,5.0,,,,10.0,,1.0,,,,1.0,3.0,7.0,,,,,,,,,1.0,,,2.0,,4.0,,1.0,2.0,3.0,,3.0,,2.0,4.0,2.0,,7.0,,,,,,,,0.6666666666666666,,0.7,,,0.3333333333333333,1.0,0.5,,0.75,,,1.0,0.5,,100.0,10.0,18.8,10.0,15.0,0.3333333333333333,,,,,,1.0,,0.4898666666666667,,0.4,0.5,,,26.9,,2.0,2.0,,,,,,2.0,2.0,,,,4.0,,,2.0,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-201588-202324-202330-202692,1610612762,"Trey Lyles, George Hill, Derrick Favors, Gordon Hayward, Alec Burks","Lyles, Hill, Favors, Hayward, Burks",1626168-201588-202324-202330-202692,UTA,263.0,1,4.0,10.0,9.0,8.0,,,1.0,17.0,1.0,1.0,,,1.0,4.0,5.0,14.0,4.0,,2.0,,,,,,1.0,1.0,,1.0,,2.0,1.0,2.0,4.0,7.0,1.0,8.0,,4.0,6.0,3.0,,12.0,,,,,0.25,,0.25,0.6428571428571429,,0.7,1.0,,0.5714285714285714,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,,1.0,1.0,,93.07984790874524,15.0,16.0,14.333333333333334,16.0,0.14285714285714285,1.0,1.0,,,,0.5714285714285714,1.0,0.5088142857142858,,0.3,0.5,0.14285714285714285,,23.375,,,,,,,,3.0,3.0,3.0,1.0,,,2.0,4.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,2.0,,2.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,,,1.0,,,,,0.42857142857142855,,,,,,,,13.566666666666668,1.0,1.0,1.0,,,0.14285714285714285,1.0,1.0,1.0,2.0,2.0,0.2857142857142857,1.0,1.0,,1.0,,1.0,,1.0,1.0,,3.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-201588-202324-202330-203918,1610612762,"Trey Lyles, George Hill, Derrick Favors, Gordon Hayward, Rodney Hood","Lyles, Hill, Favors, Hayward, Hood",1626168-201588-202324-202330-203918,UTA,84.0,1,1.0,2.0,3.0,3.0,,,,6.0,,,,,,,2.0,4.0,2.0,,,,,,,,,,,1.0,,2.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,4.0,,,,,,,,0.5,,0.6666666666666666,,,,1.0,,,1.0,,,,,,102.85714285714286,11.0,17.0,11.0,17.0,,,,,,,,,0.4189,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,1.0,2.0,,,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,1.0,,,,,,,,,,,,,,18.3,1.0,2.0,1.0,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
1626168-201588-202324-202330-203957,1610612762,"Trey Lyles, George Hill, Derrick Favors, Gordon Hayward, Dante Exum","Lyles, Hill, Favors, Hayward, Exum",1626168-201588-202324-202330-203957,UTA,33.0,1,1.0,,,1.0,,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,43.63636363636363,,17.0,,17.0,,,,,,,1.0,,0.5822,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2017,2016-17,False
