EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Steals,BadPassSteals,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,LongMidRangeAssists,DefThreePtRebounds,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyFG2M,OffThreePtRebounds,PenaltyFg2Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,PenaltyAtRimAccuracy,PenaltyArc3FGA,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,LiveBallTurnoverPct,PenaltyArc3Frequency,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFtPoints,PtsPutbacks,AtRimAssists,ShortMidRangeAssists,FTDefRebounds,SelfOReb,LostBallSteals,BadPassTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Charge Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedShortMidRange,OffCorner3ReboundPct,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101139-101145-1626167-201952-202331,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Jeff Teague, Paul George","Miles, Ellis, Turner, Teague, George",101139-101145-1626167-201952-202331,IND,227.0,1,4.0,-3.0,6.0,6,2.0,1.0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,9.0,12.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,2.0,0.6666666666666666,0.75,1.0,0.75,0.6428571428571429,0.75,0.6428571428571429,0.75,0.5714285714285714,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,76.12334801762115,21.333333333333332,16.5,18.333333333333332,16.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.5,1.0,0.7142857142857143,0.6666666666666666,0.48011428571428566,0.39285,0.56545,0.14285714285714285,0.25,0.3333333333333333,8.966666666666667,26.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-201952-203922,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Jeff Teague, Glenn Robinson III","Miles, Ellis, Turner, Teague, Robinson III",101139-101145-1626167-201952-203922,IND,5.0,1,,,1.0,1,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,576.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-1626167-202331-202362,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Paul George, Lance Stephenson","Miles, Ellis, Turner, George, Stephenson",101139-101145-1626167-202331-202362,IND,171.0,1,3.0,-3.0,6.0,6,,1.0,12,1.0,,3.0,2.0,,,,,,,,6.0,,,10.0,13.0,,,,,,,,,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,8.0,,,,,,,0.6666666666666666,,0.7142857142857143,,,0.16666666666666666,0.3333333333333333,,,0.5,1.0,0.5,0.5,,101.05263157894737,14.0,14.5,13.5,14.5,0.16666666666666666,0.5,0.3333333333333333,,,,,,,,,,,,,0.16666666666666666,,0.4133166666666667,0.4266,,0.14285714285714285,,,8.633333333333333,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,0.25,0.25,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-201152-202338-202362,1610612754,"CJ Miles, Monta Ellis, Thaddeus Young, Kevin Seraphin, Lance Stephenson","Miles, Ellis, Young, Seraphin, Stephenson",101139-101145-201152-202338-202362,IND,171.0,1,3.0,3.0,4.0,4,2.0,1.0,8,1.0,1.0,2.0,1.0,,,,,,1.0,,4.0,,1.0,6.0,3.0,,2.0,,,2.0,,,1.0,,,,,,,,,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,4.0,2.0,2.0,,,,,0.6,0.5,0.6,0.5,0.2,,,,1.0,,1.0,0.5,,,67.36842105263158,22.0,20.75,18.75,20.75,0.2,0.4,0.2,,,,,0.2,,,,,0.5,,,0.4,,0.37774,,0.30865,,,0.3333333333333333,10.025,25.5,0.5,,,,1.0,,,2.0,,3.0,,1.0,1.0,2.0,,6.0,,,1.0,,,,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-101145-201952-202331-202338,1610612754,"CJ Miles, Monta Ellis, Jeff Teague, Paul George, Kevin Seraphin","Miles, Ellis, Teague, George, Seraphin",101139-101145-201952-202331-202338,IND,146.0,1,2.0,-9.0,5.0,5,3.0,1.0,10,,,1.0,,,,,,,2.0,,1.0,,2.0,,9.0,,1.0,,1.0,,,,2.0,,,,,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,3.0,,,,,,,,,0.6666666666666666,,,,,1.0,0.5,0.3333333333333333,1.0,,98.63013698630138,14.2,15.0,13.4,13.0,,0.3333333333333333,,,,,,0.6666666666666666,,,,,,,,0.6666666666666666,,0.5103,,0.484125,,,,11.2,25.7,0.6,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-1626167-201152-201952-202331,1610612754,"CJ Miles, Myles Turner, Thaddeus Young, Jeff Teague, Paul George","Miles, Turner, Young, Teague, George",101139-1626167-201152-201952-202331,IND,1791.0,3,30.0,-12.0,60.0,61,12.0,8.0,121,19.0,2.0,7.0,10.0,1.0,3.0,,,5.0,17.0,,36.0,6.0,20.0,59.0,71.0,,4.0,1.0,7.0,8.0,12.0,6.0,17.0,5.0,2.0,4.0,16.0,3.0,1.0,36.0,7.0,9.0,21.0,11.0,32.0,3.0,14.0,10.0,12.0,,,1.0,,2.0,56.0,8.0,12.0,0.6666666666666666,0.3,0.14285714285714285,0.3,0.4642857142857143,0.3181818181818182,0.48360655737704916,0.3333333333333333,0.35714285714285715,0.05555555555555555,,,0.47368421052631576,0.3684210526315789,0.6071428571428571,0.3333333333333333,0.5,0.75,97.28643216080401,14.55,15.049180327868852,13.783333333333333,13.852459016393443,0.3392857142857143,0.125,0.17857142857142858,0.05357142857142857,0.3333333333333333,0.3333333333333333,1.0,0.30357142857142855,0.29411764705882354,0.29411764705882354,0.6,,0.18181818181818182,,,0.6964285714285714,0.29411764705882354,0.5069508928571429,0.5028714285714285,0.5385227272727273,0.1,,0.13559322033898305,7.541666666666667,25.655,0.2,14.0,8.0,7.0,8.0,1.0,6.0,5.0,4.0,17.0,7.0,1.0,8.0,3.0,24.0,10.0,12.0,4.0,8.0,6.0,0.7058823529411765,0.75,0.4722222222222222,0.125,0.125,0.16666666666666666,0.8888888888888888,0.8571428571428571,0.42105263157894735,0.47058823529411764,0.7142857142857143,0.7142857142857143,0.4,0.4,1.0,0.75,0.16666666666666666,0.15,0.05084745762711865,1.0,2.0,4.0,0.5,0.2857142857142857,0.3333333333333333,0.5,0.5,7.0,6.0,4.0,1.0,,10.0,2.0,3.0,1.0,0.6,0.6363636363636364,1.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.10526315789473684,1.0,0.36363636363636365,0.3333333333333333,0.2857142857142857,1.0,0.06451612903225806,1.0,0.5,0.8,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-1626167-201152-202331-202362,1610612754,"CJ Miles, Myles Turner, Thaddeus Young, Paul George, Lance Stephenson","Miles, Turner, Young, George, Stephenson",101139-1626167-201152-202331-202362,IND,28.0,1,,,1.0,1,,,2,,,,1.0,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,102.85714285714286,15.0,13.0,15.0,13.0,,,1.0,,,,,,,,,,,,,,,0.3966,,,,,,18.4,,,,,,,,,,1.0,1.0,,,,,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-1626167-201166-202331-202362,1610612754,"CJ Miles, Myles Turner, Aaron Brooks, Paul George, Lance Stephenson","Miles, Turner, Brooks, George, Stephenson",101139-1626167-201166-202331-202362,IND,131.0,1,2.0,1.0,4.0,3,,2.0,7,1.0,,3.0,,,,,,1.0,1.0,,4.0,1.0,1.0,5.0,4.0,,,,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,2.0,,1.0,2.0,3.0,,1.0,1.0,,,,,,,5.0,,,1.0,1.0,,1.0,0.5,,0.5,,0.2,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,,76.94656488549619,19.5,17.666666666666668,18.25,17.666666666666668,0.2,0.6,,,,,,0.2,1.0,1.0,1.0,,,,,0.4,1.0,0.45652,0.5392,,,,,6.125,25.1,,,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,,,1.0,,,,0.25,,,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-1626167-201952-202331-202362,1610612754,"CJ Miles, Myles Turner, Jeff Teague, Paul George, Lance Stephenson","Miles, Turner, Teague, George, Stephenson",101139-1626167-201952-202331-202362,IND,287.0,4,5.0,8.0,13.0,11,5.0,1.0,24,3.0,2.0,1.0,2.0,,,,,3.0,4.0,1.0,6.0,3.0,4.0,20.0,12.0,1.0,4.0,1.0,1.0,7.0,6.0,3.0,4.0,3.0,1.0,2.0,5.0,2.0,,12.0,1.0,,3.0,1.0,4.0,2.0,4.0,3.0,4.0,,,1.0,1.0,1.0,17.0,7.0,5.0,0.6666666666666666,0.75,1.0,0.75,0.85,0.7,0.8333333333333334,0.7,0.4,0.16666666666666666,,,,1.0,0.6666666666666666,0.5,,,120.41811846689896,10.846153846153847,13.272727272727273,10.538461538461538,13.272727272727273,0.3,0.1,0.2,,,,,0.4,0.75,0.75,0.6666666666666666,1.0,0.4,,,0.7,0.75,0.50981,0.41625,0.49063,0.16666666666666666,,0.35,7.966666666666666,26.45,0.38461538461538464,10.0,,,2.0,,,1.0,1.0,4.0,3.0,,,3.0,6.0,2.0,3.0,1.0,2.0,2.0,0.75,0.75,0.6666666666666666,,1.5,1.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,,,0.25,0.15,1.0,2.0,,0.5,,,,0.5,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,0.5,0.2,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
101139-1626167-202331-202362-202730,1610612754,"CJ Miles, Myles Turner, Paul George, Lance Stephenson, Lavoy Allen","Miles, Turner, George, Stephenson, Allen",101139-1626167-202331-202362-202730,IND,92.0,1,2.0,-2.0,2.0,3,,,5,,,1.0,,,,,,,1.0,,1.0,,1.0,2.0,4.0,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,0.5,,0.5,,0.5,,,,,,,,,,78.26086956521739,16.5,19.666666666666668,16.5,19.666666666666668,,0.5,,,,,,0.5,,,,,,,,0.5,,0.45435,,,,,,11.0,25.0,,,,,,,,1.0,,1.0,,,,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,False
