EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DefThreePtRebounds,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,FTDefRebounds,ShootingFouls,DefFTReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyFtPoints,PtsUnassisted3s,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Offensive Fouls,HeaveAttempts,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,Fg2aBlocked,Travels,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedAtRim,DefAtRimReboundPct,BadPassOutOfBoundsTurnovers,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,PtsPutbacks,Fg3aBlocked,LostBallTurnovers,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,SecondChanceCorner3FGA,PenaltyCorner3FGA,SelfOReb,3pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Charge Fouls Drawn,Corner3PctBlocked,BlockingFouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,FTOffRebounds,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Charge Fouls,team_id,year,season,team_vs
101108-101109-1718-200755-201599,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, JJ Redick, DeAndre Jordan","Paul, Felton, Pierce, Redick, Jordan",101108-101109-1718-200755-201599,LAC,170.0,1,3.0,6.0,5.0,2.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,8.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,1.0,0.75,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,93.17647058823529,16.166666666666668,14.6,15.166666666666666,14.6,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.56145,0.8955,0.3787,0.2,0.2,0.25,0.25,4.45,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-1718-201578-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, Marreese Speights, Jamal Crawford","Paul, Felton, Pierce, Speights, Crawford",101108-101109-1718-201578-2037,LAC,69.0,1,1.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,,5.0,2.0,,,,1.0,1.0,5.0,2.0,,1.0,2.0,,5.0,,1.0,1.0,,,,,,,,,,5.0,5.0,2.0,,1.0,1.0,1.0,,1.0,1.25,,1.25,1.25,,1.25,,,0.5,,83.47826086956522,16.5,18.0,16.5,18.0,,,,,,,,,,,0.5,0.466525,,0.466525,,,,1.0,16.8,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-1718-201599-201601,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Luc Mbah a Moute","Paul, Felton, Pierce, Jordan, Mbah a Moute",101108-101109-1718-201599-201601,LAC,14.0,1,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,1.0,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-1718-201599-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Jamal Crawford","Paul, Felton, Pierce, Jordan, Crawford",101108-101109-1718-201599-2037,LAC,935.0,3,16.0,28.0,29.0,14.0,18.0,4.0,57.0,6.0,8.0,,2.0,3.0,7.0,12.0,19.0,2.0,32.0,33.0,,3.0,,4.0,8.0,13.0,14.0,10.0,7.0,8.0,5.0,17.0,5.0,9.0,13.0,,,2.0,1.0,6.0,3.0,4.0,,2.0,32.0,13.0,14.0,5.0,0.5833333333333334,0.5833333333333334,0.631578947368421,,0.5,0.5357142857142857,,0.4583333333333333,0.5333333333333333,,0.4642857142857143,,0.625,0.75,,87.78609625668449,14.678571428571429,18.06896551724138,13.607142857142858,17.448275862068964,0.2857142857142857,0.75,0.75,0.8333333333333334,0.25,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,0.6071428571428571,0.5257333333333334,0.45305,0.5135083333333333,,,,0.40625,7.436842105263159,0.5,-1.0,3.0,4.0,2.0,8.0,1.0,4.0,2.0,9.0,1.0,4.0,3.0,8.0,2.0,1.0,1.0,,4.0,0.5,0.2222222222222222,0.25,0.2222222222222222,0.32142857142857145,1.0,1.0,0.14285714285714285,0.75,0.75,,0.2857142857142857,0.25,0.25,0.5,0.3333333333333333,0.25,0.25,27.522222222222222,,1.0,,3.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5,0.16666666666666666,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.03571428571428571,0.3333333333333333,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-201599,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, DeAndre Jordan","Paul, Felton, Redick, Speights, Jordan",101108-101109-200755-201578-201599,LAC,1.0,1,,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,0.5,,0.5,,,,,1440.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-201601,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Luc Mbah a Moute","Paul, Felton, Redick, Speights, Mbah a Moute",101108-101109-200755-201578-201601,LAC,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-201933,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Blake Griffin","Paul, Felton, Redick, Speights, Griffin",101108-101109-200755-201578-201933,LAC,78.0,1,1.0,3.0,3.0,,,,6.0,1.0,1.0,,,,,1.0,2.0,,2.0,3.0,,,,,,,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,1.0,,,,,2.0,,,,1.0,1.0,0.5,,,0.3333333333333333,,,0.3333333333333333,,,,1.0,1.0,1.0,110.76923076923076,11.0,15.0,11.0,15.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,0.6666666666666666,0.6265666666666666,,,,,,,10.0,,-1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,23.8,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-202325,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Wesley Johnson","Paul, Felton, Redick, Speights, Johnson",101108-101109-200755-201578-202325,LAC,122.0,1,2.0,4.0,5.0,,,,9.0,1.0,1.0,,,,,1.0,1.0,1.0,3.0,3.0,,,,,,,,2.0,,,,,,,,,,1.0,,2.0,1.0,2.0,1.0,,3.0,,,,,,1.0,,,0.5,,,0.5,,,,,,,106.22950819672131,11.5,15.2,11.5,15.2,0.5,1.0,1.0,,,,,,,,1.0,0.504525,,,0.3333333333333333,0.5,,,2.6,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,24.4,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201578-2037,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Jamal Crawford","Paul, Felton, Redick, Speights, Crawford",101108-101109-200755-201578-2037,LAC,60.0,2,1.0,4.0,2.0,3.0,2.0,,6.0,1.0,1.0,,,,,1.0,1.0,2.0,7.0,2.0,,,,1.0,1.0,4.0,,2.0,,,,,,,,,,,,2.0,1.0,2.0,,1.0,7.0,4.0,3.0,1.0,,,1.0,,1.0,0.625,,0.3333333333333333,0.7,,0.5,,,,,144.0,7.0,16.0,7.0,16.0,0.25,1.0,1.0,,,,,,,,1.0,0.49468333333333336,,0.5024,,,,0.5714285714285714,2.7,0.75,5.0,,,1.0,3.0,,2.0,1.0,3.0,,2.0,,2.0,1.0,,,,,,0.3333333333333333,,0.5,0.75,,,,,,,0.75,0.3333333333333333,0.3333333333333333,,0.6666666666666666,,0.5,33.43333333333333,,,,1.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.3333333333333333,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
101108-101109-200755-201599-201601,1610612746,"Chris Paul, Raymond Felton, JJ Redick, DeAndre Jordan, Luc Mbah a Moute","Paul, Felton, Redick, Jordan, Mbah a Moute",101108-101109-200755-201599-201601,LAC,792.0,4,13.0,21.0,26.0,5.0,11.0,3.0,47.0,,1.0,,,,2.0,2.0,9.0,14.0,27.0,40.0,,1.0,6.0,,2.0,5.0,,4.0,,1.0,,3.0,2.0,5.0,9.0,,,1.0,,8.0,8.0,14.0,1.0,1.0,21.0,5.0,5.0,3.0,,,0.2222222222222222,,,0.34210526315789475,0.75,,0.5416666666666666,1.0,0.5,,0.4,0.625,,85.45454545454545,18.714285714285715,15.346153846153847,17.714285714285715,14.307692307692308,0.05263157894736842,,,,0.10526315789473684,,,,,,0.5789473684210527,0.44606052631578946,0.3638,0.4192166666666666,0.17391304347826086,0.1,0.2222222222222222,0.18518518518518517,14.2,0.23809523809523808,-13.0,2.0,6.0,3.0,9.0,,1.0,3.0,10.0,,1.0,3.0,9.0,3.0,1.0,1.0,,3.0,0.3333333333333333,0.3,,0.3,0.5263157894736842,1.0,1.0,0.3157894736842105,0.3333333333333333,0.3333333333333333,,0.47368421052631576,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,25.18,,1.0,,,,1.0,5.0,6.0,,2.0,2.0,4.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5,0.16666666666666666,1.0,0.5,1.0,,,0.05263157894736842,,,,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0.2222222222222222,1.0,0.5,1.0,0.5,1.0,1.0,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,False
