EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DefTwoPtReboundPct,DefShortMidRangeReboundPct,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Arc3Frequency,PenaltyArc3Frequency,PlusMinus,ShortMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,ShootingFouls,BlockingFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Charge Fouls Drawn,DefCorner3ReboundPct,Corner3FGM,PtsPutbacks,Corner3Assists,OffThreePtRebounds,Technical Free Throw Trips,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyCorner3FGM,LongMidRangeAssists,Steals,BadPassSteals,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SelfOReb,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,SelfORebPct,BadPassTurnovers,Offensive Fouls,SecondChanceArc3FGA,AtRimAssists,FTDefRebounds,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls,DefFTReboundPct,AtRimPctAssisted,SecondChanceArc3Frequency,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked3s,BlockedCorner3,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,Offensive Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,SecondChanceFg3Pct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,SecondChanceAtRimPctAssisted,BlockingFoulsDrawn,PtsUnassisted3s,Travels,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
101123-101161-1626179-1627759-203092,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jaylen Brown, Tyler Zeller","Green, Johnson, Rozier, Brown, Zeller",101123-101161-1626179-1627759-203092,BOS,92.0,1,2.0,4.0,3.0,4.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,0.25,0.25,0.2,0.2,0.3333333333333333,0.3333333333333333,0.2,0.25,1.0,0.6666666666666666,1.0,0.5,0.5,1.0,0.5,1.0,109.56521739130434,13.5,12.666666666666666,6.5,10.666666666666666,0.2,0.6,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.2,0.2,0.4,0.36512,0.35653333333333337,0.36512,1.0,15.625,22.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-1627759-203923,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jaylen Brown, James Young","Green, Johnson, Rozier, Brown, Young",101123-101161-1626179-1627759-203923,BOS,53.0,1,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,81.50943396226415,22.0,9.0,11.5,9.0,,1.0,,,,,,,,,0.311,0.311,0.311,,17.5,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-203109-203935,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jae Crowder, Marcus Smart","Green, Johnson, Rozier, Crowder, Smart",101123-101161-1626179-203109-203935,BOS,35.0,1,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,82.28571428571428,17.0,18.0,17.0,18.0,,,,,,,,,,1.0,0.38985,,0.38985,,,25.2,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1627759-201143-202340,1610612738,"Gerald Green, Amir Johnson, Jaylen Brown, Al Horford, Avery Bradley","Green, Johnson, Brown, Horford, Bradley",101123-101161-1627759-201143-202340,BOS,107.0,1,2.0,3.0,4.0,3.0,4.0,1.0,7.0,2.0,1.0,2.0,,,,,,,3.0,1.0,,3.0,5.0,1.0,,,3.0,1.0,,3.0,,,1.0,2.0,2.0,1.0,3.0,1.0,,,,,,,3.0,3.0,3.0,,,,,0.375,0.375,0.375,0.375,0.25,,,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,,1.0,94.2056074766355,15.0,15.5,13.333333333333334,15.5,0.5,,,,,1.0,,0.5,,0.75,0.462225,0.5551,0.462225,1.0,5.633333333333333,25.5,1.0,,,,1.0,1.0,1.0,0.25,0.25,-2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1627759-203092-203923,1610612738,"Gerald Green, Amir Johnson, Jaylen Brown, Tyler Zeller, James Young","Green, Johnson, Brown, Zeller, Young",101123-101161-1627759-203092-203923,BOS,363.0,1,6.0,12.0,12.0,8.0,10.0,2.0,24.0,4.0,1.0,3.0,,2.0,,,,3.0,9.0,2.0,1.0,7.0,15.0,1.0,,2.0,6.0,2.0,1.0,5.0,4.0,,1.0,2.0,5.0,2.0,7.0,3.0,3.0,3.0,,,,,4.0,5.0,8.0,,,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.25,0.2916666666666667,0.2777777777777778,0.18181818181818182,,,0.16666666666666666,1.0,1.0,0.125,,0.5,1.0,95.20661157024794,15.333333333333334,14.916666666666666,14.666666666666666,14.916666666666666,0.36363636363636365,0.18181818181818182,,,,1.0,,0.375,,0.5454545454545454,0.4976227272727272,0.5891,0.49113125,0.7142857142857143,7.355555555555556,27.55,0.6666666666666666,3.0,1.0,1.0,2.0,2.0,2.0,0.18181818181818182,0.25,-8.0,3.0,,,,,,,,1.0,,2.0,1.0,,,,,,0.2727272727272727,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.5,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.16666666666666666,0.2,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1627759-203109-203935,1610612738,"Gerald Green, Amir Johnson, Jaylen Brown, Jae Crowder, Marcus Smart","Green, Johnson, Brown, Crowder, Smart",101123-101161-1627759-203109-203935,BOS,77.0,1,1.0,3.0,3.0,3.0,,,6.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,3.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,3.0,,,,,,,,,0.5,,,,1.0,1.0,,,,,112.2077922077922,11.333333333333334,14.333333333333334,11.333333333333334,14.333333333333334,0.5,,,,0.5,,,0.5,0.5,1.0,0.5537,,0.5537,,1.8,23.9,1.0,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1627759-203482-203923,1610612738,"Gerald Green, Amir Johnson, Jaylen Brown, Kelly Olynyk, James Young","Green, Johnson, Brown, Olynyk, Young",101123-101161-1627759-203482-203923,BOS,148.0,1,2.0,4.0,3.0,,,2.0,7.0,1.0,1.0,,1.0,3.0,2.0,,,2.0,4.0,3.0,2.0,9.0,2.0,3.0,,,,,,,4.0,,2.0,,2.0,3.0,5.0,1.0,1.0,2.0,,,,,4.0,,,,,0.5,,0.5,,0.5714285714285714,,0.42857142857142855,,,1.0,,1.0,0.75,,1.0,,68.1081081081081,21.5,20.666666666666668,14.0,20.666666666666668,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,,,,0.5714285714285714,0.4958857142857143,0.3813,,,14.075,24.233333333333334,,2.0,1.0,,1.0,,1.0,0.14285714285714285,,7.0,,,,1.0,,3.0,,1.0,1.0,,3.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,1.0,1.0,,,2.0,1.0,5.0,,,,,,,,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,1.0,1.0,1.0,1.0,,,,1.0,,0.14285714285714285,0.25,0.5555555555555556,,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-201973-202738-203935,1610612738,"Gerald Green, Amir Johnson, Jonas Jerebko, Isaiah Thomas, Marcus Smart","Green, Johnson, Jerebko, Thomas, Smart",101123-101161-201973-202738-203935,BOS,61.0,1,1.0,2.0,2.0,,,1.0,4.0,1.0,,,,,,,,,3.0,,,,4.0,1.0,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,0.3333333333333333,,,0.3333333333333333,,,,94.42622950819673,23.0,7.5,18.0,7.5,0.3333333333333333,,,,,,,,,0.3333333333333333,0.48056666666666664,0.3987,,,6.966666666666666,,,,,,,,,,,-4.0,2.0,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-1626175-1626179-203092-203923,1610612738,"Gerald Green, Jordan Mickey, Terry Rozier, Tyler Zeller, James Young","Green, Mickey, Rozier, Zeller, Young",101123-1626175-1626179-203092-203923,BOS,491.0,1,8.0,14.0,15.0,10.0,6.0,2.0,29.0,2.0,,,2.0,5.0,2.0,,2.0,4.0,8.0,8.0,3.0,26.0,22.0,3.0,,1.0,2.0,7.0,3.0,20.0,6.0,1.0,3.0,3.0,4.0,3.0,7.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,22.0,20.0,10.0,,1.0,0.5,0.5,0.71875,0.9444444444444444,0.7647058823529411,1.0,0.5,0.125,,0.75,1.0,0.6666666666666666,0.42857142857142855,,0.6666666666666666,1.0,85.050916496945,13.928571428571429,19.733333333333334,12.071428571428571,19.4,0.125,0.3125,0.4,0.4,0.125,,,,0.2222222222222222,0.625,0.507071875,0.35366666666666663,0.5112888888888889,0.7692307692307693,12.7,24.9875,0.7142857142857143,1.0,0.3333333333333333,,6.0,5.0,6.0,0.375,0.5555555555555556,4.0,1.0,3.0,3.0,5.0,5.0,15.0,3.0,5.0,6.0,3.0,17.0,1.0,,1.0,0.625,0.7142857142857143,0.625,0.0625,0.5,0.5,1.0,0.6,0.5,2.0,,,,2.0,,4.0,2.0,1.0,,,,,,,,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,,,,,,0.0625,,0.15384615384615385,,1.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-1626179-1627759-201143-202340,1610612738,"Gerald Green, Terry Rozier, Jaylen Brown, Al Horford, Avery Bradley","Green, Rozier, Brown, Horford, Bradley",101123-1626179-1627759-201143-202340,BOS,150.0,1,2.0,7.0,6.0,,6.0,1.0,13.0,3.0,1.0,,,,,,,3.0,4.0,2.0,1.0,10.0,10.0,1.0,,,,,,,6.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,8.0,,,,,0.75,,0.75,,0.8333333333333334,,0.3333333333333333,,,1.0,1.0,1.0,0.5,,,,124.8,11.285714285714286,11.833333333333334,11.285714285714286,11.833333333333334,0.5,,,,,1.0,,,,0.8333333333333334,0.5352916666666666,0.4373,,,3.05,25.55,,,,,2.0,,2.0,0.3333333333333333,,,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,0.5,,0.5,0.16666666666666666,0.5,0.5,1.0,,0.5,3.0,1.0,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,0.16666666666666666,0.25,0.2,,1.0,,2.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
