EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceTurnovers,OffLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,Assisted3sPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,BlockedShortMidRange,DefShortMidRangeReboundPct,HeaveAttempts,ShortMidRangeAssists,BadPassTurnovers,Clear Path Fouls,Offensive Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallSteals,Offensive Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefCorner3ReboundPct,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,3pt And 1 Free Throw Trips,SecondChanceArc3PctAssisted,Charge Fouls,Charge Fouls Drawn,team_id,year,season,team_vs
1626150-1626185-1627735-1627738-1627782,1610612763,"Andrew Harrison, Jarell Martin, Wade Baldwin IV, Deyonta Davis, Wayne Selden","Harrison, Martin, Baldwin IV, Davis, Selden",1626150-1626185-1627735-1627738-1627782,MEM,580.0,3,10.0,-1.0,20.0,20.0,18.0,18.0,6.0,40.0,4.0,14.0,1.0,5.0,4.0,12.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,6.0,17.0,1.0,3.0,6.0,21.0,22.0,1.0,5.0,1.0,1.0,5.0,6.0,15.0,1.0,3.0,4.0,19.0,6.0,6.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,6.0,2.0,4.0,2.0,1.0,4.0,7.0,6.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0,4.0,8.0,1.0,3.0,16.0,19.0,18.0,2.0,3.0,0.5,0.6,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.2,0.4,0.375,0.4166666666666667,0.4166666666666667,0.4375,0.4166666666666667,0.4523809523809524,0.15,0.23529411764705882,0.2857142857142857,1.0,0.5,0.36363636363636365,0.5,1.0,0.5,0.46153846153846156,0.3,1.0,1.0,1.0,0.6666666666666666,99.3103448275862,14.45,14.55,12.75,13.15,0.7,0.2857142857142857,0.4,0.5,0.05,0.1,1.0,1.0,0.5,0.15,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.2,0.16666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.85,0.3333333333333333,0.5900000000000001,0.51505,0.5870444444444445,0.047619047619047616,0.05555555555555555,0.23809523809523808,0.9047619047619048,3.5588235294117645,25.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627735-1627738-1627782-203516,1610612763,"Andrew Harrison, Wade Baldwin IV, Deyonta Davis, Wayne Selden, James Ennis III","Harrison, Baldwin IV, Davis, Selden, Ennis III",1626150-1627735-1627738-1627782-203516,MEM,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627735-1627738-1627782-2216,1610612763,"Andrew Harrison, Wade Baldwin IV, Deyonta Davis, Wayne Selden, Zach Randolph","Harrison, Baldwin IV, Davis, Selden, Randolph",1626150-1627735-1627738-1627782-2216,MEM,94.0,1,2.0,-5.0,3.0,3.0,2.0,,1.0,6.0,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,6.0,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,0.16666666666666666,,0.25,0.5,,,1.0,,1.0,,,,0.5,,,,,,91.91489361702128,20.666666666666668,10.666666666666666,20.666666666666668,10.333333333333334,,,,,,0.5,,,,0.5,,,,,,,,,1.0,,0.5,,0.368175,,0.40035,0.3333333333333333,0.5,,1.0,19.3,25.2,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627735-1627782-201188-203516,1610612763,"Andrew Harrison, Wade Baldwin IV, Wayne Selden, Marc Gasol, James Ennis III","Harrison, Baldwin IV, Selden, Gasol, Ennis III",1626150-1627735-1627782-201188-203516,MEM,34.0,1,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,84.70588235294117,15.0,19.0,15.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627735-1713-201188-203516,1610612763,"Andrew Harrison, Wade Baldwin IV, Vince Carter, Marc Gasol, James Ennis III","Harrison, Baldwin IV, Carter, Gasol, Ennis III",1626150-1627735-1713-201188-203516,MEM,27.0,1,,-2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.66666666666666,21.0,6.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-1713-201148-201188,1610612763,"Andrew Harrison, Wayne Selden, Vince Carter, Brandan Wright, Marc Gasol","Harrison, Selden, Carter, Wright, Gasol",1626150-1627782-1713-201148-201188,MEM,108.0,1,2.0,-7.0,3.0,4.0,,,1.0,7.0,,2.0,,,,,1.0,,,,,,,,,,3.0,,,,,7.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,0.5,0.3333333333333333,,,0.5,0.3333333333333333,0.5,,,1.0,,93.33333333333333,17.666666666666668,13.75,17.333333333333332,13.25,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,,,,,,,,0.6666666666666666,,0.5185333333333334,,,,,,,3.4,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-1713-201188-203210,1610612763,"Andrew Harrison, Wayne Selden, Vince Carter, Marc Gasol, JaMychal Green","Harrison, Selden, Carter, Gasol, Green",1626150-1627782-1713-201188-203210,MEM,304.0,2,5.0,-2.0,8.0,6.0,,1.0,,14.0,,,,,,,2.0,1.0,1.0,1.0,2.0,,,,,2.0,3.0,2.0,3.0,2.0,12.0,14.0,,,,,,,,,,,,,4.0,,,2.0,1.0,,,2.0,,,6.0,,,,,,,,,,,,,1.0,,1.0,,3.0,1.0,2.0,1.0,,12.0,,,,,,,0.6666666666666666,,,0.6666666666666666,0.6666666666666666,,,0.8333333333333334,,,0.8571428571428571,,,0.5,,,,,,,,,,,,,,,66.31578947368422,18.125,26.5,18.125,23.833333333333332,,,,,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,,,,,,,,,0.5,0.5,0.47869999999999996,,,0.14285714285714285,0.25,,,13.700000000000001,25.133333333333336,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-1713-201188-2216,1610612763,"Andrew Harrison, Wayne Selden, Vince Carter, Marc Gasol, Zach Randolph","Harrison, Selden, Carter, Gasol, Randolph",1626150-1627782-1713-201188-2216,MEM,282.0,2,5.0,2.0,7.0,7.0,1.0,,,14.0,,,,,,,2.0,,1.0,1.0,4.0,,,,1.0,2.0,3.0,1.0,4.0,1.0,8.0,6.0,,,,,,,,,1.0,1.0,1.0,,4.0,,,4.0,1.0,,,1.0,,,3.0,,,,3.0,,3.0,,3.0,,,,,,,,,1.0,1.0,2.0,1.0,,8.0,1.0,1.0,,,,,0.25,,,0.25,0.6666666666666666,,,0.5,,,0.5,,0.25,0.5714285714285714,,,,1.0,,,,0.75,,,,,,,71.48936170212765,21.857142857142858,18.428571428571427,21.857142857142858,17.285714285714285,,,,,0.2857142857142857,0.14285714285714285,,,,0.5714285714285714,0.25,0.25,,,,,,,1.0,,0.5714285714285714,0.25,0.46327857142857143,,0.53985,0.125,0.25,,0.125,10.633333333333333,25.325,0.14285714285714285,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201144-201188-203210,1610612763,"Andrew Harrison, Wayne Selden, Mike Conley, Marc Gasol, JaMychal Green","Harrison, Selden, Conley, Gasol, Green",1626150-1627782-201144-201188-203210,MEM,811.0,5,14.0,6.0,25.0,24.0,11.0,22.0,2.0,49.0,3.0,6.0,,1.0,1.0,2.0,6.0,1.0,4.0,3.0,6.0,,,1.0,2.0,7.0,16.0,3.0,7.0,5.0,28.0,22.0,1.0,2.0,,,2.0,2.0,6.0,1.0,2.0,4.0,11.0,10.0,4.0,3.0,,5.0,3.0,,5.0,7.0,2.0,1.0,16.0,1.0,1.0,5.0,4.0,,9.0,2.0,11.0,1.0,1.0,,1.0,3.0,1.0,2.0,1.0,6.0,4.0,5.0,2.0,1.0,26.0,11.0,11.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,,0.5,0.5,0.4375,0.5,0.3333333333333333,0.5,0.5,0.4375,0.56,0.5,0.55,0.30434782608695654,,,,1.0,0.125,0.625,0.3333333333333333,0.75,0.18181818181818182,0.5,,,,0.7142857142857143,87.00369913686806,16.04,17.083333333333332,15.4,16.208333333333332,0.2608695652173913,0.5,0.5,0.6666666666666666,0.2608695652173913,0.17391304347826086,0.25,0.25,1.0,0.2608695652173913,0.5,0.5,0.5,,,,0.25,0.5,0.25,0.5,0.5652173913043478,0.6,0.4837159090909091,0.45645,0.4368625,0.08333333333333333,0.11764705882352941,0.07142857142857142,0.39285714285714285,8.7,28.02857142857143,0.44,,,,,2.0,,,,,,0.6666666666666666,,,3.0,,1.0,6.0,2.0,2.0,,0.6666666666666666,0.5,0.5,0.043478260869565216,,,,0.6666666666666666,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
1626150-1627782-201144-201188-2216,1610612763,"Andrew Harrison, Wayne Selden, Mike Conley, Marc Gasol, Zach Randolph","Harrison, Selden, Conley, Gasol, Randolph",1626150-1627782-201144-201188-2216,MEM,61.0,1,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,2.0,,2.0,,,,,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,47.21311475409836,19.0,42.0,19.0,26.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.3747,,,,,,,7.5,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2017,2016-17,False
