EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Fg2aBlocked,LongMidRangeAssists,DefTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,BlockingFouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,AtRimPctBlocked,SecondChanceAtRimFGA,ShortMidRangeAssists,BadPassTurnovers,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimAccuracy,FTOffRebounds,SecondChanceTurnovers,BlockedShortMidRange,OffFTReboundPct,Charge Fouls,BlockedLongMidRange,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Offensive Fouls,Offensive Fouls Drawn,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,SecondChanceArc3FGM,SecondChanceArc3Accuracy,Loose Ball Fouls,Defensive 3 Seconds Violations,PenaltyCorner3FGM,OffCorner3ReboundPct,PenaltyCorner3Accuracy,Clear Path Fouls,team_id,year,season,team_vs
1626192-1627774-1627817-203086-203894,1610612757,"Pat Connaughton, Jake Layman, Tim Quarterman, Meyers Leonard, Shabazz Napier","Connaughton, Layman, Quarterman, Leonard, Napier",1626192-1627774-1627817-203086-203894,POR,308.0,1,5.0,-3.0,9.0,10.0,9.0,10.0,3.0,19,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,6.0,1.0,5.0,3.0,10.0,13.0,1.0,1.0,1.0,3.0,5.0,2.0,6.0,1.0,5.0,3.0,10.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,10.0,9.0,1.0,0.5,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,1.0,0.3333333333333333,0.3181818181818182,0.5,0.3181818181818182,0.38461538461538464,0.625,0.38461538461538464,0.45454545454545453,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,0.125,88.83116883116882,20.555555555555557,12.3,18.11111111111111,12.3,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,0.5,0.5,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.25,0.25,1.0,0.5,0.18181818181818182,0.5,0.09090909090909091,0.36363636363636365,0.25,0.6363636363636364,0.25,0.46920454545454543,0.428775,0.46920454545454543,0.08333333333333333,0.14285714285714285,0.5,1.0,8.933333333333334,25.080000000000002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-1627817-203086-203943,1610612757,"Pat Connaughton, Jake Layman, Tim Quarterman, Meyers Leonard, Noah Vonleh","Connaughton, Layman, Quarterman, Leonard, Vonleh",1626192-1627774-1627817-203086-203943,POR,119.0,1,2.0,-1.0,5.0,4.0,5.0,4.0,,9,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,1.0,3.0,,,2.0,4.0,5.0,,,,,,1.0,3.0,,,2.0,4.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,,2.0,2.0,,2.0,,,,,,1.0,2.0,1.0,,4.0,4.0,5.0,,1.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,,1.0,,1.0,,,,,,1.0,,108.90756302521008,15.8,10.0,15.8,10.0,0.3333333333333333,1.0,1.0,1.0,,,,0.6666666666666666,,,,,,,0.3333333333333333,1.0,,,,0.3333333333333333,,0.37366666666666665,,0.37366666666666665,0.25,0.25,,1.0,13.533333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-1627774-203086-203894-203943,1610612757,"Pat Connaughton, Jake Layman, Meyers Leonard, Shabazz Napier, Noah Vonleh","Connaughton, Layman, Leonard, Napier, Vonleh",1626192-1627774-203086-203894-203943,POR,531.0,2,9.0,1.0,17.0,17.0,6.0,,5.0,34,2.0,2.0,,,1.0,6.0,6.0,,,,3.0,1.0,,,4.0,14.0,,3.0,7.0,15.0,14.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,,,4.0,6.0,4.0,4.0,,,3.0,,2.0,,2.0,,1.0,4.0,,4.0,5.0,10.0,4.0,14.0,,,,5.0,5.0,6.0,7.0,2.0,2.0,11.0,6.0,6.0,2.0,0.5,0.5,,,,,0.2857142857142857,0.3333333333333333,0.25,0.23529411764705882,0.25,0.25,0.375,0.4,0.5,0.17647058823529413,0.4,1.0,,0.9,0.3076923076923077,,0.2,0.6,,1.0,,92.20338983050848,14.882352941176471,16.352941176470587,12.058823529411764,16.352941176470587,0.11764705882352941,1.0,1.0,0.5,0.35294117647058826,0.16666666666666666,0.2,0.35294117647058826,,0.17647058823529413,,,,0.25,,,,,,0.29411764705882354,,0.44282352941176467,0.431625,0.38995,0.1111111111111111,0.13333333333333333,0.26666666666666666,0.4,11.835714285714285,25.233333333333334,0.35294117647058826,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.16666666666666666,1.0,1.0,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-202323-203081-203090-203459,1610612757,"Pat Connaughton, Evan Turner, Damian Lillard, Maurice Harkless, Allen Crabbe","Connaughton, Turner, Lillard, Harkless, Crabbe",1626192-202323-203081-203090-203459,POR,57.0,1,1.0,2.0,2.0,1.0,2.0,,,3,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,2.0,4.0,2.0,,,,,,1.0,1.0,,,2.0,4.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,2.0,,1.0,4.0,4.0,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,75.78947368421053,11.0,35.0,11.0,35.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,0.5852,,0.5852,,,,1.0,1.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-202323-203081-203090-203468,1610612757,"Pat Connaughton, Evan Turner, Damian Lillard, Maurice Harkless, CJ McCollum","Connaughton, Turner, Lillard, Harkless, McCollum",1626192-202323-203081-203090-203468,POR,78.0,1,1.0,-2.0,2.0,3.0,2.0,,,5,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,3.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,0.16666666666666666,,0.16666666666666666,0.5,,1.0,,1.0,,,,,,,,92.3076923076923,16.5,15.0,16.5,14.0,,,,,,,,0.5,,0.5,,,,,,,,0.5,,0.5,,0.4827,,0.4827,0.3333333333333333,0.5,,1.0,19.9,26.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-202323-203081-203459-203468,1610612757,"Pat Connaughton, Evan Turner, Damian Lillard, Allen Crabbe, CJ McCollum","Connaughton, Turner, Lillard, Crabbe, McCollum",1626192-202323-203081-203459-203468,POR,99.0,1,2.0,-2.0,3.0,4.0,3.0,4.0,,7,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,2.0,,,,2.0,4.0,,,,,,1.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,2.0,2.0,3.0,,,,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,,0.5,,,,,,,,101.81818181818183,14.333333333333334,14.0,14.333333333333334,14.0,0.5,,,,0.5,1.0,1.0,,,,,,,,0.5,,,,,0.5,,0.44065,,0.44065,,,,1.0,5.4,,1.0,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-202329-203081-203459-203468,1610612757,"Pat Connaughton, Al-Farouq Aminu, Damian Lillard, Allen Crabbe, CJ McCollum","Connaughton, Aminu, Lillard, Crabbe, McCollum",1626192-202329-203081-203459-203468,POR,91.0,1,2.0,-1.0,4.0,4.0,2.0,,,8,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,3.0,4.0,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,,1.0,3.0,,,3.0,2.0,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,0.75,,1.0,,,0.5,,0.5,,,,,,0.5,,126.5934065934066,9.5,13.25,9.5,13.0,,,,,,,,1.0,,,,,,,,,,,,,,0.4115,,0.4115,0.5,,,0.6666666666666666,15.4,,0.5,1.0,,1.0,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-202329-203081-203459-203894,1610612757,"Pat Connaughton, Al-Farouq Aminu, Damian Lillard, Allen Crabbe, Shabazz Napier","Connaughton, Aminu, Lillard, Crabbe, Napier",1626192-202329-203081-203459-203894,POR,24.0,1,,,1.0,1.0,,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,120.0,3.0,21.0,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-202329-203081-203459-203943,1610612757,"Pat Connaughton, Al-Farouq Aminu, Damian Lillard, Allen Crabbe, Noah Vonleh","Connaughton, Aminu, Lillard, Crabbe, Vonleh",1626192-202329-203081-203459-203943,POR,125.0,1,2.0,4.0,5.0,5.0,5.0,3.0,,10,3.0,4.0,3.0,4.0,,,,,,,1.0,,,1.0,3.0,4.0,,1.0,,6.0,2.0,,,,,,3.0,4.0,,1.0,,6.0,6.0,,,,1.0,,3.0,,3.0,,3.0,6.0,,,,2.0,,2.0,,2.0,,,1.0,,,,,6.0,6.0,5.0,,1.0,1.0,,,,,0.75,,0.75,0.6,,0.6,0.6,,0.6,0.2,,,,0.6666666666666666,,,,,,,,115.19999999999999,10.4,14.6,10.4,14.4,0.8,0.75,1.0,1.0,,,,,,0.2,,,,,0.8,0.75,,0.2,,1.0,,0.71363,,0.71363,,,,1.0,1.175,25.3,1.0,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,,0.25,,,,0.6666666666666666,0.5,,1.0,,,,,,2.0,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
1626192-203081-203459-203468-203894,1610612757,"Pat Connaughton, Damian Lillard, Allen Crabbe, CJ McCollum, Shabazz Napier","Connaughton, Lillard, Crabbe, McCollum, Napier",1626192-203081-203459-203468-203894,POR,3.0,1,,-3.0,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2017,2016-17,True
